ticker,date,open,high,low,close
AUDCAD,1980-01-02,1.289,1.289,1.289,1.289
AUDCAD,1980-01-03,1.2986,1.2986,1.2986,1.2986
AUDCAD,1980-01-04,1.294,1.294,1.294,1.294
AUDCAD,1980-01-07,1.3008,1.3008,1.3008,1.3008
AUDCAD,1980-01-08,1.305,1.305,1.305,1.305
AUDCAD,1980-01-09,1.3,1.3,1.3,1.3
AUDCAD,1980-01-10,1.2962,1.2962,1.2962,1.2962
AUDCAD,1980-01-11,1.2937,1.2937,1.2937,1.2937
AUDCAD,1980-01-14,1.2961,1.2961,1.2961,1.2961
AUDCAD,1980-01-15,1.2963,1.2963,1.2963,1.2963
AUDCAD,1980-01-16,1.2919,1.2919,1.2919,1.2919
AUDCAD,1980-01-17,1.2901,1.2901,1.2901,1.2901
AUDCAD,1980-01-18,1.2896,1.2896,1.2896,1.2896
AUDCAD,1980-01-21,1.2884,1.2884,1.2884,1.2884
AUDCAD,1980-01-22,1.2844,1.2844,1.2844,1.2844
AUDCAD,1980-01-23,1.2871,1.2871,1.2871,1.2871
AUDCAD,1980-01-24,1.2851,1.2851,1.2851,1.2851
AUDCAD,1980-01-25,1.2863,1.2863,1.2863,1.2863
AUDCAD,1980-01-28,1.2894,1.2894,1.2894,1.2894
AUDCAD,1980-01-29,1.2859,1.2859,1.2859,1.2859
AUDCAD,1980-01-30,1.286,1.286,1.286,1.286
AUDCAD,1980-01-31,1.2823,1.2823,1.2823,1.2823
AUDCAD,1980-02-01,1.2792,1.2792,1.2792,1.2792
AUDCAD,1980-02-04,1.2812,1.2812,1.2812,1.2812
AUDCAD,1980-02-05,1.2867,1.2867,1.2867,1.2867
AUDCAD,1980-02-06,1.284,1.284,1.284,1.284
AUDCAD,1980-02-07,1.2858,1.2858,1.2858,1.2858
AUDCAD,1980-02-08,1.285,1.285,1.285,1.285
AUDCAD,1980-02-11,1.2823,1.2823,1.2823,1.2823
AUDCAD,1980-02-12,1.2835,1.2835,1.2835,1.2835
AUDCAD,1980-02-13,1.2845,1.2845,1.2845,1.2845
AUDCAD,1980-02-14,1.2837,1.2837,1.2837,1.2837
AUDCAD,1980-02-15,1.286,1.286,1.286,1.286
AUDCAD,1980-02-18,1.2857,1.2857,1.2857,1.2857
AUDCAD,1980-02-19,1.281,1.281,1.281,1.281
AUDCAD,1980-02-20,1.2734,1.2734,1.2734,1.2734
AUDCAD,1980-02-21,1.2682,1.2682,1.2682,1.2682
AUDCAD,1980-02-22,1.2703,1.2703,1.2703,1.2703
AUDCAD,1980-02-25,1.2664,1.2664,1.2664,1.2664
AUDCAD,1980-02-26,1.2626,1.2626,1.2626,1.2626
AUDCAD,1980-02-27,1.2587,1.2587,1.2587,1.2587
AUDCAD,1980-02-28,1.2598,1.2598,1.2598,1.2598
AUDCAD,1980-02-29,1.258,1.258,1.258,1.258
AUDCAD,1980-03-03,1.2512,1.2512,1.2512,1.2512
AUDCAD,1980-03-04,1.2638,1.2638,1.2638,1.2638
AUDCAD,1980-03-05,1.259,1.259,1.259,1.259
AUDCAD,1980-03-06,1.264,1.264,1.264,1.264
AUDCAD,1980-03-07,1.268,1.268,1.268,1.268
AUDCAD,1980-03-10,1.2738,1.2738,1.2738,1.2738
AUDCAD,1980-03-11,1.2747,1.2747,1.2747,1.2747
AUDCAD,1980-03-12,1.2774,1.2774,1.2774,1.2774
AUDCAD,1980-03-13,1.2808,1.2808,1.2808,1.2808
AUDCAD,1980-03-14,1.2893,1.2893,1.2893,1.2893
AUDCAD,1980-03-17,1.2935,1.2935,1.2935,1.2935
AUDCAD,1980-03-18,1.2834,1.2834,1.2834,1.2834
AUDCAD,1980-03-19,1.2776,1.2776,1.2776,1.2776
AUDCAD,1980-03-20,1.2816,1.2816,1.2816,1.2816
AUDCAD,1980-03-21,1.2862,1.2862,1.2862,1.2862
AUDCAD,1980-03-24,1.2889,1.2889,1.2889,1.2889
AUDCAD,1980-03-25,1.2954,1.2954,1.2954,1.2954
AUDCAD,1980-03-26,1.2897,1.2897,1.2897,1.2897
AUDCAD,1980-03-27,1.2878,1.2878,1.2878,1.2878
AUDCAD,1980-03-28,1.2854,1.2854,1.2854,1.2854
AUDCAD,1980-03-31,1.2905,1.2905,1.2905,1.2905
AUDCAD,1980-04-01,1.2931,1.2931,1.2931,1.2931
AUDCAD,1980-04-02,1.2764,1.2764,1.2764,1.2764
AUDCAD,1980-04-03,1.2814,1.2814,1.2814,1.2814
AUDCAD,1980-04-04,1.2809,1.2809,1.2809,1.2809
AUDCAD,1980-04-07,1.2762,1.2762,1.2762,1.2762
AUDCAD,1980-04-08,1.2649,1.2649,1.2649,1.2649
AUDCAD,1980-04-09,1.2714,1.2714,1.2714,1.2714
AUDCAD,1980-04-10,1.2834,1.2834,1.2834,1.2834
AUDCAD,1980-04-11,1.2894,1.2894,1.2894,1.2894
AUDCAD,1980-04-14,1.2911,1.2911,1.2911,1.2911
AUDCAD,1980-04-15,1.2957,1.2957,1.2957,1.2957
AUDCAD,1980-04-16,1.2932,1.2932,1.2932,1.2932
AUDCAD,1980-04-17,1.2993,1.2993,1.2993,1.2993
AUDCAD,1980-04-18,1.2999,1.2999,1.2999,1.2999
