ticker,date,open,high,low,close
AUDCHF,1980-01-02,1.7441,1.7441,1.7441,1.7441
AUDCHF,1980-01-03,1.7442,1.7442,1.7442,1.7442
AUDCHF,1980-01-04,1.7444,1.7444,1.7444,1.7444
AUDCHF,1980-01-07,1.7464,1.7464,1.7464,1.7464
AUDCHF,1980-01-08,1.7593,1.7593,1.7593,1.7593
AUDCHF,1980-01-09,1.7509,1.7509,1.7509,1.7509
AUDCHF,1980-01-10,1.7568,1.7568,1.7568,1.7568
AUDCHF,1980-01-11,1.7578,1.7578,1.7578,1.7578
AUDCHF,1980-01-14,1.7592,1.7592,1.7592,1.7592
AUDCHF,1980-01-15,1.7735,1.7735,1.7735,1.7735
AUDCHF,1980-01-16,1.7586,1.7586,1.7586,1.7586
AUDCHF,1980-01-17,1.7697,1.7697,1.7697,1.7697
AUDCHF,1980-01-18,1.7685,1.7685,1.7685,1.7685
AUDCHF,1980-01-21,1.7804,1.7804,1.7804,1.7804
AUDCHF,1980-01-22,1.7832,1.7832,1.7832,1.7832
AUDCHF,1980-01-23,1.7815,1.7815,1.7815,1.7815
AUDCHF,1980-01-24,1.7867,1.7867,1.7867,1.7867
AUDCHF,1980-01-25,1.7905,1.7905,1.7905,1.7905
AUDCHF,1980-01-28,1.7937,1.7937,1.7937,1.7937
AUDCHF,1980-01-29,1.7867,1.7867,1.7867,1.7867
AUDCHF,1980-01-30,1.795,1.795,1.795,1.795
AUDCHF,1980-01-31,1.8131,1.8131,1.8131,1.8131
AUDCHF,1980-02-01,1.8078,1.8078,1.8078,1.8078
AUDCHF,1980-02-04,1.8033,1.8033,1.8033,1.8033
AUDCHF,1980-02-05,1.8009,1.8009,1.8009,1.8009
AUDCHF,1980-02-06,1.7781,1.7781,1.7781,1.7781
AUDCHF,1980-02-07,1.7934,1.7934,1.7934,1.7934
AUDCHF,1980-02-08,1.795,1.795,1.795,1.795
AUDCHF,1980-02-11,1.7892,1.7892,1.7892,1.7892
AUDCHF,1980-02-12,1.7908,1.7908,1.7908,1.7908
AUDCHF,1980-02-13,1.7842,1.7842,1.7842,1.7842
AUDCHF,1980-02-14,1.7897,1.7897,1.7897,1.7897
AUDCHF,1980-02-15,1.8028,1.8028,1.8028,1.8028
AUDCHF,1980-02-18,1.8024,1.8024,1.8024,1.8024
AUDCHF,1980-02-19,1.8099,1.8099,1.8099,1.8099
AUDCHF,1980-02-20,1.8122,1.8122,1.8122,1.8122
AUDCHF,1980-02-21,1.8071,1.8071,1.8071,1.8071
AUDCHF,1980-02-22,1.8312,1.8312,1.8312,1.8312
AUDCHF,1980-02-25,1.8367,1.8367,1.8367,1.8367
AUDCHF,1980-02-26,1.8333,1.8333,1.8333,1.8333
AUDCHF,1980-02-27,1.8287,1.8287,1.8287,1.8287
AUDCHF,1980-02-28,1.8374,1.8374,1.8374,1.8374
AUDCHF,1980-02-29,1.8704,1.8704,1.8704,1.8704
AUDCHF,1980-03-03,1.8773,1.8773,1.8773,1.8773
AUDCHF,1980-03-04,1.8866,1.8866,1.8866,1.8866
AUDCHF,1980-03-05,1.8771,1.8771,1.8771,1.8771
AUDCHF,1980-03-06,1.8795,1.8795,1.8795,1.8795
AUDCHF,1980-03-07,1.8787,1.8787,1.8787,1.8787
AUDCHF,1980-03-10,1.8991,1.8991,1.8991,1.8991
AUDCHF,1980-03-11,1.8978,1.8978,1.8978,1.8978
AUDCHF,1980-03-12,1.8925,1.8925,1.8925,1.8925
AUDCHF,1980-03-13,1.9099,1.9099,1.9099,1.9099
AUDCHF,1980-03-14,1.9186,1.9186,1.9186,1.9186
AUDCHF,1980-03-17,1.952,1.952,1.952,1.952
AUDCHF,1980-03-18,1.9371,1.9371,1.9371,1.9371
AUDCHF,1980-03-19,1.9247,1.9247,1.9247,1.9247
AUDCHF,1980-03-20,1.9151,1.9151,1.9151,1.9151
AUDCHF,1980-03-21,1.9342,1.9342,1.9342,1.9342
AUDCHF,1980-03-24,1.9434,1.9434,1.9434,1.9434
AUDCHF,1980-03-25,1.9512,1.9512,1.9512,1.9512
AUDCHF,1980-03-26,1.9479,1.9479,1.9479,1.9479
AUDCHF,1980-03-27,1.983,1.983,1.983,1.983
AUDCHF,1980-03-28,1.9848,1.9848,1.9848,1.9848
AUDCHF,1980-03-31,2.0053,2.0053,2.0053,2.0053
AUDCHF,1980-04-01,2.0133,2.0133,2.0133,2.0133
AUDCHF,1980-04-02,1.9901,1.9901,1.9901,1.9901
AUDCHF,1980-04-03,2.0016,2.0016,2.0016,2.0016
AUDCHF,1980-04-04,2.0085,2.0085,2.0085,2.0085
AUDCHF,1980-04-07,2.0161,2.0161,2.0161,2.0161
AUDCHF,1980-04-08,1.9663,1.9663,1.9663,1.9663
AUDCHF,1980-04-09,1.9212,1.9212,1.9212,1.9212
AUDCHF,1980-04-10,1.9068,1.9068,1.9068,1.9068
AUDCHF,1980-04-11,1.911,1.911,1.911,1.911
AUDCHF,1980-04-14,1.9031,1.9031,1.9031,1.9031
AUDCHF,1980-04-15,1.9307,1.9307,1.9307,1.9307
AUDCHF,1980-04-16,1.886,1.886,1.886,1.886
AUDCHF,1980-04-17,1.9042,1.9042,1.9042,1.9042
AUDCHF,1980-04-18,1.9094,1.9094,1.9094,1.9094
AUDCHF,1980-04-21,1.8881,1.8881,1.8881,1.8881
AUDCHF,1980-04-22,1.9133,1.9133,1.9133,1.9133
AUDCHF,1980-04-23,1.864,1.864,1.864,1.864
AUDCHF,1980-04-24,1.8823,1.8823,1.8823,1.8823
AUDCHF,1980-04-25,1.8751,1.8751,1.8751,1.8751
AUDCHF,1980-04-28,1.8498,1.8498,1.8498,1.8498
AUDCHF,1980-04-29,1.86,1.86,1.86,1.86
AUDCHF,1980-04-30,1.8584,1.8584,1.8584,1.8584
AUDCHF,1980-05-01,1.858,1.858,1.858,1.858
AUDCHF,1980-05-02,1.8874,1.8874,1.8874,1.8874
AUDCHF,1980-05-05,1.85,1.85,1.85,1.85
AUDCHF,1980-05-06,1.849,1.849,1.849,1.849
AUDCHF,1980-05-07,1.8528,1.8528,1.8528,1.8528
AUDCHF,1980-05-08,1.8709,1.8709,1.8709,1.8709
AUDCHF,1980-05-09,1.8894,1.8894,1.8894,1.8894
AUDCHF,1980-05-12,1.8696,1.8696,1.8696,1.8696
AUDCHF,1980-05-13,1.884,1.884,1.884,1.884
AUDCHF,1980-05-14,1.8756,1.8756,1.8756,1.8756
AUDCHF,1980-05-15,1.8794,1.8794,1.8794,1.8794
AUDCHF,1980-05-16,1.8876,1.8876,1.8876,1.8876
AUDCHF,1980-05-19,1.8926,1.8926,1.8926,1.8926
AUDCHF,1980-05-20,1.8956,1.8956,1.8956,1.8956
AUDCHF,1980-05-21,1.8819,1.8819,1.8819,1.8819
AUDCHF,1980-05-22,1.8895,1.8895,1.8895,1.8895
AUDCHF,1980-05-23,1.8784,1.8784,1.8784,1.8784
AUDCHF,1980-05-26,1.8896,1.8896,1.8896,1.8896
AUDCHF,1980-05-27,1.8823,1.8823,1.8823,1.8823
AUDCHF,1980-05-28,1.8901,1.8901,1.8901,1.8901
AUDCHF,1980-05-29,1.893,1.893,1.893,1.893
AUDCHF,1980-05-30,1.8984,1.8984,1.8984,1.8984
AUDCHF,1980-06-02,1.9003,1.9003,1.9003,1.9003
AUDCHF,1980-06-03,1.8906,1.8906,1.8906,1.8906
AUDCHF,1980-06-04,1.8849,1.8849,1.8849,1.8849
AUDCHF,1980-06-05,1.8858,1.8858,1.8858,1.8858
AUDCHF,1980-06-06,1.8788,1.8788,1.8788,1.8788
AUDCHF,1980-06-09,1.8664,1.8664,1.8664,1.8664
AUDCHF,1980-06-10,1.8729,1.8729,1.8729,1.8729
AUDCHF,1980-06-11,1.88,1.88,1.88,1.88
AUDCHF,1980-06-12,1.874,1.874,1.874,1.874
AUDCHF,1980-06-13,1.8641,1.8641,1.8641,1.8641
AUDCHF,1980-06-16,1.8876,1.8876,1.8876,1.8876
AUDCHF,1980-06-17,1.8833,1.8833,1.8833,1.8833
AUDCHF,1980-06-18,1.8775,1.8775,1.8775,1.8775
AUDCHF,1980-06-19,1.8939,1.8939,1.8939,1.8939
AUDCHF,1980-06-20,1.8853,1.8853,1.8853,1.8853
AUDCHF,1980-06-23,1.8878,1.8878,1.8878,1.8878
AUDCHF,1980-06-24,1.8968,1.8968,1.8968,1.8968
AUDCHF,1980-06-25,1.8934,1.8934,1.8934,1.8934
AUDCHF,1980-06-26,1.8812,1.8812,1.8812,1.8812
AUDCHF,1980-06-27,1.8835,1.8835,1.8835,1.8835
AUDCHF,1980-06-30,1.8865,1.8865,1.8865,1.8865
AUDCHF,1980-07-01,1.8789,1.8789,1.8789,1.8789
AUDCHF,1980-07-02,1.8731,1.8731,1.8731,1.8731
AUDCHF,1980-07-03,1.8668,1.8668,1.8668,1.8668
AUDCHF,1980-07-04,1.8671,1.8671,1.8671,1.8671
AUDCHF,1980-07-07,1.8386,1.8386,1.8386,1.8386
AUDCHF,1980-07-08,1.8451,1.8451,1.8451,1.8451
AUDCHF,1980-07-09,1.8498,1.8498,1.8498,1.8498
AUDCHF,1980-07-10,1.8503,1.8503,1.8503,1.8503
AUDCHF,1980-07-11,1.8531,1.8531,1.8531,1.8531
AUDCHF,1980-07-14,1.8626,1.8626,1.8626,1.8626
AUDCHF,1980-07-15,1.8678,1.8678,1.8678,1.8678
