ticker,date,open,high,low,close
AUDCNY,1984-01-09,3.1769,3.1769,3.1769,3.1769
AUDCNY,1984-01-16,3.321,3.321,3.321,3.321
AUDCNY,1984-01-23,3.2841,3.2841,3.2841,3.2841
AUDCNY,1984-01-30,3.321,3.321,3.321,3.321
AUDCNY,1984-02-06,3.3579,3.3579,3.3579,3.3579
AUDCNY,1984-02-13,3.3579,3.3579,3.3579,3.3579
AUDCNY,1984-02-20,3.4717,3.4717,3.4717,3.4717
AUDCNY,1984-03-01,3.4098,3.4098,3.4098,3.4098
AUDCNY,1984-03-05,3.4448,3.4448,3.4448,3.4448
AUDCNY,1984-03-12,3.5374,3.5374,3.5374,3.5374
AUDCNY,1984-03-19,3.5714,3.5714,3.5714,3.5714
AUDCNY,1984-03-26,3.5714,3.5714,3.5714,3.5714
AUDCNY,1984-04-02,3.4448,3.4448,3.4448,3.4448
AUDCNY,1984-04-09,3.5034,3.5034,3.5034,3.5034
AUDCNY,1984-04-16,3.4014,3.4014,3.4014,3.4014
AUDCNY,1984-04-24,3.4354,3.4354,3.4354,3.4354
AUDCNY,1984-05-02,3.5069,3.5069,3.5069,3.5069
AUDCNY,1984-05-07,3.5764,3.5764,3.5764,3.5764
AUDCNY,1984-05-14,3.5417,3.5417,3.5417,3.5417
AUDCNY,1984-05-21,3.5461,3.5461,3.5461,3.5461
AUDCNY,1984-05-28,3.5461,3.5461,3.5461,3.5461
AUDCNY,1984-06-04,3.4722,3.4722,3.4722,3.4722
AUDCNY,1984-06-11,3.5106,3.5106,3.5106,3.5106
AUDCNY,1984-06-18,3.5106,3.5106,3.5106,3.5106
AUDCNY,1984-06-25,3.4752,3.4752,3.4752,3.4752
AUDCNY,1984-07-02,3.4397,3.4397,3.4397,3.4397
AUDCNY,1984-07-09,3.4657,3.4657,3.4657,3.4657
AUDCNY,1984-07-16,3.3574,3.3574,3.3574,3.3574
AUDCNY,1984-07-23,3.3935,3.3935,3.3935,3.3935
AUDCNY,1984-07-30,3.4317,3.4317,3.4317,3.4317
AUDCNY,1984-08-06,3.3935,3.3935,3.3935,3.3935
AUDCNY,1984-08-13,3.5849,3.5849,3.5849,3.5849
AUDCNY,1984-08-20,3.5055,3.5055,3.5055,3.5055
AUDCNY,1984-08-27,3.6604,3.6604,3.6604,3.6604
AUDCNY,1984-09-01,3.6458,3.6458,3.6458,3.6458
AUDCNY,1984-09-10,3.7545,3.7545,3.7545,3.7545
AUDCNY,1984-09-17,3.7545,3.7545,3.7545,3.7545
AUDCNY,1984-09-24,3.7545,3.7545,3.7545,3.7545
AUDCNY,1984-10-01,3.8376,3.8376,3.8376,3.8376
AUDCNY,1984-10-08,3.8376,3.8376,3.8376,3.8376
AUDCNY,1984-10-15,3.9623,3.9623,3.9623,3.9623
AUDCNY,1984-10-22,3.9623,3.9623,3.9623,3.9623
AUDCNY,1984-10-29,3.8745,3.8745,3.8745,3.8745
AUDCNY,1984-11-05,3.8267,3.8267,3.8267,3.8267
AUDCNY,1984-11-12,3.9483,3.9483,3.9483,3.9483
AUDCNY,1984-11-19,4.1154,4.1154,4.1154,4.1154
AUDCNY,1984-11-26,4.2126,4.2126,4.2126,4.2126
AUDCNY,1984-12-01,4.1154,4.1154,4.1154,4.1154
AUDCNY,1984-12-10,4.252,4.252,4.252,4.252
AUDCNY,1984-12-17,4.1732,4.1732,4.1732,4.1732
AUDCNY,1984-12-24,4.1339,4.1339,4.1339,4.1339
AUDCNY,1985-01-01,4.1516,4.1516,4.1516,4.1516
AUDCNY,1985-01-07,4.1155,4.1155,4.1155,4.1155
AUDCNY,1985-01-14,4.0794,4.0794,4.0794,4.0794
AUDCNY,1985-01-21,4.1155,4.1155,4.1155,4.1155
AUDCNY,1985-01-28,4.0794,4.0794,4.0794,4.0794
AUDCNY,1985-02-04,4.1155,4.1155,4.1155,4.1155
AUDCNY,1985-02-11,3.8653,3.8653,3.8653,3.8653
AUDCNY,1985-02-18,3.7589,3.7589,3.7589,3.7589
AUDCNY,1985-02-25,3.5106,3.5106,3.5106,3.5106
AUDCNY,1985-03-04,3.6823,3.6823,3.6823,3.6823
AUDCNY,1985-03-11,3.4397,3.4397,3.4397,3.4397
AUDCNY,1985-03-18,3.574,3.574,3.574,3.574
AUDCNY,1985-03-25,3.5018,3.5018,3.5018,3.5018
AUDCNY,1985-03-29,3.4657,3.4657,3.4657,3.4657
AUDCNY,1985-04-01,3.5379,3.5379,3.5379,3.5379
AUDCNY,1985-04-09,3.321,3.321,3.321,3.321
AUDCNY,1985-04-15,3.3213,3.3213,3.3213,3.3213
AUDCNY,1985-04-22,3.3579,3.3579,3.3579,3.3579
AUDCNY,1985-04-29,3.3585,3.3585,3.3585,3.3585
