ticker,date,open,high,low,close
AUDDKK,1984-01-02,8.929,8.929,8.929,8.929
AUDDKK,1984-01-09,9.0296,9.0296,9.0296,9.0296
AUDDKK,1984-01-16,9.3182,9.3182,9.3182,9.3182
AUDDKK,1984-01-23,9.1177,9.1177,9.1177,9.1177
AUDDKK,1984-01-30,9.2779,9.2779,9.2779,9.2779
AUDDKK,1984-02-06,9.3691,9.3691,9.3691,9.3691
AUDDKK,1984-02-13,9.2548,9.2548,9.2548,9.2548
AUDDKK,1984-02-20,9.3249,9.3249,9.3249,9.3249
AUDDKK,1984-03-01,9.2025,9.2025,9.2025,9.2025
AUDDKK,1984-03-05,9.0053,9.0053,9.0053,9.0053
AUDDKK,1984-03-12,8.9585,8.9585,8.9585,8.9585
AUDDKK,1984-03-19,9.0198,9.0198,9.0198,9.0198
AUDDKK,1984-03-26,9.1912,9.1912,9.1912,9.1912
AUDDKK,1984-04-02,8.9869,8.9869,8.9869,8.9869
AUDDKK,1984-04-09,9.0608,9.0608,9.0608,9.0608
AUDDKK,1984-04-16,8.8536,8.8536,8.8536,8.8536
AUDDKK,1984-04-24,8.9188,8.9188,8.9188,8.9188
AUDDKK,1984-05-02,9.0626,9.0626,9.0626,9.0626
AUDDKK,1984-05-07,9.2633,9.2633,9.2633,9.2633
AUDDKK,1984-05-14,9.2869,9.2869,9.2869,9.2869
AUDDKK,1984-05-21,9.0617,9.0617,9.0617,9.0617
AUDDKK,1984-05-28,9.0816,9.0816,9.0816,9.0816
AUDDKK,1984-06-04,9.0172,9.0172,9.0172,9.0172
AUDDKK,1984-06-11,8.8255,8.8255,8.8255,8.8255
AUDDKK,1984-06-18,8.9306,8.9306,8.9306,8.9306
AUDDKK,1984-06-25,8.9337,8.9337,8.9337,8.9337
AUDDKK,1984-07-02,8.8095,8.8095,8.8095,8.8095
AUDDKK,1984-07-09,8.8355,8.8355,8.8355,8.8355
AUDDKK,1984-07-16,8.5888,8.5888,8.5888,8.5888
