ticker,date,open,high,low,close
AUDEUR,1984-09-24,1.1305,1.1305,1.1305,1.1305
AUDEUR,1984-10-01,1.1126,1.1126,1.1126,1.1126
AUDEUR,1984-10-08,1.1332,1.1332,1.1332,1.1332
AUDEUR,1984-10-15,1.1338,1.1338,1.1338,1.1338
AUDEUR,1984-10-22,1.1627,1.1627,1.1627,1.1627
AUDEUR,1984-10-29,1.1573,1.1573,1.1573,1.1573
AUDEUR,1984-11-05,1.161,1.161,1.161,1.161
AUDEUR,1984-11-12,1.135,1.135,1.135,1.135
AUDEUR,1984-11-19,1.1436,1.1436,1.1436,1.1436
AUDEUR,1984-11-26,1.1493,1.1493,1.1493,1.1493
AUDEUR,1984-12-01,1.1659,1.1659,1.1659,1.1659
AUDEUR,1984-12-10,1.1836,1.1836,1.1836,1.1836
AUDEUR,1984-12-17,1.1684,1.1684,1.1684,1.1684
AUDEUR,1984-12-24,1.1586,1.1586,1.1586,1.1586
AUDEUR,1985-01-01,1.1697,1.1697,1.1697,1.1697
AUDEUR,1985-01-07,1.1628,1.1628,1.1628,1.1628
AUDEUR,1985-01-14,1.1487,1.1487,1.1487,1.1487
AUDEUR,1985-01-21,1.1682,1.1682,1.1682,1.1682
AUDEUR,1985-01-28,1.1633,1.1633,1.1633,1.1633
AUDEUR,1985-02-04,1.1635,1.1635,1.1635,1.1635
AUDEUR,1985-02-11,1.128,1.128,1.128,1.128
AUDEUR,1985-02-18,1.1061,1.1061,1.1061,1.1061
AUDEUR,1985-02-25,1.0453,1.0453,1.0453,1.0453
AUDEUR,1985-03-04,1.0819,1.0819,1.0819,1.0819
AUDEUR,1985-03-11,1.0524,1.0524,1.0524,1.0524
AUDEUR,1985-03-18,1.0495,1.0495,1.0495,1.0495
AUDEUR,1985-03-25,1.0329,1.0329,1.0329,1.0329
AUDEUR,1985-03-29,1.0329,1.0329,1.0329,1.0329
AUDEUR,1985-04-01,0.995,0.995,0.995,0.995
AUDEUR,1985-04-09,0.9145,0.9145,0.9145,0.9145
AUDEUR,1985-04-15,0.9352,0.9352,0.9352,0.9352
AUDEUR,1985-04-22,0.901,0.901,0.901,0.901
AUDEUR,1985-04-29,0.8816,0.8816,0.8816,0.8816
AUDEUR,1985-05-06,0.901,0.901,0.901,0.901
AUDEUR,1985-05-13,0.9591,0.9591,0.9591,0.9591
AUDEUR,1985-05-20,0.9494,0.9494,0.9494,0.9494
AUDEUR,1985-05-27,0.9454,0.9454,0.9454,0.9454
AUDEUR,1985-06-01,0.9411,0.9411,0.9411,0.9411
AUDEUR,1985-06-10,0.8985,0.8985,0.8985,0.8985
AUDEUR,1985-06-17,0.9155,0.9155,0.9155,0.9155
AUDEUR,1985-06-24,0.903,0.903,0.903,0.903
AUDEUR,1985-07-01,0.9077,0.9077,0.9077,0.9077
AUDEUR,1985-07-08,0.9036,0.9036,0.9036,0.9036
AUDEUR,1985-07-15,0.9,0.9,0.9,0.9
AUDEUR,1985-07-23,0.9093,0.9093,0.9093,0.9093
AUDEUR,1985-07-29,0.9106,0.9106,0.9106,0.9106
AUDEUR,1985-08-05,0.9077,0.9077,0.9077,0.9077
AUDEUR,1985-08-12,0.9152,0.9152,0.9152,0.9152
AUDEUR,1985-08-19,0.8889,0.8889,0.8889,0.8889
AUDEUR,1985-08-26,0.8793,0.8793,0.8793,0.8793
AUDEUR,1985-09-02,0.8768,0.8768,0.8768,0.8768
AUDEUR,1985-09-09,0.8774,0.8774,0.8774,0.8774
AUDEUR,1985-09-16,0.8889,0.8889,0.8889,0.8889
AUDEUR,1985-09-23,0.8836,0.8836,0.8836,0.8836
AUDEUR,1985-09-30,0.8624,0.8624,0.8624,0.8624
AUDEUR,1985-10-07,0.8523,0.8523,0.8523,0.8523
AUDEUR,1985-10-14,0.8417,0.8417,0.8417,0.8417
AUDEUR,1985-10-21,0.8442,0.8442,0.8442,0.8442
AUDEUR,1985-10-28,0.8381,0.8381,0.8381,0.8381
AUDEUR,1985-11-04,0.8072,0.8072,0.8072,0.8072
AUDEUR,1985-11-11,0.7896,0.7896,0.7896,0.7896
AUDEUR,1985-11-18,0.7782,0.7782,0.7782,0.7782
AUDEUR,1985-11-25,0.7967,0.7967,0.7967,0.7967
AUDEUR,1985-12-02,0.8022,0.8022,0.8022,0.8022
AUDEUR,1985-12-09,0.7762,0.7762,0.7762,0.7762
AUDEUR,1985-12-16,0.7876,0.7876,0.7876,0.7876
AUDEUR,1985-12-23,0.777,0.777,0.777,0.777
AUDEUR,1986-01-01,0.786,0.786,0.786,0.786
AUDEUR,1986-01-06,0.7693,0.7693,0.7693,0.7693
AUDEUR,1986-01-13,0.7585,0.7585,0.7585,0.7585
AUDEUR,1986-01-20,0.778,0.778,0.778,0.778
AUDEUR,1986-01-27,0.7906,0.7906,0.7906,0.7906
AUDEUR,1986-02-01,0.7908,0.7908,0.7908,0.7908
AUDEUR,1986-02-10,0.7708,0.7708,0.7708,0.7708
AUDEUR,1986-02-17,0.7576,0.7576,0.7576,0.7576
AUDEUR,1986-02-24,0.7647,0.7647,0.7647,0.7647
AUDEUR,1986-03-01,0.7466,0.7466,0.7466,0.7466
AUDEUR,1986-03-03,0.7466,0.7466,0.7466,0.7466
AUDEUR,1986-03-10,0.7194,0.7194,0.7194,0.7194
AUDEUR,1986-03-17,0.7433,0.7433,0.7433,0.7433
AUDEUR,1986-03-18,0.7433,0.7433,0.7433,0.7433
AUDEUR,1986-03-24,0.7426,0.7426,0.7426,0.7426
AUDEUR,1986-04-01,0.7693,0.7693,0.7693,0.7693
AUDEUR,1986-04-07,0.7729,0.7729,0.7729,0.7729
AUDEUR,1986-04-09,0.7729,0.7729,0.7729,0.7729
AUDEUR,1986-04-14,0.7884,0.7884,0.7884,0.7884
AUDEUR,1986-04-21,0.7705,0.7705,0.7705,0.7705
AUDEUR,1986-04-28,0.7445,0.7445,0.7445,0.7445
AUDEUR,1986-05-05,0.747,0.747,0.747,0.747
AUDEUR,1986-05-12,0.7571,0.7571,0.7571,0.7571
AUDEUR,1986-05-19,0.7372,0.7372,0.7372,0.7372
AUDEUR,1986-05-26,0.747,0.747,0.747,0.747
AUDEUR,1986-06-02,0.7656,0.7656,0.7656,0.7656
AUDEUR,1986-06-09,0.741,0.741,0.741,0.741
AUDEUR,1986-06-16,0.7223,0.7223,0.7223,0.7223
AUDEUR,1986-06-23,0.7184,0.7184,0.7184,0.7184
AUDEUR,1986-06-30,0.7072,0.7072,0.7072,0.7072
AUDEUR,1986-07-07,0.6736,0.6736,0.6736,0.6736
AUDEUR,1986-07-14,0.6361,0.6361,0.6361,0.6361
AUDEUR,1986-07-21,0.6531,0.6531,0.6531,0.6531
AUDEUR,1986-07-28,0.6287,0.6287,0.6287,0.6287
AUDEUR,1986-08-04,0.6093,0.6093,0.6093,0.6093
AUDEUR,1986-08-11,0.6089,0.6089,0.6089,0.6089
AUDEUR,1986-08-18,0.5954,0.5954,0.5954,0.5954
AUDEUR,1986-08-25,0.6202,0.6202,0.6202,0.6202
AUDEUR,1986-09-01,0.592,0.592,0.592,0.592
AUDEUR,1986-09-08,0.5877,0.5877,0.5877,0.5877
AUDEUR,1986-09-15,0.6023,0.6023,0.6023,0.6023
AUDEUR,1986-09-22,0.6107,0.6107,0.6107,0.6107
AUDEUR,1986-09-29,0.6146,0.6146,0.6146,0.6146
AUDEUR,1986-10-06,0.6084,0.6084,0.6084,0.6084
AUDEUR,1986-10-13,0.6104,0.6104,0.6104,0.6104
AUDEUR,1986-10-20,0.6108,0.6108,0.6108,0.6108
AUDEUR,1986-10-27,0.6089,0.6089,0.6089,0.6089
AUDEUR,1986-11-01,0.6261,0.6261,0.6261,0.6261
AUDEUR,1986-11-10,0.633,0.633,0.633,0.633
AUDEUR,1986-11-17,0.6286,0.6286,0.6286,0.6286
AUDEUR,1986-11-24,0.6254,0.6254,0.6254,0.6254
AUDEUR,1986-12-01,0.6252,0.6252,0.6252,0.6252
