ticker,date,open,high,low,close
AUDGBP,1984-01-02,0.6251,0.6251,0.6251,0.6251
AUDGBP,1984-01-09,0.6317,0.6317,0.6317,0.6317
AUDGBP,1984-01-16,0.6507,0.6507,0.6507,0.6507
AUDGBP,1984-01-23,0.6339,0.6339,0.6339,0.6339
AUDGBP,1984-01-30,0.6477,0.6477,0.6477,0.6477
AUDGBP,1984-02-06,0.6529,0.6529,0.6529,0.6529
AUDGBP,1984-02-13,0.6524,0.6524,0.6524,0.6524
AUDGBP,1984-02-20,0.6636,0.6636,0.6636,0.6636
AUDGBP,1984-03-01,0.6489,0.6489,0.6489,0.6489
AUDGBP,1984-03-05,0.6345,0.6345,0.6345,0.6345
AUDGBP,1984-03-12,0.6434,0.6434,0.6434,0.6434
AUDGBP,1984-03-19,0.6544,0.6544,0.6544,0.6544
AUDGBP,1984-03-26,0.6647,0.6647,0.6647,0.6647
AUDGBP,1984-04-02,0.6537,0.6537,0.6537,0.6537
AUDGBP,1984-04-09,0.6586,0.6586,0.6586,0.6586
AUDGBP,1984-04-16,0.6422,0.6422,0.6422,0.6422
AUDGBP,1984-04-24,0.6483,0.6483,0.6483,0.6483
AUDGBP,1984-05-02,0.6522,0.6522,0.6522,0.6522
AUDGBP,1984-05-07,0.6632,0.6632,0.6632,0.6632
AUDGBP,1984-05-14,0.6588,0.6588,0.6588,0.6588
AUDGBP,1984-05-21,0.6485,0.6485,0.6485,0.6485
AUDGBP,1984-05-28,0.6478,0.6478,0.6478,0.6478
AUDGBP,1984-06-04,0.6493,0.6493,0.6493,0.6493
AUDGBP,1984-06-11,0.6429,0.6429,0.6429,0.6429
AUDGBP,1984-06-18,0.6466,0.6466,0.6466,0.6466
AUDGBP,1984-06-25,0.6418,0.6418,0.6418,0.6418
AUDGBP,1984-07-02,0.6394,0.6394,0.6394,0.6394
AUDGBP,1984-07-09,0.6405,0.6405,0.6405,0.6405
AUDGBP,1984-07-16,0.6345,0.6345,0.6345,0.6345
AUDGBP,1984-07-23,0.6301,0.6301,0.6301,0.6301
AUDGBP,1984-07-30,0.6234,0.6234,0.6234,0.6234
AUDGBP,1984-08-06,0.6351,0.6351,0.6351,0.6351
AUDGBP,1984-08-13,0.6398,0.6398,0.6398,0.6398
AUDGBP,1984-08-20,0.6394,0.6394,0.6394,0.6394
AUDGBP,1984-08-27,0.6497,0.6497,0.6497,0.6497
AUDGBP,1984-09-01,0.6556,0.6556,0.6556,0.6556
AUDGBP,1984-09-10,0.6487,0.6487,0.6487,0.6487
AUDGBP,1984-09-17,0.6528,0.6528,0.6528,0.6528
AUDGBP,1984-09-24,0.6748,0.6748,0.6748,0.6748
AUDGBP,1984-10-01,0.6695,0.6695,0.6695,0.6695
AUDGBP,1984-10-08,0.6707,0.6707,0.6707,0.6707
AUDGBP,1984-10-15,0.6763,0.6763,0.6763,0.6763
AUDGBP,1984-10-22,0.6904,0.6904,0.6904,0.6904
AUDGBP,1984-10-29,0.6947,0.6947,0.6947,0.6947
AUDGBP,1984-11-05,0.6998,0.6998,0.6998,0.6998
AUDGBP,1984-11-12,0.6786,0.6786,0.6786,0.6786
AUDGBP,1984-11-19,0.6771,0.6771,0.6771,0.6771
AUDGBP,1984-11-26,0.6865,0.6865,0.6865,0.6865
AUDGBP,1984-12-01,0.7087,0.7087,0.7087,0.7087
AUDGBP,1984-12-10,0.7122,0.7122,0.7122,0.7122
AUDGBP,1984-12-17,0.7011,0.7011,0.7011,0.7011
AUDGBP,1984-12-24,0.7037,0.7037,0.7037,0.7037
AUDGBP,1985-01-01,0.7141,0.7141,0.7141,0.7141
AUDGBP,1985-01-07,0.7111,0.7111,0.7111,0.7111
AUDGBP,1985-01-14,0.7051,0.7051,0.7051,0.7051
AUDGBP,1985-01-21,0.7289,0.7289,0.7289,0.7289
AUDGBP,1985-01-28,0.7271,0.7271,0.7271,0.7271
AUDGBP,1985-02-04,0.7313,0.7313,0.7313,0.7313
AUDGBP,1985-02-11,0.7013,0.7013,0.7013,0.7013
AUDGBP,1985-02-18,0.6866,0.6866,0.6866,0.6866
AUDGBP,1985-02-25,0.6442,0.6442,0.6442,0.6442
AUDGBP,1985-03-04,0.6691,0.6691,0.6691,0.6691
AUDGBP,1985-03-11,0.6447,0.6447,0.6447,0.6447
AUDGBP,1985-03-18,0.6472,0.6472,0.6472,0.6472
AUDGBP,1985-03-25,0.6198,0.6198,0.6198,0.6198
AUDGBP,1985-03-29,0.5746,0.5746,0.5746,0.5746
AUDGBP,1985-04-01,0.5808,0.5808,0.5808,0.5808
AUDGBP,1985-04-09,0.5359,0.5359,0.5359,0.5359
AUDGBP,1985-04-15,0.5503,0.5503,0.5503,0.5503
AUDGBP,1985-04-22,0.5227,0.5227,0.5227,0.5227
AUDGBP,1985-04-29,0.51,0.51,0.51,0.51
AUDGBP,1985-05-06,0.5253,0.5253,0.5253,0.5253
AUDGBP,1985-05-13,0.5583,0.5583,0.5583,0.5583
AUDGBP,1985-05-20,0.549,0.549,0.549,0.549
AUDGBP,1985-05-27,0.5439,0.5439,0.5439,0.5439
AUDGBP,1985-06-01,0.5417,0.5417,0.5417,0.5417
AUDGBP,1985-06-10,0.5123,0.5123,0.5123,0.5123
AUDGBP,1985-06-17,0.5264,0.5264,0.5264,0.5264
AUDGBP,1985-06-24,0.5172,0.5172,0.5172,0.5172
AUDGBP,1985-07-01,0.5174,0.5174,0.5174,0.5174
AUDGBP,1985-07-08,0.5115,0.5115,0.5115,0.5115
AUDGBP,1985-07-15,0.5058,0.5058,0.5058,0.5058
AUDGBP,1985-07-23,0.5115,0.5115,0.5115,0.5115
AUDGBP,1985-07-29,0.5067,0.5067,0.5067,0.5067
AUDGBP,1985-08-05,0.5048,0.5048,0.5048,0.5048
AUDGBP,1985-08-12,0.5331,0.5331,0.5331,0.5331
AUDGBP,1985-08-19,0.5094,0.5094,0.5094,0.5094
AUDGBP,1985-08-26,0.5063,0.5063,0.5063,0.5063
AUDGBP,1985-09-02,0.5037,0.5037,0.5037,0.5037
AUDGBP,1985-09-09,0.5009,0.5009,0.5009,0.5009
AUDGBP,1985-09-16,0.516,0.516,0.516,0.516
AUDGBP,1985-09-23,0.5088,0.5088,0.5088,0.5088
AUDGBP,1985-09-30,0.49392,0.49392,0.49392,0.49392
AUDGBP,1985-10-07,0.5016,0.5016,0.5016,0.5016
AUDGBP,1985-10-14,0.49791,0.49791,0.49791,0.49791
AUDGBP,1985-10-21,0.49652,0.49652,0.49652,0.49652
AUDGBP,1985-10-28,0.48935,0.48935,0.48935,0.48935
AUDGBP,1985-11-04,0.49091,0.49091,0.49091,0.49091
AUDGBP,1985-11-11,0.46532,0.46532,0.46532,0.46532
AUDGBP,1985-11-18,0.46229,0.46229,0.46229,0.46229
AUDGBP,1985-11-25,0.47236,0.47236,0.47236,0.47236
AUDGBP,1985-12-02,0.47267,0.47267,0.47267,0.47267
AUDGBP,1985-12-09,0.45738,0.45738,0.45738,0.45738
AUDGBP,1985-12-16,0.47327,0.47327,0.47327,0.47327
AUDGBP,1985-12-23,0.47047,0.47047,0.47047,0.47047
AUDGBP,1986-01-01,0.47984,0.47984,0.47984,0.47984
AUDGBP,1986-01-06,0.47278,0.47278,0.47278,0.47278
AUDGBP,1986-01-13,0.47403,0.47403,0.47403,0.47403
AUDGBP,1986-01-20,0.47684,0.47684,0.47684,0.47684
AUDGBP,1986-01-27,0.49326,0.49326,0.49326,0.49326
AUDGBP,1986-02-01,0.5166,0.5166,0.5166,0.5166
AUDGBP,1986-02-10,0.5034,0.5034,0.5034,0.5034
AUDGBP,1986-02-17,0.49059,0.49059,0.49059,0.49059
AUDGBP,1986-02-24,0.49567,0.49567,0.49567,0.49567
AUDGBP,1986-03-01,0.47654,0.47654,0.47654,0.47654
AUDGBP,1986-03-03,0.47654,0.47654,0.47654,0.47654
AUDGBP,1986-03-10,0.48311,0.48311,0.48311,0.48311
AUDGBP,1986-03-17,0.48714,0.48714,0.48714,0.48714
AUDGBP,1986-03-18,0.48714,0.48714,0.48714,0.48714
AUDGBP,1986-03-24,0.48684,0.48684,0.48684,0.48684
AUDGBP,1986-04-01,0.49258,0.49258,0.49258,0.49258
AUDGBP,1986-04-07,0.49012,0.49012,0.49012,0.49012
AUDGBP,1986-04-09,0.49012,0.49012,0.49012,0.49012
AUDGBP,1986-04-14,0.4893,0.4893,0.4893,0.4893
AUDGBP,1986-04-21,0.48276,0.48276,0.48276,0.48276
AUDGBP,1986-04-28,0.47899,0.47899,0.47899,0.47899
AUDGBP,1986-05-05,0.47661,0.47661,0.47661,0.47661
AUDGBP,1986-05-12,0.48069,0.48069,0.48069,0.48069
AUDGBP,1986-05-19,0.47156,0.47156,0.47156,0.47156
AUDGBP,1986-05-26,0.4737,0.4737,0.4737,0.4737
AUDGBP,1986-06-02,0.4826,0.4826,0.4826,0.4826
AUDGBP,1986-06-09,0.46808,0.46808,0.46808,0.46808
AUDGBP,1986-06-16,0.46292,0.46292,0.46292,0.46292
AUDGBP,1986-06-23,0.46028,0.46028,0.46028,0.46028
AUDGBP,1986-06-30,0.45076,0.45076,0.45076,0.45076
AUDGBP,1986-07-07,0.4295,0.4295,0.4295,0.4295
AUDGBP,1986-07-14,0.40767,0.40767,0.40767,0.40767
AUDGBP,1986-07-21,0.43251,0.43251,0.43251,0.43251
AUDGBP,1986-07-28,0.42068,0.42068,0.42068,0.42068
AUDGBP,1986-08-04,0.41065,0.41065,0.41065,0.41065
AUDGBP,1986-08-11,0.41443,0.41443,0.41443,0.41443
AUDGBP,1986-08-18,0.4086,0.4086,0.4086,0.4086
AUDGBP,1986-08-25,0.42316,0.42316,0.42316,0.42316
AUDGBP,1986-09-01,0.41038,0.41038,0.41038,0.41038
AUDGBP,1986-09-08,0.40793,0.40793,0.40793,0.40793
AUDGBP,1986-09-15,0.41247,0.41247,0.41247,0.41247
AUDGBP,1986-09-22,0.42332,0.42332,0.42332,0.42332
AUDGBP,1986-09-29,0.43669,0.43669,0.43669,0.43669
AUDGBP,1986-10-06,0.43439,0.43439,0.43439,0.43439
AUDGBP,1986-10-13,0.44132,0.44132,0.44132,0.44132
AUDGBP,1986-10-20,0.44727,0.44727,0.44727,0.44727
AUDGBP,1986-10-27,0.44402,0.44402,0.44402,0.44402
AUDGBP,1986-11-01,0.45398,0.45398,0.45398,0.45398
AUDGBP,1986-11-10,0.4542,0.4542,0.4542,0.4542
AUDGBP,1986-11-17,0.44739,0.44739,0.44739,0.44739
AUDGBP,1986-11-24,0.45404,0.45404,0.45404,0.45404
AUDGBP,1986-12-01,0.45721,0.45721,0.45721,0.45721
AUDGBP,1986-12-08,0.45607,0.45607,0.45607,0.45607
AUDGBP,1986-12-15,0.45783,0.45783,0.45783,0.45783
AUDGBP,1986-12-22,0.46314,0.46314,0.46314,0.46314
AUDGBP,1986-12-31,0.45431,0.45431,0.45431,0.45431
AUDGBP,1987-01-12,0.45114,0.45114,0.45114,0.45114
AUDGBP,1987-01-19,0.43744,0.43744,0.43744,0.43744
AUDGBP,1987-01-26,0.43878,0.43878,0.43878,0.43878
AUDGBP,1987-02-01,0.43353,0.43353,0.43353,0.43353
AUDGBP,1987-02-09,0.43488,0.43488,0.43488,0.43488
AUDGBP,1987-02-16,0.43711,0.43711,0.43711,0.43711
AUDGBP,1987-02-23,0.43348,0.43348,0.43348,0.43348
AUDGBP,1987-03-02,0.43428,0.43428,0.43428,0.43428
AUDGBP,1987-03-09,0.43267,0.43267,0.43267,0.43267
AUDGBP,1987-03-16,0.43122,0.43122,0.43122,0.43122
AUDGBP,1987-03-23,0.43161,0.43161,0.43161,0.43161
AUDGBP,1987-03-30,0.42887,0.42887,0.42887,0.42887
AUDGBP,1987-04-06,0.43962,0.43962,0.43962,0.43962
AUDGBP,1987-04-13,0.43739,0.43739,0.43739,0.43739
AUDGBP,1987-04-21,0.44403,0.44403,0.44403,0.44403
AUDGBP,1987-04-27,0.43219,0.43219,0.43219,0.43219
AUDGBP,1987-05-04,0.4277,0.4277,0.4277,0.4277
AUDGBP,1987-05-11,0.42108,0.42108,0.42108,0.42108
AUDGBP,1987-05-18,0.43023,0.43023,0.43023,0.43023
AUDGBP,1987-05-25,0.42885,0.42885,0.42885,0.42885
AUDGBP,1987-06-01,0.4331,0.4331,0.4331,0.4331
AUDGBP,1987-06-08,0.43769,0.43769,0.43769,0.43769
AUDGBP,1987-06-15,0.43481,0.43481,0.43481,0.43481
AUDGBP,1987-06-22,0.44018,0.44018,0.44018,0.44018
AUDGBP,1987-06-29,0.44922,0.44922,0.44922,0.44922
AUDGBP,1987-07-06,0.44887,0.44887,0.44887,0.44887
AUDGBP,1987-07-13,0.43633,0.43633,0.43633,0.43633
AUDGBP,1987-07-20,0.43529,0.43529,0.43529,0.43529
AUDGBP,1987-07-27,0.44041,0.44041,0.44041,0.44041
AUDGBP,1987-08-03,0.43932,0.43932,0.43932,0.43932
AUDGBP,1987-08-10,0.4425,0.4425,0.4425,0.4425
AUDGBP,1987-08-17,0.4455,0.4455,0.4455,0.4455
AUDGBP,1987-08-24,0.44343,0.44343,0.44343,0.44343
AUDGBP,1987-08-31,0.44079,0.44079,0.44079,0.44079
AUDGBP,1987-09-07,0.43889,0.43889,0.43889,0.43889
AUDGBP,1987-09-14,0.43799,0.43799,0.43799,0.43799
AUDGBP,1987-09-21,0.44573,0.44573,0.44573,0.44573
AUDGBP,1987-09-28,0.44488,0.44488,0.44488,0.44488
AUDGBP,1987-10-05,0.44157,0.44157,0.44157,0.44157
