ticker,date,open,high,low,close
AUDHKD,1984-01-09,6.9677,6.9677,6.9677,6.9677
AUDHKD,1984-01-16,7.1024,7.1024,7.1024,7.1024
AUDHKD,1984-01-23,7.0142,7.0142,7.0142,7.0142
AUDHKD,1984-01-30,7.0717,7.0717,7.0717,7.0717
AUDHKD,1984-02-06,7.1559,7.1559,7.1559,7.1559
AUDHKD,1984-02-13,7.1488,7.1488,7.1488,7.1488
AUDHKD,1984-02-20,7.2897,7.2897,7.2897,7.2897
AUDHKD,1984-03-01,7.3489,7.3489,7.3489,7.3489
AUDHKD,1984-03-05,7.3457,7.3457,7.3457,7.3457
AUDHKD,1984-03-12,7.4504,7.4504,7.4504,7.4504
AUDHKD,1984-03-19,7.5819,7.5819,7.5819,7.5819
AUDHKD,1984-03-26,7.4843,7.4843,7.4843,7.4843
AUDHKD,1984-04-02,7.3693,7.3693,7.3693,7.3693
AUDHKD,1984-04-09,7.3457,7.3457,7.3457,7.3457
AUDHKD,1984-04-16,7.1714,7.1714,7.1714,7.1714
AUDHKD,1984-04-24,7.1667,7.1667,7.1667,7.1667
AUDHKD,1984-05-02,7.1858,7.1858,7.1858,7.1858
AUDHKD,1984-05-07,7.2345,7.2345,7.2345,7.2345
AUDHKD,1984-05-14,7.181,7.181,7.181,7.181
AUDHKD,1984-05-21,7.0387,7.0387,7.0387,7.0387
AUDHKD,1984-05-28,7.0542,7.0542,7.0542,7.0542
AUDHKD,1984-06-04,7.0169,7.0169,7.0169,7.0169
AUDHKD,1984-06-11,7.0291,7.0291,7.0291,7.0291
AUDHKD,1984-06-18,6.981,6.981,6.981,6.981
AUDHKD,1984-06-25,6.9268,6.9268,6.9268,6.9268
AUDHKD,1984-07-02,6.758,6.758,6.758,6.758
AUDHKD,1984-07-09,6.7697,6.7697,6.7697,6.7697
AUDHKD,1984-07-16,6.5287,6.5287,6.5287,6.5287
AUDHKD,1984-07-23,6.5222,6.5222,6.5222,6.5222
AUDHKD,1984-07-30,6.4569,6.4569,6.4569,6.4569
AUDHKD,1984-08-06,6.5271,6.5271,6.5271,6.5271
AUDHKD,1984-08-13,6.609,6.609,6.609,6.609
AUDHKD,1984-08-20,6.6097,6.6097,6.6097,6.6097
AUDHKD,1984-08-27,6.7076,6.7076,6.7076,6.7076
AUDHKD,1984-09-01,6.7026,6.7026,6.7026,6.7026
AUDHKD,1984-09-10,6.5798,6.5798,6.5798,6.5798
