ticker,date,open,high,low,close
AUDKRW,1984-01-09,713.63,713.63,713.63,713.63
AUDKRW,1984-01-16,727.42,727.42,727.42,727.42
AUDKRW,1984-01-23,718.39,718.39,718.39,718.39
AUDKRW,1984-01-30,724.27,724.27,724.27,724.27
AUDKRW,1984-02-06,732.9,732.9,732.9,732.9
AUDKRW,1984-02-13,732.18,732.18,732.18,732.18
AUDKRW,1984-02-20,752.87,752.87,752.87,752.87
AUDKRW,1984-03-01,750.87,750.87,750.87,750.87
AUDKRW,1984-03-05,750.66,750.66,750.66,750.66
AUDKRW,1984-03-12,761.47,761.47,761.47,761.47
AUDKRW,1984-03-19,769.34,769.34,769.34,769.34
AUDKRW,1984-03-26,764.82,764.82,764.82,764.82
AUDKRW,1984-04-02,753.07,753.07,753.07,753.07
AUDKRW,1984-04-09,750.66,750.66,750.66,750.66
AUDKRW,1984-04-16,732.85,732.85,732.85,732.85
AUDKRW,1984-04-24,732.25,732.25,732.25,732.25
AUDKRW,1984-05-02,739.56,739.56,739.56,739.56
AUDKRW,1984-05-07,739.07,739.07,739.07,739.07
AUDKRW,1984-05-14,738.91,738.91,738.91,738.91
AUDKRW,1984-05-21,724.27,724.27,724.27,724.27
AUDKRW,1984-05-28,725.87,725.87,725.87,725.87
AUDKRW,1984-06-04,716.84,716.84,716.84,716.84
AUDKRW,1984-06-11,723.43,723.43,723.43,723.43
AUDKRW,1984-06-18,718.33,718.33,718.33,718.33
AUDKRW,1984-06-25,712.75,712.75,712.75,712.75
AUDKRW,1984-07-02,695.25,695.25,695.25,695.25
AUDKRW,1984-07-09,696.59,696.59,696.59,696.59
AUDKRW,1984-07-16,676.52,676.52,676.52,676.52
AUDKRW,1984-07-23,675.68,675.68,675.68,675.68
AUDKRW,1984-07-30,668.92,668.92,668.92,668.92
AUDKRW,1984-08-06,676.19,676.19,676.19,676.19
AUDKRW,1984-08-13,684.68,684.68,684.68,684.68
AUDKRW,1984-08-20,679.86,679.86,679.86,679.86
AUDKRW,1984-08-27,694.89,694.89,694.89,694.89
AUDKRW,1984-09-01,692.3,692.3,692.3,692.3
AUDKRW,1984-09-10,683.95,683.95,683.95,683.95
AUDKRW,1984-09-17,679.09,679.09,679.09,679.09
AUDKRW,1984-09-24,678.51,678.51,678.51,678.51
AUDKRW,1984-10-01,676.75,676.75,676.75,676.75
AUDKRW,1984-10-08,681.96,681.96,681.96,681.96
AUDKRW,1984-10-15,685.16,685.16,685.16,685.16
AUDKRW,1984-10-22,678.58,678.58,678.58,678.58
AUDKRW,1984-10-29,683.31,683.31,683.31,683.31
AUDKRW,1984-11-05,690.52,690.52,690.52,690.52
AUDKRW,1984-11-12,702.7,702.7,702.7,702.7
AUDKRW,1984-11-19,703.49,703.49,703.49,703.49
AUDKRW,1984-11-26,704.01,704.01,704.01,704.01
AUDKRW,1984-12-01,700.98,700.98,700.98,700.98
AUDKRW,1984-12-10,704.97,704.97,704.97,704.97
AUDKRW,1984-12-17,695.49,695.49,695.49,695.49
AUDKRW,1984-12-24,693.49,693.49,693.49,693.49
AUDKRW,1985-01-01,690.0,690.0,690.0,690.0
AUDKRW,1985-01-07,680.6,680.6,680.6,680.6
AUDKRW,1985-01-14,679.88,679.88,679.88,679.88
AUDKRW,1985-01-21,680.3,680.3,680.3,680.3
AUDKRW,1985-01-28,677.73,677.73,677.73,677.73
AUDKRW,1985-02-04,679.82,679.82,679.82,679.82
AUDKRW,1985-02-11,653.71,653.71,653.71,653.71
AUDKRW,1985-02-18,630.36,630.36,630.36,630.36
AUDKRW,1985-02-25,594.67,594.67,594.67,594.67
AUDKRW,1985-03-04,612.89,612.89,612.89,612.89
AUDKRW,1985-03-11,576.01,576.01,576.01,576.01
AUDKRW,1985-03-18,597.64,597.64,597.64,597.64
AUDKRW,1985-03-25,594.33,594.33,594.33,594.33
AUDKRW,1985-03-29,591.61,591.61,591.61,591.61
AUDKRW,1985-04-01,602.53,602.53,602.53,602.53
AUDKRW,1985-04-09,567.99,567.99,567.99,567.99
AUDKRW,1985-04-15,573.19,573.19,573.19,573.19
AUDKRW,1985-04-22,574.56,574.56,574.56,574.56
AUDKRW,1985-04-29,563.69,563.69,563.69,563.69
AUDKRW,1985-05-06,569.04,569.04,569.04,569.04
AUDKRW,1985-05-13,578.31,578.31,578.31,578.31
AUDKRW,1985-05-20,606.92,606.92,606.92,606.92
AUDKRW,1985-05-27,607.31,607.31,607.31,607.31
AUDKRW,1985-06-01,592.57,592.57,592.57,592.57
AUDKRW,1985-06-10,579.28,579.28,579.28,579.28
AUDKRW,1985-06-17,580.11,580.11,580.11,580.11
AUDKRW,1985-06-24,583.78,583.78,583.78,583.78
AUDKRW,1985-07-01,585.44,585.44,585.44,585.44
AUDKRW,1985-07-08,584.83,584.83,584.83,584.83
AUDKRW,1985-07-15,594.86,594.86,594.86,594.86
AUDKRW,1985-07-23,624.66,624.66,624.66,624.66
AUDKRW,1985-07-29,632.06,632.06,632.06,632.06
AUDKRW,1985-08-05,635.52,635.52,635.52,635.52
AUDKRW,1985-08-12,629.83,629.83,629.83,629.83
AUDKRW,1985-08-19,630.46,630.46,630.46,630.46
AUDKRW,1985-08-26,624.86,624.86,624.86,624.86
AUDKRW,1985-09-02,620.17,620.17,620.17,620.17
AUDKRW,1985-09-09,617.21,617.21,617.21,617.21
AUDKRW,1985-09-16,603.39,603.39,603.39,603.39
AUDKRW,1985-09-23,612.37,612.37,612.37,612.37
AUDKRW,1985-09-30,631.0,631.0,631.0,631.0
AUDKRW,1985-10-07,630.18,630.18,630.18,630.18
AUDKRW,1985-10-14,630.48,630.48,630.48,630.48
AUDKRW,1985-10-21,625.15,625.15,625.15,625.15
AUDKRW,1985-10-28,627.74,627.74,627.74,627.74
AUDKRW,1985-11-04,626.9,626.9,626.9,626.9
AUDKRW,1985-11-11,595.06,595.06,595.06,595.06
AUDKRW,1985-11-18,584.52,584.52,584.52,584.52
AUDKRW,1985-11-25,601.13,601.13,601.13,601.13
AUDKRW,1985-12-02,614.55,614.55,614.55,614.55
AUDKRW,1985-12-09,602.23,602.23,602.23,602.23
AUDKRW,1985-12-16,608.98,608.98,608.98,608.98
AUDKRW,1985-12-23,604.58,604.58,604.58,604.58
AUDKRW,1986-01-01,609.34,609.34,609.34,609.34
AUDKRW,1986-01-06,608.0,608.0,608.0,608.0
AUDKRW,1986-01-13,606.18,606.18,606.18,606.18
AUDKRW,1986-01-20,613.27,613.27,613.27,613.27
AUDKRW,1986-01-27,623.64,623.64,623.64,623.64
AUDKRW,1986-02-01,637.53,637.53,637.53,637.53
AUDKRW,1986-02-10,616.23,616.23,616.23,616.23
AUDKRW,1986-02-17,614.32,614.32,614.32,614.32
AUDKRW,1986-02-24,623.84,623.84,623.84,623.84
AUDKRW,1986-03-01,627.86,627.86,627.86,627.86
AUDKRW,1986-03-03,627.86,627.86,627.86,627.86
AUDKRW,1986-03-10,621.88,621.88,621.88,621.88
AUDKRW,1986-03-17,624.79,624.79,624.79,624.79
AUDKRW,1986-03-18,624.79,624.79,624.79,624.79
AUDKRW,1986-03-24,632.94,632.94,632.94,632.94
AUDKRW,1986-04-01,642.23,642.23,642.23,642.23
AUDKRW,1986-04-07,637.99,637.99,637.99,637.99
AUDKRW,1986-04-09,637.99,637.99,637.99,637.99
AUDKRW,1986-04-14,637.79,637.79,637.79,637.79
AUDKRW,1986-04-21,633.33,633.33,633.33,633.33
AUDKRW,1986-04-28,646.32,646.32,646.32,646.32
AUDKRW,1986-05-05,656.63,656.63,656.63,656.63
AUDKRW,1986-05-12,652.53,652.53,652.53,652.53
AUDKRW,1986-05-19,648.37,648.37,648.37,648.37
AUDKRW,1986-05-26,642.58,642.58,642.58,642.58
AUDKRW,1986-06-02,644.84,644.84,644.84,644.84
AUDKRW,1986-06-09,626.02,626.02,626.02,626.02
AUDKRW,1986-06-16,619.24,619.24,619.24,619.24
AUDKRW,1986-06-23,618.32,618.32,618.32,618.32
AUDKRW,1986-06-30,604.84,604.84,604.84,604.84
AUDKRW,1986-07-07,586.87,586.87,586.87,586.87
AUDKRW,1986-07-14,557.07,557.07,557.07,557.07
AUDKRW,1986-07-21,567.89,567.89,567.89,567.89
AUDKRW,1986-07-28,559.02,559.02,559.02,559.02
AUDKRW,1986-08-04,543.68,543.68,543.68,543.68
AUDKRW,1986-08-11,546.98,546.98,546.98,546.98
AUDKRW,1986-08-18,537.09,537.09,537.09,537.09
AUDKRW,1986-08-25,559.34,559.34,559.34,559.34
AUDKRW,1986-09-01,537.88,537.88,537.88,537.88
AUDKRW,1986-09-08,539.33,539.33,539.33,539.33
AUDKRW,1986-09-15,543.67,543.67,543.67,543.67
AUDKRW,1986-09-22,551.72,551.72,551.72,551.72
AUDKRW,1986-09-29,555.46,555.46,555.46,555.46
AUDKRW,1986-10-06,552.29,552.29,552.29,552.29
AUDKRW,1986-10-13,558.85,558.85,558.85,558.85
AUDKRW,1986-10-20,560.53,560.53,560.53,560.53
AUDKRW,1986-10-27,561.24,561.24,561.24,561.24
AUDKRW,1986-11-01,562.5,562.5,562.5,562.5
AUDKRW,1986-11-10,560.04,560.04,560.04,560.04
AUDKRW,1986-11-17,562.93,562.93,562.93,562.93
AUDKRW,1986-11-24,561.92,561.92,561.92,561.92
AUDKRW,1986-12-01,563.19,563.19,563.19,563.19
AUDKRW,1986-12-08,566.18,566.18,566.18,566.18
AUDKRW,1986-12-15,569.08,569.08,569.08,569.08
AUDKRW,1986-12-22,573.64,573.64,573.64,573.64
AUDKRW,1986-12-31,571.27,571.27,571.27,571.27
AUDKRW,1987-01-12,573.29,573.29,573.29,573.29
AUDKRW,1987-01-19,563.58,563.58,563.58,563.58
AUDKRW,1987-01-26,573.97,573.97,573.97,573.97
AUDKRW,1987-02-01,571.84,571.84,571.84,571.84
AUDKRW,1987-02-09,573.14,573.14,573.14,573.14
AUDKRW,1987-02-16,572.76,572.76,572.76,572.76
AUDKRW,1987-02-23,569.93,569.93,569.93,569.93
AUDKRW,1987-03-02,573.49,573.49,573.49,573.49
AUDKRW,1987-03-09,581.11,581.11,581.11,581.11
AUDKRW,1987-03-16,586.19,586.19,586.19,586.19
AUDKRW,1987-03-23,588.08,588.08,588.08,588.08
AUDKRW,1987-03-30,591.78,591.78,591.78,591.78
AUDKRW,1987-04-06,598.96,598.96,598.96,598.96
AUDKRW,1987-04-13,600.21,600.21,600.21,600.21
AUDKRW,1987-04-21,610.73,610.73,610.73,610.73
AUDKRW,1987-04-27,596.05,596.05,596.05,596.05
AUDKRW,1987-05-04,591.38,591.38,591.38,591.38
AUDKRW,1987-05-11,591.96,591.96,591.96,591.96
AUDKRW,1987-05-18,596.58,596.58,596.58,596.58
AUDKRW,1987-05-25,599.44,599.44,599.44,599.44
AUDKRW,1987-06-01,595.54,595.54,595.54,595.54
AUDKRW,1987-06-08,587.92,587.92,587.92,587.92
AUDKRW,1987-06-15,585.13,585.13,585.13,585.13
AUDKRW,1987-06-22,586.21,586.21,586.21,586.21
AUDKRW,1987-06-29,581.57,581.57,581.57,581.57
AUDKRW,1987-07-06,585.26,585.26,585.26,585.26
AUDKRW,1987-07-13,573.61,573.61,573.61,573.61
AUDKRW,1987-07-20,571.61,571.61,571.61,571.61
AUDKRW,1987-07-27,576.01,576.01,576.01,576.01
AUDKRW,1987-08-03,567.96,567.96,567.96,567.96
AUDKRW,1987-08-10,568.51,568.51,568.51,568.51
AUDKRW,1987-08-17,568.08,568.08,568.08,568.08
AUDKRW,1987-08-24,576.09,576.09,576.09,576.09
AUDKRW,1987-08-31,579.37,579.37,579.37,579.37
AUDKRW,1987-09-07,582.03,582.03,582.03,582.03
AUDKRW,1987-09-14,589.91,589.91,589.91,589.91
AUDKRW,1987-09-21,589.54,589.54,589.54,589.54
AUDKRW,1987-09-28,591.61,591.61,591.61,591.61
AUDKRW,1987-10-05,581.66,581.66,581.66,581.66
AUDKRW,1987-10-12,581.03,581.03,581.03,581.03
AUDKRW,1987-10-19,585.66,585.66,585.66,585.66
AUDKRW,1987-10-26,577.02,577.02,577.02,577.02
AUDKRW,1987-11-02,564.18,564.18,564.18,564.18
AUDKRW,1987-11-09,538.41,538.41,538.41,538.41
AUDKRW,1987-11-16,546.74,546.74,546.74,546.74
AUDKRW,1987-11-23,557.13,557.13,557.13,557.13
AUDKRW,1987-11-30,550.02,550.02,550.02,550.02
AUDKRW,1987-12-07,561.38,561.38,561.38,561.38
AUDKRW,1987-12-14,558.4,558.4,558.4,558.4
AUDKRW,1987-12-21,568.97,568.97,568.97,568.97
AUDKRW,1987-12-28,568.53,568.53,568.53,568.53
AUDKRW,1988-01-04,567.47,567.47,567.47,567.47
AUDKRW,1988-01-11,567.85,567.85,567.85,567.85
AUDKRW,1988-01-18,563.04,563.04,563.04,563.04
AUDKRW,1988-01-25,558.45,558.45,558.45,558.45
AUDKRW,1988-02-01,562.17,562.17,562.17,562.17
