ticker,date,open,high,low,close
AUDNOK,1984-01-02,6.9542,6.9542,6.9542,6.9542
AUDNOK,1984-01-09,7.0175,7.0175,7.0175,7.0175
AUDNOK,1984-01-16,7.216,7.216,7.216,7.216
AUDNOK,1984-01-23,7.0531,7.0531,7.0531,7.0531
AUDNOK,1984-01-30,7.1448,7.1448,7.1448,7.1448
AUDNOK,1984-02-06,7.2184,7.2184,7.2184,7.2184
AUDNOK,1984-02-13,7.2056,7.2056,7.2056,7.2056
AUDNOK,1984-02-20,7.2609,7.2609,7.2609,7.2609
AUDNOK,1984-03-01,7.2109,7.2109,7.2109,7.2109
AUDNOK,1984-03-05,7.0826,7.0826,7.0826,7.0826
AUDNOK,1984-03-12,7.0835,7.0835,7.0835,7.0835
AUDNOK,1984-03-19,7.1566,7.1566,7.1566,7.1566
AUDNOK,1984-03-26,7.2362,7.2362,7.2362,7.2362
AUDNOK,1984-04-02,7.0859,7.0859,7.0859,7.0859
AUDNOK,1984-04-09,7.1022,7.1022,7.1022,7.1022
AUDNOK,1984-04-16,6.9433,6.9433,6.9433,6.9433
AUDNOK,1984-04-24,6.9882,6.9882,6.9882,6.9882
AUDNOK,1984-05-02,7.041,7.041,7.041,7.041
AUDNOK,1984-05-07,7.194,7.194,7.194,7.194
AUDNOK,1984-05-14,7.1709,7.1709,7.1709,7.1709
AUDNOK,1984-05-21,7.0636,7.0636,7.0636,7.0636
AUDNOK,1984-05-28,7.0443,7.0443,7.0443,7.0443
AUDNOK,1984-06-04,7.007,7.007,7.007,7.007
AUDNOK,1984-06-11,6.9066,6.9066,6.9066,6.9066
AUDNOK,1984-06-18,6.9516,6.9516,6.9516,6.9516
AUDNOK,1984-06-25,6.917,6.917,6.917,6.917
AUDNOK,1984-07-02,6.8979,6.8979,6.8979,6.8979
AUDNOK,1984-07-09,6.9158,6.9158,6.9158,6.9158
AUDNOK,1984-07-16,6.775,6.775,6.775,6.775
AUDNOK,1984-07-23,6.8555,6.8555,6.8555,6.8555
AUDNOK,1984-07-30,6.8267,6.8267,6.8267,6.8267
AUDNOK,1984-08-06,6.911,6.911,6.911,6.911
AUDNOK,1984-08-13,7.0081,7.0081,7.0081,7.0081
AUDNOK,1984-08-20,6.978,6.978,6.978,6.978
AUDNOK,1984-08-27,7.0814,7.0814,7.0814,7.0814
AUDNOK,1984-09-01,7.0719,7.0719,7.0719,7.0719
AUDNOK,1984-09-10,7.0291,7.0291,7.0291,7.0291
AUDNOK,1984-09-17,7.0922,7.0922,7.0922,7.0922
AUDNOK,1984-09-24,7.2012,7.2012,7.2012,7.2012
AUDNOK,1984-10-01,7.3137,7.3137,7.3137,7.3137
