ticker,date,open,high,low,close
AUDNZD,1984-01-09,1.3784,1.3784,1.3784,1.3784
AUDNZD,1984-01-16,1.4028,1.4028,1.4028,1.4028
AUDNZD,1984-01-23,1.3875,1.3875,1.3875,1.3875
AUDNZD,1984-01-30,1.3967,1.3967,1.3967,1.3967
AUDNZD,1984-02-06,1.4025,1.4025,1.4025,1.4025
AUDNZD,1984-02-13,1.4011,1.4011,1.4011,1.4011
AUDNZD,1984-02-20,1.4329,1.4329,1.4329,1.4329
AUDNZD,1984-03-01,1.4175,1.4175,1.4175,1.4175
AUDNZD,1984-03-05,1.4244,1.4244,1.4244,1.4244
AUDNZD,1984-03-12,1.4363,1.4363,1.4363,1.4363
AUDNZD,1984-03-19,1.4532,1.4532,1.4532,1.4532
AUDNZD,1984-03-26,1.4433,1.4433,1.4433,1.4433
AUDNZD,1984-04-02,1.425,1.425,1.425,1.425
AUDNZD,1984-04-09,1.4323,1.4323,1.4323,1.4323
AUDNZD,1984-04-16,1.4003,1.4003,1.4003,1.4003
AUDNZD,1984-04-24,1.3996,1.3996,1.3996,1.3996
AUDNZD,1984-05-02,1.4053,1.4053,1.4053,1.4053
AUDNZD,1984-05-07,1.4229,1.4229,1.4229,1.4229
AUDNZD,1984-05-14,1.4202,1.4202,1.4202,1.4202
AUDNZD,1984-05-21,1.3921,1.3921,1.3921,1.3921
AUDNZD,1984-05-28,1.3951,1.3951,1.3951,1.3951
AUDNZD,1984-06-04,1.3782,1.3782,1.3782,1.3782
AUDNZD,1984-06-11,1.392,1.392,1.392,1.392
AUDNZD,1984-06-18,1.3923,1.3923,1.3923,1.3923
AUDNZD,1984-06-25,1.4031,1.4031,1.4031,1.4031
AUDNZD,1984-07-02,1.365,1.365,1.365,1.365
AUDNZD,1984-07-09,1.3852,1.3852,1.3852,1.3852
AUDNZD,1984-07-16,1.3452,1.3452,1.3452,1.3452
AUDNZD,1984-07-23,1.6832,1.6832,1.6832,1.6832
AUDNZD,1984-07-30,1.6633,1.6633,1.6633,1.6633
AUDNZD,1984-08-06,1.6665,1.6665,1.6665,1.6665
AUDNZD,1984-08-13,1.6934,1.6934,1.6934,1.6934
AUDNZD,1984-08-20,1.6816,1.6816,1.6816,1.6816
AUDNZD,1984-08-27,1.7065,1.7065,1.7065,1.7065
AUDNZD,1984-09-01,1.7083,1.7083,1.7083,1.7083
AUDNZD,1984-09-10,1.7071,1.7071,1.7071,1.7071
AUDNZD,1984-09-17,1.7061,1.7061,1.7061,1.7061
AUDNZD,1984-09-24,1.6935,1.6935,1.6935,1.6935
AUDNZD,1984-10-01,1.6974,1.6974,1.6974,1.6974
AUDNZD,1984-10-08,1.7133,1.7133,1.7133,1.7133
AUDNZD,1984-10-15,1.7242,1.7242,1.7242,1.7242
AUDNZD,1984-10-22,1.713,1.713,1.713,1.713
AUDNZD,1984-10-29,1.7194,1.7194,1.7194,1.7194
AUDNZD,1984-11-05,1.7042,1.7042,1.7042,1.7042
AUDNZD,1984-11-12,1.7396,1.7396,1.7396,1.7396
AUDNZD,1984-11-19,1.7472,1.7472,1.7472,1.7472
AUDNZD,1984-11-26,1.7571,1.7571,1.7571,1.7571
AUDNZD,1984-12-01,1.7467,1.7467,1.7467,1.7467
AUDNZD,1984-12-10,1.7653,1.7653,1.7653,1.7653
AUDNZD,1984-12-17,1.7473,1.7473,1.7473,1.7473
AUDNZD,1984-12-24,1.7423,1.7423,1.7423,1.7423
AUDNZD,1985-01-01,1.7406,1.7406,1.7406,1.7406
AUDNZD,1985-01-07,1.7406,1.7406,1.7406,1.7406
AUDNZD,1985-01-14,1.7444,1.7444,1.7444,1.7444
AUDNZD,1985-01-21,1.7425,1.7425,1.7425,1.7425
AUDNZD,1985-01-28,1.7386,1.7386,1.7386,1.7386
AUDNZD,1985-02-04,1.7602,1.7602,1.7602,1.7602
AUDNZD,1985-02-11,1.7111,1.7111,1.7111,1.7111
AUDNZD,1985-02-18,1.647,1.647,1.647,1.647
AUDNZD,1985-02-25,1.5992,1.5992,1.5992,1.5992
AUDNZD,1985-03-04,1.6651,1.6651,1.6651,1.6651
