ticker,date,open,high,low,close
AUDSEK,1984-01-02,7.2282,7.2282,7.2282,7.2282
AUDSEK,1984-01-09,7.3012,7.3012,7.3012,7.3012
AUDSEK,1984-01-16,7.4607,7.4607,7.4607,7.4607
AUDSEK,1984-01-23,7.3438,7.3438,7.3438,7.3438
AUDSEK,1984-01-30,7.404,7.404,7.404,7.404
AUDSEK,1984-02-06,7.4984,7.4984,7.4984,7.4984
AUDSEK,1984-02-13,7.4971,7.4971,7.4971,7.4971
AUDSEK,1984-02-20,7.5784,7.5784,7.5784,7.5784
AUDSEK,1984-03-01,7.487,7.487,7.487,7.487
AUDSEK,1984-03-05,7.3405,7.3405,7.3405,7.3405
AUDSEK,1984-03-12,7.3395,7.3395,7.3395,7.3395
AUDSEK,1984-03-19,7.3787,7.3787,7.3787,7.3787
AUDSEK,1984-03-26,7.4577,7.4577,7.4577,7.4577
AUDSEK,1984-04-02,7.2809,7.2809,7.2809,7.2809
AUDSEK,1984-04-09,7.2988,7.2988,7.2988,7.2988
AUDSEK,1984-04-16,7.1612,7.1612,7.1612,7.1612
AUDSEK,1984-04-24,7.2127,7.2127,7.2127,7.2127
AUDSEK,1984-05-02,7.284,7.284,7.284,7.284
AUDSEK,1984-05-07,7.4334,7.4334,7.4334,7.4334
AUDSEK,1984-05-14,7.4322,7.4322,7.4322,7.4322
AUDSEK,1984-05-21,7.2956,7.2956,7.2956,7.2956
AUDSEK,1984-05-28,7.2851,7.2851,7.2851,7.2851
AUDSEK,1984-06-04,7.2518,7.2518,7.2518,7.2518
AUDSEK,1984-06-11,7.1715,7.1715,7.1715,7.1715
AUDSEK,1984-06-18,7.22,7.22,7.22,7.22
AUDSEK,1984-06-25,7.1848,7.1848,7.1848,7.1848
AUDSEK,1984-07-02,7.1007,7.1007,7.1007,7.1007
AUDSEK,1984-07-09,7.058,7.058,7.058,7.058
AUDSEK,1984-07-16,6.8647,6.8647,6.8647,6.8647
AUDSEK,1984-07-23,6.9212,6.9212,6.9212,6.9212
AUDSEK,1984-07-30,6.8671,6.8671,6.8671,6.8671
AUDSEK,1984-08-06,6.9622,6.9622,6.9622,6.9622
AUDSEK,1984-08-13,7.0549,7.0549,7.0549,7.0549
AUDSEK,1984-08-20,7.0452,7.0452,7.0452,7.0452
AUDSEK,1984-08-27,7.1442,7.1442,7.1442,7.1442
AUDSEK,1984-09-01,7.1053,7.1053,7.1053,7.1053
AUDSEK,1984-09-10,7.0529,7.0529,7.0529,7.0529
AUDSEK,1984-09-17,7.1067,7.1067,7.1067,7.1067
AUDSEK,1984-09-24,7.1913,7.1913,7.1913,7.1913
AUDSEK,1984-10-01,7.1876,7.1876,7.1876,7.1876
AUDSEK,1984-10-08,7.1613,7.1613,7.1613,7.1613
AUDSEK,1984-10-15,7.2297,7.2297,7.2297,7.2297
AUDSEK,1984-10-22,7.3042,7.3042,7.3042,7.3042
AUDSEK,1984-10-29,7.2623,7.2623,7.2623,7.2623
AUDSEK,1984-11-05,7.3389,7.3389,7.3389,7.3389
AUDSEK,1984-11-12,7.2759,7.2759,7.2759,7.2759
AUDSEK,1984-11-19,7.294,7.294,7.294,7.294
AUDSEK,1984-11-26,7.3597,7.3597,7.3597,7.3597
AUDSEK,1984-12-01,7.4324,7.4324,7.4324,7.4324
AUDSEK,1984-12-10,7.5216,7.5216,7.5216,7.5216
AUDSEK,1984-12-17,7.4205,7.4205,7.4205,7.4205
AUDSEK,1984-12-24,7.3765,7.3765,7.3765,7.3765
AUDSEK,1985-01-01,7.4294,7.4294,7.4294,7.4294
AUDSEK,1985-01-07,7.3853,7.3853,7.3853,7.3853
AUDSEK,1985-01-14,7.3286,7.3286,7.3286,7.3286
AUDSEK,1985-01-21,7.4498,7.4498,7.4498,7.4498
AUDSEK,1985-01-28,7.4119,7.4119,7.4119,7.4119
AUDSEK,1985-02-04,7.3817,7.3817,7.3817,7.3817
AUDSEK,1985-02-11,7.1446,7.1446,7.1446,7.1446
AUDSEK,1985-02-18,6.9717,6.9717,6.9717,6.9717
AUDSEK,1985-02-25,6.5638,6.5638,6.5638,6.5638
AUDSEK,1985-03-04,6.8558,6.8558,6.8558,6.8558
AUDSEK,1985-03-11,6.592,6.592,6.592,6.592
AUDSEK,1985-03-18,6.6404,6.6404,6.6404,6.6404
AUDSEK,1985-03-25,6.5328,6.5328,6.5328,6.5328
AUDSEK,1985-03-29,6.3094,6.3094,6.3094,6.3094
AUDSEK,1985-04-01,6.4091,6.4091,6.4091,6.4091
AUDSEK,1985-04-09,5.922,5.922,5.922,5.922
AUDSEK,1985-04-15,6.0455,6.0455,6.0455,6.0455
AUDSEK,1985-04-22,5.8986,5.8986,5.8986,5.8986
AUDSEK,1985-04-29,5.7542,5.7542,5.7542,5.7542
AUDSEK,1985-05-06,5.8661,5.8661,5.8661,5.8661
AUDSEK,1985-05-13,6.1441,6.1441,6.1441,6.1441
AUDSEK,1985-05-20,6.1721,6.1721,6.1721,6.1721
AUDSEK,1985-05-27,6.16,6.16,6.16,6.16
AUDSEK,1985-06-01,6.0853,6.0853,6.0853,6.0853
AUDSEK,1985-06-10,5.8543,5.8543,5.8543,5.8543
AUDSEK,1985-06-17,5.9315,5.9315,5.9315,5.9315
AUDSEK,1985-06-24,5.8671,5.8671,5.8671,5.8671
AUDSEK,1985-07-01,5.8708,5.8708,5.8708,5.8708
AUDSEK,1985-07-08,5.8516,5.8516,5.8516,5.8516
AUDSEK,1985-07-15,5.8473,5.8473,5.8473,5.8473
AUDSEK,1985-07-23,5.9783,5.9783,5.9783,5.9783
AUDSEK,1985-07-29,5.9854,5.9854,5.9854,5.9854
AUDSEK,1985-08-05,5.9773,5.9773,5.9773,5.9773
AUDSEK,1985-08-12,6.0197,6.0197,6.0197,6.0197
AUDSEK,1985-08-19,5.8957,5.8957,5.8957,5.8957
AUDSEK,1985-08-26,5.8432,5.8432,5.8432,5.8432
AUDSEK,1985-09-02,5.8089,5.8089,5.8089,5.8089
AUDSEK,1985-09-09,5.7853,5.7853,5.7853,5.7853
AUDSEK,1985-09-16,5.791,5.791,5.791,5.791
AUDSEK,1985-09-23,5.7986,5.7986,5.7986,5.7986
AUDSEK,1985-09-30,5.7487,5.7487,5.7487,5.7487
AUDSEK,1985-10-07,5.677,5.677,5.677,5.677
AUDSEK,1985-10-14,5.6131,5.6131,5.6131,5.6131
AUDSEK,1985-10-21,5.5929,5.5929,5.5929,5.5929
AUDSEK,1985-10-28,5.5711,5.5711,5.5711,5.5711
AUDSEK,1985-11-04,5.5461,5.5461,5.5461,5.5461
AUDSEK,1985-11-11,5.245,5.245,5.245,5.245
AUDSEK,1985-11-18,5.163,5.163,5.163,5.163
AUDSEK,1985-11-25,5.2874,5.2874,5.2874,5.2874
AUDSEK,1985-12-02,5.3342,5.3342,5.3342,5.3342
AUDSEK,1985-12-09,5.1852,5.1852,5.1852,5.1852
AUDSEK,1985-12-16,5.2596,5.2596,5.2596,5.2596
AUDSEK,1985-12-23,5.2108,5.2108,5.2108,5.2108
AUDSEK,1986-01-01,5.2546,5.2546,5.2546,5.2546
AUDSEK,1986-01-06,5.1845,5.1845,5.1845,5.1845
AUDSEK,1986-01-13,5.161,5.161,5.161,5.161
AUDSEK,1986-01-20,5.2457,5.2457,5.2457,5.2457
AUDSEK,1986-01-27,5.3344,5.3344,5.3344,5.3344
AUDSEK,1986-02-01,5.3836,5.3836,5.3836,5.3836
AUDSEK,1986-02-10,5.2358,5.2358,5.2358,5.2358
AUDSEK,1986-02-17,5.1669,5.1669,5.1669,5.1669
AUDSEK,1986-02-24,5.2262,5.2262,5.2262,5.2262
AUDSEK,1986-03-01,5.1159,5.1159,5.1159,5.1159
AUDSEK,1986-03-03,5.1159,5.1159,5.1159,5.1159
AUDSEK,1986-03-10,5.0095,5.0095,5.0095,5.0095
AUDSEK,1986-03-17,5.1337,5.1337,5.1337,5.1337
AUDSEK,1986-03-18,5.1337,5.1337,5.1337,5.1337
AUDSEK,1986-03-24,5.1327,5.1327,5.1327,5.1327
AUDSEK,1986-04-01,5.2702,5.2702,5.2702,5.2702
AUDSEK,1986-04-07,5.2793,5.2793,5.2793,5.2793
AUDSEK,1986-04-09,5.2793,5.2793,5.2793,5.2793
AUDSEK,1986-04-14,5.3501,5.3501,5.3501,5.3501
AUDSEK,1986-04-21,5.2454,5.2454,5.2454,5.2454
AUDSEK,1986-04-28,5.1583,5.1583,5.1583,5.1583
AUDSEK,1986-05-05,5.1765,5.1765,5.1765,5.1765
AUDSEK,1986-05-12,5.1956,5.1956,5.1956,5.1956
AUDSEK,1986-05-19,5.1246,5.1246,5.1246,5.1246
AUDSEK,1986-05-26,5.1718,5.1718,5.1718,5.1718
AUDSEK,1986-06-02,5.249,5.249,5.249,5.249
AUDSEK,1986-06-09,5.0981,5.0981,5.0981,5.0981
AUDSEK,1986-06-16,5.0004,5.0004,5.0004,5.0004
AUDSEK,1986-06-23,4.993,4.993,4.993,4.993
AUDSEK,1986-06-30,4.8998,4.8998,4.8998,4.8998
AUDSEK,1986-07-07,4.6959,4.6959,4.6959,4.6959
AUDSEK,1986-07-14,4.4411,4.4411,4.4411,4.4411
AUDSEK,1986-07-21,4.5639,4.5639,4.5639,4.5639
AUDSEK,1986-07-28,4.4152,4.4152,4.4152,4.4152
AUDSEK,1986-08-04,4.2762,4.2762,4.2762,4.2762
AUDSEK,1986-08-11,4.2965,4.2965,4.2965,4.2965
AUDSEK,1986-08-18,4.2079,4.2079,4.2079,4.2079
AUDSEK,1986-08-25,4.3842,4.3842,4.3842,4.3842
AUDSEK,1986-09-01,4.1946,4.1946,4.1946,4.1946
AUDSEK,1986-09-08,4.1758,4.1758,4.1758,4.1758
AUDSEK,1986-09-15,4.2589,4.2589,4.2589,4.2589
AUDSEK,1986-09-22,4.3291,4.3291,4.3291,4.3291
AUDSEK,1986-09-29,4.369,4.369,4.369,4.369
AUDSEK,1986-10-06,4.3381,4.3381,4.3381,4.3381
AUDSEK,1986-10-13,4.3612,4.3612,4.3612,4.3612
AUDSEK,1986-10-20,4.374,4.374,4.374,4.374
AUDSEK,1986-10-27,4.3635,4.3635,4.3635,4.3635
AUDSEK,1986-11-01,4.4671,4.4671,4.4671,4.4671
AUDSEK,1986-11-10,4.5054,4.5054,4.5054,4.5054
AUDSEK,1986-11-17,4.4901,4.4901,4.4901,4.4901
AUDSEK,1986-11-24,4.4836,4.4836,4.4836,4.4836
AUDSEK,1986-12-01,4.4953,4.4953,4.4953,4.4953
AUDSEK,1986-12-08,4.4745,4.4745,4.4745,4.4745
AUDSEK,1986-12-15,4.5225,4.5225,4.5225,4.5225
AUDSEK,1986-12-22,4.63,4.63,4.63,4.63
AUDSEK,1986-12-31,4.5298,4.5298,4.5298,4.5298
AUDSEK,1987-01-12,4.4902,4.4902,4.4902,4.4902
AUDSEK,1987-01-19,4.359,4.359,4.359,4.359
AUDSEK,1987-01-26,4.3746,4.3746,4.3746,4.3746
AUDSEK,1987-02-01,4.3152,4.3152,4.3152,4.3152
AUDSEK,1987-02-09,4.2827,4.2827,4.2827,4.2827
AUDSEK,1987-02-16,4.333,4.333,4.333,4.333
AUDSEK,1987-02-23,4.2941,4.2941,4.2941,4.2941
AUDSEK,1987-03-02,4.3601,4.3601,4.3601,4.3601
AUDSEK,1987-03-09,4.3681,4.3681,4.3681,4.3681
AUDSEK,1987-03-16,4.4268,4.4268,4.4268,4.4268
AUDSEK,1987-03-23,4.409,4.409,4.409,4.409
AUDSEK,1987-03-30,4.4039,4.4039,4.4039,4.4039
AUDSEK,1987-04-06,4.4522,4.4522,4.4522,4.4522
AUDSEK,1987-04-13,4.4875,4.4875,4.4875,4.4875
AUDSEK,1987-04-21,4.5508,4.5508,4.5508,4.5508
AUDSEK,1987-04-27,4.4553,4.4553,4.4553,4.4553
AUDSEK,1987-05-04,4.4279,4.4279,4.4279,4.4279
AUDSEK,1987-05-11,4.3904,4.3904,4.3904,4.3904
AUDSEK,1987-05-18,4.4747,4.4747,4.4747,4.4747
AUDSEK,1987-05-25,4.4877,4.4877,4.4877,4.4877
AUDSEK,1987-06-01,4.501,4.501,4.501,4.501
AUDSEK,1987-06-08,4.5404,4.5404,4.5404,4.5404
AUDSEK,1987-06-15,4.4943,4.4943,4.4943,4.4943
AUDSEK,1987-06-22,4.5551,4.5551,4.5551,4.5551
AUDSEK,1987-06-29,4.5959,4.5959,4.5959,4.5959
AUDSEK,1987-07-06,4.6074,4.6074,4.6074,4.6074
AUDSEK,1987-07-13,4.5296,4.5296,4.5296,4.5296
AUDSEK,1987-07-20,4.5193,4.5193,4.5193,4.5193
AUDSEK,1987-07-27,4.5843,4.5843,4.5843,4.5843
AUDSEK,1987-08-03,4.542,4.542,4.542,4.542
AUDSEK,1987-08-10,4.5695,4.5695,4.5695,4.5695
AUDSEK,1987-08-17,4.6144,4.6144,4.6144,4.6144
AUDSEK,1987-08-24,4.5982,4.5982,4.5982,4.5982
AUDSEK,1987-08-31,4.5667,4.5667,4.5667,4.5667
AUDSEK,1987-09-07,4.5652,4.5652,4.5652,4.5652
AUDSEK,1987-09-14,4.5897,4.5897,4.5897,4.5897
AUDSEK,1987-09-21,4.6714,4.6714,4.6714,4.6714
AUDSEK,1987-09-28,4.6777,4.6777,4.6777,4.6777
AUDSEK,1987-10-05,4.6316,4.6316,4.6316,4.6316
