ticker,date,open,high,low,close
AUDSGD,1984-01-09,1.9071,1.9071,1.9071,1.9071
AUDSGD,1984-01-16,1.9398,1.9398,1.9398,1.9398
AUDSGD,1984-01-23,1.9157,1.9157,1.9157,1.9157
AUDSGD,1984-01-30,1.9314,1.9314,1.9314,1.9314
AUDSGD,1984-02-06,1.9544,1.9544,1.9544,1.9544
AUDSGD,1984-02-13,1.9525,1.9525,1.9525,1.9525
AUDSGD,1984-02-20,1.9967,1.9967,1.9967,1.9967
AUDSGD,1984-03-01,2.0004,2.0004,2.0004,2.0004
AUDSGD,1984-03-05,1.9589,1.9589,1.9589,1.9589
AUDSGD,1984-03-12,2.0031,2.0031,2.0031,2.0031
AUDSGD,1984-03-19,2.0277,2.0277,2.0277,2.0277
AUDSGD,1984-03-26,2.0034,2.0034,2.0034,2.0034
AUDSGD,1984-04-02,1.9727,1.9727,1.9727,1.9727
AUDSGD,1984-04-09,1.9739,1.9739,1.9739,1.9739
AUDSGD,1984-04-16,1.9197,1.9197,1.9197,1.9197
AUDSGD,1984-04-24,1.9175,1.9175,1.9175,1.9175
AUDSGD,1984-05-02,1.9226,1.9226,1.9226,1.9226
AUDSGD,1984-05-07,1.9383,1.9383,1.9383,1.9383
AUDSGD,1984-05-14,1.9313,1.9313,1.9313,1.9313
AUDSGD,1984-05-21,1.9038,1.9038,1.9038,1.9038
AUDSGD,1984-05-28,1.908,1.908,1.908,1.908
AUDSGD,1984-06-04,1.88,1.88,1.88,1.88
AUDSGD,1984-06-11,1.8987,1.8987,1.8987,1.8987
AUDSGD,1984-06-18,1.8918,1.8918,1.8918,1.8918
AUDSGD,1984-06-25,1.8879,1.8879,1.8879,1.8879
AUDSGD,1984-07-02,1.8443,1.8443,1.8443,1.8443
AUDSGD,1984-07-09,1.8451,1.8451,1.8451,1.8451
AUDSGD,1984-07-16,1.7817,1.7817,1.7817,1.7817
AUDSGD,1984-07-23,1.7924,1.7924,1.7924,1.7924
AUDSGD,1984-07-30,1.7711,1.7711,1.7711,1.7711
AUDSGD,1984-08-06,1.7835,1.7835,1.7835,1.7835
AUDSGD,1984-08-13,1.8093,1.8093,1.8093,1.8093
AUDSGD,1984-08-20,1.8061,1.8061,1.8061,1.8061
AUDSGD,1984-08-27,1.8328,1.8328,1.8328,1.8328
AUDSGD,1984-09-01,1.8333,1.8333,1.8333,1.8333
