ticker,date,open,high,low,close
BRLAUD,1995-01-03,1.5261,1.5261,1.5261,1.5261
BRLAUD,1995-01-04,1.5385,1.5385,1.5385,1.5385
BRLAUD,1995-01-05,1.5404,1.5404,1.5404,1.5404
BRLAUD,1995-01-06,1.5471,1.5471,1.5471,1.5471
BRLAUD,1995-01-09,1.5469,1.5469,1.5469,1.5469
BRLAUD,1995-01-10,1.544,1.544,1.544,1.544
BRLAUD,1995-01-11,1.5371,1.5371,1.5371,1.5371
BRLAUD,1995-01-12,1.5399,1.5399,1.5399,1.5399
BRLAUD,1995-01-13,1.5358,1.5358,1.5358,1.5358
BRLAUD,1995-01-16,1.5539,1.5539,1.5539,1.5539
BRLAUD,1995-01-17,1.5564,1.5564,1.5564,1.5564
BRLAUD,1995-01-18,1.5589,1.5589,1.5589,1.5589
BRLAUD,1995-01-19,1.5507,1.5507,1.5507,1.5507
BRLAUD,1995-01-20,1.5423,1.5423,1.5423,1.5423
BRLAUD,1995-01-23,1.5296,1.5296,1.5296,1.5296
BRLAUD,1995-01-24,1.5276,1.5276,1.5276,1.5276
BRLAUD,1995-01-25,1.5254,1.5254,1.5254,1.5254
BRLAUD,1995-01-26,1.5454,1.5454,1.5454,1.5454
BRLAUD,1995-01-27,1.5501,1.5501,1.5501,1.5501
BRLAUD,1995-01-30,1.5517,1.5517,1.5517,1.5517
BRLAUD,1995-01-31,1.5662,1.5662,1.5662,1.5662
BRLAUD,1995-02-01,1.5665,1.5665,1.5665,1.5665
BRLAUD,1995-02-02,1.5802,1.5802,1.5802,1.5802
BRLAUD,1995-02-03,1.5719,1.5719,1.5719,1.5719
BRLAUD,1995-02-06,1.5876,1.5876,1.5876,1.5876
BRLAUD,1995-02-07,1.5911,1.5911,1.5911,1.5911
BRLAUD,1995-02-08,1.6047,1.6047,1.6047,1.6047
BRLAUD,1995-02-09,1.6121,1.6121,1.6121,1.6121
BRLAUD,1995-02-10,1.6089,1.6089,1.6089,1.6089
BRLAUD,1995-02-13,1.6116,1.6116,1.6116,1.6116
BRLAUD,1995-02-14,1.6077,1.6077,1.6077,1.6077
BRLAUD,1995-02-15,1.6092,1.6092,1.6092,1.6092
BRLAUD,1995-02-16,1.5887,1.5887,1.5887,1.5887
BRLAUD,1995-02-17,1.5782,1.5782,1.5782,1.5782
BRLAUD,1995-02-20,1.6108,1.6108,1.6108,1.6108
BRLAUD,1995-02-21,1.6102,1.6102,1.6102,1.6102
BRLAUD,1995-02-22,1.5921,1.5921,1.5921,1.5921
BRLAUD,1995-02-23,1.5958,1.5958,1.5958,1.5958
BRLAUD,1995-02-24,1.586,1.586,1.586,1.586
BRLAUD,1995-02-27,1.5906,1.5906,1.5906,1.5906
BRLAUD,1995-02-28,1.5879,1.5879,1.5879,1.5879
BRLAUD,1995-03-01,1.5931,1.5931,1.5931,1.5931
BRLAUD,1995-03-02,1.5903,1.5903,1.5903,1.5903
BRLAUD,1995-03-03,1.5801,1.5801,1.5801,1.5801
BRLAUD,1995-03-06,1.5629,1.5629,1.5629,1.5629
BRLAUD,1995-03-07,1.5297,1.5297,1.5297,1.5297
BRLAUD,1995-03-08,1.5272,1.5272,1.5272,1.5272
BRLAUD,1995-03-09,1.5214,1.5214,1.5214,1.5214
BRLAUD,1995-03-10,1.5289,1.5289,1.5289,1.5289
BRLAUD,1995-03-13,1.5282,1.5282,1.5282,1.5282
BRLAUD,1995-03-14,1.5227,1.5227,1.5227,1.5227
BRLAUD,1995-03-15,1.5151,1.5151,1.5151,1.5151
BRLAUD,1995-03-16,1.4916,1.4916,1.4916,1.4916
BRLAUD,1995-03-17,1.4918,1.4918,1.4918,1.4918
BRLAUD,1995-03-20,1.4823,1.4823,1.4823,1.4823
BRLAUD,1995-03-21,1.5337,1.5337,1.5337,1.5337
BRLAUD,1995-03-22,1.5216,1.5216,1.5216,1.5216
BRLAUD,1995-03-23,1.5113,1.5113,1.5113,1.5113
BRLAUD,1995-03-24,1.517,1.517,1.517,1.517
BRLAUD,1995-03-27,1.51,1.51,1.51,1.51
BRLAUD,1995-03-28,1.5144,1.5144,1.5144,1.5144
BRLAUD,1995-03-29,1.5238,1.5238,1.5238,1.5238
BRLAUD,1995-03-30,1.5238,1.5238,1.5238,1.5238
BRLAUD,1995-03-31,1.5237,1.5237,1.5237,1.5237
BRLAUD,1995-04-03,1.5246,1.5246,1.5246,1.5246
BRLAUD,1995-04-04,1.517,1.517,1.517,1.517
BRLAUD,1995-04-05,1.5178,1.5178,1.5178,1.5178
BRLAUD,1995-04-06,1.5104,1.5104,1.5104,1.5104
BRLAUD,1995-04-07,1.5019,1.5019,1.5019,1.5019
BRLAUD,1995-04-10,1.5007,1.5007,1.5007,1.5007
BRLAUD,1995-04-11,1.4963,1.4963,1.4963,1.4963
BRLAUD,1995-04-12,1.4887,1.4887,1.4887,1.4887
BRLAUD,1995-04-13,1.4831,1.4831,1.4831,1.4831
BRLAUD,1995-04-14,1.482,1.482,1.482,1.482
BRLAUD,1995-04-18,1.4905,1.4905,1.4905,1.4905
BRLAUD,1995-04-19,1.4739,1.4739,1.4739,1.4739
BRLAUD,1995-04-20,1.4754,1.4754,1.4754,1.4754
BRLAUD,1995-04-21,1.4965,1.4965,1.4965,1.4965
BRLAUD,1995-04-24,1.4919,1.4919,1.4919,1.4919
BRLAUD,1995-04-25,1.493,1.493,1.493,1.493
BRLAUD,1995-04-26,1.4976,1.4976,1.4976,1.4976
BRLAUD,1995-04-27,1.4943,1.4943,1.4943,1.4943
BRLAUD,1995-04-28,1.5041,1.5041,1.5041,1.5041
BRLAUD,1995-05-04,1.5097,1.5097,1.5097,1.5097
BRLAUD,1995-05-05,1.4988,1.4988,1.4988,1.4988
BRLAUD,1995-05-09,1.5087,1.5087,1.5087,1.5087
BRLAUD,1995-05-10,1.5286,1.5286,1.5286,1.5286
BRLAUD,1995-05-11,1.5294,1.5294,1.5294,1.5294
BRLAUD,1995-05-12,1.5211,1.5211,1.5211,1.5211
BRLAUD,1995-05-15,1.5226,1.5226,1.5226,1.5226
BRLAUD,1995-05-16,1.538,1.538,1.538,1.538
BRLAUD,1995-05-17,1.5397,1.5397,1.5397,1.5397
BRLAUD,1995-05-18,1.5591,1.5591,1.5591,1.5591
BRLAUD,1995-05-19,1.571,1.571,1.571,1.571
BRLAUD,1995-05-22,1.5655,1.5655,1.5655,1.5655
BRLAUD,1995-05-23,1.5661,1.5661,1.5661,1.5661
BRLAUD,1995-05-24,1.562,1.562,1.562,1.562
BRLAUD,1995-05-25,1.5562,1.5562,1.5562,1.5562
BRLAUD,1995-05-26,1.5447,1.5447,1.5447,1.5447
BRLAUD,1995-05-29,1.5499,1.5499,1.5499,1.5499
BRLAUD,1995-05-30,1.5299,1.5299,1.5299,1.5299
BRLAUD,1995-05-31,1.5435,1.5435,1.5435,1.5435
BRLAUD,1995-06-01,1.5393,1.5393,1.5393,1.5393
BRLAUD,1995-06-02,1.5516,1.5516,1.5516,1.5516
BRLAUD,1995-06-05,1.5476,1.5476,1.5476,1.5476
BRLAUD,1995-06-06,1.5286,1.5286,1.5286,1.5286
BRLAUD,1995-06-07,1.5251,1.5251,1.5251,1.5251
BRLAUD,1995-06-08,1.522,1.522,1.522,1.522
BRLAUD,1995-06-09,1.5117,1.5117,1.5117,1.5117
