ticker,date,open,high,low,close
BRLCNY,1995-01-03,10.018,10.018,10.018,10.018
BRLCNY,1995-01-04,10.016,10.016,10.016,10.016
BRLCNY,1995-01-05,10.039,10.039,10.039,10.039
BRLCNY,1995-01-06,10.074,10.074,10.074,10.074
BRLCNY,1995-01-09,10.025,10.025,10.025,10.025
BRLCNY,1995-01-10,9.989,9.989,9.989,9.989
BRLCNY,1995-01-11,9.942,9.942,9.942,9.942
BRLCNY,1995-01-12,10.013,10.013,10.013,10.013
BRLCNY,1995-01-13,9.99,9.99,9.99,9.99
BRLCNY,1995-01-16,9.989,9.989,9.989,9.989
BRLCNY,1995-01-17,10.003,10.003,10.003,10.003
BRLCNY,1995-01-18,10.001,10.001,10.001,10.001
BRLCNY,1995-01-19,9.977,9.977,9.977,9.977
BRLCNY,1995-01-20,9.976,9.976,9.976,9.976
BRLCNY,1995-01-23,9.953,9.953,9.953,9.953
BRLCNY,1995-01-24,9.939,9.939,9.939,9.939
BRLCNY,1995-01-25,9.94,9.94,9.94,9.94
BRLCNY,1995-01-26,10.011,10.011,10.011,10.011
BRLCNY,1995-01-27,10.023,10.023,10.023,10.023
BRLCNY,1995-01-30,9.999,9.999,9.999,9.999
BRLCNY,1995-01-31,10.057,10.057,10.057,10.057
BRLCNY,1995-02-01,10.046,10.046,10.046,10.046
BRLCNY,1995-02-02,10.081,10.081,10.081,10.081
BRLCNY,1995-02-03,10.083,10.083,10.083,10.083
BRLCNY,1995-02-06,10.119,10.119,10.119,10.119
BRLCNY,1995-02-07,10.118,10.118,10.118,10.118
BRLCNY,1995-02-08,10.129,10.129,10.129,10.129
BRLCNY,1995-02-09,10.152,10.152,10.152,10.152
BRLCNY,1995-02-10,10.14,10.14,10.14,10.14
BRLCNY,1995-02-13,10.164,10.164,10.164,10.164
BRLCNY,1995-02-14,10.139,10.139,10.139,10.139
BRLCNY,1995-02-15,10.112,10.112,10.112,10.112
BRLCNY,1995-02-16,10.018,10.018,10.018,10.018
BRLCNY,1995-02-17,9.949,9.949,9.949,9.949
BRLCNY,1995-02-20,10.053,10.053,10.053,10.053
BRLCNY,1995-02-21,10.039,10.039,10.039,10.039
BRLCNY,1995-02-22,9.967,9.967,9.967,9.967
BRLCNY,1995-02-23,9.978,9.978,9.978,9.978
BRLCNY,1995-02-24,9.91,9.91,9.91,9.91
BRLCNY,1995-02-27,9.932,9.932,9.932,9.932
BRLCNY,1995-02-28,9.93,9.93,9.93,9.93
BRLCNY,1995-03-01,9.917,9.917,9.917,9.917
BRLCNY,1995-03-02,9.928,9.928,9.928,9.928
BRLCNY,1995-03-03,9.849,9.849,9.849,9.849
BRLCNY,1995-03-06,9.757,9.757,9.757,9.757
BRLCNY,1995-03-07,9.523,9.523,9.523,9.523
BRLCNY,1995-03-08,9.4998,9.4998,9.4998,9.4998
