ticker,date,open,high,low,close
BRLEUR,1995-01-03,0.9684,0.9684,0.9684,0.9684
BRLEUR,1995-01-04,0.9689,0.9689,0.9689,0.9689
BRLEUR,1995-01-05,0.9713,0.9713,0.9713,0.9713
BRLEUR,1995-01-06,0.9727,0.9727,0.9727,0.9727
BRLEUR,1995-01-09,0.9661,0.9661,0.9661,0.9661
BRLEUR,1995-01-10,0.9678,0.9678,0.9678,0.9678
BRLEUR,1995-01-11,0.9532,0.9532,0.9532,0.9532
BRLEUR,1995-01-12,0.9604,0.9604,0.9604,0.9604
BRLEUR,1995-01-13,0.9581,0.9581,0.9581,0.9581
BRLEUR,1995-01-16,0.9566,0.9566,0.9566,0.9566
BRLEUR,1995-01-17,0.9574,0.9574,0.9574,0.9574
BRLEUR,1995-01-18,0.9543,0.9543,0.9543,0.9543
BRLEUR,1995-01-19,0.9522,0.9522,0.9522,0.9522
BRLEUR,1995-01-20,0.9551,0.9551,0.9551,0.9551
BRLEUR,1995-01-23,0.9426,0.9426,0.9426,0.9426
BRLEUR,1995-01-24,0.9402,0.9402,0.9402,0.9402
BRLEUR,1995-01-25,0.9383,0.9383,0.9383,0.9383
BRLEUR,1995-01-26,0.9425,0.9425,0.9425,0.9425
BRLEUR,1995-01-27,0.95,0.95,0.95,0.95
BRLEUR,1995-01-30,0.949,0.949,0.949,0.949
BRLEUR,1995-01-31,0.9527,0.9527,0.9527,0.9527
BRLEUR,1995-02-01,0.9501,0.9501,0.9501,0.9501
BRLEUR,1995-02-02,0.9626,0.9626,0.9626,0.9626
BRLEUR,1995-02-03,0.9589,0.9589,0.9589,0.9589
BRLEUR,1995-02-06,0.9635,0.9635,0.9635,0.9635
BRLEUR,1995-02-07,0.9715,0.9715,0.9715,0.9715
BRLEUR,1995-02-08,0.9723,0.9723,0.9723,0.9723
BRLEUR,1995-02-09,0.9747,0.9747,0.9747,0.9747
BRLEUR,1995-02-10,0.9723,0.9723,0.9723,0.9723
BRLEUR,1995-02-13,0.9741,0.9741,0.9741,0.9741
BRLEUR,1995-02-14,0.9651,0.9651,0.9651,0.9651
BRLEUR,1995-02-15,0.9646,0.9646,0.9646,0.9646
BRLEUR,1995-02-16,0.9483,0.9483,0.9483,0.9483
BRLEUR,1995-02-17,0.9348,0.9348,0.9348,0.9348
BRLEUR,1995-02-20,0.939,0.939,0.939,0.939
BRLEUR,1995-02-21,0.9324,0.9324,0.9324,0.9324
BRLEUR,1995-02-22,0.9303,0.9303,0.9303,0.9303
BRLEUR,1995-02-23,0.931,0.931,0.931,0.931
BRLEUR,1995-02-24,0.9231,0.9231,0.9231,0.9231
BRLEUR,1995-02-27,0.9239,0.9239,0.9239,0.9239
BRLEUR,1995-02-28,0.9222,0.9222,0.9222,0.9222
BRLEUR,1995-03-01,0.9244,0.9244,0.9244,0.9244
BRLEUR,1995-03-02,0.9248,0.9248,0.9248,0.9248
BRLEUR,1995-03-03,0.9142,0.9142,0.9142,0.9142
BRLEUR,1995-03-06,0.9006,0.9006,0.9006,0.9006
BRLEUR,1995-03-07,0.8552,0.8552,0.8552,0.8552
BRLEUR,1995-03-08,0.8539,0.8539,0.8539,0.8539
BRLEUR,1995-03-09,0.8473,0.8473,0.8473,0.8473
BRLEUR,1995-03-10,0.8643,0.8643,0.8643,0.8643
BRLEUR,1995-03-13,0.8744,0.8744,0.8744,0.8744
BRLEUR,1995-03-14,0.8741,0.8741,0.8741,0.8741
BRLEUR,1995-03-15,0.8714,0.8714,0.8714,0.8714
BRLEUR,1995-03-16,0.8568,0.8568,0.8568,0.8568
BRLEUR,1995-03-17,0.8449,0.8449,0.8449,0.8449
BRLEUR,1995-03-20,0.8414,0.8414,0.8414,0.8414
BRLEUR,1995-03-21,0.8604,0.8604,0.8604,0.8604
BRLEUR,1995-03-22,0.8482,0.8482,0.8482,0.8482
BRLEUR,1995-03-23,0.8539,0.8539,0.8539,0.8539
BRLEUR,1995-03-24,0.8463,0.8463,0.8463,0.8463
BRLEUR,1995-03-27,0.8461,0.8461,0.8461,0.8461
BRLEUR,1995-03-28,0.8496,0.8496,0.8496,0.8496
BRLEUR,1995-03-29,0.8455,0.8455,0.8455,0.8455
BRLEUR,1995-03-30,0.8392,0.8392,0.8392,0.8392
BRLEUR,1995-03-31,0.8537,0.8537,0.8537,0.8537
BRLEUR,1995-04-03,0.838,0.838,0.838,0.838
BRLEUR,1995-04-04,0.8374,0.8374,0.8374,0.8374
BRLEUR,1995-04-05,0.8433,0.8433,0.8433,0.8433
BRLEUR,1995-04-06,0.8391,0.8391,0.8391,0.8391
BRLEUR,1995-04-07,0.8374,0.8374,0.8374,0.8374
BRLEUR,1995-04-10,0.833,0.833,0.833,0.833
BRLEUR,1995-04-11,0.8426,0.8426,0.8426,0.8426
BRLEUR,1995-04-12,0.8442,0.8442,0.8442,0.8442
BRLEUR,1995-04-13,0.836,0.836,0.836,0.836
BRLEUR,1995-04-14,0.8338,0.8338,0.8338,0.8338
BRLEUR,1995-04-18,0.8334,0.8334,0.8334,0.8334
BRLEUR,1995-04-19,0.8164,0.8164,0.8164,0.8164
BRLEUR,1995-04-20,0.8115,0.8115,0.8115,0.8115
BRLEUR,1995-04-21,0.827,0.827,0.827,0.827
BRLEUR,1995-04-24,0.8269,0.8269,0.8269,0.8269
BRLEUR,1995-04-25,0.8099,0.8099,0.8099,0.8099
BRLEUR,1995-04-26,0.8141,0.8141,0.8141,0.8141
BRLEUR,1995-04-27,0.8217,0.8217,0.8217,0.8217
BRLEUR,1995-04-28,0.8235,0.8235,0.8235,0.8235
BRLEUR,1995-05-04,0.8314,0.8314,0.8314,0.8314
BRLEUR,1995-05-05,0.8315,0.8315,0.8315,0.8315
BRLEUR,1995-05-09,0.831,0.831,0.831,0.831
BRLEUR,1995-05-10,0.8366,0.8366,0.8366,0.8366
BRLEUR,1995-05-11,0.8358,0.8358,0.8358,0.8358
BRLEUR,1995-05-12,0.8545,0.8545,0.8545,0.8545
BRLEUR,1995-05-15,0.8784,0.8784,0.8784,0.8784
BRLEUR,1995-05-16,0.8766,0.8766,0.8766,0.8766
BRLEUR,1995-05-17,0.8715,0.8715,0.8715,0.8715
BRLEUR,1995-05-18,0.8781,0.8781,0.8781,0.8781
BRLEUR,1995-05-19,0.8753,0.8753,0.8753,0.8753
BRLEUR,1995-05-22,0.8829,0.8829,0.8829,0.8829
BRLEUR,1995-05-23,0.8789,0.8789,0.8789,0.8789
BRLEUR,1995-05-24,0.8826,0.8826,0.8826,0.8826
BRLEUR,1995-05-25,0.8666,0.8666,0.8666,0.8666
BRLEUR,1995-05-26,0.8352,0.8352,0.8352,0.8352
BRLEUR,1995-05-29,0.8385,0.8385,0.8385,0.8385
BRLEUR,1995-05-30,0.8306,0.8306,0.8306,0.8306
BRLEUR,1995-05-31,0.8271,0.8271,0.8271,0.8271
BRLEUR,1995-06-01,0.8497,0.8497,0.8497,0.8497
BRLEUR,1995-06-02,0.8438,0.8438,0.8438,0.8438
BRLEUR,1995-06-05,0.8448,0.8448,0.8448,0.8448
BRLEUR,1995-06-06,0.8407,0.8407,0.8407,0.8407
BRLEUR,1995-06-07,0.837,0.837,0.837,0.837
BRLEUR,1995-06-08,0.8394,0.8394,0.8394,0.8394
BRLEUR,1995-06-09,0.827,0.827,0.827,0.827
BRLEUR,1995-06-12,0.8282,0.8282,0.8282,0.8282
BRLEUR,1995-06-13,0.8258,0.8258,0.8258,0.8258
BRLEUR,1995-06-14,0.8379,0.8379,0.8379,0.8379
BRLEUR,1995-06-16,0.8361,0.8361,0.8361,0.8361
BRLEUR,1995-06-19,0.8296,0.8296,0.8296,0.8296
BRLEUR,1995-06-20,0.8239,0.8239,0.8239,0.8239
BRLEUR,1995-06-21,0.8207,0.8207,0.8207,0.8207
BRLEUR,1995-06-22,0.8159,0.8159,0.8159,0.8159
BRLEUR,1995-06-23,0.8212,0.8212,0.8212,0.8212
BRLEUR,1995-06-26,0.8188,0.8188,0.8188,0.8188
BRLEUR,1995-06-27,0.8184,0.8184,0.8184,0.8184
BRLEUR,1995-06-28,0.8212,0.8212,0.8212,0.8212
BRLEUR,1995-06-29,0.8223,0.8223,0.8223,0.8223
BRLEUR,1995-06-30,0.8166,0.8166,0.8166,0.8166
BRLEUR,1995-07-03,0.8159,0.8159,0.8159,0.8159
BRLEUR,1995-07-04,0.8146,0.8146,0.8146,0.8146
BRLEUR,1995-07-05,0.8132,0.8132,0.8132,0.8132
BRLEUR,1995-07-06,0.81,0.81,0.81,0.81
BRLEUR,1995-07-07,0.8117,0.8117,0.8117,0.8117
BRLEUR,1995-07-10,0.8147,0.8147,0.8147,0.8147
BRLEUR,1995-07-11,0.8199,0.8199,0.8199,0.8199
BRLEUR,1995-07-12,0.8191,0.8191,0.8191,0.8191
BRLEUR,1995-07-13,0.8187,0.8187,0.8187,0.8187
BRLEUR,1995-07-14,0.8105,0.8105,0.8105,0.8105
BRLEUR,1995-07-17,0.8107,0.8107,0.8107,0.8107
BRLEUR,1995-07-18,0.8094,0.8094,0.8094,0.8094
BRLEUR,1995-07-19,0.8066,0.8066,0.8066,0.8066
BRLEUR,1995-07-20,0.804,0.804,0.804,0.804
BRLEUR,1995-07-21,0.8024,0.8024,0.8024,0.8024
BRLEUR,1995-07-24,0.8005,0.8005,0.8005,0.8005
BRLEUR,1995-07-25,0.799,0.799,0.799,0.799
BRLEUR,1995-07-26,0.8004,0.8004,0.8004,0.8004
BRLEUR,1995-07-27,0.7972,0.7972,0.7972,0.7972
BRLEUR,1995-07-28,0.7969,0.7969,0.7969,0.7969
BRLEUR,1995-07-31,0.7934,0.7934,0.7934,0.7934
BRLEUR,1995-08-01,0.7972,0.7972,0.7972,0.7972
BRLEUR,1995-08-02,0.7989,0.7989,0.7989,0.7989
BRLEUR,1995-08-03,0.8003,0.8003,0.8003,0.8003
BRLEUR,1995-08-04,0.8021,0.8021,0.8021,0.8021
BRLEUR,1995-08-07,0.8035,0.8035,0.8035,0.8035
BRLEUR,1995-08-08,0.8094,0.8094,0.8094,0.8094
BRLEUR,1995-08-09,0.8081,0.8081,0.8081,0.8081
BRLEUR,1995-08-10,0.8093,0.8093,0.8093,0.8093
BRLEUR,1995-08-11,0.8173,0.8173,0.8173,0.8173
BRLEUR,1995-08-16,0.8338,0.8338,0.8338,0.8338
BRLEUR,1995-08-17,0.8401,0.8401,0.8401,0.8401
BRLEUR,1995-08-18,0.8344,0.8344,0.8344,0.8344
BRLEUR,1995-08-21,0.8345,0.8345,0.8345,0.8345
BRLEUR,1995-08-22,0.8407,0.8407,0.8407,0.8407
BRLEUR,1995-08-23,0.8341,0.8341,0.8341,0.8341
BRLEUR,1995-08-24,0.8352,0.8352,0.8352,0.8352
BRLEUR,1995-08-25,0.8289,0.8289,0.8289,0.8289
