ticker,date,open,high,low,close
BRLJPY,1995-01-03,118.55,118.55,118.55,118.55
BRLJPY,1995-01-04,118.59,118.59,118.59,118.59
BRLJPY,1995-01-05,120.13,120.13,120.13,120.13
BRLJPY,1995-01-06,120.21,120.21,120.21,120.21
BRLJPY,1995-01-09,119.71,119.71,119.71,119.71
BRLJPY,1995-01-10,119.06,119.06,119.06,119.06
BRLJPY,1995-01-11,117.94,117.94,117.94,117.94
BRLJPY,1995-01-12,118.23,118.23,118.23,118.23
BRLJPY,1995-01-13,117.77,117.77,117.77,117.77
BRLJPY,1995-01-16,116.38,116.38,116.38,116.38
BRLJPY,1995-01-17,116.6,116.6,116.6,116.6
BRLJPY,1995-01-18,116.67,116.67,116.67,116.67
BRLJPY,1995-01-19,116.93,116.93,116.93,116.93
BRLJPY,1995-01-20,117.66,117.66,117.66,117.66
BRLJPY,1995-01-23,116.86,116.86,116.86,116.86
BRLJPY,1995-01-24,117.69,117.69,117.69,117.69
BRLJPY,1995-01-25,116.7,116.7,116.7,116.7
BRLJPY,1995-01-26,117.63,117.63,117.63,117.63
BRLJPY,1995-01-27,117.86,117.86,117.86,117.86
BRLJPY,1995-01-30,117.49,117.49,117.49,117.49
BRLJPY,1995-01-31,117.63,117.63,117.63,117.63
BRLJPY,1995-02-01,117.27,117.27,117.27,117.27
BRLJPY,1995-02-02,118.6,118.6,118.6,118.6
BRLJPY,1995-02-03,118.94,118.94,118.94,118.94
BRLJPY,1995-02-06,118.97,118.97,118.97,118.97
BRLJPY,1995-02-07,118.92,118.92,118.92,118.92
BRLJPY,1995-02-08,118.88,118.88,118.88,118.88
BRLJPY,1995-02-09,119.01,119.01,119.01,119.01
BRLJPY,1995-02-10,118.63,118.63,118.63,118.63
BRLJPY,1995-02-13,119.3,119.3,119.3,119.3
BRLJPY,1995-02-14,118.35,118.35,118.35,118.35
BRLJPY,1995-02-15,118.29,118.29,118.29,118.29
BRLJPY,1995-02-16,116.61,116.61,116.61,116.61
BRLJPY,1995-02-17,115.23,115.23,115.23,115.23
BRLJPY,1995-02-20,115.76,115.76,115.76,115.76
BRLJPY,1995-02-21,115.41,115.41,115.41,115.41
BRLJPY,1995-02-22,114.62,114.62,114.62,114.62
BRLJPY,1995-02-23,114.69,114.69,114.69,114.69
BRLJPY,1995-02-24,113.65,113.65,113.65,113.65
BRLJPY,1995-02-27,113.85,113.85,113.85,113.85
BRLJPY,1995-02-28,113.62,113.62,113.62,113.62
BRLJPY,1995-03-01,113.6,113.6,113.6,113.6
BRLJPY,1995-03-02,113.52,113.52,113.52,113.52
BRLJPY,1995-03-03,112.28,112.28,112.28,112.28
BRLJPY,1995-03-06,109.53,109.53,109.53,109.53
BRLJPY,1995-03-07,104.89,104.89,104.89,104.89
BRLJPY,1995-03-08,103.39,103.39,103.39,103.39
BRLJPY,1995-03-09,101.23,101.23,101.23,101.23
BRLJPY,1995-03-10,103.38,103.38,103.38,103.38
BRLJPY,1995-03-13,103.9,103.9,103.9,103.9
BRLJPY,1995-03-14,102.47,102.47,102.47,102.47
BRLJPY,1995-03-15,103.01,103.01,103.01,103.01
BRLJPY,1995-03-16,100.5,100.5,100.5,100.5
BRLJPY,1995-03-17,100.47,100.47,100.47,100.47
BRLJPY,1995-03-20,98.254,98.254,98.254,98.254
BRLJPY,1995-03-21,99.68,99.68,99.68,99.68
BRLJPY,1995-03-22,98.04,98.04,98.04,98.04
BRLJPY,1995-03-23,98.066,98.066,98.066,98.066
BRLJPY,1995-03-24,97.062,97.062,97.062,97.062
BRLJPY,1995-03-27,97.179,97.179,97.179,97.179
BRLJPY,1995-03-28,98.287,98.287,98.287,98.287
BRLJPY,1995-03-29,98.492,98.492,98.492,98.492
BRLJPY,1995-03-30,97.86,97.86,97.86,97.86
BRLJPY,1995-03-31,99.23,99.23,99.23,99.23
BRLJPY,1995-04-03,96.465,96.465,96.465,96.465
BRLJPY,1995-04-04,96.291,96.291,96.291,96.291
BRLJPY,1995-04-05,96.134,96.134,96.134,96.134
BRLJPY,1995-04-06,95.973,95.973,95.973,95.973
BRLJPY,1995-04-07,95.415,95.415,95.415,95.415
BRLJPY,1995-04-10,93.421,93.421,93.421,93.421
BRLJPY,1995-04-11,91.959,91.959,91.959,91.959
BRLJPY,1995-04-12,92.923,92.923,92.923,92.923
BRLJPY,1995-04-13,92.613,92.613,92.613,92.613
BRLJPY,1995-04-14,92.007,92.007,92.007,92.007
BRLJPY,1995-04-18,92.276,92.276,92.276,92.276
