ticker,date,open,high,low,close
BRLKRW,1995-01-03,937.05,937.05,937.05,937.05
BRLKRW,1995-01-04,936.55,936.55,936.55,936.55
BRLKRW,1995-01-05,939.8,939.8,939.8,939.8
BRLKRW,1995-01-06,943.3,943.3,943.3,943.3
BRLKRW,1995-01-09,939.92,939.92,939.92,939.92
BRLKRW,1995-01-10,937.67,937.67,937.67,937.67
BRLKRW,1995-01-11,933.37,933.37,933.37,933.37
BRLKRW,1995-01-12,938.48,938.48,938.48,938.48
BRLKRW,1995-01-13,935.96,935.96,935.96,935.96
BRLKRW,1995-01-16,937.84,937.84,937.84,937.84
BRLKRW,1995-01-17,940.46,940.46,940.46,940.46
BRLKRW,1995-01-18,939.7,939.7,939.7,939.7
BRLKRW,1995-01-19,937.6,937.6,937.6,937.6
BRLKRW,1995-01-20,937.89,937.89,937.89,937.89
BRLKRW,1995-01-23,935.93,935.93,935.93,935.93
BRLKRW,1995-01-24,934.41,934.41,934.41,934.41
BRLKRW,1995-01-25,931.95,931.95,931.95,931.95
BRLKRW,1995-01-26,935.52,935.52,935.52,935.52
BRLKRW,1995-01-27,933.99,933.99,933.99,933.99
BRLKRW,1995-01-30,933.49,933.49,933.49,933.49
BRLKRW,1995-01-31,938.72,938.72,938.72,938.72
BRLKRW,1995-02-01,937.72,937.72,937.72,937.72
BRLKRW,1995-02-02,941.29,941.29,941.29,941.29
BRLKRW,1995-02-03,943.78,943.78,943.78,943.78
BRLKRW,1995-02-06,950.37,950.37,950.37,950.37
BRLKRW,1995-02-07,950.98,950.98,950.98,950.98
BRLKRW,1995-02-08,949.56,949.56,949.56,949.56
BRLKRW,1995-02-09,952.18,952.18,952.18,952.18
BRLKRW,1995-02-10,951.77,951.77,951.77,951.77
BRLKRW,1995-02-13,957.26,957.26,957.26,957.26
BRLKRW,1995-02-14,954.75,954.75,954.75,954.75
BRLKRW,1995-02-15,949.63,949.63,949.63,949.63
BRLKRW,1995-02-16,941.1,941.1,941.1,941.1
BRLKRW,1995-02-17,938.37,938.37,938.37,938.37
BRLKRW,1995-02-20,950.3,950.3,950.3,950.3
BRLKRW,1995-02-21,945.18,945.18,945.18,945.18
BRLKRW,1995-02-22,933.54,933.54,933.54,933.54
BRLKRW,1995-02-23,934.56,934.56,934.56,934.56
BRLKRW,1995-02-24,927.5,927.5,927.5,927.5
BRLKRW,1995-02-27,928.49,928.49,928.49,928.49
BRLKRW,1995-02-28,927.12,927.12,927.12,927.12
BRLKRW,1995-03-01,926.12,926.12,926.12,926.12
