ticker,date,open,high,low,close
BRLNZD,1995-01-03,1.8491,1.8491,1.8491,1.8491
BRLNZD,1995-01-04,1.8535,1.8535,1.8535,1.8535
BRLNZD,1995-01-05,1.8607,1.8607,1.8607,1.8607
BRLNZD,1995-01-06,1.8689,1.8689,1.8689,1.8689
BRLNZD,1995-01-09,1.8615,1.8615,1.8615,1.8615
BRLNZD,1995-01-10,1.8433,1.8433,1.8433,1.8433
BRLNZD,1995-01-11,1.8321,1.8321,1.8321,1.8321
BRLNZD,1995-01-12,1.8457,1.8457,1.8457,1.8457
BRLNZD,1995-01-13,1.8494,1.8494,1.8494,1.8494
BRLNZD,1995-01-16,1.8505,1.8505,1.8505,1.8505
BRLNZD,1995-01-17,1.8483,1.8483,1.8483,1.8483
BRLNZD,1995-01-18,1.8483,1.8483,1.8483,1.8483
BRLNZD,1995-01-19,1.8368,1.8368,1.8368,1.8368
BRLNZD,1995-01-20,1.8374,1.8374,1.8374,1.8374
BRLNZD,1995-01-23,1.8274,1.8274,1.8274,1.8274
BRLNZD,1995-01-24,1.8205,1.8205,1.8205,1.8205
BRLNZD,1995-01-25,1.8233,1.8233,1.8233,1.8233
BRLNZD,1995-01-26,1.8425,1.8425,1.8425,1.8425
BRLNZD,1995-01-27,1.8493,1.8493,1.8493,1.8493
BRLNZD,1995-01-30,1.8489,1.8489,1.8489,1.8489
BRLNZD,1995-01-31,1.8603,1.8603,1.8603,1.8603
BRLNZD,1995-02-01,1.8577,1.8577,1.8577,1.8577
BRLNZD,1995-02-02,1.8603,1.8603,1.8603,1.8603
BRLNZD,1995-02-03,1.8702,1.8702,1.8702,1.8702
BRLNZD,1995-02-06,1.893,1.893,1.893,1.893
BRLNZD,1995-02-07,1.8951,1.8951,1.8951,1.8951
BRLNZD,1995-02-08,1.898,1.898,1.898,1.898
BRLNZD,1995-02-09,1.8971,1.8971,1.8971,1.8971
BRLNZD,1995-02-10,1.8901,1.8901,1.8901,1.8901
BRLNZD,1995-02-13,1.8964,1.8964,1.8964,1.8964
BRLNZD,1995-02-14,1.8931,1.8931,1.8931,1.8931
BRLNZD,1995-02-15,1.8705,1.8705,1.8705,1.8705
BRLNZD,1995-02-16,1.8671,1.8671,1.8671,1.8671
BRLNZD,1995-02-17,1.838,1.838,1.838,1.838
