ticker,date,open,high,low,close
BRLPLN,1995-01-03,2.8833,2.8833,2.8833,2.8833
BRLPLN,1995-01-04,2.8876,2.8876,2.8876,2.8876
BRLPLN,1995-01-05,2.8983,2.8983,2.8983,2.8983
BRLPLN,1995-01-06,2.9063,2.9063,2.9063,2.9063
BRLPLN,1995-01-09,2.8892,2.8892,2.8892,2.8892
BRLPLN,1995-01-10,2.8887,2.8887,2.8887,2.8887
BRLPLN,1995-01-11,2.8572,2.8572,2.8572,2.8572
BRLPLN,1995-01-12,2.8777,2.8777,2.8777,2.8777
BRLPLN,1995-01-13,2.8751,2.8751,2.8751,2.8751
BRLPLN,1995-01-16,2.8707,2.8707,2.8707,2.8707
BRLPLN,1995-01-17,2.8798,2.8798,2.8798,2.8798
BRLPLN,1995-01-18,2.8762,2.8762,2.8762,2.8762
BRLPLN,1995-01-19,2.8665,2.8665,2.8665,2.8665
BRLPLN,1995-01-20,2.8782,2.8782,2.8782,2.8782
BRLPLN,1995-01-23,2.8514,2.8514,2.8514,2.8514
BRLPLN,1995-01-24,2.8496,2.8496,2.8496,2.8496
BRLPLN,1995-01-25,2.8457,2.8457,2.8457,2.8457
BRLPLN,1995-01-26,2.8652,2.8652,2.8652,2.8652
BRLPLN,1995-01-27,2.8807,2.8807,2.8807,2.8807
BRLPLN,1995-01-30,2.8738,2.8738,2.8738,2.8738
BRLPLN,1995-01-31,2.8924,2.8924,2.8924,2.8924
BRLPLN,1995-02-01,2.8853,2.8853,2.8853,2.8853
BRLPLN,1995-02-02,2.9144,2.9144,2.9144,2.9144
BRLPLN,1995-02-03,2.912,2.912,2.912,2.912
BRLPLN,1995-02-06,2.9243,2.9243,2.9243,2.9243
BRLPLN,1995-02-07,2.9382,2.9382,2.9382,2.9382
BRLPLN,1995-02-08,2.9484,2.9484,2.9484,2.9484
BRLPLN,1995-02-09,2.9583,2.9583,2.9583,2.9583
BRLPLN,1995-02-10,2.9537,2.9537,2.9537,2.9537
BRLPLN,1995-02-13,2.9597,2.9597,2.9597,2.9597
BRLPLN,1995-02-14,2.9433,2.9433,2.9433,2.9433
BRLPLN,1995-02-15,2.9427,2.9427,2.9427,2.9427
BRLPLN,1995-02-16,2.9032,2.9032,2.9032,2.9032
BRLPLN,1995-02-17,2.8733,2.8733,2.8733,2.8733
BRLPLN,1995-02-20,2.8921,2.8921,2.8921,2.8921
BRLPLN,1995-02-21,2.8801,2.8801,2.8801,2.8801
BRLPLN,1995-02-22,2.8625,2.8625,2.8625,2.8625
BRLPLN,1995-02-23,2.8687,2.8687,2.8687,2.8687
BRLPLN,1995-02-24,2.8482,2.8482,2.8482,2.8482
BRLPLN,1995-02-27,2.8516,2.8516,2.8516,2.8516
BRLPLN,1995-02-28,2.843,2.843,2.843,2.843
BRLPLN,1995-03-01,2.8462,2.8462,2.8462,2.8462
BRLPLN,1995-03-02,2.8514,2.8514,2.8514,2.8514
BRLPLN,1995-03-03,2.8246,2.8246,2.8246,2.8246
BRLPLN,1995-03-06,2.7904,2.7904,2.7904,2.7904
BRLPLN,1995-03-07,2.6713,2.6713,2.6713,2.6713
BRLPLN,1995-03-08,2.6685,2.6685,2.6685,2.6685
BRLPLN,1995-03-09,2.6458,2.6458,2.6458,2.6458
BRLPLN,1995-03-10,2.6932,2.6932,2.6932,2.6932
BRLPLN,1995-03-13,2.7163,2.7163,2.7163,2.7163
BRLPLN,1995-03-14,2.7124,2.7124,2.7124,2.7124
BRLPLN,1995-03-15,2.7042,2.7042,2.7042,2.7042
BRLPLN,1995-03-16,2.6636,2.6636,2.6636,2.6636
BRLPLN,1995-03-17,2.6512,2.6512,2.6512,2.6512
BRLPLN,1995-03-20,2.6094,2.6094,2.6094,2.6094
BRLPLN,1995-03-21,2.663,2.663,2.663,2.663
