ticker,date,open,high,low,close
BRLSEK,1995-01-03,8.8581,8.8581,8.8581,8.8581
BRLSEK,1995-01-04,8.8386,8.8386,8.8386,8.8386
BRLSEK,1995-01-05,8.8499,8.8499,8.8499,8.8499
BRLSEK,1995-01-06,8.8634,8.8634,8.8634,8.8634
BRLSEK,1995-01-09,8.8872,8.8872,8.8872,8.8872
BRLSEK,1995-01-10,8.88,8.88,8.88,8.88
BRLSEK,1995-01-11,8.8023,8.8023,8.8023,8.8023
BRLSEK,1995-01-12,8.8601,8.8601,8.8601,8.8601
BRLSEK,1995-01-13,8.8573,8.8573,8.8573,8.8573
BRLSEK,1995-01-16,8.8248,8.8248,8.8248,8.8248
BRLSEK,1995-01-17,8.831,8.831,8.831,8.831
BRLSEK,1995-01-18,8.7985,8.7985,8.7985,8.7985
BRLSEK,1995-01-19,8.7607,8.7607,8.7607,8.7607
BRLSEK,1995-01-20,8.8369,8.8369,8.8369,8.8369
BRLSEK,1995-01-23,8.7601,8.7601,8.7601,8.7601
BRLSEK,1995-01-24,8.7599,8.7599,8.7599,8.7599
BRLSEK,1995-01-25,8.7292,8.7292,8.7292,8.7292
BRLSEK,1995-01-26,8.816,8.816,8.816,8.816
BRLSEK,1995-01-27,8.8719,8.8719,8.8719,8.8719
BRLSEK,1995-01-30,8.8179,8.8179,8.8179,8.8179
BRLSEK,1995-01-31,8.8452,8.8452,8.8452,8.8452
BRLSEK,1995-02-01,8.8343,8.8343,8.8343,8.8343
BRLSEK,1995-02-02,8.8936,8.8936,8.8936,8.8936
BRLSEK,1995-02-03,8.8701,8.8701,8.8701,8.8701
BRLSEK,1995-02-06,8.9291,8.9291,8.9291,8.9291
BRLSEK,1995-02-07,8.9415,8.9415,8.9415,8.9415
BRLSEK,1995-02-08,8.9264,8.9264,8.9264,8.9264
BRLSEK,1995-02-09,8.9756,8.9756,8.9756,8.9756
BRLSEK,1995-02-10,8.9425,8.9425,8.9425,8.9425
BRLSEK,1995-02-13,8.9283,8.9283,8.9283,8.9283
BRLSEK,1995-02-14,8.8841,8.8841,8.8841,8.8841
