ticker,date,open,high,low,close
BRLSGD,1995-01-03,1.716,1.716,1.716,1.716
BRLSGD,1995-01-04,1.7155,1.7155,1.7155,1.7155
BRLSGD,1995-01-05,1.7196,1.7196,1.7196,1.7196
BRLSGD,1995-01-06,1.7255,1.7255,1.7255,1.7255
BRLSGD,1995-01-09,1.7178,1.7178,1.7178,1.7178
BRLSGD,1995-01-10,1.7122,1.7122,1.7122,1.7122
BRLSGD,1995-01-11,1.704,1.704,1.704,1.704
BRLSGD,1995-01-12,1.7391,1.7391,1.7391,1.7391
BRLSGD,1995-01-13,1.723,1.723,1.723,1.723
BRLSGD,1995-01-16,1.723,1.723,1.723,1.723
BRLSGD,1995-01-17,1.7135,1.7135,1.7135,1.7135
BRLSGD,1995-01-18,1.7137,1.7137,1.7137,1.7137
BRLSGD,1995-01-19,1.7089,1.7089,1.7089,1.7089
BRLSGD,1995-01-20,1.7096,1.7096,1.7096,1.7096
BRLSGD,1995-01-23,1.7058,1.7058,1.7058,1.7058
BRLSGD,1995-01-24,1.7034,1.7034,1.7034,1.7034
BRLSGD,1995-01-25,1.7036,1.7036,1.7036,1.7036
BRLSGD,1995-01-26,1.716,1.716,1.716,1.716
BRLSGD,1995-01-27,1.7178,1.7178,1.7178,1.7178
BRLSGD,1995-01-30,1.7136,1.7136,1.7136,1.7136
BRLSGD,1995-01-31,1.7236,1.7236,1.7236,1.7236
BRLSGD,1995-02-01,1.7216,1.7216,1.7216,1.7216
BRLSGD,1995-02-02,1.728,1.728,1.728,1.728
BRLSGD,1995-02-03,1.7398,1.7398,1.7398,1.7398
BRLSGD,1995-02-06,1.7461,1.7461,1.7461,1.7461
BRLSGD,1995-02-07,1.7461,1.7461,1.7461,1.7461
BRLSGD,1995-02-08,1.7483,1.7483,1.7483,1.7483
BRLSGD,1995-02-09,1.7402,1.7402,1.7402,1.7402
BRLSGD,1995-02-10,1.7383,1.7383,1.7383,1.7383
BRLSGD,1995-02-13,1.7423,1.7423,1.7423,1.7423
BRLSGD,1995-02-14,1.7385,1.7385,1.7385,1.7385
BRLSGD,1995-02-15,1.7459,1.7459,1.7459,1.7459
BRLSGD,1995-02-16,1.7178,1.7178,1.7178,1.7178
BRLSGD,1995-02-17,1.7062,1.7062,1.7062,1.7062
BRLSGD,1995-02-20,1.7245,1.7245,1.7245,1.7245
BRLSGD,1995-02-21,1.722,1.722,1.722,1.722
BRLSGD,1995-02-22,1.7096,1.7096,1.7096,1.7096
BRLSGD,1995-02-23,1.7113,1.7113,1.7113,1.7113
