ticker,date,open,high,low,close
BRLZAR,1995-01-03,4.2023,4.2023,4.2023,4.2023
BRLZAR,1995-01-04,4.2095,4.2095,4.2095,4.2095
BRLZAR,1995-01-05,4.2183,4.2183,4.2183,4.2183
BRLZAR,1995-01-06,4.2357,4.2357,4.2357,4.2357
BRLZAR,1995-01-09,4.2009,4.2009,4.2009,4.2009
BRLZAR,1995-01-10,4.1795,4.1795,4.1795,4.1795
BRLZAR,1995-01-11,4.1469,4.1469,4.1469,4.1469
BRLZAR,1995-01-12,4.1728,4.1728,4.1728,4.1728
BRLZAR,1995-01-13,4.1635,4.1635,4.1635,4.1635
BRLZAR,1995-01-16,4.1635,4.1635,4.1635,4.1635
BRLZAR,1995-01-17,4.185,4.185,4.185,4.185
BRLZAR,1995-01-18,4.1797,4.1797,4.1797,4.1797
BRLZAR,1995-01-19,4.178,4.178,4.178,4.178
BRLZAR,1995-01-20,4.1698,4.1698,4.1698,4.1698
BRLZAR,1995-01-23,4.1565,4.1565,4.1565,4.1565
BRLZAR,1995-01-24,4.1528,4.1528,4.1528,4.1528
BRLZAR,1995-01-25,4.1563,4.1563,4.1563,4.1563
BRLZAR,1995-01-26,4.1882,4.1882,4.1882,4.1882
BRLZAR,1995-01-27,4.1967,4.1967,4.1967,4.1967
BRLZAR,1995-01-30,4.1767,4.1767,4.1767,4.1767
BRLZAR,1995-01-31,4.214,4.214,4.214,4.214
BRLZAR,1995-02-01,4.2114,4.2114,4.2114,4.2114
BRLZAR,1995-02-02,4.2277,4.2277,4.2277,4.2277
BRLZAR,1995-02-03,4.23,4.23,4.23,4.23
BRLZAR,1995-02-06,4.2458,4.2458,4.2458,4.2458
BRLZAR,1995-02-07,4.2476,4.2476,4.2476,4.2476
BRLZAR,1995-02-08,4.2563,4.2563,4.2563,4.2563
BRLZAR,1995-02-09,4.2641,4.2641,4.2641,4.2641
BRLZAR,1995-02-10,4.2566,4.2566,4.2566,4.2566
BRLZAR,1995-02-13,4.2602,4.2602,4.2602,4.2602
BRLZAR,1995-02-14,4.2506,4.2506,4.2506,4.2506
BRLZAR,1995-02-15,4.244,4.244,4.244,4.244
BRLZAR,1995-02-16,4.1979,4.1979,4.1979,4.1979
BRLZAR,1995-02-17,4.1682,4.1682,4.1682,4.1682
BRLZAR,1995-02-20,4.2128,4.2128,4.2128,4.2128
BRLZAR,1995-02-21,4.2304,4.2304,4.2304,4.2304
BRLZAR,1995-02-22,4.2364,4.2364,4.2364,4.2364
BRLZAR,1995-02-23,4.2592,4.2592,4.2592,4.2592
BRLZAR,1995-02-24,4.235,4.235,4.235,4.235
BRLZAR,1995-02-27,4.2303,4.2303,4.2303,4.2303
BRLZAR,1995-02-28,4.2297,4.2297,4.2297,4.2297
BRLZAR,1995-03-01,4.2242,4.2242,4.2242,4.2242
BRLZAR,1995-03-02,4.2224,4.2224,4.2224,4.2224
BRLZAR,1995-03-03,4.1536,4.1536,4.1536,4.1536
BRLZAR,1995-03-06,4.1005,4.1005,4.1005,4.1005
BRLZAR,1995-03-07,4.0248,4.0248,4.0248,4.0248
BRLZAR,1995-03-08,4.027,4.027,4.027,4.027
BRLZAR,1995-03-09,4.0517,4.0517,4.0517,4.0517
BRLZAR,1995-03-10,4.195,4.195,4.195,4.195
BRLZAR,1995-03-13,4.1044,4.1044,4.1044,4.1044
BRLZAR,1995-03-14,4.1203,4.1203,4.1203,4.1203
BRLZAR,1995-03-15,4.0418,4.0418,4.0418,4.0418
BRLZAR,1995-03-16,3.9778,3.9778,3.9778,3.9778
BRLZAR,1995-03-17,4.0134,4.0134,4.0134,4.0134
BRLZAR,1995-03-20,3.9737,3.9737,3.9737,3.9737
BRLZAR,1995-03-21,4.0451,4.0451,4.0451,4.0451
BRLZAR,1995-03-22,3.9851,3.9851,3.9851,3.9851
BRLZAR,1995-03-23,3.9675,3.9675,3.9675,3.9675
BRLZAR,1995-03-24,3.9747,3.9747,3.9747,3.9747
BRLZAR,1995-03-27,3.9604,3.9604,3.9604,3.9604
BRLZAR,1995-03-28,3.9506,3.9506,3.9506,3.9506
BRLZAR,1995-03-29,3.9614,3.9614,3.9614,3.9614
BRLZAR,1995-03-30,3.9945,3.9945,3.9945,3.9945
BRLZAR,1995-03-31,3.9789,3.9789,3.9789,3.9789
BRLZAR,1995-04-03,3.969,3.969,3.969,3.969
BRLZAR,1995-04-04,3.995,3.995,3.995,3.995
BRLZAR,1995-04-05,4.0039,4.0039,4.0039,4.0039
BRLZAR,1995-04-06,4.0112,4.0112,4.0112,4.0112
BRLZAR,1995-04-07,3.9955,3.9955,3.9955,3.9955
BRLZAR,1995-04-10,4.005,4.005,4.005,4.005
BRLZAR,1995-04-11,3.9989,3.9989,3.9989,3.9989
BRLZAR,1995-04-12,3.978,3.978,3.978,3.978
BRLZAR,1995-04-13,3.9692,3.9692,3.9692,3.9692
BRLZAR,1995-04-14,3.9692,3.9692,3.9692,3.9692
BRLZAR,1995-04-18,3.968,3.968,3.968,3.968
BRLZAR,1995-04-19,3.9321,3.9321,3.9321,3.9321
BRLZAR,1995-04-20,3.9248,3.9248,3.9248,3.9248
BRLZAR,1995-04-21,3.9763,3.9763,3.9763,3.9763
BRLZAR,1995-04-24,3.9551,3.9551,3.9551,3.9551
BRLZAR,1995-04-25,3.9223,3.9223,3.9223,3.9223
BRLZAR,1995-04-26,3.9476,3.9476,3.9476,3.9476
BRLZAR,1995-04-27,3.9433,3.9433,3.9433,3.9433
BRLZAR,1995-04-28,3.9666,3.9666,3.9666,3.9666
