ticker,date,open,high,low,close
CADAUD,1984-01-02,0.8958,0.8958,0.8958,0.8958
CADAUD,1984-01-09,0.8923,0.8923,0.8923,0.8923
CADAUD,1984-01-16,0.8789,0.8789,0.8789,0.8789
CADAUD,1984-01-23,0.8889,0.8889,0.8889,0.8889
CADAUD,1984-01-30,0.8853,0.8853,0.8853,0.8853
CADAUD,1984-02-06,0.8725,0.8725,0.8725,0.8725
CADAUD,1984-02-13,0.8711,0.8711,0.8711,0.8711
CADAUD,1984-02-20,0.8577,0.8577,0.8577,0.8577
CADAUD,1984-03-01,0.851,0.851,0.851,0.851
CADAUD,1984-03-05,0.8466,0.8466,0.8466,0.8466
CADAUD,1984-03-12,0.8346,0.8346,0.8346,0.8346
CADAUD,1984-03-19,0.8179,0.8179,0.8179,0.8179
CADAUD,1984-03-26,0.8184,0.8184,0.8184,0.8184
CADAUD,1984-04-02,0.8249,0.8249,0.8249,0.8249
CADAUD,1984-04-09,0.8325,0.8325,0.8325,0.8325
CADAUD,1984-04-16,0.8522,0.8522,0.8522,0.8522
CADAUD,1984-04-24,0.8479,0.8479,0.8479,0.8479
CADAUD,1984-05-02,0.8504,0.8504,0.8504,0.8504
CADAUD,1984-05-07,0.8339,0.8339,0.8339,0.8339
CADAUD,1984-05-14,0.8435,0.8435,0.8435,0.8435
CADAUD,1984-05-21,0.8594,0.8594,0.8594,0.8594
CADAUD,1984-05-28,0.8567,0.8567,0.8567,0.8567
CADAUD,1984-06-04,0.8599,0.8599,0.8599,0.8599
CADAUD,1984-06-11,0.8563,0.8563,0.8563,0.8563
CADAUD,1984-06-18,0.8583,0.8583,0.8583,0.8583
CADAUD,1984-06-25,0.8694,0.8694,0.8694,0.8694
CADAUD,1984-07-02,0.8788,0.8788,0.8788,0.8788
CADAUD,1984-07-09,0.8846,0.8846,0.8846,0.8846
CADAUD,1984-07-16,0.9066,0.9066,0.9066,0.9066
CADAUD,1984-07-23,0.9016,0.9016,0.9016,0.9016
CADAUD,1984-07-30,0.9203,0.9203,0.9203,0.9203
CADAUD,1984-08-06,0.9178,0.9178,0.9178,0.9178
CADAUD,1984-08-13,0.9096,0.9096,0.9096,0.9096
CADAUD,1984-08-20,0.9126,0.9126,0.9126,0.9126
CADAUD,1984-08-27,0.8994,0.8994,0.8994,0.8994
CADAUD,1984-09-01,0.9009,0.9009,0.9009,0.9009
CADAUD,1984-09-10,0.9181,0.9181,0.9181,0.9181
CADAUD,1984-09-17,0.9124,0.9124,0.9124,0.9124
CADAUD,1984-09-24,0.9155,0.9155,0.9155,0.9155
CADAUD,1984-10-01,0.9158,0.9158,0.9158,0.9158
CADAUD,1984-10-08,0.9137,0.9137,0.9137,0.9137
CADAUD,1984-10-15,0.9097,0.9097,0.9097,0.9097
CADAUD,1984-10-22,0.9097,0.9097,0.9097,0.9097
CADAUD,1984-10-29,0.9074,0.9074,0.9074,0.9074
CADAUD,1984-11-05,0.8968,0.8968,0.8968,0.8968
CADAUD,1984-11-12,0.8861,0.8861,0.8861,0.8861
CADAUD,1984-11-19,0.8809,0.8809,0.8809,0.8809
CADAUD,1984-11-26,0.8851,0.8851,0.8851,0.8851
CADAUD,1984-12-01,0.8875,0.8875,0.8875,0.8875
CADAUD,1984-12-10,0.8841,0.8841,0.8841,0.8841
CADAUD,1984-12-17,0.8979,0.8979,0.8979,0.8979
CADAUD,1984-12-24,0.9071,0.9071,0.9071,0.9071
CADAUD,1985-01-01,0.9107,0.9107,0.9107,0.9107
CADAUD,1985-01-07,0.9235,0.9235,0.9235,0.9235
CADAUD,1985-01-14,0.9306,0.9306,0.9306,0.9306
CADAUD,1985-01-21,0.927,0.927,0.927,0.927
CADAUD,1985-01-28,0.9297,0.9297,0.9297,0.9297
CADAUD,1985-02-04,0.9239,0.9239,0.9239,0.9239
CADAUD,1985-02-11,0.9608,0.9608,0.9608,0.9608
CADAUD,1985-02-18,0.9931,0.9931,0.9931,0.9931
CADAUD,1985-02-25,1.0598,1.0598,1.0598,1.0598
CADAUD,1985-03-04,1.005,1.005,1.005,1.005
CADAUD,1985-03-11,1.0482,1.0482,1.0482,1.0482
CADAUD,1985-03-18,1.0318,1.0318,1.0318,1.0318
CADAUD,1985-03-25,1.046,1.046,1.046,1.046
CADAUD,1985-03-29,1.0528,1.0528,1.0528,1.0528
CADAUD,1985-04-01,1.034,1.034,1.034,1.034
CADAUD,1985-04-09,1.1102,1.1102,1.1102,1.1102
CADAUD,1985-04-15,1.0947,1.0947,1.0947,1.0947
CADAUD,1985-04-22,1.0931,1.0931,1.0931,1.0931
CADAUD,1985-04-29,1.1331,1.1331,1.1331,1.1331
CADAUD,1985-05-06,1.1219,1.1219,1.1219,1.1219
CADAUD,1985-05-13,1.0827,1.0827,1.0827,1.0827
CADAUD,1985-05-20,1.0482,1.0482,1.0482,1.0482
CADAUD,1985-05-27,1.0501,1.0501,1.0501,1.0501
CADAUD,1985-06-01,1.0659,1.0659,1.0659,1.0659
CADAUD,1985-06-10,1.0989,1.0989,1.0989,1.0989
CADAUD,1985-06-17,1.0971,1.0971,1.0971,1.0971
CADAUD,1985-06-24,1.0984,1.0984,1.0984,1.0984
CADAUD,1985-07-01,1.1021,1.1021,1.1021,1.1021
CADAUD,1985-07-08,1.1052,1.1052,1.1052,1.1052
CADAUD,1985-07-15,1.086,1.086,1.086,1.086
CADAUD,1985-07-23,1.0438,1.0438,1.0438,1.0438
CADAUD,1985-07-29,1.0356,1.0356,1.0356,1.0356
CADAUD,1985-08-05,1.0298,1.0298,1.0298,1.0298
CADAUD,1985-08-12,1.0323,1.0323,1.0323,1.0323
CADAUD,1985-08-19,1.0336,1.0336,1.0336,1.0336
CADAUD,1985-08-26,1.042,1.042,1.042,1.042
CADAUD,1985-09-02,1.0493,1.0493,1.0493,1.0493
CADAUD,1985-09-09,1.0582,1.0582,1.0582,1.0582
CADAUD,1985-09-16,1.0846,1.0846,1.0846,1.0846
CADAUD,1985-09-23,1.0624,1.0624,1.0624,1.0624
CADAUD,1985-09-30,1.0366,1.0366,1.0366,1.0366
CADAUD,1985-10-07,1.032,1.032,1.032,1.032
CADAUD,1985-10-14,1.0395,1.0395,1.0395,1.0395
CADAUD,1985-10-21,1.0417,1.0417,1.0417,1.0417
CADAUD,1985-10-28,1.0444,1.0444,1.0444,1.0444
CADAUD,1985-11-04,1.0436,1.0436,1.0436,1.0436
CADAUD,1985-11-11,1.0899,1.0899,1.0899,1.0899
CADAUD,1985-11-18,1.1085,1.1085,1.1085,1.1085
CADAUD,1985-11-25,1.0759,1.0759,1.0759,1.0759
CADAUD,1985-12-02,1.052,1.052,1.052,1.052
CADAUD,1985-12-09,1.063,1.063,1.063,1.063
CADAUD,1985-12-16,1.0485,1.0485,1.0485,1.0485
CADAUD,1985-12-23,1.0554,1.0554,1.0554,1.0554
CADAUD,1986-01-01,1.0471,1.0471,1.0471,1.0471
CADAUD,1986-01-06,1.0477,1.0477,1.0477,1.0477
CADAUD,1986-01-13,1.0424,1.0424,1.0424,1.0424
CADAUD,1986-01-20,1.0404,1.0404,1.0404,1.0404
CADAUD,1986-01-27,1.0197,1.0197,1.0197,1.0197
CADAUD,1986-02-01,0.994,0.994,0.994,0.994
CADAUD,1986-02-10,1.0004,1.0004,1.0004,1.0004
CADAUD,1986-02-17,1.0374,1.0374,1.0374,1.0374
CADAUD,1986-02-24,1.0185,1.0185,1.0185,1.0185
CADAUD,1986-03-01,1.0174,1.0174,1.0174,1.0174
CADAUD,1986-03-03,1.0174,1.0174,1.0174,1.0174
CADAUD,1986-03-10,0.9961,0.9961,0.9961,0.9961
CADAUD,1986-03-17,1.0146,1.0146,1.0146,1.0146
CADAUD,1986-03-18,1.0146,1.0146,1.0146,1.0146
CADAUD,1986-03-24,1.0065,1.0065,1.0065,1.0065
CADAUD,1986-04-01,0.9868,0.9868,0.9868,0.9868
CADAUD,1986-04-07,0.9994,0.9994,0.9994,0.9994
CADAUD,1986-04-09,0.9994,0.9994,0.9994,0.9994
CADAUD,1986-04-14,1.0049,1.0049,1.0049,1.0049
CADAUD,1986-04-21,1.0022,1.0022,1.0022,1.0022
CADAUD,1986-04-28,0.9911,0.9911,0.9911,0.9911
CADAUD,1986-05-05,0.9815,0.9815,0.9815,0.9815
CADAUD,1986-05-12,0.9846,0.9846,0.9846,0.9846
CADAUD,1986-05-19,0.9941,0.9941,0.9941,0.9941
CADAUD,1986-05-26,1.0011,1.0011,1.0011,1.0011
CADAUD,1986-06-02,1.0108,1.0108,1.0108,1.0108
CADAUD,1986-06-09,1.0273,1.0273,1.0273,1.0273
CADAUD,1986-06-16,1.0359,1.0359,1.0359,1.0359
CADAUD,1986-06-23,1.0386,1.0386,1.0386,1.0386
CADAUD,1986-06-30,1.0593,1.0593,1.0593,1.0593
CADAUD,1986-07-07,1.0936,1.0936,1.0936,1.0936
CADAUD,1986-07-14,1.1578,1.1578,1.1578,1.1578
CADAUD,1986-07-21,1.1349,1.1349,1.1349,1.1349
CADAUD,1986-07-28,1.1513,1.1513,1.1513,1.1513
CADAUD,1986-08-04,1.1837,1.1837,1.1837,1.1837
CADAUD,1986-08-11,1.1765,1.1765,1.1765,1.1765
CADAUD,1986-08-18,1.1869,1.1869,1.1869,1.1869
CADAUD,1986-08-25,1.1368,1.1368,1.1368,1.1368
CADAUD,1986-09-01,1.1801,1.1801,1.1801,1.1801
CADAUD,1986-09-08,1.185,1.185,1.185,1.185
CADAUD,1986-09-15,1.1785,1.1785,1.1785,1.1785
CADAUD,1986-09-22,1.1555,1.1555,1.1555,1.1555
CADAUD,1986-09-29,1.1416,1.1416,1.1416,1.1416
CADAUD,1986-10-06,1.1476,1.1476,1.1476,1.1476
CADAUD,1986-10-13,1.1372,1.1372,1.1372,1.1372
CADAUD,1986-10-20,1.1244,1.1244,1.1244,1.1244
CADAUD,1986-10-27,1.1289,1.1289,1.1289,1.1289
CADAUD,1986-11-01,1.1221,1.1221,1.1221,1.1221
CADAUD,1986-11-10,1.12,1.12,1.12,1.12
CADAUD,1986-11-17,1.1192,1.1192,1.1192,1.1192
CADAUD,1986-11-24,1.1212,1.1212,1.1212,1.1212
CADAUD,1986-12-01,1.1151,1.1151,1.1151,1.1151
CADAUD,1986-12-08,1.1099,1.1099,1.1099,1.1099
CADAUD,1986-12-15,1.1148,1.1148,1.1148,1.1148
CADAUD,1986-12-22,1.0913,1.0913,1.0913,1.0913
CADAUD,1986-12-31,1.0941,1.0941,1.0941,1.0941
CADAUD,1987-01-12,1.095,1.095,1.095,1.095
CADAUD,1987-01-19,1.1225,1.1225,1.1225,1.1225
CADAUD,1987-01-26,1.1053,1.1053,1.1053,1.1053
CADAUD,1987-02-01,1.1187,1.1187,1.1187,1.1187
CADAUD,1987-02-09,1.1288,1.1288,1.1288,1.1288
CADAUD,1987-02-16,1.1243,1.1243,1.1243,1.1243
CADAUD,1987-02-23,1.1302,1.1302,1.1302,1.1302
CADAUD,1987-03-02,1.1224,1.1224,1.1224,1.1224
CADAUD,1987-03-09,1.1088,1.1088,1.1088,1.1088
CADAUD,1987-03-16,1.0956,1.0956,1.0956,1.0956
CADAUD,1987-03-23,1.1079,1.1079,1.1079,1.1079
CADAUD,1987-03-30,1.1015,1.1015,1.1015,1.1015
CADAUD,1987-04-06,1.0798,1.0798,1.0798,1.0798
CADAUD,1987-04-13,1.08,1.08,1.08,1.08
CADAUD,1987-04-21,1.0571,1.0571,1.0571,1.0571
CADAUD,1987-04-27,1.0685,1.0685,1.0685,1.0685
CADAUD,1987-05-04,1.0546,1.0546,1.0546,1.0546
CADAUD,1987-05-11,1.0487,1.0487,1.0487,1.0487
CADAUD,1987-05-18,1.0454,1.0454,1.0454,1.0454
CADAUD,1987-05-25,1.036,1.036,1.036,1.036
CADAUD,1987-06-01,1.0356,1.0356,1.0356,1.0356
CADAUD,1987-06-08,1.0436,1.0436,1.0436,1.0436
CADAUD,1987-06-15,1.0423,1.0423,1.0423,1.0423
CADAUD,1987-06-22,1.0379,1.0379,1.0379,1.0379
CADAUD,1987-06-29,1.046,1.046,1.046,1.046
CADAUD,1987-07-06,1.0409,1.0409,1.0409,1.0409
CADAUD,1987-07-13,1.0661,1.0661,1.0661,1.0661
CADAUD,1987-07-20,1.0778,1.0778,1.0778,1.0778
CADAUD,1987-07-27,1.0712,1.0712,1.0712,1.0712
CADAUD,1987-08-03,1.07,1.07,1.07,1.07
CADAUD,1987-08-10,1.0792,1.0792,1.0792,1.0792
CADAUD,1987-08-17,1.0737,1.0737,1.0737,1.0737
CADAUD,1987-08-24,1.0612,1.0612,1.0612,1.0612
CADAUD,1987-08-31,1.0603,1.0603,1.0603,1.0603
CADAUD,1987-09-07,1.0572,1.0572,1.0572,1.0572
CADAUD,1987-09-14,1.0479,1.0479,1.0479,1.0479
CADAUD,1987-09-21,1.0415,1.0415,1.0415,1.0415
CADAUD,1987-09-28,1.0372,1.0372,1.0372,1.0372
CADAUD,1987-10-05,1.0617,1.0617,1.0617,1.0617
CADAUD,1987-10-12,1.0654,1.0654,1.0654,1.0654
CADAUD,1987-10-19,1.0591,1.0591,1.0591,1.0591
CADAUD,1987-10-26,1.0722,1.0722,1.0722,1.0722
