ticker,date,open,high,low,close
CADCHF,1971-01-04,4.2714,4.2714,4.2714,4.2714
CADCHF,1971-01-05,4.2682,4.2682,4.2682,4.2682
CADCHF,1971-01-06,4.2662,4.2662,4.2662,4.2662
CADCHF,1971-01-07,4.2474,4.2474,4.2474,4.2474
CADCHF,1971-01-08,4.2456,4.2456,4.2456,4.2456
CADCHF,1971-01-11,4.2425,4.2425,4.2425,4.2425
CADCHF,1971-01-12,4.2545,4.2545,4.2545,4.2545
CADCHF,1971-01-13,4.2573,4.2573,4.2573,4.2573
CADCHF,1971-01-14,4.2528,4.2528,4.2528,4.2528
CADCHF,1971-01-15,4.2501,4.2501,4.2501,4.2501
CADCHF,1971-01-18,4.2493,4.2493,4.2493,4.2493
CADCHF,1971-01-19,4.2535,4.2535,4.2535,4.2535
CADCHF,1971-01-20,4.2522,4.2522,4.2522,4.2522
CADCHF,1971-01-21,4.2554,4.2554,4.2554,4.2554
CADCHF,1971-01-22,4.2501,4.2501,4.2501,4.2501
CADCHF,1971-01-25,4.2534,4.2534,4.2534,4.2534
CADCHF,1971-01-26,4.2533,4.2533,4.2533,4.2533
CADCHF,1971-01-27,4.2543,4.2543,4.2543,4.2543
CADCHF,1971-01-28,4.2594,4.2594,4.2594,4.2594
CADCHF,1971-01-29,4.262,4.262,4.262,4.262
CADCHF,1971-02-01,4.2642,4.2642,4.2642,4.2642
CADCHF,1971-02-02,4.2597,4.2597,4.2597,4.2597
CADCHF,1971-02-03,4.2602,4.2602,4.2602,4.2602
CADCHF,1971-02-04,4.2631,4.2631,4.2631,4.2631
CADCHF,1971-02-05,4.2634,4.2634,4.2634,4.2634
CADCHF,1971-02-08,4.2623,4.2623,4.2623,4.2623
CADCHF,1971-02-09,4.2613,4.2613,4.2613,4.2613
CADCHF,1971-02-10,4.2605,4.2605,4.2605,4.2605
CADCHF,1971-02-11,4.26,4.26,4.26,4.26
CADCHF,1971-02-16,4.2609,4.2609,4.2609,4.2609
CADCHF,1971-02-17,4.2596,4.2596,4.2596,4.2596
CADCHF,1971-02-18,4.2641,4.2641,4.2641,4.2641
CADCHF,1971-02-19,4.2683,4.2683,4.2683,4.2683
CADCHF,1971-02-22,4.2775,4.2775,4.2775,4.2775
CADCHF,1971-02-23,4.2807,4.2807,4.2807,4.2807
CADCHF,1971-02-24,4.2693,4.2693,4.2693,4.2693
CADCHF,1971-02-25,4.2793,4.2793,4.2793,4.2793
CADCHF,1971-02-26,4.2769,4.2769,4.2769,4.2769
CADCHF,1971-03-01,4.2746,4.2746,4.2746,4.2746
CADCHF,1971-03-02,4.2747,4.2747,4.2747,4.2747
CADCHF,1971-03-03,4.2725,4.2725,4.2725,4.2725
CADCHF,1971-03-04,4.2796,4.2796,4.2796,4.2796
CADCHF,1971-03-05,4.2866,4.2866,4.2866,4.2866
CADCHF,1971-03-08,4.2891,4.2891,4.2891,4.2891
CADCHF,1971-03-09,4.2841,4.2841,4.2841,4.2841
CADCHF,1971-03-10,4.2887,4.2887,4.2887,4.2887
CADCHF,1971-03-11,4.2803,4.2803,4.2803,4.2803
CADCHF,1971-03-12,4.2771,4.2771,4.2771,4.2771
CADCHF,1971-03-15,4.2754,4.2754,4.2754,4.2754
CADCHF,1971-03-16,4.2782,4.2782,4.2782,4.2782
CADCHF,1971-03-17,4.2758,4.2758,4.2758,4.2758
CADCHF,1971-03-18,4.2706,4.2706,4.2706,4.2706
CADCHF,1971-03-19,4.2643,4.2643,4.2643,4.2643
CADCHF,1971-03-22,4.2632,4.2632,4.2632,4.2632
CADCHF,1971-03-23,4.2637,4.2637,4.2637,4.2637
CADCHF,1971-03-24,4.2642,4.2642,4.2642,4.2642
CADCHF,1971-03-25,4.2668,4.2668,4.2668,4.2668
CADCHF,1971-03-26,4.2641,4.2641,4.2641,4.2641
CADCHF,1971-03-29,4.2644,4.2644,4.2644,4.2644
CADCHF,1971-03-30,4.2608,4.2608,4.2608,4.2608
CADCHF,1971-03-31,4.2608,4.2608,4.2608,4.2608
CADCHF,1971-04-01,4.2629,4.2629,4.2629,4.2629
CADCHF,1971-04-02,4.2634,4.2634,4.2634,4.2634
CADCHF,1971-04-05,4.2666,4.2666,4.2666,4.2666
CADCHF,1971-04-06,4.271,4.271,4.271,4.271
CADCHF,1971-04-07,4.2663,4.2663,4.2663,4.2663
CADCHF,1971-04-08,4.2632,4.2632,4.2632,4.2632
CADCHF,1971-04-09,4.2659,4.2659,4.2659,4.2659
CADCHF,1971-04-12,4.2673,4.2673,4.2673,4.2673
CADCHF,1971-04-13,4.2694,4.2694,4.2694,4.2694
CADCHF,1971-04-14,4.2676,4.2676,4.2676,4.2676
CADCHF,1971-04-15,4.267,4.267,4.267,4.267
CADCHF,1971-04-16,4.2726,4.2726,4.2726,4.2726
CADCHF,1971-04-19,4.2738,4.2738,4.2738,4.2738
CADCHF,1971-04-20,4.2717,4.2717,4.2717,4.2717
CADCHF,1971-04-21,4.2694,4.2694,4.2694,4.2694
CADCHF,1971-04-22,4.2669,4.2669,4.2669,4.2669
CADCHF,1971-04-23,4.266,4.266,4.266,4.266
CADCHF,1971-04-26,4.2615,4.2615,4.2615,4.2615
CADCHF,1971-04-27,4.2584,4.2584,4.2584,4.2584
CADCHF,1971-04-28,4.2577,4.2577,4.2577,4.2577
