ticker,date,open,high,low,close
CADDKK,1984-01-02,7.999,7.999,7.999,7.999
CADDKK,1984-01-09,8.0571,8.0571,8.0571,8.0571
CADDKK,1984-01-16,8.1901,8.1901,8.1901,8.1901
CADDKK,1984-01-23,8.1044,8.1044,8.1044,8.1044
CADDKK,1984-01-30,8.2138,8.2138,8.2138,8.2138
CADDKK,1984-02-06,8.1742,8.1742,8.1742,8.1742
CADDKK,1984-02-13,8.0622,8.0622,8.0622,8.0622
CADDKK,1984-02-20,7.998,7.998,7.998,7.998
CADDKK,1984-03-01,7.8313,7.8313,7.8313,7.8313
CADDKK,1984-03-05,7.6235,7.6235,7.6235,7.6235
CADDKK,1984-03-12,7.4766,7.4766,7.4766,7.4766
CADDKK,1984-03-19,7.3776,7.3776,7.3776,7.3776
CADDKK,1984-03-26,7.5219,7.5219,7.5219,7.5219
CADDKK,1984-04-02,7.4129,7.4129,7.4129,7.4129
CADDKK,1984-04-09,7.5427,7.5427,7.5427,7.5427
CADDKK,1984-04-16,7.545,7.545,7.545,7.545
CADDKK,1984-04-24,7.5622,7.5622,7.5622,7.5622
CADDKK,1984-05-02,7.7066,7.7066,7.7066,7.7066
CADDKK,1984-05-07,7.725,7.725,7.725,7.725
CADDKK,1984-05-14,7.8333,7.8333,7.8333,7.8333
CADDKK,1984-05-21,7.7879,7.7879,7.7879,7.7879
CADDKK,1984-05-28,7.7806,7.7806,7.7806,7.7806
CADDKK,1984-06-04,7.7539,7.7539,7.7539,7.7539
CADDKK,1984-06-11,7.5574,7.5574,7.5574,7.5574
CADDKK,1984-06-18,7.6649,7.6649,7.6649,7.6649
CADDKK,1984-06-25,7.7666,7.7666,7.7666,7.7666
CADDKK,1984-07-02,7.742,7.742,7.742,7.742
CADDKK,1984-07-09,7.8162,7.8162,7.8162,7.8162
CADDKK,1984-07-16,7.7866,7.7866,7.7866,7.7866
CADDKK,1984-07-23,7.8118,7.8118,7.8118,7.8118
CADDKK,1984-07-30,7.96,7.96,7.96,7.96
CADDKK,1984-08-06,8.0542,8.0542,8.0542,8.0542
CADDKK,1984-08-13,8.0907,8.0907,8.0907,8.0907
CADDKK,1984-08-20,8.08,8.08,8.08,8.08
CADDKK,1984-08-27,8.0809,8.0809,8.0809,8.0809
CADDKK,1984-09-01,8.0475,8.0475,8.0475,8.0475
CADDKK,1984-09-10,8.1931,8.1931,8.1931,8.1931
CADDKK,1984-09-17,8.2723,8.2723,8.2723,8.2723
CADDKK,1984-09-24,8.458,8.458,8.458,8.458
CADDKK,1984-10-01,8.4237,8.4237,8.4237,8.4237
CADDKK,1984-10-08,8.3696,8.3696,8.3696,8.3696
CADDKK,1984-10-15,8.4092,8.4092,8.4092,8.4092
CADDKK,1984-10-22,8.5505,8.5505,8.5505,8.5505
CADDKK,1984-10-29,8.391,8.391,8.391,8.391
CADDKK,1984-11-05,8.3658,8.3658,8.3658,8.3658
CADDKK,1984-11-12,8.1027,8.1027,8.1027,8.1027
CADDKK,1984-11-19,8.0573,8.0573,8.0573,8.0573
CADDKK,1984-11-26,8.2071,8.2071,8.2071,8.2071
CADDKK,1984-12-01,8.3199,8.3199,8.3199,8.3199
CADDKK,1984-12-10,8.4092,8.4092,8.4092,8.4092
CADDKK,1984-12-17,8.3816,8.3816,8.3816,8.3816
CADDKK,1984-12-24,8.3877,8.3877,8.3877,8.3877
CADDKK,1985-01-01,8.4903,8.4903,8.4903,8.4903
CADDKK,1985-01-07,8.5612,8.5612,8.5612,8.5612
CADDKK,1985-01-14,8.4976,8.4976,8.4976,8.4976
CADDKK,1985-01-21,8.6187,8.6187,8.6187,8.6187
CADDKK,1985-01-28,8.5824,8.5824,8.5824,8.5824
CADDKK,1985-02-04,8.5138,8.5138,8.5138,8.5138
CADDKK,1985-02-11,8.6187,8.6187,8.6187,8.6187
CADDKK,1985-02-18,8.7351,8.7351,8.7351,8.7351
CADDKK,1985-02-25,8.8223,8.8223,8.8223,8.8223
CADDKK,1985-03-04,8.6287,8.6287,8.6287,8.6287
CADDKK,1985-03-11,8.7666,8.7666,8.7666,8.7666
CADDKK,1985-03-18,8.572,8.572,8.572,8.572
CADDKK,1985-03-25,8.5744,8.5744,8.5744,8.5744
CADDKK,1985-03-29,8.257,8.257,8.257,8.257
CADDKK,1985-04-01,8.2258,8.2258,8.2258,8.2258
CADDKK,1985-04-09,8.1314,8.1314,8.1314,8.1314
CADDKK,1985-04-15,8.1884,8.1884,8.1884,8.1884
CADDKK,1985-04-22,7.9068,7.9068,7.9068,7.9068
CADDKK,1985-04-29,8.0288,8.0288,8.0288,8.0288
CADDKK,1985-05-06,8.1621,8.1621,8.1621,8.1621
CADDKK,1985-05-13,8.3275,8.3275,8.3275,8.3275
CADDKK,1985-05-20,8.0291,8.0291,8.0291,8.0291
CADDKK,1985-05-27,7.9976,7.9976,7.9976,7.9976
CADDKK,1985-06-01,8.0607,8.0607,8.0607,8.0607
CADDKK,1985-06-10,7.9627,7.9627,7.9627,7.9627
CADDKK,1985-06-17,8.083,8.083,8.083,8.083
CADDKK,1985-06-24,7.9765,7.9765,7.9765,7.9765
CADDKK,1985-07-01,8.0597,8.0597,8.0597,8.0597
CADDKK,1985-07-08,8.0568,8.0568,8.0568,8.0568
CADDKK,1985-07-15,7.9043,7.9043,7.9043,7.9043
CADDKK,1985-07-23,7.6807,7.6807,7.6807,7.6807
CADDKK,1985-07-29,7.5962,7.5962,7.5962,7.5962
CADDKK,1985-08-05,7.5417,7.5417,7.5417,7.5417
CADDKK,1985-08-12,7.5702,7.5702,7.5702,7.5702
CADDKK,1985-08-19,7.397,7.397,7.397,7.397
CADDKK,1985-08-26,7.3959,7.3959,7.3959,7.3959
CADDKK,1985-09-02,7.4458,7.4458,7.4458,7.4458
CADDKK,1985-09-09,7.5043,7.5043,7.5043,7.5043
CADDKK,1985-09-16,7.7515,7.7515,7.7515,7.7515
CADDKK,1985-09-23,7.5537,7.5537,7.5537,7.5537
CADDKK,1985-09-30,7.2349,7.2349,7.2349,7.2349
CADDKK,1985-10-07,7.0864,7.0864,7.0864,7.0864
CADDKK,1985-10-14,7.0038,7.0038,7.0038,7.0038
CADDKK,1985-10-21,7.0455,7.0455,7.0455,7.0455
CADDKK,1985-10-28,7.0108,7.0108,7.0108,7.0108
CADDKK,1985-11-04,6.9917,6.9917,6.9917,6.9917
CADDKK,1985-11-11,6.8918,6.8918,6.8918,6.8918
CADDKK,1985-11-18,6.8892,6.8892,6.8892,6.8892
CADDKK,1985-11-25,6.8419,6.8419,6.8419,6.8419
CADDKK,1985-12-02,6.7439,6.7439,6.7439,6.7439
CADDKK,1985-12-09,6.5843,6.5843,6.5843,6.5843
CADDKK,1985-12-16,6.571,6.571,6.571,6.571
CADDKK,1985-12-23,6.5222,6.5222,6.5222,6.5222
CADDKK,1986-01-01,6.5336,6.5336,6.5336,6.5336
CADDKK,1986-01-06,6.4085,6.4085,6.4085,6.4085
CADDKK,1986-01-13,6.3341,6.3341,6.3341,6.3341
CADDKK,1986-01-20,6.5028,6.5028,6.5028,6.5028
CADDKK,1986-01-27,6.4256,6.4256,6.4256,6.4256
CADDKK,1986-02-01,6.2578,6.2578,6.2578,6.2578
CADDKK,1986-02-10,6.1328,6.1328,6.1328,6.1328
CADDKK,1986-02-17,6.2611,6.2611,6.2611,6.2611
CADDKK,1986-02-24,6.2035,6.2035,6.2035,6.2035
CADDKK,1986-03-01,6.0086,6.0086,6.0086,6.0086
CADDKK,1986-03-03,6.0086,6.0086,6.0086,6.0086
CADDKK,1986-03-10,5.6927,5.6927,5.6927,5.6927
CADDKK,1986-03-17,6.0253,6.0253,6.0253,6.0253
CADDKK,1986-03-18,6.0253,6.0253,6.0253,6.0253
CADDKK,1986-03-24,5.9625,5.9625,5.9625,5.9625
CADDKK,1986-04-01,6.0636,6.0636,6.0636,6.0636
CADDKK,1986-04-07,6.1737,6.1737,6.1737,6.1737
CADDKK,1986-04-09,6.1737,6.1737,6.1737,6.1737
CADDKK,1986-04-14,6.2898,6.2898,6.2898,6.2898
CADDKK,1986-04-21,6.1329,6.1329,6.1329,6.1329
CADDKK,1986-04-28,5.8346,5.8346,5.8346,5.8346
CADDKK,1986-05-05,5.8299,5.8299,5.8299,5.8299
CADDKK,1986-05-12,5.9071,5.9071,5.9071,5.9071
CADDKK,1986-05-19,5.8247,5.8247,5.8247,5.8247
CADDKK,1986-05-26,5.9587,5.9587,5.9587,5.9587
CADDKK,1986-06-02,6.1663,6.1663,6.1663,6.1663
CADDKK,1986-06-09,6.0598,6.0598,6.0598,6.0598
CADDKK,1986-06-16,5.9484,5.9484,5.9484,5.9484
CADDKK,1986-06-23,5.9375,5.9375,5.9375,5.9375
CADDKK,1986-06-30,5.9675,5.9675,5.9675,5.9675
CADDKK,1986-07-07,5.8748,5.8748,5.8748,5.8748
CADDKK,1986-07-14,5.8806,5.8806,5.8806,5.8806
CADDKK,1986-07-21,5.9025,5.9025,5.9025,5.9025
CADDKK,1986-07-28,5.7679,5.7679,5.7679,5.7679
CADDKK,1986-08-04,5.7445,5.7445,5.7445,5.7445
CADDKK,1986-08-11,5.6937,5.6937,5.6937,5.6937
CADDKK,1986-08-18,5.5779,5.5779,5.5779,5.5779
CADDKK,1986-08-25,5.5962,5.5962,5.5962,5.5962
CADDKK,1986-09-01,5.5429,5.5429,5.5429,5.5429
CADDKK,1986-09-08,5.5286,5.5286,5.5286,5.5286
CADDKK,1986-09-15,5.6518,5.6518,5.6518,5.6518
CADDKK,1986-09-22,5.6067,5.6067,5.6067,5.6067
CADDKK,1986-09-29,5.5344,5.5344,5.5344,5.5344
CADDKK,1986-10-06,5.5126,5.5126,5.5126,5.5126
CADDKK,1986-10-13,5.455,5.455,5.455,5.455
CADDKK,1986-10-20,5.3806,5.3806,5.3806,5.3806
CADDKK,1986-10-27,5.3857,5.3857,5.3857,5.3857
CADDKK,1986-11-01,5.5117,5.5117,5.5117,5.5117
CADDKK,1986-11-10,5.5703,5.5703,5.5703,5.5703
CADDKK,1986-11-17,5.5514,5.5514,5.5514,5.5514
CADDKK,1986-11-24,5.5149,5.5149,5.5149,5.5149
CADDKK,1986-12-01,5.4747,5.4747,5.4747,5.4747
CADDKK,1986-12-08,5.372,5.372,5.372,5.372
CADDKK,1986-12-15,5.508,5.508,5.508,5.508
CADDKK,1986-12-22,5.5385,5.5385,5.5385,5.5385
CADDKK,1986-12-31,5.3768,5.3768,5.3768,5.3768
CADDKK,1987-01-12,5.307,5.307,5.307,5.307
CADDKK,1987-01-19,5.2659,5.2659,5.2659,5.2659
CADDKK,1987-01-26,5.1433,5.1433,5.1433,5.1433
CADDKK,1987-02-01,5.1221,5.1221,5.1221,5.1221
CADDKK,1987-02-09,5.084,5.084,5.084,5.084
CADDKK,1987-02-16,5.1526,5.1526,5.1526,5.1526
CADDKK,1987-02-23,5.1275,5.1275,5.1275,5.1275
CADDKK,1987-03-02,5.2124,5.2124,5.2124,5.2124
CADDKK,1987-03-09,5.1812,5.1812,5.1812,5.1812
CADDKK,1987-03-16,5.2353,5.2353,5.2353,5.2353
CADDKK,1987-03-23,5.2579,5.2579,5.2579,5.2579
CADDKK,1987-03-30,5.2182,5.2182,5.2182,5.2182
