ticker,date,open,high,low,close
CADEUR,1984-09-24,1.035,1.035,1.035,1.035
CADEUR,1984-10-01,1.0189,1.0189,1.0189,1.0189
CADEUR,1984-10-08,1.0353,1.0353,1.0353,1.0353
CADEUR,1984-10-15,1.0314,1.0314,1.0314,1.0314
CADEUR,1984-10-22,1.0577,1.0577,1.0577,1.0577
CADEUR,1984-10-29,1.0502,1.0502,1.0502,1.0502
CADEUR,1984-11-05,1.0413,1.0413,1.0413,1.0413
CADEUR,1984-11-12,1.0056,1.0056,1.0056,1.0056
CADEUR,1984-11-19,1.0074,1.0074,1.0074,1.0074
CADEUR,1984-11-26,1.0172,1.0172,1.0172,1.0172
CADEUR,1984-12-01,1.0347,1.0347,1.0347,1.0347
CADEUR,1984-12-10,1.0464,1.0464,1.0464,1.0464
CADEUR,1984-12-17,1.0492,1.0492,1.0492,1.0492
CADEUR,1984-12-24,1.051,1.051,1.051,1.051
CADEUR,1985-01-01,1.0653,1.0653,1.0653,1.0653
CADEUR,1985-01-07,1.0738,1.0738,1.0738,1.0738
CADEUR,1985-01-14,1.069,1.069,1.069,1.069
CADEUR,1985-01-21,1.083,1.083,1.083,1.083
CADEUR,1985-01-28,1.0815,1.0815,1.0815,1.0815
CADEUR,1985-02-04,1.0749,1.0749,1.0749,1.0749
CADEUR,1985-02-11,1.0838,1.0838,1.0838,1.0838
CADEUR,1985-02-18,1.0985,1.0985,1.0985,1.0985
CADEUR,1985-02-25,1.1078,1.1078,1.1078,1.1078
CADEUR,1985-03-04,1.0873,1.0873,1.0873,1.0873
CADEUR,1985-03-11,1.1031,1.1031,1.1031,1.1031
CADEUR,1985-03-18,1.0829,1.0829,1.0829,1.0829
CADEUR,1985-03-25,1.0803,1.0803,1.0803,1.0803
CADEUR,1985-03-29,1.0874,1.0874,1.0874,1.0874
CADEUR,1985-04-01,1.0289,1.0289,1.0289,1.0289
CADEUR,1985-04-09,1.0153,1.0153,1.0153,1.0153
CADEUR,1985-04-15,1.0237,1.0237,1.0237,1.0237
CADEUR,1985-04-22,0.9848,0.9848,0.9848,0.9848
CADEUR,1985-04-29,0.9989,0.9989,0.9989,0.9989
CADEUR,1985-05-06,1.0108,1.0108,1.0108,1.0108
CADEUR,1985-05-13,1.0384,1.0384,1.0384,1.0384
CADEUR,1985-05-20,0.9951,0.9951,0.9951,0.9951
CADEUR,1985-05-27,0.9928,0.9928,0.9928,0.9928
CADEUR,1985-06-01,1.0031,1.0031,1.0031,1.0031
CADEUR,1985-06-10,0.9874,0.9874,0.9874,0.9874
CADEUR,1985-06-17,1.0044,1.0044,1.0044,1.0044
CADEUR,1985-06-24,0.9918,0.9918,0.9918,0.9918
CADEUR,1985-07-01,1.0003,1.0003,1.0003,1.0003
CADEUR,1985-07-08,0.9986,0.9986,0.9986,0.9986
CADEUR,1985-07-15,0.9774,0.9774,0.9774,0.9774
CADEUR,1985-07-23,0.9491,0.9491,0.9491,0.9491
CADEUR,1985-07-29,0.943,0.943,0.943,0.943
CADEUR,1985-08-05,0.9348,0.9348,0.9348,0.9348
CADEUR,1985-08-12,0.9448,0.9448,0.9448,0.9448
CADEUR,1985-08-19,0.9187,0.9187,0.9187,0.9187
CADEUR,1985-08-26,0.9162,0.9162,0.9162,0.9162
CADEUR,1985-09-02,0.92,0.92,0.92,0.92
CADEUR,1985-09-09,0.9285,0.9285,0.9285,0.9285
CADEUR,1985-09-16,0.9641,0.9641,0.9641,0.9641
CADEUR,1985-09-23,0.9387,0.9387,0.9387,0.9387
CADEUR,1985-09-30,0.894,0.894,0.894,0.894
CADEUR,1985-10-07,0.8796,0.8796,0.8796,0.8796
CADEUR,1985-10-14,0.8749,0.8749,0.8749,0.8749
CADEUR,1985-10-21,0.8793,0.8793,0.8793,0.8793
CADEUR,1985-10-28,0.8753,0.8753,0.8753,0.8753
CADEUR,1985-11-04,0.8424,0.8424,0.8424,0.8424
CADEUR,1985-11-11,0.8606,0.8606,0.8606,0.8606
CADEUR,1985-11-18,0.8626,0.8626,0.8626,0.8626
CADEUR,1985-11-25,0.8571,0.8571,0.8571,0.8571
CADEUR,1985-12-02,0.844,0.844,0.844,0.844
CADEUR,1985-12-09,0.8251,0.8251,0.8251,0.8251
CADEUR,1985-12-16,0.8258,0.8258,0.8258,0.8258
CADEUR,1985-12-23,0.82,0.82,0.82,0.82
CADEUR,1986-01-01,0.823,0.823,0.823,0.823
CADEUR,1986-01-06,0.8059,0.8059,0.8059,0.8059
CADEUR,1986-01-13,0.7907,0.7907,0.7907,0.7907
CADEUR,1986-01-20,0.8095,0.8095,0.8095,0.8095
CADEUR,1986-01-27,0.8062,0.8062,0.8062,0.8062
CADEUR,1986-02-01,0.7861,0.7861,0.7861,0.7861
CADEUR,1986-02-10,0.7711,0.7711,0.7711,0.7711
CADEUR,1986-02-17,0.7859,0.7859,0.7859,0.7859
CADEUR,1986-02-24,0.7788,0.7788,0.7788,0.7788
CADEUR,1986-03-01,0.7595,0.7595,0.7595,0.7595
CADEUR,1986-03-03,0.7595,0.7595,0.7595,0.7595
CADEUR,1986-03-10,0.7166,0.7166,0.7166,0.7166
CADEUR,1986-03-17,0.7542,0.7542,0.7542,0.7542
CADEUR,1986-03-18,0.7542,0.7542,0.7542,0.7542
CADEUR,1986-03-24,0.7475,0.7475,0.7475,0.7475
CADEUR,1986-04-01,0.7592,0.7592,0.7592,0.7592
CADEUR,1986-04-07,0.7724,0.7724,0.7724,0.7724
CADEUR,1986-04-09,0.7724,0.7724,0.7724,0.7724
CADEUR,1986-04-14,0.7923,0.7923,0.7923,0.7923
CADEUR,1986-04-21,0.7722,0.7722,0.7722,0.7722
CADEUR,1986-04-28,0.7379,0.7379,0.7379,0.7379
CADEUR,1986-05-05,0.7331,0.7331,0.7331,0.7331
CADEUR,1986-05-12,0.7455,0.7455,0.7455,0.7455
CADEUR,1986-05-19,0.7328,0.7328,0.7328,0.7328
CADEUR,1986-05-26,0.7478,0.7478,0.7478,0.7478
CADEUR,1986-06-02,0.7738,0.7738,0.7738,0.7738
CADEUR,1986-06-09,0.7613,0.7613,0.7613,0.7613
CADEUR,1986-06-16,0.7482,0.7482,0.7482,0.7482
CADEUR,1986-06-23,0.7461,0.7461,0.7461,0.7461
CADEUR,1986-06-30,0.7491,0.7491,0.7491,0.7491
CADEUR,1986-07-07,0.7366,0.7366,0.7366,0.7366
CADEUR,1986-07-14,0.7364,0.7364,0.7364,0.7364
CADEUR,1986-07-21,0.7412,0.7412,0.7412,0.7412
CADEUR,1986-07-28,0.7238,0.7238,0.7238,0.7238
CADEUR,1986-08-04,0.7212,0.7212,0.7212,0.7212
CADEUR,1986-08-11,0.7164,0.7164,0.7164,0.7164
CADEUR,1986-08-18,0.7066,0.7066,0.7066,0.7066
CADEUR,1986-08-25,0.7051,0.7051,0.7051,0.7051
CADEUR,1986-09-01,0.6986,0.6986,0.6986,0.6986
CADEUR,1986-09-08,0.6964,0.6964,0.6964,0.6964
CADEUR,1986-09-15,0.7098,0.7098,0.7098,0.7098
CADEUR,1986-09-22,0.7056,0.7056,0.7056,0.7056
CADEUR,1986-09-29,0.7017,0.7017,0.7017,0.7017
CADEUR,1986-10-06,0.6982,0.6982,0.6982,0.6982
CADEUR,1986-10-13,0.6941,0.6941,0.6941,0.6941
CADEUR,1986-10-20,0.6868,0.6868,0.6868,0.6868
CADEUR,1986-10-27,0.6874,0.6874,0.6874,0.6874
CADEUR,1986-11-01,0.7025,0.7025,0.7025,0.7025
CADEUR,1986-11-10,0.709,0.709,0.709,0.709
CADEUR,1986-11-17,0.7036,0.7036,0.7036,0.7036
CADEUR,1986-11-24,0.7012,0.7012,0.7012,0.7012
CADEUR,1986-12-01,0.6972,0.6972,0.6972,0.6972
CADEUR,1986-12-08,0.6851,0.6851,0.6851,0.6851
CADEUR,1986-12-15,0.7012,0.7012,0.7012,0.7012
