ticker,date,open,high,low,close
CADGBP,1984-01-02,0.56,0.56,0.56,0.56
CADGBP,1984-01-09,0.5637,0.5637,0.5637,0.5637
CADGBP,1984-01-16,0.5719,0.5719,0.5719,0.5719
CADGBP,1984-01-23,0.5634,0.5634,0.5634,0.5634
CADGBP,1984-01-30,0.5734,0.5734,0.5734,0.5734
CADGBP,1984-02-06,0.5697,0.5697,0.5697,0.5697
CADGBP,1984-02-13,0.5683,0.5683,0.5683,0.5683
CADGBP,1984-02-20,0.5691,0.5691,0.5691,0.5691
CADGBP,1984-03-01,0.5522,0.5522,0.5522,0.5522
CADGBP,1984-03-05,0.5371,0.5371,0.5371,0.5371
CADGBP,1984-03-12,0.537,0.537,0.537,0.537
CADGBP,1984-03-19,0.5353,0.5353,0.5353,0.5353
CADGBP,1984-03-26,0.544,0.544,0.544,0.544
CADGBP,1984-04-02,0.5392,0.5392,0.5392,0.5392
CADGBP,1984-04-09,0.5483,0.5483,0.5483,0.5483
CADGBP,1984-04-16,0.5472,0.5472,0.5472,0.5472
CADGBP,1984-04-24,0.5497,0.5497,0.5497,0.5497
CADGBP,1984-05-02,0.5546,0.5546,0.5546,0.5546
CADGBP,1984-05-07,0.5531,0.5531,0.5531,0.5531
CADGBP,1984-05-14,0.5557,0.5557,0.5557,0.5557
CADGBP,1984-05-21,0.5573,0.5573,0.5573,0.5573
CADGBP,1984-05-28,0.555,0.555,0.555,0.555
CADGBP,1984-06-04,0.5584,0.5584,0.5584,0.5584
CADGBP,1984-06-11,0.5505,0.5505,0.5505,0.5505
CADGBP,1984-06-18,0.555,0.555,0.555,0.555
CADGBP,1984-06-25,0.558,0.558,0.558,0.558
CADGBP,1984-07-02,0.5619,0.5619,0.5619,0.5619
CADGBP,1984-07-09,0.5666,0.5666,0.5666,0.5666
CADGBP,1984-07-16,0.5752,0.5752,0.5752,0.5752
CADGBP,1984-07-23,0.5681,0.5681,0.5681,0.5681
CADGBP,1984-07-30,0.5738,0.5738,0.5738,0.5738
CADGBP,1984-08-06,0.5829,0.5829,0.5829,0.5829
CADGBP,1984-08-13,0.582,0.582,0.582,0.582
