ticker,date,open,high,low,close
CADHKD,1984-01-09,6.2173,6.2173,6.2173,6.2173
CADHKD,1984-01-16,6.2425,6.2425,6.2425,6.2425
CADHKD,1984-01-23,6.2347,6.2347,6.2347,6.2347
CADHKD,1984-01-30,6.2606,6.2606,6.2606,6.2606
CADHKD,1984-02-06,6.2433,6.2433,6.2433,6.2433
CADHKD,1984-02-13,6.2276,6.2276,6.2276,6.2276
CADHKD,1984-02-20,6.2524,6.2524,6.2524,6.2524
CADHKD,1984-03-01,6.2539,6.2539,6.2539,6.2539
CADHKD,1984-03-05,6.2186,6.2186,6.2186,6.2186
CADHKD,1984-03-12,6.218,6.218,6.218,6.218
CADHKD,1984-03-19,6.2015,6.2015,6.2015,6.2015
CADHKD,1984-03-26,6.125,6.125,6.125,6.125
CADHKD,1984-04-02,6.0786,6.0786,6.0786,6.0786
CADHKD,1984-04-09,6.115,6.115,6.115,6.115
CADHKD,1984-04-16,6.1114,6.1114,6.1114,6.1114
CADHKD,1984-04-24,6.0766,6.0766,6.0766,6.0766
CADHKD,1984-05-02,6.1106,6.1106,6.1106,6.1106
CADHKD,1984-05-07,6.0331,6.0331,6.0331,6.0331
CADHKD,1984-05-14,6.057,6.057,6.057,6.057
CADHKD,1984-05-21,6.0493,6.0493,6.0493,6.0493
CADHKD,1984-05-28,6.0437,6.0437,6.0437,6.0437
CADHKD,1984-06-04,6.0338,6.0338,6.0338,6.0338
CADHKD,1984-06-11,6.0192,6.0192,6.0192,6.0192
CADHKD,1984-06-18,5.9916,5.9916,5.9916,5.9916
CADHKD,1984-06-25,6.0218,6.0218,6.0218,6.0218
CADHKD,1984-07-02,5.9392,5.9392,5.9392,5.9392
CADHKD,1984-07-09,5.9887,5.9887,5.9887,5.9887
CADHKD,1984-07-16,5.9189,5.9189,5.9189,5.9189
CADHKD,1984-07-23,5.8806,5.8806,5.8806,5.8806
CADHKD,1984-07-30,5.9424,5.9424,5.9424,5.9424
CADHKD,1984-08-06,5.9903,5.9903,5.9903,5.9903
CADHKD,1984-08-13,6.0118,6.0118,6.0118,6.0118
CADHKD,1984-08-20,6.0319,6.0319,6.0319,6.0319
CADHKD,1984-08-27,6.0326,6.0326,6.0326,6.0326
CADHKD,1984-09-01,6.0382,6.0382,6.0382,6.0382
CADHKD,1984-09-10,6.0411,6.0411,6.0411,6.0411
CADHKD,1984-09-17,5.9623,5.9623,5.9623,5.9623
CADHKD,1984-09-24,5.9416,5.9416,5.9416,5.9416
CADHKD,1984-10-01,5.928,5.928,5.928,5.928
CADHKD,1984-10-08,5.9581,5.9581,5.9581,5.9581
CADHKD,1984-10-15,5.923,5.923,5.923,5.923
CADHKD,1984-10-22,5.9062,5.9062,5.9062,5.9062
CADHKD,1984-10-29,5.9311,5.9311,5.9311,5.9311
CADHKD,1984-11-05,5.9236,5.9236,5.9236,5.9236
CADHKD,1984-11-12,5.9522,5.9522,5.9522,5.9522
CADHKD,1984-11-19,5.9614,5.9614,5.9614,5.9614
CADHKD,1984-11-26,5.9194,5.9194,5.9194,5.9194
CADHKD,1984-12-01,5.9118,5.9118,5.9118,5.9118
CADHKD,1984-12-10,5.923,5.923,5.923,5.923
CADHKD,1984-12-17,5.9348,5.9348,5.9348,5.9348
CADHKD,1984-12-24,5.9391,5.9391,5.9391,5.9391
CADHKD,1985-01-01,5.9625,5.9625,5.9625,5.9625
CADHKD,1985-01-07,5.8966,5.8966,5.8966,5.8966
CADHKD,1985-01-14,5.9339,5.9339,5.9339,5.9339
CADHKD,1985-01-21,5.9169,5.9169,5.9169,5.9169
CADHKD,1985-01-28,5.9112,5.9112,5.9112,5.9112
CADHKD,1985-02-04,5.8927,5.8927,5.8927,5.8927
CADHKD,1985-02-11,5.8598,5.8598,5.8598,5.8598
CADHKD,1985-02-18,5.8105,5.8105,5.8105,5.8105
CADHKD,1985-02-25,5.8149,5.8149,5.8149,5.8149
CADHKD,1985-03-04,5.6492,5.6492,5.6492,5.6492
CADHKD,1985-03-11,5.5426,5.5426,5.5426,5.5426
