ticker,date,open,high,low,close
CADKRW,1984-01-09,636.77,636.77,636.77,636.77
CADKRW,1984-01-16,639.36,639.36,639.36,639.36
CADKRW,1984-01-23,638.55,638.55,638.55,638.55
CADKRW,1984-01-30,641.21,641.21,641.21,641.21
CADKRW,1984-02-06,639.43,639.43,639.43,639.43
CADKRW,1984-02-13,637.82,637.82,637.82,637.82
CADKRW,1984-02-20,645.74,645.74,645.74,645.74
CADKRW,1984-03-01,638.99,638.99,638.99,638.99
CADKRW,1984-03-05,635.47,635.47,635.47,635.47
CADKRW,1984-03-12,635.51,635.51,635.51,635.51
CADKRW,1984-03-19,629.26,629.26,629.26,629.26
CADKRW,1984-03-26,625.91,625.91,625.91,625.91
CADKRW,1984-04-02,621.17,621.17,621.17,621.17
CADKRW,1984-04-09,624.89,624.89,624.89,624.89
CADKRW,1984-04-16,624.53,624.53,624.53,624.53
CADKRW,1984-04-24,620.87,620.87,620.87,620.87
CADKRW,1984-05-02,628.9,628.9,628.9,628.9
CADKRW,1984-05-07,616.33,616.33,616.33,616.33
CADKRW,1984-05-14,623.26,623.26,623.26,623.26
CADKRW,1984-05-21,622.46,622.46,622.46,622.46
CADKRW,1984-05-28,621.88,621.88,621.88,621.88
CADKRW,1984-06-04,616.4,616.4,616.4,616.4
CADKRW,1984-06-11,619.49,619.49,619.49,619.49
CADKRW,1984-06-18,616.52,616.52,616.52,616.52
CADKRW,1984-06-25,619.64,619.64,619.64,619.64
CADKRW,1984-07-02,611.01,611.01,611.01,611.01
CADKRW,1984-07-09,616.23,616.23,616.23,616.23
CADKRW,1984-07-16,613.33,613.33,613.33,613.33
CADKRW,1984-07-23,609.21,609.21,609.21,609.21
CADKRW,1984-07-30,615.61,615.61,615.61,615.61
CADKRW,1984-08-06,620.58,620.58,620.58,620.58
CADKRW,1984-08-13,622.81,622.81,622.81,622.81
CADKRW,1984-08-20,620.43,620.43,620.43,620.43
CADKRW,1984-08-27,624.96,624.96,624.96,624.96
CADKRW,1984-09-01,623.68,623.68,623.68,623.68
CADKRW,1984-09-10,627.96,627.96,627.96,627.96
CADKRW,1984-09-17,619.61,619.61,619.61,619.61
CADKRW,1984-09-24,621.17,621.17,621.17,621.17
CADKRW,1984-10-01,619.74,619.74,619.74,619.74
CADKRW,1984-10-08,623.07,623.07,623.07,623.07
CADKRW,1984-10-15,623.27,623.27,623.27,623.27
CADKRW,1984-10-22,617.29,617.29,617.29,617.29
CADKRW,1984-10-29,620.07,620.07,620.07,620.07
CADKRW,1984-11-05,619.29,619.29,619.29,619.29
CADKRW,1984-11-12,622.63,622.63,622.63,622.63
CADKRW,1984-11-19,619.67,619.67,619.67,619.67
CADKRW,1984-11-26,623.09,623.09,623.09,623.09
CADKRW,1984-12-01,622.09,622.09,622.09,622.09
CADKRW,1984-12-10,623.27,623.27,623.27,623.27
CADKRW,1984-12-17,624.51,624.51,624.51,624.51
CADKRW,1984-12-24,629.08,629.08,629.08,629.08
CADKRW,1985-01-01,628.38,628.38,628.38,628.38
CADKRW,1985-01-07,628.5,628.5,628.5,628.5
CADKRW,1985-01-14,632.71,632.71,632.71,632.71
CADKRW,1985-01-21,630.66,630.66,630.66,630.66
CADKRW,1985-01-28,630.06,630.06,630.06,630.06
CADKRW,1985-02-04,628.08,628.08,628.08,628.08
CADKRW,1985-02-11,628.08,628.08,628.08,628.08
CADKRW,1985-02-18,626.01,626.01,626.01,626.01
CADKRW,1985-02-25,630.24,630.24,630.24,630.24
CADKRW,1985-03-04,615.96,615.96,615.96,615.96
CADKRW,1985-03-11,603.75,603.75,603.75,603.75
CADKRW,1985-03-18,616.67,616.67,616.67,616.67
CADKRW,1985-03-25,621.65,621.65,621.65,621.65
CADKRW,1985-03-29,622.84,622.84,622.84,622.84
CADKRW,1985-04-01,623.02,623.02,623.02,623.02
CADKRW,1985-04-09,630.57,630.57,630.57,630.57
CADKRW,1985-04-15,627.44,627.44,627.44,627.44
CADKRW,1985-04-22,628.04,628.04,628.04,628.04
CADKRW,1985-04-29,638.73,638.73,638.73,638.73
CADKRW,1985-05-06,638.41,638.41,638.41,638.41
CADKRW,1985-05-13,626.12,626.12,626.12,626.12
CADKRW,1985-05-20,636.15,636.15,636.15,636.15
CADKRW,1985-05-27,637.76,637.76,637.76,637.76
CADKRW,1985-06-01,631.64,631.64,631.64,631.64
CADKRW,1985-06-10,636.58,636.58,636.58,636.58
CADKRW,1985-06-17,636.43,636.43,636.43,636.43
CADKRW,1985-06-24,641.22,641.22,641.22,641.22
CADKRW,1985-07-01,645.22,645.22,645.22,645.22
CADKRW,1985-07-08,646.33,646.33,646.33,646.33
CADKRW,1985-07-15,646.03,646.03,646.03,646.03
CADKRW,1985-07-23,651.99,651.99,651.99,651.99
CADKRW,1985-07-29,654.57,654.57,654.57,654.57
CADKRW,1985-08-05,654.48,654.48,654.48,654.48
CADKRW,1985-08-12,650.17,650.17,650.17,650.17
CADKRW,1985-08-19,651.62,651.62,651.62,651.62
CADKRW,1985-08-26,651.1,651.1,651.1,651.1
CADKRW,1985-09-02,650.75,650.75,650.75,650.75
CADKRW,1985-09-09,653.14,653.14,653.14,653.14
CADKRW,1985-09-16,654.42,654.42,654.42,654.42
CADKRW,1985-09-23,650.58,650.58,650.58,650.58
CADKRW,1985-09-30,654.12,654.12,654.12,654.12
CADKRW,1985-10-07,650.36,650.36,650.36,650.36
CADKRW,1985-10-14,655.36,655.36,655.36,655.36
CADKRW,1985-10-21,651.18,651.18,651.18,651.18
CADKRW,1985-10-28,655.6,655.6,655.6,655.6
CADKRW,1985-11-04,654.23,654.23,654.23,654.23
CADKRW,1985-11-11,648.57,648.57,648.57,648.57
CADKRW,1985-11-18,647.92,647.92,647.92,647.92
CADKRW,1985-11-25,646.73,646.73,646.73,646.73
CADKRW,1985-12-02,646.53,646.53,646.53,646.53
CADKRW,1985-12-09,640.18,640.18,640.18,640.18
CADKRW,1985-12-16,638.49,638.49,638.49,638.49
CADKRW,1985-12-23,638.07,638.07,638.07,638.07
CADKRW,1986-01-01,638.01,638.01,638.01,638.01
CADKRW,1986-01-06,636.97,636.97,636.97,636.97
CADKRW,1986-01-13,631.88,631.88,631.88,631.88
CADKRW,1986-01-20,638.06,638.06,638.06,638.06
CADKRW,1986-01-27,635.94,635.94,635.94,635.94
CADKRW,1986-02-01,633.68,633.68,633.68,633.68
CADKRW,1986-02-10,616.49,616.49,616.49,616.49
CADKRW,1986-02-17,637.32,637.32,637.32,637.32
CADKRW,1986-02-24,635.37,635.37,635.37,635.37
CADKRW,1986-03-01,638.77,638.77,638.77,638.77
