ticker,date,open,high,low,close
CADNOK,1984-01-02,6.2299,6.2299,6.2299,6.2299
CADNOK,1984-01-09,6.2617,6.2617,6.2617,6.2617
CADNOK,1984-01-16,6.3424,6.3424,6.3424,6.3424
CADNOK,1984-01-23,6.2692,6.2692,6.2692,6.2692
CADNOK,1984-01-30,6.3254,6.3254,6.3254,6.3254
CADNOK,1984-02-06,6.2979,6.2979,6.2979,6.2979
CADNOK,1984-02-13,6.277,6.277,6.277,6.277
CADNOK,1984-02-20,6.2277,6.2277,6.2277,6.2277
CADNOK,1984-03-01,6.1364,6.1364,6.1364,6.1364
CADNOK,1984-03-05,5.9959,5.9959,5.9959,5.9959
CADNOK,1984-03-12,5.9118,5.9118,5.9118,5.9118
CADNOK,1984-03-19,5.8536,5.8536,5.8536,5.8536
CADNOK,1984-03-26,5.922,5.922,5.922,5.922
CADNOK,1984-04-02,5.8448,5.8448,5.8448,5.8448
CADNOK,1984-04-09,5.9123,5.9123,5.9123,5.9123
CADNOK,1984-04-16,5.917,5.917,5.917,5.917
CADNOK,1984-04-24,5.9253,5.9253,5.9253,5.9253
CADNOK,1984-05-02,5.9875,5.9875,5.9875,5.9875
CADNOK,1984-05-07,5.9993,5.9993,5.9993,5.9993
CADNOK,1984-05-14,6.0485,6.0485,6.0485,6.0485
CADNOK,1984-05-21,6.0707,6.0707,6.0707,6.0707
CADNOK,1984-05-28,6.0352,6.0352,6.0352,6.0352
CADNOK,1984-06-04,6.0253,6.0253,6.0253,6.0253
CADNOK,1984-06-11,5.9143,5.9143,5.9143,5.9143
CADNOK,1984-06-18,5.9663,5.9663,5.9663,5.9663
CADNOK,1984-06-25,6.0134,6.0134,6.0134,6.0134
CADNOK,1984-07-02,6.0621,6.0621,6.0621,6.0621
CADNOK,1984-07-09,6.118,6.118,6.118,6.118
CADNOK,1984-07-16,6.1422,6.1422,6.1422,6.1422
CADNOK,1984-07-23,6.181,6.181,6.181,6.181
CADNOK,1984-07-30,6.2827,6.2827,6.2827,6.2827
CADNOK,1984-08-06,6.3427,6.3427,6.3427,6.3427
CADNOK,1984-08-13,6.3748,6.3748,6.3748,6.3748
CADNOK,1984-08-20,6.368,6.368,6.368,6.368
CADNOK,1984-08-27,6.3688,6.3688,6.3688,6.3688
CADNOK,1984-09-01,6.371,6.371,6.371,6.371
CADNOK,1984-09-10,6.4537,6.4537,6.4537,6.4537
CADNOK,1984-09-17,6.471,6.471,6.471,6.471
CADNOK,1984-09-24,6.5927,6.5927,6.5927,6.5927
CADNOK,1984-10-01,6.6975,6.6975,6.6975,6.6975
CADNOK,1984-10-08,6.6898,6.6898,6.6898,6.6898
CADNOK,1984-10-15,6.7108,6.7108,6.7108,6.7108
CADNOK,1984-10-22,6.7955,6.7955,6.7955,6.7955
CADNOK,1984-10-29,6.7436,6.7436,6.7436,6.7436
CADNOK,1984-11-05,6.7068,6.7068,6.7068,6.7068
CADNOK,1984-11-12,6.545,6.545,6.545,6.545
CADNOK,1984-11-19,6.5138,6.5138,6.5138,6.5138
CADNOK,1984-11-26,6.6,6.6,6.6,6.6
CADNOK,1984-12-01,6.7028,6.7028,6.7028,6.7028
CADNOK,1984-12-10,6.7488,6.7488,6.7488,6.7488
CADNOK,1984-12-17,6.7479,6.7479,6.7479,6.7479
CADNOK,1984-12-24,6.772,6.772,6.772,6.772
CADNOK,1985-01-01,6.8454,6.8454,6.8454,6.8454
CADNOK,1985-01-07,6.9007,6.9007,6.9007,6.9007
CADNOK,1985-01-14,6.8872,6.8872,6.8872,6.8872
CADNOK,1985-01-21,6.9748,6.9748,6.9748,6.9748
CADNOK,1985-01-28,6.959,6.959,6.959,6.959
CADNOK,1985-02-04,6.9143,6.9143,6.9143,6.9143
CADNOK,1985-02-11,6.9556,6.9556,6.9556,6.9556
CADNOK,1985-02-18,7.0207,7.0207,7.0207,7.0207
CADNOK,1985-02-25,7.059,7.059,7.059,7.059
CADNOK,1985-03-04,6.8995,6.8995,6.8995,6.8995
CADNOK,1985-03-11,6.9855,6.9855,6.9855,6.9855
CADNOK,1985-03-18,6.875,6.875,6.875,6.875
CADNOK,1985-03-25,6.8653,6.8653,6.8653,6.8653
CADNOK,1985-03-29,6.6338,6.6338,6.6338,6.6338
CADNOK,1985-04-01,6.6054,6.6054,6.6054,6.6054
CADNOK,1985-04-09,6.5487,6.5487,6.5487,6.5487
CADNOK,1985-04-15,6.5873,6.5873,6.5873,6.5873
CADNOK,1985-04-22,6.3814,6.3814,6.3814,6.3814
CADNOK,1985-04-29,6.478,6.478,6.478,6.478
CADNOK,1985-05-06,6.5296,6.5296,6.5296,6.5296
CADNOK,1985-05-13,6.6344,6.6344,6.6344,6.6344
CADNOK,1985-05-20,6.4525,6.4525,6.4525,6.4525
CADNOK,1985-05-27,6.4187,6.4187,6.4187,6.4187
CADNOK,1985-06-01,6.4575,6.4575,6.4575,6.4575
CADNOK,1985-06-10,6.3869,6.3869,6.3869,6.3869
CADNOK,1985-06-17,6.4746,6.4746,6.4746,6.4746
CADNOK,1985-06-24,6.4087,6.4087,6.4087,6.4087
CADNOK,1985-07-01,6.463,6.463,6.463,6.463
CADNOK,1985-07-08,6.4669,6.4669,6.4669,6.4669
CADNOK,1985-07-15,6.3434,6.3434,6.3434,6.3434
CADNOK,1985-07-23,6.2027,6.2027,6.2027,6.2027
CADNOK,1985-07-29,6.152,6.152,6.152,6.152
CADNOK,1985-08-05,6.1062,6.1062,6.1062,6.1062
CADNOK,1985-08-12,6.177,6.177,6.177,6.177
CADNOK,1985-08-19,6.0445,6.0445,6.0445,6.0445
CADNOK,1985-08-26,6.03,6.03,6.03,6.03
CADNOK,1985-09-02,6.0559,6.0559,6.0559,6.0559
CADNOK,1985-09-09,6.0757,6.0757,6.0757,6.0757
CADNOK,1985-09-16,6.2463,6.2463,6.2463,6.2463
CADNOK,1985-09-23,6.1135,6.1135,6.1135,6.1135
CADNOK,1985-09-30,5.9023,5.9023,5.9023,5.9023
CADNOK,1985-10-07,5.7908,5.7908,5.7908,5.7908
CADNOK,1985-10-14,5.7674,5.7674,5.7674,5.7674
CADNOK,1985-10-21,5.7769,5.7769,5.7769,5.7769
CADNOK,1985-10-28,5.7938,5.7938,5.7938,5.7938
CADNOK,1985-11-04,5.7847,5.7847,5.7847,5.7847
CADNOK,1985-11-11,5.7167,5.7167,5.7167,5.7167
CADNOK,1985-11-18,5.729,5.729,5.729,5.729
CADNOK,1985-11-25,5.6915,5.6915,5.6915,5.6915
CADNOK,1985-12-02,5.5972,5.5972,5.5972,5.5972
CADNOK,1985-12-09,5.4694,5.4694,5.4694,5.4694
CADNOK,1985-12-16,5.5031,5.5031,5.5031,5.5031
CADNOK,1985-12-23,5.4683,5.4683,5.4683,5.4683
CADNOK,1986-01-01,5.4876,5.4876,5.4876,5.4876
CADNOK,1986-01-06,5.4175,5.4175,5.4175,5.4175
CADNOK,1986-01-13,5.3549,5.3549,5.3549,5.3549
CADNOK,1986-01-20,5.4352,5.4352,5.4352,5.4352
CADNOK,1986-01-27,5.4032,5.4032,5.4032,5.4032
CADNOK,1986-02-01,5.3063,5.3063,5.3063,5.3063
CADNOK,1986-02-10,5.1895,5.1895,5.1895,5.1895
CADNOK,1986-02-17,5.2809,5.2809,5.2809,5.2809
CADNOK,1986-02-24,5.2487,5.2487,5.2487,5.2487
CADNOK,1986-03-01,5.0917,5.0917,5.0917,5.0917
CADNOK,1986-03-03,5.0917,5.0917,5.0917,5.0917
CADNOK,1986-03-10,4.876,4.876,4.876,4.876
CADNOK,1986-03-17,5.1437,5.1437,5.1437,5.1437
CADNOK,1986-03-18,5.1437,5.1437,5.1437,5.1437
CADNOK,1986-03-24,5.0889,5.0889,5.0889,5.0889
CADNOK,1986-04-01,5.1536,5.1536,5.1536,5.1536
CADNOK,1986-04-07,5.2214,5.2214,5.2214,5.2214
CADNOK,1986-04-09,5.2214,5.2214,5.2214,5.2214
CADNOK,1986-04-14,5.3198,5.3198,5.3198,5.3198
CADNOK,1986-04-21,5.1953,5.1953,5.1953,5.1953
CADNOK,1986-04-28,5.0447,5.0447,5.0447,5.0447
CADNOK,1986-05-05,5.0118,5.0118,5.0118,5.0118
CADNOK,1986-05-12,5.0636,5.0636,5.0636,5.0636
CADNOK,1986-05-19,5.3856,5.3856,5.3856,5.3856
CADNOK,1986-05-26,5.4785,5.4785,5.4785,5.4785
CADNOK,1986-06-02,5.6255,5.6255,5.6255,5.6255
CADNOK,1986-06-09,5.5482,5.5482,5.5482,5.5482
CADNOK,1986-06-16,5.4737,5.4737,5.4737,5.4737
CADNOK,1986-06-23,5.4726,5.4726,5.4726,5.4726
CADNOK,1986-06-30,5.4791,5.4791,5.4791,5.4791
CADNOK,1986-07-07,5.4091,5.4091,5.4091,5.4091
CADNOK,1986-07-14,5.4088,5.4088,5.4088,5.4088
CADNOK,1986-07-21,5.5021,5.5021,5.5021,5.5021
CADNOK,1986-07-28,5.3707,5.3707,5.3707,5.3707
CADNOK,1986-08-04,5.3803,5.3803,5.3803,5.3803
CADNOK,1986-08-11,5.3626,5.3626,5.3626,5.3626
CADNOK,1986-08-18,5.305,5.305,5.305,5.305
CADNOK,1986-08-25,5.2869,5.2869,5.2869,5.2869
CADNOK,1986-09-01,5.2488,5.2488,5.2488,5.2488
CADNOK,1986-09-08,5.2463,5.2463,5.2463,5.2463
CADNOK,1986-09-15,5.3157,5.3157,5.3157,5.3157
CADNOK,1986-09-22,5.2949,5.2949,5.2949,5.2949
CADNOK,1986-09-29,5.304,5.304,5.304,5.304
CADNOK,1986-10-06,5.3034,5.3034,5.3034,5.3034
CADNOK,1986-10-13,5.302,5.302,5.302,5.302
CADNOK,1986-10-20,5.2484,5.2484,5.2484,5.2484
CADNOK,1986-10-27,5.2566,5.2566,5.2566,5.2566
CADNOK,1986-11-01,5.3419,5.3419,5.3419,5.3419
CADNOK,1986-11-10,5.4034,5.4034,5.4034,5.4034
CADNOK,1986-11-17,5.4017,5.4017,5.4017,5.4017
CADNOK,1986-11-24,5.4442,5.4442,5.4442,5.4442
CADNOK,1986-12-01,5.4914,5.4914,5.4914,5.4914
CADNOK,1986-12-08,5.4187,5.4187,5.4187,5.4187
CADNOK,1986-12-15,5.4829,5.4829,5.4829,5.4829
CADNOK,1986-12-22,5.509,5.509,5.509,5.509
CADNOK,1986-12-31,5.4011,5.4011,5.4011,5.4011
CADNOK,1987-01-12,5.3607,5.3607,5.3607,5.3607
CADNOK,1987-01-19,5.3188,5.3188,5.3188,5.3188
CADNOK,1987-01-26,5.24,5.24,5.24,5.24
CADNOK,1987-02-01,5.2275,5.2275,5.2275,5.2275
CADNOK,1987-02-09,5.2035,5.2035,5.2035,5.2035
CADNOK,1987-02-16,5.2443,5.2443,5.2443,5.2443
CADNOK,1987-02-23,5.2244,5.2244,5.2244,5.2244
CADNOK,1987-03-02,5.2932,5.2932,5.2932,5.2932
CADNOK,1987-03-09,5.2384,5.2384,5.2384,5.2384
CADNOK,1987-03-16,5.2383,5.2383,5.2383,5.2383
CADNOK,1987-03-23,5.2898,5.2898,5.2898,5.2898
CADNOK,1987-03-30,5.2436,5.2436,5.2436,5.2436
CADNOK,1987-04-06,5.1864,5.1864,5.1864,5.1864
CADNOK,1987-04-13,5.2119,5.2119,5.2119,5.2119
CADNOK,1987-04-21,5.1676,5.1676,5.1676,5.1676
CADNOK,1987-04-27,5.1007,5.1007,5.1007,5.1007
CADNOK,1987-05-04,4.9799,4.9799,4.9799,4.9799
CADNOK,1987-05-11,4.9121,4.9121,4.9121,4.9121
CADNOK,1987-05-18,4.9812,4.9812,4.9812,4.9812
CADNOK,1987-05-25,4.9315,4.9315,4.9315,4.9315
