ticker,date,open,high,low,close
CADNZD,1984-01-09,1.2299,1.2299,1.2299,1.2299
CADNZD,1984-01-16,1.233,1.233,1.233,1.233
CADNZD,1984-01-23,1.2333,1.2333,1.2333,1.2333
CADNZD,1984-01-30,1.2366,1.2366,1.2366,1.2366
CADNZD,1984-02-06,1.2236,1.2236,1.2236,1.2236
CADNZD,1984-02-13,1.2205,1.2205,1.2205,1.2205
CADNZD,1984-02-20,1.229,1.229,1.229,1.229
CADNZD,1984-03-01,1.2063,1.2063,1.2063,1.2063
CADNZD,1984-03-05,1.2058,1.2058,1.2058,1.2058
CADNZD,1984-03-12,1.1988,1.1988,1.1988,1.1988
CADNZD,1984-03-19,1.1886,1.1886,1.1886,1.1886
CADNZD,1984-03-26,1.1811,1.1811,1.1811,1.1811
CADNZD,1984-04-02,1.1754,1.1754,1.1754,1.1754
CADNZD,1984-04-09,1.1923,1.1923,1.1923,1.1923
CADNZD,1984-04-16,1.1933,1.1933,1.1933,1.1933
CADNZD,1984-04-24,1.1867,1.1867,1.1867,1.1867
CADNZD,1984-05-02,1.195,1.195,1.195,1.195
CADNZD,1984-05-07,1.1866,1.1866,1.1866,1.1866
CADNZD,1984-05-14,1.1979,1.1979,1.1979,1.1979
CADNZD,1984-05-21,1.1964,1.1964,1.1964,1.1964
CADNZD,1984-05-28,1.1953,1.1953,1.1953,1.1953
CADNZD,1984-06-04,1.1851,1.1851,1.1851,1.1851
CADNZD,1984-06-11,1.192,1.192,1.192,1.192
CADNZD,1984-06-18,1.1949,1.1949,1.1949,1.1949
CADNZD,1984-06-25,1.2198,1.2198,1.2198,1.2198
CADNZD,1984-07-02,1.1996,1.1996,1.1996,1.1996
CADNZD,1984-07-09,1.2254,1.2254,1.2254,1.2254
CADNZD,1984-07-16,1.2196,1.2196,1.2196,1.2196
CADNZD,1984-07-23,1.5176,1.5176,1.5176,1.5176
CADNZD,1984-07-30,1.5308,1.5308,1.5308,1.5308
CADNZD,1984-08-06,1.5294,1.5294,1.5294,1.5294
CADNZD,1984-08-13,1.5404,1.5404,1.5404,1.5404
CADNZD,1984-08-20,1.5346,1.5346,1.5346,1.5346
CADNZD,1984-08-27,1.5348,1.5348,1.5348,1.5348
CADNZD,1984-09-01,1.539,1.539,1.539,1.539
CADNZD,1984-09-10,1.5673,1.5673,1.5673,1.5673
CADNZD,1984-09-17,1.5567,1.5567,1.5567,1.5567
CADNZD,1984-09-24,1.5504,1.5504,1.5504,1.5504
CADNZD,1984-10-01,1.5544,1.5544,1.5544,1.5544
CADNZD,1984-10-08,1.5654,1.5654,1.5654,1.5654
CADNZD,1984-10-15,1.5684,1.5684,1.5684,1.5684
CADNZD,1984-10-22,1.5583,1.5583,1.5583,1.5583
CADNZD,1984-10-29,1.5603,1.5603,1.5603,1.5603
CADNZD,1984-11-05,1.5284,1.5284,1.5284,1.5284
CADNZD,1984-11-12,1.5414,1.5414,1.5414,1.5414
CADNZD,1984-11-19,1.5391,1.5391,1.5391,1.5391
CADNZD,1984-11-26,1.5552,1.5552,1.5552,1.5552
CADNZD,1984-12-01,1.5502,1.5502,1.5502,1.5502
CADNZD,1984-12-10,1.5607,1.5607,1.5607,1.5607
CADNZD,1984-12-17,1.569,1.569,1.569,1.569
CADNZD,1984-12-24,1.5805,1.5805,1.5805,1.5805
CADNZD,1985-01-01,1.5852,1.5852,1.5852,1.5852
CADNZD,1985-01-07,1.6074,1.6074,1.6074,1.6074
CADNZD,1985-01-14,1.6233,1.6233,1.6233,1.6233
CADNZD,1985-01-21,1.6153,1.6153,1.6153,1.6153
CADNZD,1985-01-28,1.6163,1.6163,1.6163,1.6163
CADNZD,1985-02-04,1.6262,1.6262,1.6262,1.6262
CADNZD,1985-02-11,1.644,1.644,1.644,1.644
CADNZD,1985-02-18,1.6356,1.6356,1.6356,1.6356
CADNZD,1985-02-25,1.6949,1.6949,1.6949,1.6949
