ticker,date,open,high,low,close
CADSGD,1984-01-09,1.7017,1.7017,1.7017,1.7017
CADSGD,1984-01-16,1.705,1.705,1.705,1.705
CADSGD,1984-01-23,1.7028,1.7028,1.7028,1.7028
CADSGD,1984-01-30,1.7099,1.7099,1.7099,1.7099
CADSGD,1984-02-06,1.7052,1.7052,1.7052,1.7052
CADSGD,1984-02-13,1.7009,1.7009,1.7009,1.7009
CADSGD,1984-02-20,1.7126,1.7126,1.7126,1.7126
CADSGD,1984-03-01,1.7023,1.7023,1.7023,1.7023
CADSGD,1984-03-05,1.6583,1.6583,1.6583,1.6583
CADSGD,1984-03-12,1.6718,1.6718,1.6718,1.6718
CADSGD,1984-03-19,1.6585,1.6585,1.6585,1.6585
CADSGD,1984-03-26,1.6396,1.6396,1.6396,1.6396
CADSGD,1984-04-02,1.6272,1.6272,1.6272,1.6272
CADSGD,1984-04-09,1.6432,1.6432,1.6432,1.6432
CADSGD,1984-04-16,1.636,1.636,1.636,1.636
CADSGD,1984-04-24,1.6258,1.6258,1.6258,1.6258
CADSGD,1984-05-02,1.6349,1.6349,1.6349,1.6349
CADSGD,1984-05-07,1.6164,1.6164,1.6164,1.6164
CADSGD,1984-05-14,1.629,1.629,1.629,1.629
CADSGD,1984-05-21,1.6362,1.6362,1.6362,1.6362
CADSGD,1984-05-28,1.6347,1.6347,1.6347,1.6347
CADSGD,1984-06-04,1.6166,1.6166,1.6166,1.6166
CADSGD,1984-06-11,1.6259,1.6259,1.6259,1.6259
CADSGD,1984-06-18,1.6237,1.6237,1.6237,1.6237
CADSGD,1984-06-25,1.6413,1.6413,1.6413,1.6413
CADSGD,1984-07-02,1.6208,1.6208,1.6208,1.6208
CADSGD,1984-07-09,1.6323,1.6323,1.6323,1.6323
CADSGD,1984-07-16,1.6153,1.6153,1.6153,1.6153
CADSGD,1984-07-23,1.616,1.616,1.616,1.616
CADSGD,1984-07-30,1.6299,1.6299,1.6299,1.6299
CADSGD,1984-08-06,1.6368,1.6368,1.6368,1.6368
CADSGD,1984-08-13,1.6458,1.6458,1.6458,1.6458
CADSGD,1984-08-20,1.6482,1.6482,1.6482,1.6482
CADSGD,1984-08-27,1.6484,1.6484,1.6484,1.6484
CADSGD,1984-09-01,1.6516,1.6516,1.6516,1.6516
CADSGD,1984-09-10,1.6629,1.6629,1.6629,1.6629
CADSGD,1984-09-17,1.6458,1.6458,1.6458,1.6458
CADSGD,1984-09-24,1.638,1.638,1.638,1.638
CADSGD,1984-10-01,1.6427,1.6427,1.6427,1.6427
CADSGD,1984-10-08,1.6522,1.6522,1.6522,1.6522
CADSGD,1984-10-15,1.6441,1.6441,1.6441,1.6441
CADSGD,1984-10-22,1.6328,1.6328,1.6328,1.6328
CADSGD,1984-10-29,1.6407,1.6407,1.6407,1.6407
CADSGD,1984-11-05,1.6303,1.6303,1.6303,1.6303
CADSGD,1984-11-12,1.6431,1.6431,1.6431,1.6431
CADSGD,1984-11-19,1.6352,1.6352,1.6352,1.6352
CADSGD,1984-11-26,1.6443,1.6443,1.6443,1.6443
CADSGD,1984-12-01,1.6382,1.6382,1.6382,1.6382
CADSGD,1984-12-10,1.6413,1.6413,1.6413,1.6413
CADSGD,1984-12-17,1.6503,1.6503,1.6503,1.6503
CADSGD,1984-12-24,1.6515,1.6515,1.6515,1.6515
CADSGD,1985-01-01,1.6552,1.6552,1.6552,1.6552
CADSGD,1985-01-07,1.666,1.666,1.666,1.666
CADSGD,1985-01-14,1.6778,1.6778,1.6778,1.6778
CADSGD,1985-01-21,1.6691,1.6691,1.6691,1.6691
CADSGD,1985-01-28,1.6702,1.6702,1.6702,1.6702
CADSGD,1985-02-04,1.6836,1.6836,1.6836,1.6836
CADSGD,1985-02-11,1.6973,1.6973,1.6973,1.6973
CADSGD,1985-02-18,1.6908,1.6908,1.6908,1.6908
CADSGD,1985-02-25,1.7003,1.7003,1.7003,1.7003
CADSGD,1985-03-04,1.6492,1.6492,1.6492,1.6492
CADSGD,1985-03-11,1.6075,1.6075,1.6075,1.6075
CADSGD,1985-03-18,1.6385,1.6385,1.6385,1.6385
CADSGD,1985-03-25,1.6391,1.6391,1.6391,1.6391
CADSGD,1985-03-29,1.6118,1.6118,1.6118,1.6118
CADSGD,1985-04-01,1.6279,1.6279,1.6279,1.6279
CADSGD,1985-04-09,1.6382,1.6382,1.6382,1.6382
CADSGD,1985-04-15,1.6011,1.6011,1.6011,1.6011
