ticker,date,open,high,low,close
CADUSD,1984-01-02,0.8036,0.8036,0.8036,0.8036
CADUSD,1984-01-09,0.8012,0.8012,0.8012,0.8012
CADUSD,1984-01-16,0.7981,0.7981,0.7981,0.7981
CADUSD,1984-01-23,0.803,0.803,0.803,0.803
CADUSD,1984-01-30,0.8017,0.8017,0.8017,0.8017
CADUSD,1984-02-06,0.8008,0.8008,0.8008,0.8008
CADUSD,1984-02-13,0.8028,0.8028,0.8028,0.8028
CADUSD,1984-02-20,0.8016,0.8016,0.8016,0.8016
CADUSD,1984-03-01,0.8016,0.8016,0.8016,0.8016
CADUSD,1984-03-05,0.7987,0.7987,0.7987,0.7987
CADUSD,1984-03-12,0.7975,0.7975,0.7975,0.7975
CADUSD,1984-03-19,0.7898,0.7898,0.7898,0.7898
CADUSD,1984-03-26,0.784,0.784,0.784,0.784
CADUSD,1984-04-02,0.7815,0.7815,0.7815,0.7815
CADUSD,1984-04-09,0.783,0.783,0.783,0.783
CADUSD,1984-04-16,0.7814,0.7814,0.7814,0.7814
CADUSD,1984-04-24,0.7815,0.7815,0.7815,0.7815
CADUSD,1984-05-02,0.7816,0.7816,0.7816,0.7816
CADUSD,1984-05-07,0.7726,0.7726,0.7726,0.7726
CADUSD,1984-05-14,0.7718,0.7718,0.7718,0.7718
CADUSD,1984-05-21,0.7726,0.7726,0.7726,0.7726
CADUSD,1984-05-28,0.7729,0.7729,0.7729,0.7729
CADUSD,1984-06-04,0.7722,0.7722,0.7722,0.7722
CADUSD,1984-06-11,0.7711,0.7711,0.7711,0.7711
CADUSD,1984-06-18,0.7684,0.7684,0.7684,0.7684
CADUSD,1984-06-25,0.7689,0.7689,0.7689,0.7689
CADUSD,1984-07-02,0.7612,0.7612,0.7612,0.7612
CADUSD,1984-07-09,0.759,0.759,0.759,0.759
CADUSD,1984-07-16,0.753,0.753,0.753,0.753
CADUSD,1984-07-23,0.7524,0.7524,0.7524,0.7524
CADUSD,1984-07-30,0.757,0.757,0.757,0.757
CADUSD,1984-08-06,0.7613,0.7613,0.7613,0.7613
CADUSD,1984-08-13,0.7639,0.7639,0.7639,0.7639
CADUSD,1984-08-20,0.767,0.767,0.767,0.767
CADUSD,1984-08-27,0.7681,0.7681,0.7681,0.7681
CADUSD,1984-09-01,0.7707,0.7707,0.7707,0.7707
CADUSD,1984-09-10,0.7718,0.7718,0.7718,0.7718
CADUSD,1984-09-17,0.7596,0.7596,0.7596,0.7596
CADUSD,1984-09-24,0.7589,0.7589,0.7589,0.7589
CADUSD,1984-10-01,0.7596,0.7596,0.7596,0.7596
CADUSD,1984-10-08,0.7602,0.7602,0.7602,0.7602
CADUSD,1984-10-15,0.7579,0.7579,0.7579,0.7579
CADUSD,1984-10-22,0.7546,0.7546,0.7546,0.7546
CADUSD,1984-10-29,0.7591,0.7591,0.7591,0.7591
CADUSD,1984-11-05,0.7588,0.7588,0.7588,0.7588
CADUSD,1984-11-12,0.7642,0.7642,0.7642,0.7642
CADUSD,1984-11-19,0.7611,0.7611,0.7611,0.7611
CADUSD,1984-11-26,0.7599,0.7599,0.7599,0.7599
CADUSD,1984-12-01,0.7579,0.7579,0.7579,0.7579
CADUSD,1984-12-10,0.7555,0.7555,0.7555,0.7555
CADUSD,1984-12-17,0.7579,0.7579,0.7579,0.7579
CADUSD,1984-12-24,0.7575,0.7575,0.7575,0.7575
CADUSD,1985-01-01,0.7604,0.7604,0.7604,0.7604
CADUSD,1985-01-07,0.7559,0.7559,0.7559,0.7559
CADUSD,1985-01-14,0.7585,0.7585,0.7585,0.7585
CADUSD,1985-01-21,0.7553,0.7553,0.7553,0.7553
CADUSD,1985-01-28,0.7552,0.7552,0.7552,0.7552
CADUSD,1985-02-04,0.7543,0.7543,0.7543,0.7543
CADUSD,1985-02-11,0.7499,0.7499,0.7499,0.7499
CADUSD,1985-02-18,0.7473,0.7473,0.7473,0.7473
CADUSD,1985-02-25,0.7456,0.7456,0.7456,0.7456
CADUSD,1985-03-04,0.7231,0.7231,0.7231,0.7231
CADUSD,1985-03-11,0.7117,0.7117,0.7117,0.7117
CADUSD,1985-03-18,0.7213,0.7213,0.7213,0.7213
CADUSD,1985-03-25,0.7257,0.7257,0.7257,0.7257
CADUSD,1985-03-29,0.7304,0.7304,0.7304,0.7304
CADUSD,1985-04-01,0.7321,0.7321,0.7321,0.7321
CADUSD,1985-04-09,0.7305,0.7305,0.7305,0.7305
CADUSD,1985-04-15,0.7285,0.7285,0.7285,0.7285
CADUSD,1985-04-22,0.7307,0.7307,0.7307,0.7307
CADUSD,1985-04-29,0.7377,0.7377,0.7377,0.7377
CADUSD,1985-05-06,0.7326,0.7326,0.7326,0.7326
CADUSD,1985-05-13,0.7232,0.7232,0.7232,0.7232
CADUSD,1985-05-20,0.7274,0.7274,0.7274,0.7274
CADUSD,1985-05-27,0.7307,0.7307,0.7307,0.7307
CADUSD,1985-06-01,0.727,0.727,0.727,0.727
CADUSD,1985-06-10,0.7297,0.7297,0.7297,0.7297
CADUSD,1985-06-17,0.7287,0.7287,0.7287,0.7287
CADUSD,1985-06-24,0.7302,0.7302,0.7302,0.7302
CADUSD,1985-07-01,0.734,0.734,0.734,0.734
CADUSD,1985-07-08,0.736,0.736,0.736,0.736
CADUSD,1985-07-15,0.738,0.738,0.738,0.738
CADUSD,1985-07-23,0.7416,0.7416,0.7416,0.7416
CADUSD,1985-07-29,0.7436,0.7436,0.7436,0.7436
CADUSD,1985-08-05,0.7405,0.7405,0.7405,0.7405
CADUSD,1985-08-12,0.736,0.736,0.736,0.736
