ticker,date,open,high,low,close
CADZAR,1984-01-09,1.0149,1.0149,1.0149,1.0149
CADZAR,1984-01-16,0.9998,0.9998,0.9998,0.9998
CADZAR,1984-01-23,0.9998,0.9998,0.9998,0.9998
CADZAR,1984-01-30,1.0207,1.0207,1.0207,1.0207
CADZAR,1984-02-06,0.9974,0.9974,0.9974,0.9974
CADZAR,1984-02-13,0.9948,0.9948,0.9948,0.9948
CADZAR,1984-02-20,1.001,1.001,1.001,1.001
CADZAR,1984-03-01,0.9658,0.9658,0.9658,0.9658
CADZAR,1984-03-05,0.9525,0.9525,0.9525,0.9525
CADZAR,1984-03-12,0.969,0.969,0.969,0.969
CADZAR,1984-03-19,0.9814,0.9814,0.9814,0.9814
CADZAR,1984-03-26,0.9711,0.9711,0.9711,0.9711
CADZAR,1984-04-02,0.9704,0.9704,0.9704,0.9704
CADZAR,1984-04-09,0.9818,0.9818,0.9818,0.9818
CADZAR,1984-04-16,0.9778,0.9778,0.9778,0.9778
CADZAR,1984-04-24,0.9759,0.9759,0.9759,0.9759
CADZAR,1984-05-02,0.9847,0.9847,0.9847,0.9847
CADZAR,1984-05-07,0.9746,0.9746,0.9746,0.9746
CADZAR,1984-05-14,1.0036,1.0036,1.0036,1.0036
CADZAR,1984-05-21,0.9908,0.9908,0.9908,0.9908
CADZAR,1984-05-28,0.9899,0.9899,0.9899,0.9899
CADZAR,1984-06-04,0.9781,0.9781,0.9781,0.9781
CADZAR,1984-06-11,0.9961,0.9961,0.9961,0.9961
CADZAR,1984-06-18,1.0045,1.0045,1.0045,1.0045
CADZAR,1984-06-25,1.0377,1.0377,1.0377,1.0377
CADZAR,1984-07-02,1.037,1.037,1.037,1.037
CADZAR,1984-07-09,1.1264,1.1264,1.1264,1.1264
CADZAR,1984-07-16,1.1093,1.1093,1.1093,1.1093
CADZAR,1984-07-23,1.1537,1.1537,1.1537,1.1537
CADZAR,1984-07-30,1.233,1.233,1.233,1.233
CADZAR,1984-08-06,1.1947,1.1947,1.1947,1.1947
CADZAR,1984-08-13,1.2279,1.2279,1.2279,1.2279
CADZAR,1984-08-20,1.1866,1.1866,1.1866,1.1866
CADZAR,1984-08-27,1.1982,1.1982,1.1982,1.1982
CADZAR,1984-09-01,1.2015,1.2015,1.2015,1.2015
CADZAR,1984-09-10,1.2761,1.2761,1.2761,1.2761
CADZAR,1984-09-17,1.2759,1.2759,1.2759,1.2759
CADZAR,1984-09-24,1.262,1.262,1.262,1.262
CADZAR,1984-10-01,1.2725,1.2725,1.2725,1.2725
CADZAR,1984-10-08,1.2813,1.2813,1.2813,1.2813
CADZAR,1984-10-15,1.3469,1.3469,1.3469,1.3469
CADZAR,1984-10-22,1.3533,1.3533,1.3533,1.3533
CADZAR,1984-10-29,1.4713,1.4713,1.4713,1.4713
CADZAR,1984-11-05,1.3663,1.3663,1.3663,1.3663
CADZAR,1984-11-12,1.3776,1.3776,1.3776,1.3776
CADZAR,1984-11-19,1.3671,1.3671,1.3671,1.3671
CADZAR,1984-11-26,1.3806,1.3806,1.3806,1.3806
CADZAR,1984-12-01,1.3774,1.3774,1.3774,1.3774
CADZAR,1984-12-10,1.382,1.382,1.382,1.382
CADZAR,1984-12-17,1.4477,1.4477,1.4477,1.4477
CADZAR,1984-12-24,1.4871,1.4871,1.4871,1.4871
CADZAR,1985-01-01,1.4906,1.4906,1.4906,1.4906
CADZAR,1985-01-07,1.5855,1.5855,1.5855,1.5855
CADZAR,1985-01-14,1.7162,1.7162,1.7162,1.7162
CADZAR,1985-01-21,1.7097,1.7097,1.7097,1.7097
CADZAR,1985-01-28,1.6163,1.6163,1.6163,1.6163
CADZAR,1985-02-04,1.5312,1.5312,1.5312,1.5312
CADZAR,1985-02-11,1.4136,1.4136,1.4136,1.4136
CADZAR,1985-02-18,1.4079,1.4079,1.4079,1.4079
CADZAR,1985-02-25,1.6167,1.6167,1.6167,1.6167
CADZAR,1985-03-04,1.5037,1.5037,1.5037,1.5037
CADZAR,1985-03-11,1.4226,1.4226,1.4226,1.4226
CADZAR,1985-03-18,1.4433,1.4433,1.4433,1.4433
CADZAR,1985-03-25,1.4502,1.4502,1.4502,1.4502
CADZAR,1985-03-29,1.3822,1.3822,1.3822,1.3822
CADZAR,1985-04-01,1.4196,1.4196,1.4196,1.4196
CADZAR,1985-04-09,1.4488,1.4488,1.4488,1.4488
CADZAR,1985-04-15,1.3733,1.3733,1.3733,1.3733
CADZAR,1985-04-22,1.3917,1.3917,1.3917,1.3917
CADZAR,1985-04-29,1.4408,1.4408,1.4408,1.4408
CADZAR,1985-05-06,1.4937,1.4937,1.4937,1.4937
CADZAR,1985-05-13,1.417,1.417,1.417,1.417
CADZAR,1985-05-20,1.4467,1.4467,1.4467,1.4467
CADZAR,1985-05-27,1.4503,1.4503,1.4503,1.4503
CADZAR,1985-06-01,1.4413,1.4413,1.4413,1.4413
CADZAR,1985-06-10,1.4622,1.4622,1.4622,1.4622
CADZAR,1985-06-17,1.4425,1.4425,1.4425,1.4425
CADZAR,1985-06-24,1.4428,1.4428,1.4428,1.4428
CADZAR,1985-07-01,1.4536,1.4536,1.4536,1.4536
CADZAR,1985-07-08,1.4416,1.4416,1.4416,1.4416
CADZAR,1985-07-15,1.4102,1.4102,1.4102,1.4102
CADZAR,1985-07-23,1.3994,1.3994,1.3994,1.3994
CADZAR,1985-07-29,1.5192,1.5192,1.5192,1.5192
CADZAR,1985-08-05,1.6409,1.6409,1.6409,1.6409
CADZAR,1985-08-12,1.5334,1.5334,1.5334,1.5334
CADZAR,1985-08-19,1.7837,1.7837,1.7837,1.7837
CADZAR,1985-08-26,1.8711,1.8711,1.8711,1.8711
CADZAR,1985-09-02,1.8701,1.8701,1.8701,1.8701
CADZAR,1985-09-09,1.9009,1.9009,1.9009,1.9009
CADZAR,1985-09-16,1.7682,1.7682,1.7682,1.7682
CADZAR,1985-09-23,1.8301,1.8301,1.8301,1.8301
CADZAR,1985-09-30,1.8721,1.8721,1.8721,1.8721
CADZAR,1985-10-07,1.9182,1.9182,1.9182,1.9182
CADZAR,1985-10-14,1.9316,1.9316,1.9316,1.9316
CADZAR,1985-10-21,1.8942,1.8942,1.8942,1.8942
CADZAR,1985-10-28,1.9155,1.9155,1.9155,1.9155
CADZAR,1985-11-04,1.8885,1.8885,1.8885,1.8885
CADZAR,1985-11-11,1.8722,1.8722,1.8722,1.8722
CADZAR,1985-11-18,1.9542,1.9542,1.9542,1.9542
CADZAR,1985-11-25,1.9333,1.9333,1.9333,1.9333
CADZAR,1985-12-02,2.041,2.041,2.041,2.041
CADZAR,1985-12-09,1.9148,1.9148,1.9148,1.9148
