ticker,date,open,high,low,close
CHFCAD,1984-01-02,0.569,0.569,0.569,0.569
CHFCAD,1984-01-09,0.5602,0.5602,0.5602,0.5602
CHFCAD,1984-01-16,0.5556,0.5556,0.5556,0.5556
CHFCAD,1984-01-23,0.561,0.561,0.561,0.561
CHFCAD,1984-01-30,0.5549,0.5549,0.5549,0.5549
CHFCAD,1984-02-06,0.5566,0.5566,0.5566,0.5566
CHFCAD,1984-02-13,0.5579,0.5579,0.5579,0.5579
CHFCAD,1984-02-20,0.557,0.557,0.557,0.557
CHFCAD,1984-03-01,0.5677,0.5677,0.5677,0.5677
CHFCAD,1984-03-05,0.5794,0.5794,0.5794,0.5794
CHFCAD,1984-03-12,0.5954,0.5954,0.5954,0.5954
CHFCAD,1984-03-19,0.5991,0.5991,0.5991,0.5991
CHFCAD,1984-03-26,0.5917,0.5917,0.5917,0.5917
CHFCAD,1984-04-02,0.5957,0.5957,0.5957,0.5957
CHFCAD,1984-04-09,0.5904,0.5904,0.5904,0.5904
CHFCAD,1984-04-16,0.5877,0.5877,0.5877,0.5877
CHFCAD,1984-04-24,0.5853,0.5853,0.5853,0.5853
CHFCAD,1984-05-02,0.5772,0.5772,0.5772,0.5772
CHFCAD,1984-05-07,0.5763,0.5763,0.5763,0.5763
CHFCAD,1984-05-14,0.5674,0.5674,0.5674,0.5674
CHFCAD,1984-05-21,0.5679,0.5679,0.5679,0.5679
CHFCAD,1984-05-28,0.5703,0.5703,0.5703,0.5703
CHFCAD,1984-06-04,0.5739,0.5739,0.5739,0.5739
CHFCAD,1984-06-11,0.5835,0.5835,0.5835,0.5835
CHFCAD,1984-06-18,0.5744,0.5744,0.5744,0.5744
CHFCAD,1984-06-25,0.5684,0.5684,0.5684,0.5684
CHFCAD,1984-07-02,0.5669,0.5669,0.5669,0.5669
CHFCAD,1984-07-09,0.5592,0.5592,0.5592,0.5592
CHFCAD,1984-07-16,0.5573,0.5573,0.5573,0.5573
CHFCAD,1984-07-23,0.5529,0.5529,0.5529,0.5529
CHFCAD,1984-07-30,0.5389,0.5389,0.5389,0.5389
CHFCAD,1984-08-06,0.5334,0.5334,0.5334,0.5334
CHFCAD,1984-08-13,0.5354,0.5354,0.5354,0.5354
CHFCAD,1984-08-20,0.535,0.535,0.535,0.535
CHFCAD,1984-08-27,0.5401,0.5401,0.5401,0.5401
CHFCAD,1984-09-01,0.5422,0.5422,0.5422,0.5422
CHFCAD,1984-09-10,0.5314,0.5314,0.5314,0.5314
CHFCAD,1984-09-17,0.5276,0.5276,0.5276,0.5276
CHFCAD,1984-09-24,0.5186,0.5186,0.5186,0.5186
CHFCAD,1984-10-01,0.5222,0.5222,0.5222,0.5222
CHFCAD,1984-10-08,0.524,0.524,0.524,0.524
CHFCAD,1984-10-15,0.5213,0.5213,0.5213,0.5213
CHFCAD,1984-10-22,0.515,0.515,0.515,0.515
CHFCAD,1984-10-29,0.5225,0.5225,0.5225,0.5225
CHFCAD,1984-11-05,0.5244,0.5244,0.5244,0.5244
CHFCAD,1984-11-12,0.5421,0.5421,0.5421,0.5421
CHFCAD,1984-11-19,0.5454,0.5454,0.5454,0.5454
CHFCAD,1984-11-26,0.5334,0.5334,0.5334,0.5334
CHFCAD,1984-12-01,0.5243,0.5243,0.5243,0.5243
CHFCAD,1984-12-10,0.5191,0.5191,0.5191,0.5191
CHFCAD,1984-12-17,0.518,0.518,0.518,0.518
CHFCAD,1984-12-24,0.5174,0.5174,0.5174,0.5174
CHFCAD,1985-01-01,0.5125,0.5125,0.5125,0.5125
CHFCAD,1985-01-07,0.5061,0.5061,0.5061,0.5061
CHFCAD,1985-01-14,0.5029,0.5029,0.5029,0.5029
CHFCAD,1985-01-21,0.49421,0.49421,0.49421,0.49421
CHFCAD,1985-01-28,0.4943,0.4943,0.4943,0.4943
CHFCAD,1985-02-04,0.49871,0.49871,0.49871,0.49871
CHFCAD,1985-02-11,0.48689,0.48689,0.48689,0.48689
CHFCAD,1985-02-18,0.47979,0.47979,0.47979,0.47979
CHFCAD,1985-02-25,0.47753,0.47753,0.47753,0.47753
CHFCAD,1985-03-04,0.48362,0.48362,0.48362,0.48362
CHFCAD,1985-03-11,0.47816,0.47816,0.47816,0.47816
CHFCAD,1985-03-18,0.48993,0.48993,0.48993,0.48993
CHFCAD,1985-03-25,0.48906,0.48906,0.48906,0.48906
CHFCAD,1985-03-29,0.5118,0.5118,0.5118,0.5118
CHFCAD,1985-04-01,0.5132,0.5132,0.5132,0.5132
CHFCAD,1985-04-09,0.5203,0.5203,0.5203,0.5203
CHFCAD,1985-04-15,0.5164,0.5164,0.5164,0.5164
CHFCAD,1985-04-22,0.5458,0.5458,0.5458,0.5458
CHFCAD,1985-04-29,0.5405,0.5405,0.5405,0.5405
CHFCAD,1985-05-06,0.5288,0.5288,0.5288,0.5288
CHFCAD,1985-05-13,0.5169,0.5169,0.5169,0.5169
CHFCAD,1985-05-20,0.5321,0.5321,0.5321,0.5321
CHFCAD,1985-05-27,0.533,0.533,0.533,0.533
CHFCAD,1985-06-01,0.5281,0.5281,0.5281,0.5281
CHFCAD,1985-06-10,0.5357,0.5357,0.5357,0.5357
CHFCAD,1985-06-17,0.5269,0.5269,0.5269,0.5269
CHFCAD,1985-06-24,0.5352,0.5352,0.5352,0.5352
CHFCAD,1985-07-01,0.5325,0.5325,0.5325,0.5325
CHFCAD,1985-07-08,0.5313,0.5313,0.5313,0.5313
CHFCAD,1985-07-15,0.5418,0.5418,0.5418,0.5418
CHFCAD,1985-07-23,0.5631,0.5631,0.5631,0.5631
CHFCAD,1985-07-29,0.5757,0.5757,0.5757,0.5757
CHFCAD,1985-08-05,0.5855,0.5855,0.5855,0.5855
CHFCAD,1985-08-12,0.5765,0.5765,0.5765,0.5765
CHFCAD,1985-08-19,0.5939,0.5939,0.5939,0.5939
CHFCAD,1985-08-26,0.5992,0.5992,0.5992,0.5992
CHFCAD,1985-09-02,0.5973,0.5973,0.5973,0.5973
CHFCAD,1985-09-09,0.5864,0.5864,0.5864,0.5864
CHFCAD,1985-09-16,0.5647,0.5647,0.5647,0.5647
CHFCAD,1985-09-23,0.58,0.58,0.58,0.58
CHFCAD,1985-09-30,0.613,0.613,0.613,0.613
CHFCAD,1985-10-07,0.6284,0.6284,0.6284,0.6284
CHFCAD,1985-10-14,0.6299,0.6299,0.6299,0.6299
CHFCAD,1985-10-21,0.6271,0.6271,0.6271,0.6271
CHFCAD,1985-10-28,0.6289,0.6289,0.6289,0.6289
CHFCAD,1985-11-04,0.6327,0.6327,0.6327,0.6327
CHFCAD,1985-11-11,0.639,0.639,0.639,0.639
CHFCAD,1985-11-18,0.6393,0.6393,0.6393,0.6393
CHFCAD,1985-11-25,0.6446,0.6446,0.6446,0.6446
CHFCAD,1985-12-02,0.6541,0.6541,0.6541,0.6541
CHFCAD,1985-12-09,0.6581,0.6581,0.6581,0.6581
CHFCAD,1985-12-16,0.6597,0.6597,0.6597,0.6597
CHFCAD,1985-12-23,0.6642,0.6642,0.6642,0.6642
CHFCAD,1986-01-01,0.6608,0.6608,0.6608,0.6608
CHFCAD,1986-01-06,0.6736,0.6736,0.6736,0.6736
CHFCAD,1986-01-13,0.6805,0.6805,0.6805,0.6805
CHFCAD,1986-01-20,0.6674,0.6674,0.6674,0.6674
