ticker,date,open,high,low,close
CHFCNY,1984-01-09,1.5885,1.5885,1.5885,1.5885
CHFCNY,1984-01-16,1.6236,1.6236,1.6236,1.6236
CHFCNY,1984-01-23,1.6236,1.6236,1.6236,1.6236
CHFCNY,1984-01-30,1.6236,1.6236,1.6236,1.6236
CHFCNY,1984-02-06,1.6236,1.6236,1.6236,1.6236
CHFCNY,1984-02-13,1.6236,1.6236,1.6236,1.6236
CHFCNY,1984-02-20,1.6604,1.6604,1.6604,1.6604
CHFCNY,1984-03-01,1.6393,1.6393,1.6393,1.6393
CHFCNY,1984-03-05,1.6722,1.6722,1.6722,1.6722
CHFCNY,1984-03-12,1.7347,1.7347,1.7347,1.7347
CHFCNY,1984-03-19,1.7347,1.7347,1.7347,1.7347
CHFCNY,1984-03-26,1.7347,1.7347,1.7347,1.7347
CHFCNY,1984-04-02,1.7057,1.7057,1.7057,1.7057
CHFCNY,1984-04-09,1.7347,1.7347,1.7347,1.7347
CHFCNY,1984-04-16,1.7007,1.7007,1.7007,1.7007
CHFCNY,1984-04-24,1.7007,1.7007,1.7007,1.7007
CHFCNY,1984-05-02,1.7361,1.7361,1.7361,1.7361
CHFCNY,1984-05-07,1.7014,1.7014,1.7014,1.7014
CHFCNY,1984-05-14,1.7014,1.7014,1.7014,1.7014
CHFCNY,1984-05-21,1.7376,1.7376,1.7376,1.7376
CHFCNY,1984-05-28,1.7376,1.7376,1.7376,1.7376
CHFCNY,1984-06-04,1.7014,1.7014,1.7014,1.7014
CHFCNY,1984-06-11,1.7731,1.7731,1.7731,1.7731
CHFCNY,1984-06-18,1.7376,1.7376,1.7376,1.7376
CHFCNY,1984-06-25,1.7376,1.7376,1.7376,1.7376
CHFCNY,1984-07-02,1.7021,1.7021,1.7021,1.7021
CHFCNY,1984-07-09,1.7329,1.7329,1.7329,1.7329
CHFCNY,1984-07-16,1.6968,1.6968,1.6968,1.6968
CHFCNY,1984-07-23,1.6968,1.6968,1.6968,1.6968
CHFCNY,1984-07-30,1.6974,1.6974,1.6974,1.6974
CHFCNY,1984-08-06,1.6607,1.6607,1.6607,1.6607
CHFCNY,1984-08-13,1.7359,1.7359,1.7359,1.7359
