ticker,date,open,high,low,close
CHFDKK,1984-01-02,4.5517,4.5517,4.5517,4.5517
CHFDKK,1984-01-09,4.5133,4.5133,4.5133,4.5133
CHFDKK,1984-01-16,4.5506,4.5506,4.5506,4.5506
CHFDKK,1984-01-23,4.5466,4.5466,4.5466,4.5466
CHFDKK,1984-01-30,4.5579,4.5579,4.5579,4.5579
CHFDKK,1984-02-06,4.5495,4.5495,4.5495,4.5495
CHFDKK,1984-02-13,4.4975,4.4975,4.4975,4.4975
CHFDKK,1984-02-20,4.4548,4.4548,4.4548,4.4548
CHFDKK,1984-03-01,4.4458,4.4458,4.4458,4.4458
CHFDKK,1984-03-05,4.4168,4.4168,4.4168,4.4168
CHFDKK,1984-03-12,4.4516,4.4516,4.4516,4.4516
CHFDKK,1984-03-19,4.4198,4.4198,4.4198,4.4198
CHFDKK,1984-03-26,4.4509,4.4509,4.4509,4.4509
CHFDKK,1984-04-02,4.4155,4.4155,4.4155,4.4155
CHFDKK,1984-04-09,4.4529,4.4529,4.4529,4.4529
CHFDKK,1984-04-16,4.4339,4.4339,4.4339,4.4339
CHFDKK,1984-04-24,4.4263,4.4263,4.4263,4.4263
CHFDKK,1984-05-02,4.4481,4.4481,4.4481,4.4481
CHFDKK,1984-05-07,4.4518,4.4518,4.4518,4.4518
CHFDKK,1984-05-14,4.4444,4.4444,4.4444,4.4444
CHFDKK,1984-05-21,4.4225,4.4225,4.4225,4.4225
CHFDKK,1984-05-28,4.437,4.437,4.437,4.437
CHFDKK,1984-06-04,4.4498,4.4498,4.4498,4.4498
CHFDKK,1984-06-11,4.4096,4.4096,4.4096,4.4096
CHFDKK,1984-06-18,4.4027,4.4027,4.4027,4.4027
CHFDKK,1984-06-25,4.4142,4.4142,4.4142,4.4142
CHFDKK,1984-07-02,4.3892,4.3892,4.3892,4.3892
CHFDKK,1984-07-09,4.3704,4.3704,4.3704,4.3704
CHFDKK,1984-07-16,4.3395,4.3395,4.3395,4.3395
CHFDKK,1984-07-23,4.3192,4.3192,4.3192,4.3192
CHFDKK,1984-07-30,4.2893,4.2893,4.2893,4.2893
CHFDKK,1984-08-06,4.296,4.296,4.296,4.296
CHFDKK,1984-08-13,4.3318,4.3318,4.3318,4.3318
