ticker,date,open,high,low,close
CHFHKD,1984-01-09,3.4827,3.4827,3.4827,3.4827
CHFHKD,1984-01-16,3.4685,3.4685,3.4685,3.4685
CHFHKD,1984-01-23,3.4976,3.4976,3.4976,3.4976
CHFHKD,1984-01-30,3.474,3.474,3.474,3.474
CHFHKD,1984-02-06,3.4748,3.4748,3.4748,3.4748
CHFHKD,1984-02-13,3.474,3.474,3.474,3.474
CHFHKD,1984-02-20,3.4825,3.4825,3.4825,3.4825
CHFHKD,1984-03-01,3.5504,3.5504,3.5504,3.5504
CHFHKD,1984-03-05,3.6029,3.6029,3.6029,3.6029
CHFHKD,1984-03-12,3.7022,3.7022,3.7022,3.7022
CHFHKD,1984-03-19,3.7152,3.7152,3.7152,3.7152
CHFHKD,1984-03-26,3.6243,3.6243,3.6243,3.6243
CHFHKD,1984-04-02,3.6207,3.6207,3.6207,3.6207
CHFHKD,1984-04-09,3.61,3.61,3.61,3.61
CHFHKD,1984-04-16,3.5914,3.5914,3.5914,3.5914
CHFHKD,1984-04-24,3.5567,3.5567,3.5567,3.5567
CHFHKD,1984-05-02,3.527,3.527,3.527,3.527
CHFHKD,1984-05-07,3.4768,3.4768,3.4768,3.4768
CHFHKD,1984-05-14,3.4366,3.4366,3.4366,3.4366
CHFHKD,1984-05-21,3.4352,3.4352,3.4352,3.4352
CHFHKD,1984-05-28,3.4465,3.4465,3.4465,3.4465
CHFHKD,1984-06-04,3.4627,3.4627,3.4627,3.4627
CHFHKD,1984-06-11,3.5121,3.5121,3.5121,3.5121
CHFHKD,1984-06-18,3.4416,3.4416,3.4416,3.4416
CHFHKD,1984-06-25,3.4225,3.4225,3.4225,3.4225
CHFHKD,1984-07-02,3.3671,3.3671,3.3671,3.3671
CHFHKD,1984-07-09,3.3486,3.3486,3.3486,3.3486
CHFHKD,1984-07-16,3.2986,3.2986,3.2986,3.2986
CHFHKD,1984-07-23,3.2514,3.2514,3.2514,3.2514
