ticker,date,open,high,low,close
CHFKRW,1984-01-09,356.69,356.69,356.69,356.69
CHFKRW,1984-01-16,355.24,355.24,355.24,355.24
CHFKRW,1984-01-23,358.23,358.23,358.23,358.23
CHFKRW,1984-01-30,355.81,355.81,355.81,355.81
CHFKRW,1984-02-06,355.89,355.89,355.89,355.89
CHFKRW,1984-02-13,355.81,355.81,355.81,355.81
CHFKRW,1984-02-20,359.67,359.67,359.67,359.67
CHFKRW,1984-03-01,362.75,362.75,362.75,362.75
CHFKRW,1984-03-05,368.18,368.18,368.18,368.18
CHFKRW,1984-03-12,378.38,378.38,378.38,378.38
CHFKRW,1984-03-19,376.99,376.99,376.99,376.99
CHFKRW,1984-03-26,370.37,370.37,370.37,370.37
CHFKRW,1984-04-02,370.0,370.0,370.0,370.0
CHFKRW,1984-04-09,368.9,368.9,368.9,368.9
CHFKRW,1984-04-16,367.01,367.01,367.01,367.01
CHFKRW,1984-04-24,363.41,363.41,363.41,363.41
CHFKRW,1984-05-02,362.99,362.99,362.99,362.99
CHFKRW,1984-05-07,355.18,355.18,355.18,355.18
CHFKRW,1984-05-14,353.62,353.62,353.62,353.62
CHFKRW,1984-05-21,353.48,353.48,353.48,353.48
CHFKRW,1984-05-28,354.64,354.64,354.64,354.64
CHFKRW,1984-06-04,353.74,353.74,353.74,353.74
CHFKRW,1984-06-11,361.46,361.46,361.46,361.46
CHFKRW,1984-06-18,354.13,354.13,354.13,354.13
CHFKRW,1984-06-25,352.17,352.17,352.17,352.17
CHFKRW,1984-07-02,346.4,346.4,346.4,346.4
CHFKRW,1984-07-09,344.56,344.56,344.56,344.56
CHFKRW,1984-07-16,341.81,341.81,341.81,341.81
CHFKRW,1984-07-23,336.83,336.83,336.83,336.83
CHFKRW,1984-07-30,331.73,331.73,331.73,331.73
CHFKRW,1984-08-06,331.01,331.01,331.01,331.01
CHFKRW,1984-08-13,333.45,333.45,333.45,333.45
CHFKRW,1984-08-20,331.93,331.93,331.93,331.93
CHFKRW,1984-08-27,337.55,337.55,337.55,337.55
CHFKRW,1984-09-01,338.16,338.16,338.16,338.16
CHFKRW,1984-09-10,333.68,333.68,333.68,333.68
CHFKRW,1984-09-17,326.93,326.93,326.93,326.93
CHFKRW,1984-09-24,322.14,322.14,322.14,322.14
CHFKRW,1984-10-01,323.64,323.64,323.64,323.64
CHFKRW,1984-10-08,326.47,326.47,326.47,326.47
CHFKRW,1984-10-15,324.9,324.9,324.9,324.9
CHFKRW,1984-10-22,317.87,317.87,317.87,317.87
CHFKRW,1984-10-29,323.96,323.96,323.96,323.96
CHFKRW,1984-11-05,324.74,324.74,324.74,324.74
CHFKRW,1984-11-12,337.5,337.5,337.5,337.5
CHFKRW,1984-11-19,337.96,337.96,337.96,337.96
CHFKRW,1984-11-26,332.37,332.37,332.37,332.37
CHFKRW,1984-12-01,326.14,326.14,326.14,326.14
CHFKRW,1984-12-10,323.53,323.53,323.53,323.53
CHFKRW,1984-12-17,323.46,323.46,323.46,323.46
CHFKRW,1984-12-24,325.46,325.46,325.46,325.46
CHFKRW,1985-01-01,322.04,322.04,322.04,322.04
CHFKRW,1985-01-07,318.08,318.08,318.08,318.08
CHFKRW,1985-01-14,318.19,318.19,318.19,318.19
CHFKRW,1985-01-21,311.68,311.68,311.68,311.68
CHFKRW,1985-01-28,311.44,311.44,311.44,311.44
CHFKRW,1985-02-04,313.23,313.23,313.23,313.23
CHFKRW,1985-02-11,305.81,305.81,305.81,305.81
CHFKRW,1985-02-18,300.36,300.36,300.36,300.36
CHFKRW,1985-02-25,300.96,300.96,300.96,300.96
CHFKRW,1985-03-04,297.89,297.89,297.89,297.89
CHFKRW,1985-03-11,288.69,288.69,288.69,288.69
CHFKRW,1985-03-18,302.12,302.12,302.12,302.12
CHFKRW,1985-03-25,304.02,304.02,304.02,304.02
CHFKRW,1985-03-29,318.76,318.76,318.76,318.76
CHFKRW,1985-04-01,319.75,319.75,319.75,319.75
CHFKRW,1985-04-09,328.05,328.05,328.05,328.05
CHFKRW,1985-04-15,324.0,324.0,324.0,324.0
CHFKRW,1985-04-22,342.79,342.79,342.79,342.79
CHFKRW,1985-04-29,345.22,345.22,345.22,345.22
CHFKRW,1985-05-06,337.58,337.58,337.58,337.58
CHFKRW,1985-05-13,323.62,323.62,323.62,323.62
CHFKRW,1985-05-20,338.53,338.53,338.53,338.53
CHFKRW,1985-05-27,339.94,339.94,339.94,339.94
CHFKRW,1985-06-01,333.55,333.55,333.55,333.55
CHFKRW,1985-06-10,340.99,340.99,340.99,340.99
CHFKRW,1985-06-17,335.33,335.33,335.33,335.33
CHFKRW,1985-06-24,343.17,343.17,343.17,343.17
CHFKRW,1985-07-01,343.56,343.56,343.56,343.56
CHFKRW,1985-07-08,343.39,343.39,343.39,343.39
CHFKRW,1985-07-15,350.0,350.0,350.0,350.0
CHFKRW,1985-07-23,367.16,367.16,367.16,367.16
CHFKRW,1985-07-29,376.86,376.86,376.86,376.86
CHFKRW,1985-08-05,383.22,383.22,383.22,383.22
CHFKRW,1985-08-12,374.8,374.8,374.8,374.8
CHFKRW,1985-08-19,386.99,386.99,386.99,386.99
CHFKRW,1985-08-26,390.12,390.12,390.12,390.12
CHFKRW,1985-09-02,388.67,388.67,388.67,388.67
CHFKRW,1985-09-09,382.96,382.96,382.96,382.96
CHFKRW,1985-09-16,369.54,369.54,369.54,369.54
CHFKRW,1985-09-23,377.34,377.34,377.34,377.34
CHFKRW,1985-09-30,401.0,401.0,401.0,401.0
CHFKRW,1985-10-07,408.7,408.7,408.7,408.7
CHFKRW,1985-10-14,412.8,412.8,412.8,412.8
CHFKRW,1985-10-21,408.34,408.34,408.34,408.34
CHFKRW,1985-10-28,412.32,412.32,412.32,412.32
CHFKRW,1985-11-04,413.93,413.93,413.93,413.93
CHFKRW,1985-11-11,414.46,414.46,414.46,414.46
CHFKRW,1985-11-18,414.23,414.23,414.23,414.23
CHFKRW,1985-11-25,416.85,416.85,416.85,416.85
CHFKRW,1985-12-02,422.87,422.87,422.87,422.87
CHFKRW,1985-12-09,421.32,421.32,421.32,421.32
CHFKRW,1985-12-16,421.2,421.2,421.2,421.2
CHFKRW,1985-12-23,423.8,423.8,423.8,423.8
