ticker,date,open,high,low,close
CHFNZD,1984-01-09,0.6889,0.6889,0.6889,0.6889
CHFNZD,1984-01-16,0.6851,0.6851,0.6851,0.6851
CHFNZD,1984-01-23,0.6919,0.6919,0.6919,0.6919
CHFNZD,1984-01-30,0.6862,0.6862,0.6862,0.6862
CHFNZD,1984-02-06,0.681,0.681,0.681,0.681
CHFNZD,1984-02-13,0.6809,0.6809,0.6809,0.6809
CHFNZD,1984-02-20,0.6846,0.6846,0.6846,0.6846
CHFNZD,1984-03-01,0.6848,0.6848,0.6848,0.6848
CHFNZD,1984-03-05,0.6986,0.6986,0.6986,0.6986
CHFNZD,1984-03-12,0.7137,0.7137,0.7137,0.7137
CHFNZD,1984-03-19,0.7121,0.7121,0.7121,0.7121
CHFNZD,1984-03-26,0.6989,0.6989,0.6989,0.6989
CHFNZD,1984-04-02,0.7001,0.7001,0.7001,0.7001
CHFNZD,1984-04-09,0.7039,0.7039,0.7039,0.7039
CHFNZD,1984-04-16,0.7013,0.7013,0.7013,0.7013
CHFNZD,1984-04-24,0.6946,0.6946,0.6946,0.6946
CHFNZD,1984-05-02,0.6897,0.6897,0.6897,0.6897
CHFNZD,1984-05-07,0.6838,0.6838,0.6838,0.6838
CHFNZD,1984-05-14,0.6797,0.6797,0.6797,0.6797
CHFNZD,1984-05-21,0.6794,0.6794,0.6794,0.6794
CHFNZD,1984-05-28,0.6816,0.6816,0.6816,0.6816
CHFNZD,1984-06-04,0.6801,0.6801,0.6801,0.6801
CHFNZD,1984-06-11,0.6955,0.6955,0.6955,0.6955
CHFNZD,1984-06-18,0.6864,0.6864,0.6864,0.6864
CHFNZD,1984-06-25,0.6933,0.6933,0.6933,0.6933
CHFNZD,1984-07-02,0.6801,0.6801,0.6801,0.6801
CHFNZD,1984-07-09,0.6852,0.6852,0.6852,0.6852
CHFNZD,1984-07-16,0.6797,0.6797,0.6797,0.6797
CHFNZD,1984-07-23,0.8391,0.8391,0.8391,0.8391
CHFNZD,1984-07-30,0.8249,0.8249,0.8249,0.8249
CHFNZD,1984-08-06,0.8158,0.8158,0.8158,0.8158
CHFNZD,1984-08-13,0.8247,0.8247,0.8247,0.8247
CHFNZD,1984-08-20,0.821,0.821,0.821,0.821
CHFNZD,1984-08-27,0.829,0.829,0.829,0.829
CHFNZD,1984-09-01,0.8344,0.8344,0.8344,0.8344
CHFNZD,1984-09-10,0.8328,0.8328,0.8328,0.8328
CHFNZD,1984-09-17,0.8214,0.8214,0.8214,0.8214
CHFNZD,1984-09-24,0.8041,0.8041,0.8041,0.8041
CHFNZD,1984-10-01,0.8117,0.8117,0.8117,0.8117
CHFNZD,1984-10-08,0.8202,0.8202,0.8202,0.8202
CHFNZD,1984-10-15,0.8176,0.8176,0.8176,0.8176
CHFNZD,1984-10-22,0.8024,0.8024,0.8024,0.8024
CHFNZD,1984-10-29,0.8152,0.8152,0.8152,0.8152
