ticker,date,open,high,low,close
CHFSEK,1971-01-04,1.1963,1.1963,1.1963,1.1963
CHFSEK,1971-01-05,1.1972,1.1972,1.1972,1.1972
CHFSEK,1971-01-06,1.1978,1.1978,1.1978,1.1978
CHFSEK,1971-01-07,1.1984,1.1984,1.1984,1.1984
CHFSEK,1971-01-08,1.1966,1.1966,1.1966,1.1966
CHFSEK,1971-01-11,1.1973,1.1973,1.1973,1.1973
CHFSEK,1971-01-12,1.1987,1.1987,1.1987,1.1987
CHFSEK,1971-01-13,1.1978,1.1978,1.1978,1.1978
CHFSEK,1971-01-14,1.1968,1.1968,1.1968,1.1968
CHFSEK,1971-01-15,1.2,1.2,1.2,1.2
CHFSEK,1971-01-18,1.2002,1.2002,1.2002,1.2002
CHFSEK,1971-01-19,1.2014,1.2014,1.2014,1.2014
CHFSEK,1971-01-20,1.1994,1.1994,1.1994,1.1994
CHFSEK,1971-01-21,1.2008,1.2008,1.2008,1.2008
CHFSEK,1971-01-22,1.2,1.2,1.2,1.2
CHFSEK,1971-01-25,1.2014,1.2014,1.2014,1.2014
CHFSEK,1971-01-26,1.2014,1.2014,1.2014,1.2014
CHFSEK,1971-01-27,1.2012,1.2012,1.2012,1.2012
CHFSEK,1971-01-28,1.202,1.202,1.202,1.202
CHFSEK,1971-01-29,1.2036,1.2036,1.2036,1.2036
CHFSEK,1971-02-01,1.2053,1.2053,1.2053,1.2053
CHFSEK,1971-02-02,1.2043,1.2043,1.2043,1.2043
CHFSEK,1971-02-03,1.2041,1.2041,1.2041,1.2041
CHFSEK,1971-02-04,1.2033,1.2033,1.2033,1.2033
CHFSEK,1971-02-05,1.2056,1.2056,1.2056,1.2056
CHFSEK,1971-02-08,1.2059,1.2059,1.2059,1.2059
CHFSEK,1971-02-09,1.2062,1.2062,1.2062,1.2062
CHFSEK,1971-02-10,1.2064,1.2064,1.2064,1.2064
CHFSEK,1971-02-11,1.2042,1.2042,1.2042,1.2042
CHFSEK,1971-02-16,1.2039,1.2039,1.2039,1.2039
CHFSEK,1971-02-17,1.2043,1.2043,1.2043,1.2043
CHFSEK,1971-02-18,1.2031,1.2031,1.2031,1.2031
CHFSEK,1971-02-19,1.2043,1.2043,1.2043,1.2043
CHFSEK,1971-02-22,1.2016,1.2016,1.2016,1.2016
CHFSEK,1971-02-23,1.2007,1.2007,1.2007,1.2007
CHFSEK,1971-02-24,1.1992,1.1992,1.1992,1.1992
CHFSEK,1971-02-25,1.1989,1.1989,1.1989,1.1989
CHFSEK,1971-02-26,1.1994,1.1994,1.1994,1.1994
CHFSEK,1971-03-01,1.1978,1.1978,1.1978,1.1978
CHFSEK,1971-03-02,1.2,1.2,1.2,1.2
CHFSEK,1971-03-03,1.1983,1.1983,1.1983,1.1983
CHFSEK,1971-03-04,1.1987,1.1987,1.1987,1.1987
CHFSEK,1971-03-05,1.1991,1.1991,1.1991,1.1991
CHFSEK,1971-03-08,1.2007,1.2007,1.2007,1.2007
CHFSEK,1971-03-09,1.1998,1.1998,1.1998,1.1998
CHFSEK,1971-03-10,1.1985,1.1985,1.1985,1.1985
CHFSEK,1971-03-11,1.2008,1.2008,1.2008,1.2008
CHFSEK,1971-03-12,1.1994,1.1994,1.1994,1.1994
CHFSEK,1971-03-15,1.1999,1.1999,1.1999,1.1999
CHFSEK,1971-03-16,1.2015,1.2015,1.2015,1.2015
CHFSEK,1971-03-17,1.1998,1.1998,1.1998,1.1998
CHFSEK,1971-03-18,1.2013,1.2013,1.2013,1.2013
CHFSEK,1971-03-19,1.2006,1.2006,1.2006,1.2006
CHFSEK,1971-03-22,1.2009,1.2009,1.2009,1.2009
CHFSEK,1971-03-23,1.2008,1.2008,1.2008,1.2008
CHFSEK,1971-03-24,1.2006,1.2006,1.2006,1.2006
CHFSEK,1971-03-25,1.2023,1.2023,1.2023,1.2023
CHFSEK,1971-03-26,1.203,1.203,1.203,1.203
CHFSEK,1971-03-29,1.2029,1.2029,1.2029,1.2029
CHFSEK,1971-03-30,1.2016,1.2016,1.2016,1.2016
CHFSEK,1971-03-31,1.2016,1.2016,1.2016,1.2016
CHFSEK,1971-04-01,1.2034,1.2034,1.2034,1.2034
CHFSEK,1971-04-02,1.2032,1.2032,1.2032,1.2032
CHFSEK,1971-04-05,1.2023,1.2023,1.2023,1.2023
CHFSEK,1971-04-06,1.2012,1.2012,1.2012,1.2012
CHFSEK,1971-04-07,1.2024,1.2024,1.2024,1.2024
CHFSEK,1971-04-08,1.2032,1.2032,1.2032,1.2032
CHFSEK,1971-04-09,1.2025,1.2025,1.2025,1.2025
CHFSEK,1971-04-12,1.2021,1.2021,1.2021,1.2021
CHFSEK,1971-04-13,1.2015,1.2015,1.2015,1.2015
CHFSEK,1971-04-14,1.1997,1.1997,1.1997,1.1997
CHFSEK,1971-04-15,1.1999,1.1999,1.1999,1.1999
CHFSEK,1971-04-16,1.2006,1.2006,1.2006,1.2006
CHFSEK,1971-04-19,1.1979,1.1979,1.1979,1.1979
CHFSEK,1971-04-20,1.1985,1.1985,1.1985,1.1985
CHFSEK,1971-04-21,1.1992,1.1992,1.1992,1.1992
CHFSEK,1971-04-22,1.1999,1.1999,1.1999,1.1999
CHFSEK,1971-04-23,1.2001,1.2001,1.2001,1.2001
CHFSEK,1971-04-26,1.2014,1.2014,1.2014,1.2014
CHFSEK,1971-04-27,1.2,1.2,1.2,1.2
CHFSEK,1971-04-28,1.2025,1.2025,1.2025,1.2025
CHFSEK,1971-04-29,1.2021,1.2021,1.2021,1.2021
CHFSEK,1971-04-30,1.2003,1.2003,1.2003,1.2003
CHFSEK,1971-05-03,1.2026,1.2026,1.2026,1.2026
CHFSEK,1971-05-04,1.2028,1.2028,1.2028,1.2028
CHFSEK,1971-05-05,1.2352,1.2352,1.2352,1.2352
