ticker,date,open,high,low,close
CHFSGD,1984-01-09,0.9532,0.9532,0.9532,0.9532
CHFSGD,1984-01-16,0.9473,0.9473,0.9473,0.9473
CHFSGD,1984-01-23,0.9553,0.9553,0.9553,0.9553
CHFSGD,1984-01-30,0.9488,0.9488,0.9488,0.9488
CHFSGD,1984-02-06,0.949,0.949,0.949,0.949
CHFSGD,1984-02-13,0.9488,0.9488,0.9488,0.9488
CHFSGD,1984-02-20,0.9539,0.9539,0.9539,0.9539
CHFSGD,1984-03-01,0.9664,0.9664,0.9664,0.9664
CHFSGD,1984-03-05,0.9608,0.9608,0.9608,0.9608
CHFSGD,1984-03-12,0.9954,0.9954,0.9954,0.9954
CHFSGD,1984-03-19,0.9936,0.9936,0.9936,0.9936
CHFSGD,1984-03-26,0.9702,0.9702,0.9702,0.9702
CHFSGD,1984-04-02,0.9692,0.9692,0.9692,0.9692
CHFSGD,1984-04-09,0.9701,0.9701,0.9701,0.9701
CHFSGD,1984-04-16,0.9614,0.9614,0.9614,0.9614
CHFSGD,1984-04-24,0.9516,0.9516,0.9516,0.9516
CHFSGD,1984-05-02,0.9436,0.9436,0.9436,0.9436
CHFSGD,1984-05-07,0.9315,0.9315,0.9315,0.9315
CHFSGD,1984-05-14,0.9242,0.9242,0.9242,0.9242
CHFSGD,1984-05-21,0.9291,0.9291,0.9291,0.9291
CHFSGD,1984-05-28,0.9322,0.9322,0.9322,0.9322
CHFSGD,1984-06-04,0.9277,0.9277,0.9277,0.9277
CHFSGD,1984-06-11,0.9487,0.9487,0.9487,0.9487
CHFSGD,1984-06-18,0.9326,0.9326,0.9326,0.9326
CHFSGD,1984-06-25,0.9328,0.9328,0.9328,0.9328
CHFSGD,1984-07-02,0.9189,0.9189,0.9189,0.9189
CHFSGD,1984-07-09,0.9127,0.9127,0.9127,0.9127
CHFSGD,1984-07-16,0.9002,0.9002,0.9002,0.9002
CHFSGD,1984-07-23,0.8935,0.8935,0.8935,0.8935
CHFSGD,1984-07-30,0.8783,0.8783,0.8783,0.8783
CHFSGD,1984-08-06,0.8731,0.8731,0.8731,0.8731
CHFSGD,1984-08-13,0.8812,0.8812,0.8812,0.8812
CHFSGD,1984-08-20,0.8818,0.8818,0.8818,0.8818
CHFSGD,1984-08-27,0.8903,0.8903,0.8903,0.8903
CHFSGD,1984-09-01,0.8955,0.8955,0.8955,0.8955
CHFSGD,1984-09-10,0.8836,0.8836,0.8836,0.8836
CHFSGD,1984-09-17,0.8684,0.8684,0.8684,0.8684
CHFSGD,1984-09-24,0.8495,0.8495,0.8495,0.8495
CHFSGD,1984-10-01,0.8578,0.8578,0.8578,0.8578
CHFSGD,1984-10-08,0.8657,0.8657,0.8657,0.8657
CHFSGD,1984-10-15,0.8571,0.8571,0.8571,0.8571
CHFSGD,1984-10-22,0.8408,0.8408,0.8408,0.8408
CHFSGD,1984-10-29,0.8572,0.8572,0.8572,0.8572
CHFSGD,1984-11-05,0.8549,0.8549,0.8549,0.8549
CHFSGD,1984-11-12,0.8906,0.8906,0.8906,0.8906
CHFSGD,1984-11-19,0.8918,0.8918,0.8918,0.8918
CHFSGD,1984-11-26,0.8771,0.8771,0.8771,0.8771
CHFSGD,1984-12-01,0.8589,0.8589,0.8589,0.8589
CHFSGD,1984-12-10,0.852,0.852,0.852,0.852
CHFSGD,1984-12-17,0.8548,0.8548,0.8548,0.8548
CHFSGD,1984-12-24,0.8544,0.8544,0.8544,0.8544
CHFSGD,1985-01-01,0.8483,0.8483,0.8483,0.8483
CHFSGD,1985-01-07,0.8432,0.8432,0.8432,0.8432
