ticker,date,open,high,low,close
CHFZAR,1984-01-09,0.5685,0.5685,0.5685,0.5685
CHFZAR,1984-01-16,0.5555,0.5555,0.5555,0.5555
CHFZAR,1984-01-23,0.5609,0.5609,0.5609,0.5609
CHFZAR,1984-01-30,0.5664,0.5664,0.5664,0.5664
CHFZAR,1984-02-06,0.5551,0.5551,0.5551,0.5551
CHFZAR,1984-02-13,0.555,0.555,0.555,0.555
CHFZAR,1984-02-20,0.5576,0.5576,0.5576,0.5576
CHFZAR,1984-03-01,0.5483,0.5483,0.5483,0.5483
CHFZAR,1984-03-05,0.5519,0.5519,0.5519,0.5519
CHFZAR,1984-03-12,0.5769,0.5769,0.5769,0.5769
CHFZAR,1984-03-19,0.588,0.588,0.588,0.588
CHFZAR,1984-03-26,0.5746,0.5746,0.5746,0.5746
CHFZAR,1984-04-02,0.578,0.578,0.578,0.578
CHFZAR,1984-04-09,0.5796,0.5796,0.5796,0.5796
CHFZAR,1984-04-16,0.5746,0.5746,0.5746,0.5746
CHFZAR,1984-04-24,0.5712,0.5712,0.5712,0.5712
CHFZAR,1984-05-02,0.5683,0.5683,0.5683,0.5683
CHFZAR,1984-05-07,0.5617,0.5617,0.5617,0.5617
CHFZAR,1984-05-14,0.5694,0.5694,0.5694,0.5694
CHFZAR,1984-05-21,0.5626,0.5626,0.5626,0.5626
CHFZAR,1984-05-28,0.5645,0.5645,0.5645,0.5645
CHFZAR,1984-06-04,0.5613,0.5613,0.5613,0.5613
CHFZAR,1984-06-11,0.5812,0.5812,0.5812,0.5812
CHFZAR,1984-06-18,0.577,0.577,0.577,0.577
CHFZAR,1984-06-25,0.5898,0.5898,0.5898,0.5898
CHFZAR,1984-07-02,0.5879,0.5879,0.5879,0.5879
CHFZAR,1984-07-09,0.6298,0.6298,0.6298,0.6298
CHFZAR,1984-07-16,0.6182,0.6182,0.6182,0.6182
CHFZAR,1984-07-23,0.6379,0.6379,0.6379,0.6379
CHFZAR,1984-07-30,0.6644,0.6644,0.6644,0.6644
CHFZAR,1984-08-06,0.6373,0.6373,0.6373,0.6373
CHFZAR,1984-08-13,0.6575,0.6575,0.6575,0.6575
CHFZAR,1984-08-20,0.6348,0.6348,0.6348,0.6348
CHFZAR,1984-08-27,0.6472,0.6472,0.6472,0.6472
CHFZAR,1984-09-01,0.6515,0.6515,0.6515,0.6515
CHFZAR,1984-09-10,0.6781,0.6781,0.6781,0.6781
CHFZAR,1984-09-17,0.6732,0.6732,0.6732,0.6732
CHFZAR,1984-09-24,0.6545,0.6545,0.6545,0.6545
CHFZAR,1984-10-01,0.6645,0.6645,0.6645,0.6645
CHFZAR,1984-10-08,0.6714,0.6714,0.6714,0.6714
CHFZAR,1984-10-15,0.7021,0.7021,0.7021,0.7021
CHFZAR,1984-10-22,0.6969,0.6969,0.6969,0.6969
CHFZAR,1984-10-29,0.7687,0.7687,0.7687,0.7687
CHFZAR,1984-11-05,0.7165,0.7165,0.7165,0.7165
CHFZAR,1984-11-12,0.7467,0.7467,0.7467,0.7467
CHFZAR,1984-11-19,0.7456,0.7456,0.7456,0.7456
CHFZAR,1984-11-26,0.7364,0.7364,0.7364,0.7364
CHFZAR,1984-12-01,0.7221,0.7221,0.7221,0.7221
CHFZAR,1984-12-10,0.7174,0.7174,0.7174,0.7174
CHFZAR,1984-12-17,0.7499,0.7499,0.7499,0.7499
CHFZAR,1984-12-24,0.7694,0.7694,0.7694,0.7694
CHFZAR,1985-01-01,0.7639,0.7639,0.7639,0.7639
CHFZAR,1985-01-07,0.8024,0.8024,0.8024,0.8024
CHFZAR,1985-01-14,0.8631,0.8631,0.8631,0.8631
CHFZAR,1985-01-21,0.845,0.845,0.845,0.845
CHFZAR,1985-01-28,0.7989,0.7989,0.7989,0.7989
CHFZAR,1985-02-04,0.7637,0.7637,0.7637,0.7637
CHFZAR,1985-02-11,0.6883,0.6883,0.6883,0.6883
CHFZAR,1985-02-18,0.6755,0.6755,0.6755,0.6755
CHFZAR,1985-02-25,0.772,0.772,0.772,0.772
CHFZAR,1985-03-04,0.7272,0.7272,0.7272,0.7272
CHFZAR,1985-03-11,0.6802,0.6802,0.6802,0.6802
CHFZAR,1985-03-18,0.7071,0.7071,0.7071,0.7071
CHFZAR,1985-03-25,0.7093,0.7093,0.7093,0.7093
CHFZAR,1985-03-29,0.7074,0.7074,0.7074,0.7074
CHFZAR,1985-04-01,0.7286,0.7286,0.7286,0.7286
CHFZAR,1985-04-09,0.7538,0.7538,0.7538,0.7538
CHFZAR,1985-04-15,0.7092,0.7092,0.7092,0.7092
CHFZAR,1985-04-22,0.7596,0.7596,0.7596,0.7596
CHFZAR,1985-04-29,0.7787,0.7787,0.7787,0.7787
CHFZAR,1985-05-06,0.7899,0.7899,0.7899,0.7899
CHFZAR,1985-05-13,0.7324,0.7324,0.7324,0.7324
CHFZAR,1985-05-20,0.7698,0.7698,0.7698,0.7698
CHFZAR,1985-05-27,0.773,0.773,0.773,0.773
CHFZAR,1985-06-01,0.7611,0.7611,0.7611,0.7611
CHFZAR,1985-06-10,0.7833,0.7833,0.7833,0.7833
CHFZAR,1985-06-17,0.76,0.76,0.76,0.76
CHFZAR,1985-06-24,0.7721,0.7721,0.7721,0.7721
CHFZAR,1985-07-01,0.774,0.774,0.774,0.774
CHFZAR,1985-07-08,0.7659,0.7659,0.7659,0.7659
CHFZAR,1985-07-15,0.764,0.764,0.764,0.764
CHFZAR,1985-07-23,0.7881,0.7881,0.7881,0.7881
CHFZAR,1985-07-29,0.8747,0.8747,0.8747,0.8747
CHFZAR,1985-08-05,0.9608,0.9608,0.9608,0.9608
CHFZAR,1985-08-12,0.884,0.884,0.884,0.884
CHFZAR,1985-08-19,1.0593,1.0593,1.0593,1.0593
CHFZAR,1985-08-26,1.1211,1.1211,1.1211,1.1211
CHFZAR,1985-09-02,1.1169,1.1169,1.1169,1.1169
CHFZAR,1985-09-09,1.1146,1.1146,1.1146,1.1146
CHFZAR,1985-09-16,0.9985,0.9985,0.9985,0.9985
CHFZAR,1985-09-23,1.0615,1.0615,1.0615,1.0615
CHFZAR,1985-09-30,1.1476,1.1476,1.1476,1.1476
CHFZAR,1985-10-07,1.2054,1.2054,1.2054,1.2054
CHFZAR,1985-10-14,1.2167,1.2167,1.2167,1.2167
CHFZAR,1985-10-21,1.1878,1.1878,1.1878,1.1878
CHFZAR,1985-10-28,1.2047,1.2047,1.2047,1.2047
CHFZAR,1985-11-04,1.1949,1.1949,1.1949,1.1949
CHFZAR,1985-11-11,1.1964,1.1964,1.1964,1.1964
CHFZAR,1985-11-18,1.2494,1.2494,1.2494,1.2494
CHFZAR,1985-11-25,1.2461,1.2461,1.2461,1.2461
CHFZAR,1985-12-02,1.335,1.335,1.335,1.335
CHFZAR,1985-12-09,1.2602,1.2602,1.2602,1.2602
CHFZAR,1985-12-16,1.2508,1.2508,1.2508,1.2508
CHFZAR,1985-12-23,1.2745,1.2745,1.2745,1.2745
CHFZAR,1986-01-01,1.2678,1.2678,1.2678,1.2678
CHFZAR,1986-01-06,1.2226,1.2226,1.2226,1.2226
CHFZAR,1986-01-13,1.1481,1.1481,1.1481,1.1481
CHFZAR,1986-01-20,1.1369,1.1369,1.1369,1.1369
CHFZAR,1986-01-27,1.0716,1.0716,1.0716,1.0716
CHFZAR,1986-02-01,1.0996,1.0996,1.0996,1.0996
CHFZAR,1986-02-10,1.0768,1.0768,1.0768,1.0768
CHFZAR,1986-02-17,1.0988,1.0988,1.0988,1.0988
CHFZAR,1986-02-24,1.0249,1.0249,1.0249,1.0249
CHFZAR,1986-03-01,1.0579,1.0579,1.0579,1.0579
CHFZAR,1986-03-03,1.0516,1.0516,1.0516,1.0516
CHFZAR,1986-03-10,1.0643,1.0643,1.0643,1.0643
CHFZAR,1986-03-17,1.0371,1.0371,1.0371,1.0371
CHFZAR,1986-03-18,1.0359,1.0359,1.0359,1.0359
CHFZAR,1986-03-24,1.1107,1.1107,1.1107,1.1107
CHFZAR,1986-04-01,1.105,1.105,1.105,1.105
CHFZAR,1986-04-07,1.0736,1.0736,1.0736,1.0736
CHFZAR,1986-04-09,1.0475,1.0475,1.0475,1.0475
CHFZAR,1986-04-14,1.0178,1.0178,1.0178,1.0178
CHFZAR,1986-04-21,1.0281,1.0281,1.0281,1.0281
CHFZAR,1986-04-28,1.1156,1.1156,1.1156,1.1156
CHFZAR,1986-05-05,1.1354,1.1354,1.1354,1.1354
CHFZAR,1986-05-12,1.1417,1.1417,1.1417,1.1417
CHFZAR,1986-05-19,1.2388,1.2388,1.2388,1.2388
CHFZAR,1986-05-26,1.2077,1.2077,1.2077,1.2077
CHFZAR,1986-06-02,1.2706,1.2706,1.2706,1.2706
CHFZAR,1986-06-09,1.3768,1.3768,1.3768,1.3768
