ticker,date,open,high,low,close
CNYCHF,1984-01-09,0.6296,0.6296,0.6296,0.6296
CNYCHF,1984-01-16,0.6159,0.6159,0.6159,0.6159
CNYCHF,1984-01-23,0.6159,0.6159,0.6159,0.6159
CNYCHF,1984-01-30,0.6159,0.6159,0.6159,0.6159
CNYCHF,1984-02-06,0.6159,0.6159,0.6159,0.6159
CNYCHF,1984-02-13,0.6159,0.6159,0.6159,0.6159
CNYCHF,1984-02-20,0.6023,0.6023,0.6023,0.6023
CNYCHF,1984-03-01,0.61,0.61,0.61,0.61
CNYCHF,1984-03-05,0.598,0.598,0.598,0.598
CNYCHF,1984-03-12,0.5765,0.5765,0.5765,0.5765
CNYCHF,1984-03-19,0.5765,0.5765,0.5765,0.5765
CNYCHF,1984-03-26,0.5765,0.5765,0.5765,0.5765
CNYCHF,1984-04-02,0.5863,0.5863,0.5863,0.5863
CNYCHF,1984-04-09,0.5765,0.5765,0.5765,0.5765
CNYCHF,1984-04-16,0.588,0.588,0.588,0.588
CNYCHF,1984-04-24,0.588,0.588,0.588,0.588
CNYCHF,1984-05-02,0.576,0.576,0.576,0.576
CNYCHF,1984-05-07,0.5878,0.5878,0.5878,0.5878
CNYCHF,1984-05-14,0.5878,0.5878,0.5878,0.5878
CNYCHF,1984-05-21,0.5755,0.5755,0.5755,0.5755
CNYCHF,1984-05-28,0.5755,0.5755,0.5755,0.5755
CNYCHF,1984-06-04,0.5878,0.5878,0.5878,0.5878
CNYCHF,1984-06-11,0.564,0.564,0.564,0.564
CNYCHF,1984-06-18,0.5755,0.5755,0.5755,0.5755
CNYCHF,1984-06-25,0.5755,0.5755,0.5755,0.5755
CNYCHF,1984-07-02,0.5875,0.5875,0.5875,0.5875
CNYCHF,1984-07-09,0.5771,0.5771,0.5771,0.5771
CNYCHF,1984-07-16,0.5894,0.5894,0.5894,0.5894
CNYCHF,1984-07-23,0.5894,0.5894,0.5894,0.5894
CNYCHF,1984-07-30,0.5891,0.5891,0.5891,0.5891
CNYCHF,1984-08-06,0.6022,0.6022,0.6022,0.6022
CNYCHF,1984-08-13,0.5761,0.5761,0.5761,0.5761
CNYCHF,1984-08-20,0.5891,0.5891,0.5891,0.5891
CNYCHF,1984-08-27,0.5638,0.5638,0.5638,0.5638
CNYCHF,1984-09-01,0.5647,0.5647,0.5647,0.5647
CNYCHF,1984-09-10,0.5431,0.5431,0.5431,0.5431
CNYCHF,1984-09-17,0.554,0.554,0.554,0.554
CNYCHF,1984-09-24,0.554,0.554,0.554,0.554
CNYCHF,1984-10-01,0.542,0.542,0.542,0.542
CNYCHF,1984-10-08,0.542,0.542,0.542,0.542
CNYCHF,1984-10-15,0.53,0.53,0.53,0.53
CNYCHF,1984-10-22,0.5408,0.5408,0.5408,0.5408
CNYCHF,1984-10-29,0.542,0.542,0.542,0.542
CNYCHF,1984-11-05,0.554,0.554,0.554,0.554
CNYCHF,1984-11-12,0.5314,0.5314,0.5314,0.5314
CNYCHF,1984-11-19,0.5098,0.5098,0.5098,0.5098
CNYCHF,1984-11-26,0.49804,0.49804,0.49804,0.49804
CNYCHF,1984-12-01,0.52,0.52,0.52,0.52
CNYCHF,1984-12-10,0.508,0.508,0.508,0.508
CNYCHF,1984-12-17,0.5184,0.5184,0.5184,0.5184
CNYCHF,1984-12-24,0.5184,0.5184,0.5184,0.5184
CNYCHF,1985-01-01,0.513,0.513,0.513,0.513
CNYCHF,1985-01-07,0.5226,0.5226,0.5226,0.5226
CNYCHF,1985-01-14,0.5226,0.5226,0.5226,0.5226
CNYCHF,1985-01-21,0.5327,0.5327,0.5327,0.5327
CNYCHF,1985-01-28,0.5327,0.5327,0.5327,0.5327
CNYCHF,1985-02-04,0.5327,0.5327,0.5327,0.5327
CNYCHF,1985-02-11,0.5529,0.5529,0.5529,0.5529
CNYCHF,1985-02-18,0.564,0.564,0.564,0.564
CNYCHF,1985-02-25,0.564,0.564,0.564,0.564
CNYCHF,1985-03-04,0.5653,0.5653,0.5653,0.5653
CNYCHF,1985-03-11,0.5755,0.5755,0.5755,0.5755
CNYCHF,1985-03-18,0.554,0.554,0.554,0.554
CNYCHF,1985-03-25,0.554,0.554,0.554,0.554
CNYCHF,1985-03-29,0.5327,0.5327,0.5327,0.5327
CNYCHF,1985-04-01,0.5327,0.5327,0.5327,0.5327
CNYCHF,1985-04-09,0.5212,0.5212,0.5212,0.5212
CNYCHF,1985-04-15,0.5327,0.5327,0.5327,0.5327
CNYCHF,1985-04-22,0.5019,0.5019,0.5019,0.5019
CNYCHF,1985-04-29,0.49074,0.49074,0.49074,0.49074
CNYCHF,1985-05-06,0.5113,0.5113,0.5113,0.5113
CNYCHF,1985-05-13,0.5327,0.5327,0.5327,0.5327
CNYCHF,1985-05-20,0.5113,0.5113,0.5113,0.5113
CNYCHF,1985-05-27,0.5113,0.5113,0.5113,0.5113
CNYCHF,1985-06-01,0.5197,0.5197,0.5197,0.5197
CNYCHF,1985-06-10,0.5016,0.5016,0.5016,0.5016
CNYCHF,1985-06-17,0.5197,0.5197,0.5197,0.5197
CNYCHF,1985-06-24,0.5016,0.5016,0.5016,0.5016
CNYCHF,1985-07-01,0.5016,0.5016,0.5016,0.5016
CNYCHF,1985-07-08,0.5016,0.5016,0.5016,0.5016
CNYCHF,1985-07-15,0.49365,0.49365,0.49365,0.49365
CNYCHF,1985-07-23,0.46923,0.46923,0.46923,0.46923
CNYCHF,1985-07-29,0.45303,0.45303,0.45303,0.45303
CNYCHF,1985-08-05,0.44627,0.44627,0.44627,0.44627
CNYCHF,1985-08-12,0.45303,0.45303,0.45303,0.45303
CNYCHF,1985-08-19,0.44627,0.44627,0.44627,0.44627
CNYCHF,1985-08-26,0.44627,0.44627,0.44627,0.44627
CNYCHF,1985-09-02,0.44627,0.44627,0.44627,0.44627
CNYCHF,1985-09-09,0.44545,0.44545,0.44545,0.44545
CNYCHF,1985-09-16,0.46719,0.46719,0.46719,0.46719
CNYCHF,1985-09-23,0.45231,0.45231,0.45231,0.45231
CNYCHF,1985-09-30,0.42353,0.42353,0.42353,0.42353
CNYCHF,1985-10-07,0.4087,0.4087,0.4087,0.4087
CNYCHF,1985-10-14,0.4087,0.4087,0.4087,0.4087
CNYCHF,1985-10-21,0.40145,0.40145,0.40145,0.40145
CNYCHF,1985-10-28,0.38406,0.38406,0.38406,0.38406
CNYCHF,1985-11-04,0.37857,0.37857,0.37857,0.37857
CNYCHF,1985-11-11,0.37857,0.37857,0.37857,0.37857
CNYCHF,1985-11-18,0.37857,0.37857,0.37857,0.37857
CNYCHF,1985-11-25,0.37857,0.37857,0.37857,0.37857
CNYCHF,1985-12-02,0.3662,0.3662,0.3662,0.3662
CNYCHF,1985-12-09,0.37143,0.37143,0.37143,0.37143
CNYCHF,1985-12-16,0.37143,0.37143,0.37143,0.37143
CNYCHF,1985-12-23,0.37143,0.37143,0.37143,0.37143
CNYCHF,1986-01-01,0.37143,0.37143,0.37143,0.37143
CNYCHF,1986-01-06,0.3662,0.3662,0.3662,0.3662
CNYCHF,1986-01-13,0.3662,0.3662,0.3662,0.3662
CNYCHF,1986-01-20,0.37143,0.37143,0.37143,0.37143
CNYCHF,1986-01-27,0.3662,0.3662,0.3662,0.3662
CNYCHF,1986-02-01,0.35595,0.35595,0.35595,0.35595
CNYCHF,1986-02-10,0.36024,0.36024,0.36024,0.36024
CNYCHF,1986-02-17,0.35176,0.35176,0.35176,0.35176
CNYCHF,1986-02-24,0.34368,0.34368,0.34368,0.34368
CNYCHF,1986-03-01,0.33409,0.33409,0.33409,0.33409
CNYCHF,1986-03-03,0.33409,0.33409,0.33409,0.33409
CNYCHF,1986-03-10,0.32727,0.32727,0.32727,0.32727
CNYCHF,1986-03-17,0.34186,0.34186,0.34186,0.34186
