ticker,date,open,high,low,close
CNYNOK,1984-01-09,2.1308,2.1308,2.1308,2.1308
CNYNOK,1984-01-16,2.0846,2.0846,2.0846,2.0846
CNYNOK,1984-01-23,2.0846,2.0846,2.0846,2.0846
CNYNOK,1984-01-30,2.0846,2.0846,2.0846,2.0846
CNYNOK,1984-02-06,2.0846,2.0846,2.0846,2.0846
CNYNOK,1984-02-13,2.0846,2.0846,2.0846,2.0846
CNYNOK,1984-02-20,2.0385,2.0385,2.0385,2.0385
CNYNOK,1984-03-01,2.1786,2.1786,2.1786,2.1786
CNYNOK,1984-03-05,1.9933,1.9933,1.9933,1.9933
CNYNOK,1984-03-12,1.96,1.96,1.96,1.96
CNYNOK,1984-03-19,1.96,1.96,1.96,1.96
CNYNOK,1984-03-26,2.1,2.1,2.1,2.1
CNYNOK,1984-04-02,1.9933,1.9933,1.9933,1.9933
CNYNOK,1984-04-09,2.1,2.1,2.1,2.1
CNYNOK,1984-04-16,2.1,2.1,2.1,2.1
CNYNOK,1984-04-24,2.1,2.1,2.1,2.1
CNYNOK,1984-05-02,2.0571,2.0571,2.0571,2.0571
CNYNOK,1984-05-07,2.0571,2.0571,2.0571,2.0571
CNYNOK,1984-05-14,2.0571,2.0571,2.0571,2.0571
CNYNOK,1984-05-21,2.0143,2.0143,2.0143,2.0143
CNYNOK,1984-05-28,2.0143,2.0143,2.0143,2.0143
CNYNOK,1984-06-04,2.0571,2.0571,2.0571,2.0571
CNYNOK,1984-06-11,2.0143,2.0143,2.0143,2.0143
CNYNOK,1984-06-18,2.0143,2.0143,2.0143,2.0143
CNYNOK,1984-06-25,2.0143,2.0143,2.0143,2.0143
CNYNOK,1984-07-02,2.0143,2.0143,2.0143,2.0143
CNYNOK,1984-07-09,1.9786,1.9786,1.9786,1.9786
CNYNOK,1984-07-16,1.9786,1.9786,1.9786,1.9786
CNYNOK,1984-07-23,1.9786,1.9786,1.9786,1.9786
CNYNOK,1984-07-30,1.9357,1.9357,1.9357,1.9357
CNYNOK,1984-08-06,1.9786,1.9786,1.9786,1.9786
CNYNOK,1984-08-13,1.8929,1.8929,1.8929,1.8929
CNYNOK,1984-08-20,1.9357,1.9357,1.9357,1.9357
CNYNOK,1984-08-27,1.8929,1.8929,1.8929,1.8929
CNYNOK,1984-09-01,1.92,1.92,1.92,1.92
CNYNOK,1984-09-10,1.8467,1.8467,1.8467,1.8467
CNYNOK,1984-09-17,1.8467,1.8467,1.8467,1.8467
CNYNOK,1984-09-24,1.8467,1.8467,1.8467,1.8467
CNYNOK,1984-10-01,1.9357,1.9357,1.9357,1.9357
CNYNOK,1984-10-08,1.9357,1.9357,1.9357,1.9357
CNYNOK,1984-10-15,1.8929,1.8929,1.8929,1.8929
CNYNOK,1984-10-22,1.8929,1.8929,1.8929,1.8929
CNYNOK,1984-10-29,1.9357,1.9357,1.9357,1.9357
CNYNOK,1984-11-05,1.9786,1.9786,1.9786,1.9786
CNYNOK,1984-11-12,1.9357,1.9357,1.9357,1.9357
