ticker,date,open,high,low,close
DKKAUD,1984-01-02,0.11199,0.11199,0.11199,0.11199
DKKAUD,1984-01-09,0.11075,0.11075,0.11075,0.11075
DKKAUD,1984-01-16,0.10732,0.10732,0.10732,0.10732
DKKAUD,1984-01-23,0.10968,0.10968,0.10968,0.10968
DKKAUD,1984-01-30,0.10778,0.10778,0.10778,0.10778
DKKAUD,1984-02-06,0.10673,0.10673,0.10673,0.10673
DKKAUD,1984-02-13,0.10805,0.10805,0.10805,0.10805
DKKAUD,1984-02-20,0.10724,0.10724,0.10724,0.10724
DKKAUD,1984-03-01,0.10867,0.10867,0.10867,0.10867
DKKAUD,1984-03-05,0.11105,0.11105,0.11105,0.11105
DKKAUD,1984-03-12,0.11163,0.11163,0.11163,0.11163
DKKAUD,1984-03-19,0.11087,0.11087,0.11087,0.11087
DKKAUD,1984-03-26,0.1088,0.1088,0.1088,0.1088
DKKAUD,1984-04-02,0.11127,0.11127,0.11127,0.11127
DKKAUD,1984-04-09,0.1104,0.1104,0.1104,0.1104
DKKAUD,1984-04-16,0.113,0.113,0.113,0.113
DKKAUD,1984-04-24,0.1121,0.1121,0.1121,0.1121
DKKAUD,1984-05-02,0.1103,0.1103,0.1103,0.1103
DKKAUD,1984-05-07,0.108,0.108,0.108,0.108
DKKAUD,1984-05-14,0.1077,0.1077,0.1077,0.1077
DKKAUD,1984-05-21,0.1104,0.1104,0.1104,0.1104
DKKAUD,1984-05-28,0.1101,0.1101,0.1101,0.1101
DKKAUD,1984-06-04,0.1109,0.1109,0.1109,0.1109
DKKAUD,1984-06-11,0.1133,0.1133,0.1133,0.1133
DKKAUD,1984-06-18,0.112,0.112,0.112,0.112
DKKAUD,1984-06-25,0.1119,0.1119,0.1119,0.1119
DKKAUD,1984-07-02,0.1135,0.1135,0.1135,0.1135
DKKAUD,1984-07-09,0.1132,0.1132,0.1132,0.1132
DKKAUD,1984-07-16,0.1164,0.1164,0.1164,0.1164
DKKAUD,1984-07-23,0.1154,0.1154,0.1154,0.1154
DKKAUD,1984-07-30,0.1156,0.1156,0.1156,0.1156
DKKAUD,1984-08-06,0.114,0.114,0.114,0.114
DKKAUD,1984-08-13,0.1124,0.1124,0.1124,0.1124
DKKAUD,1984-08-20,0.1129,0.1129,0.1129,0.1129
DKKAUD,1984-08-27,0.1113,0.1113,0.1113,0.1113
DKKAUD,1984-09-01,0.112,0.112,0.112,0.112
DKKAUD,1984-09-10,0.1121,0.1121,0.1121,0.1121
DKKAUD,1984-09-17,0.1103,0.1103,0.1103,0.1103
DKKAUD,1984-09-24,0.1082,0.1082,0.1082,0.1082
DKKAUD,1984-10-01,0.1087,0.1087,0.1087,0.1087
DKKAUD,1984-10-08,0.1092,0.1092,0.1092,0.1092
DKKAUD,1984-10-15,0.1082,0.1082,0.1082,0.1082
DKKAUD,1984-10-22,0.1064,0.1064,0.1064,0.1064
DKKAUD,1984-10-29,0.1081,0.1081,0.1081,0.1081
DKKAUD,1984-11-05,0.1072,0.1072,0.1072,0.1072
DKKAUD,1984-11-12,0.1094,0.1094,0.1094,0.1094
DKKAUD,1984-11-19,0.1093,0.1093,0.1093,0.1093
DKKAUD,1984-11-26,0.1078,0.1078,0.1078,0.1078
DKKAUD,1984-12-01,0.1067,0.1067,0.1067,0.1067
DKKAUD,1984-12-10,0.1051,0.1051,0.1051,0.1051
DKKAUD,1984-12-17,0.1071,0.1071,0.1071,0.1071
DKKAUD,1984-12-24,0.1082,0.1082,0.1082,0.1082
DKKAUD,1985-01-01,0.1073,0.1073,0.1073,0.1073
DKKAUD,1985-01-07,0.1079,0.1079,0.1079,0.1079
DKKAUD,1985-01-14,0.1095,0.1095,0.1095,0.1095
DKKAUD,1985-01-21,0.1076,0.1076,0.1076,0.1076
DKKAUD,1985-01-28,0.1083,0.1083,0.1083,0.1083
DKKAUD,1985-02-04,0.1085,0.1085,0.1085,0.1085
DKKAUD,1985-02-11,0.1115,0.1115,0.1115,0.1115
DKKAUD,1985-02-18,0.1137,0.1137,0.1137,0.1137
DKKAUD,1985-02-25,0.1201,0.1201,0.1201,0.1201
