ticker,date,open,high,low,close
DKKCAD,1984-01-02,0.12502,0.12502,0.12502,0.12502
DKKCAD,1984-01-09,0.12411,0.12411,0.12411,0.12411
DKKCAD,1984-01-16,0.1221,0.1221,0.1221,0.1221
DKKCAD,1984-01-23,0.12339,0.12339,0.12339,0.12339
DKKCAD,1984-01-30,0.12175,0.12175,0.12175,0.12175
DKKCAD,1984-02-06,0.12234,0.12234,0.12234,0.12234
DKKCAD,1984-02-13,0.12404,0.12404,0.12404,0.12404
DKKCAD,1984-02-20,0.12503,0.12503,0.12503,0.12503
DKKCAD,1984-03-01,0.12769,0.12769,0.12769,0.12769
DKKCAD,1984-03-05,0.13117,0.13117,0.13117,0.13117
DKKCAD,1984-03-12,0.13375,0.13375,0.13375,0.13375
DKKCAD,1984-03-19,0.13555,0.13555,0.13555,0.13555
DKKCAD,1984-03-26,0.13294,0.13294,0.13294,0.13294
DKKCAD,1984-04-02,0.1349,0.1349,0.1349,0.1349
DKKCAD,1984-04-09,0.13258,0.13258,0.13258,0.13258
DKKCAD,1984-04-16,0.13254,0.13254,0.13254,0.13254
DKKCAD,1984-04-24,0.13224,0.13224,0.13224,0.13224
DKKCAD,1984-05-02,0.12976,0.12976,0.12976,0.12976
DKKCAD,1984-05-07,0.12945,0.12945,0.12945,0.12945
DKKCAD,1984-05-14,0.12766,0.12766,0.12766,0.12766
DKKCAD,1984-05-21,0.12841,0.12841,0.12841,0.12841
DKKCAD,1984-05-28,0.12852,0.12852,0.12852,0.12852
DKKCAD,1984-06-04,0.12897,0.12897,0.12897,0.12897
DKKCAD,1984-06-11,0.13232,0.13232,0.13232,0.13232
DKKCAD,1984-06-18,0.13047,0.13047,0.13047,0.13047
DKKCAD,1984-06-25,0.12876,0.12876,0.12876,0.12876
DKKCAD,1984-07-02,0.12917,0.12917,0.12917,0.12917
DKKCAD,1984-07-09,0.12794,0.12794,0.12794,0.12794
DKKCAD,1984-07-16,0.12843,0.12843,0.12843,0.12843
DKKCAD,1984-07-23,0.12801,0.12801,0.12801,0.12801
DKKCAD,1984-07-30,0.12563,0.12563,0.12563,0.12563
DKKCAD,1984-08-06,0.12416,0.12416,0.12416,0.12416
DKKCAD,1984-08-13,0.1236,0.1236,0.1236,0.1236
DKKCAD,1984-08-20,0.12376,0.12376,0.12376,0.12376
DKKCAD,1984-08-27,0.12375,0.12375,0.12375,0.12375
DKKCAD,1984-09-01,0.12426,0.12426,0.12426,0.12426
DKKCAD,1984-09-10,0.12205,0.12205,0.12205,0.12205
DKKCAD,1984-09-17,0.12089,0.12089,0.12089,0.12089
DKKCAD,1984-09-24,0.11823,0.11823,0.11823,0.11823
DKKCAD,1984-10-01,0.11871,0.11871,0.11871,0.11871
DKKCAD,1984-10-08,0.11948,0.11948,0.11948,0.11948
DKKCAD,1984-10-15,0.11892,0.11892,0.11892,0.11892
DKKCAD,1984-10-22,0.11695,0.11695,0.11695,0.11695
DKKCAD,1984-10-29,0.11917,0.11917,0.11917,0.11917
DKKCAD,1984-11-05,0.11953,0.11953,0.11953,0.11953
DKKCAD,1984-11-12,0.12342,0.12342,0.12342,0.12342
DKKCAD,1984-11-19,0.12411,0.12411,0.12411,0.12411
DKKCAD,1984-11-26,0.12185,0.12185,0.12185,0.12185
DKKCAD,1984-12-01,0.12019,0.12019,0.12019,0.12019
DKKCAD,1984-12-10,0.11892,0.11892,0.11892,0.11892
DKKCAD,1984-12-17,0.11931,0.11931,0.11931,0.11931
DKKCAD,1984-12-24,0.11922,0.11922,0.11922,0.11922
DKKCAD,1985-01-01,0.11778,0.11778,0.11778,0.11778
DKKCAD,1985-01-07,0.11681,0.11681,0.11681,0.11681
DKKCAD,1985-01-14,0.11768,0.11768,0.11768,0.11768
DKKCAD,1985-01-21,0.11603,0.11603,0.11603,0.11603
DKKCAD,1985-01-28,0.11652,0.11652,0.11652,0.11652
DKKCAD,1985-02-04,0.11746,0.11746,0.11746,0.11746
