ticker,date,open,high,low,close
DKKJPY,1984-01-02,23.476,23.476,23.476,23.476
DKKJPY,1984-01-09,23.245,23.245,23.245,23.245
DKKJPY,1984-01-16,22.819,22.819,22.819,22.819
DKKJPY,1984-01-23,23.13,23.13,23.13,23.13
DKKJPY,1984-01-30,22.873,22.873,22.873,22.873
DKKJPY,1984-02-06,22.997,22.997,22.997,22.997
DKKJPY,1984-02-13,23.269,23.269,23.269,23.269
DKKJPY,1984-02-20,23.503,23.503,23.503,23.503
DKKJPY,1984-03-01,23.886,23.886,23.886,23.886
DKKJPY,1984-03-05,24.407,24.407,24.407,24.407
DKKJPY,1984-03-12,23.801,23.801,23.801,23.801
DKKJPY,1984-03-19,23.992,23.992,23.992,23.992
DKKJPY,1984-03-26,23.491,23.491,23.491,23.491
DKKJPY,1984-04-02,23.607,23.607,23.607,23.607
DKKJPY,1984-04-09,23.378,23.378,23.378,23.378
DKKJPY,1984-04-16,23.338,23.338,23.338,23.338
DKKJPY,1984-04-24,23.208,23.208,23.208,23.208
DKKJPY,1984-05-02,22.863,22.863,22.863,22.863
DKKJPY,1984-05-07,22.693,22.693,22.693,22.693
DKKJPY,1984-05-14,22.56,22.56,22.56,22.56
DKKJPY,1984-05-21,22.922,22.922,22.922,22.922
DKKJPY,1984-05-28,23.158,23.158,23.158,23.158
DKKJPY,1984-06-04,23.093,23.093,23.093,23.093
DKKJPY,1984-06-11,23.352,23.352,23.352,23.352
DKKJPY,1984-06-18,23.251,23.251,23.251,23.251
DKKJPY,1984-06-25,23.077,23.077,23.077,23.077
DKKJPY,1984-07-02,23.286,23.286,23.286,23.286
DKKJPY,1984-07-09,23.268,23.268,23.268,23.268
DKKJPY,1984-07-16,23.351,23.351,23.351,23.351
DKKJPY,1984-07-23,23.297,23.297,23.297,23.297
DKKJPY,1984-07-30,23.461,23.461,23.461,23.461
DKKJPY,1984-08-06,23.187,23.187,23.187,23.187
DKKJPY,1984-08-13,23.026,23.026,23.026,23.026
DKKJPY,1984-08-20,23.049,23.049,23.049,23.049
DKKJPY,1984-08-27,22.98,22.98,22.98,22.98
DKKJPY,1984-09-01,23.066,23.066,23.066,23.066
DKKJPY,1984-09-10,22.902,22.902,22.902,22.902
DKKJPY,1984-09-17,22.502,22.502,22.502,22.502
DKKJPY,1984-09-24,22.155,22.155,22.155,22.155
DKKJPY,1984-10-01,22.159,22.159,22.159,22.159
DKKJPY,1984-10-08,22.333,22.333,22.333,22.333
DKKJPY,1984-10-15,22.297,22.297,22.297,22.297
DKKJPY,1984-10-22,21.98,21.98,21.98,21.98
DKKJPY,1984-10-29,22.183,22.183,22.183,22.183
DKKJPY,1984-11-05,22.274,22.274,22.274,22.274
DKKJPY,1984-11-12,22.839,22.839,22.839,22.839
DKKJPY,1984-11-19,22.664,22.664,22.664,22.664
DKKJPY,1984-11-26,22.539,22.539,22.539,22.539
DKKJPY,1984-12-01,22.388,22.388,22.388,22.388
DKKJPY,1984-12-10,22.222,22.222,22.222,22.222
DKKJPY,1984-12-17,22.301,22.301,22.301,22.301
DKKJPY,1984-12-24,22.309,22.309,22.309,22.309
DKKJPY,1985-01-01,22.19,22.19,22.19,22.19
DKKJPY,1985-01-07,22.23,22.23,22.23,22.23
DKKJPY,1985-01-14,22.637,22.637,22.637,22.637
DKKJPY,1985-01-21,22.369,22.369,22.369,22.369
DKKJPY,1985-01-28,22.385,22.385,22.385,22.385
DKKJPY,1985-02-04,22.511,22.511,22.511,22.511
DKKJPY,1985-02-11,22.612,22.612,22.612,22.612
DKKJPY,1985-02-18,22.425,22.425,22.425,22.425
DKKJPY,1985-02-25,22.048,22.048,22.048,22.048
DKKJPY,1985-03-04,21.68,21.68,21.68,21.68
DKKJPY,1985-03-11,21.261,21.261,21.261,21.261
DKKJPY,1985-03-18,21.824,21.824,21.824,21.824
DKKJPY,1985-03-25,21.929,21.929,21.929,21.929
DKKJPY,1985-03-29,22.389,22.389,22.389,22.389
DKKJPY,1985-04-01,22.46,22.46,22.46,22.46
DKKJPY,1985-04-09,22.724,22.724,22.724,22.724
DKKJPY,1985-04-15,22.67,22.67,22.67,22.67
DKKJPY,1985-04-22,23.087,23.087,23.087,23.087
DKKJPY,1985-04-29,22.796,22.796,22.796,22.796
DKKJPY,1985-05-06,22.59,22.59,22.59,22.59
DKKJPY,1985-05-13,21.981,21.981,21.981,21.981
DKKJPY,1985-05-20,22.708,22.708,22.708,22.708
DKKJPY,1985-05-27,22.834,22.834,22.834,22.834
DKKJPY,1985-06-01,22.651,22.651,22.651,22.651
DKKJPY,1985-06-10,22.936,22.936,22.936,22.936
DKKJPY,1985-06-17,22.528,22.528,22.528,22.528
DKKJPY,1985-06-24,22.695,22.695,22.695,22.695
DKKJPY,1985-07-01,22.639,22.639,22.639,22.639
DKKJPY,1985-07-08,22.694,22.694,22.694,22.694
DKKJPY,1985-07-15,22.96,22.96,22.96,22.96
DKKJPY,1985-07-23,22.963,22.963,22.963,22.963
DKKJPY,1985-07-29,23.282,23.282,23.282,23.282
DKKJPY,1985-08-05,23.339,23.339,23.339,23.339
DKKJPY,1985-08-12,23.209,23.209,23.209,23.209
DKKJPY,1985-08-19,23.584,23.584,23.584,23.584
DKKJPY,1985-08-26,23.653,23.653,23.653,23.653
DKKJPY,1985-09-02,23.42,23.42,23.42,23.42
DKKJPY,1985-09-09,23.191,23.191,23.191,23.191
DKKJPY,1985-09-16,22.864,22.864,22.864,22.864
DKKJPY,1985-09-23,23.216,23.216,23.216,23.216
DKKJPY,1985-09-30,23.323,23.323,23.323,23.323
DKKJPY,1985-10-07,22.269,22.269,22.269,22.269
DKKJPY,1985-10-14,22.557,22.557,22.557,22.557
DKKJPY,1985-10-21,22.362,22.362,22.362,22.362
DKKJPY,1985-10-28,22.54,22.54,22.54,22.54
DKKJPY,1985-11-04,22.279,22.279,22.279,22.279
DKKJPY,1985-11-11,21.98,21.98,21.98,21.98
DKKJPY,1985-11-18,21.653,21.653,21.653,21.653
DKKJPY,1985-11-25,21.515,21.515,21.515,21.515
DKKJPY,1985-12-02,21.697,21.697,21.697,21.697
DKKJPY,1985-12-09,22.379,22.379,22.379,22.379
DKKJPY,1985-12-16,22.135,22.135,22.135,22.135
DKKJPY,1985-12-23,22.168,22.168,22.168,22.168
DKKJPY,1986-01-01,22.187,22.187,22.187,22.187
DKKJPY,1986-01-06,22.417,22.417,22.417,22.417
DKKJPY,1986-01-13,22.601,22.601,22.601,22.601
DKKJPY,1986-01-20,22.303,22.303,22.303,22.303
DKKJPY,1986-01-27,22.478,22.478,22.478,22.478
