ticker,date,open,high,low,close
DKKSEK,1984-01-02,0.8095,0.8095,0.8095,0.8095
DKKSEK,1984-01-09,0.8086,0.8086,0.8086,0.8086
DKKSEK,1984-01-16,0.8007,0.8007,0.8007,0.8007
DKKSEK,1984-01-23,0.8054,0.8054,0.8054,0.8054
DKKSEK,1984-01-30,0.798,0.798,0.798,0.798
DKKSEK,1984-02-06,0.8003,0.8003,0.8003,0.8003
DKKSEK,1984-02-13,0.8101,0.8101,0.8101,0.8101
DKKSEK,1984-02-20,0.8127,0.8127,0.8127,0.8127
DKKSEK,1984-03-01,0.8136,0.8136,0.8136,0.8136
DKKSEK,1984-03-05,0.8151,0.8151,0.8151,0.8151
DKKSEK,1984-03-12,0.8193,0.8193,0.8193,0.8193
DKKSEK,1984-03-19,0.8181,0.8181,0.8181,0.8181
DKKSEK,1984-03-26,0.8114,0.8114,0.8114,0.8114
DKKSEK,1984-04-02,0.8102,0.8102,0.8102,0.8102
DKKSEK,1984-04-09,0.8055,0.8055,0.8055,0.8055
DKKSEK,1984-04-16,0.8088,0.8088,0.8088,0.8088
DKKSEK,1984-04-24,0.8087,0.8087,0.8087,0.8087
DKKSEK,1984-05-02,0.8037,0.8037,0.8037,0.8037
DKKSEK,1984-05-07,0.8025,0.8025,0.8025,0.8025
DKKSEK,1984-05-14,0.8003,0.8003,0.8003,0.8003
DKKSEK,1984-05-21,0.8051,0.8051,0.8051,0.8051
DKKSEK,1984-05-28,0.8022,0.8022,0.8022,0.8022
DKKSEK,1984-06-04,0.8042,0.8042,0.8042,0.8042
DKKSEK,1984-06-11,0.8126,0.8126,0.8126,0.8126
DKKSEK,1984-06-18,0.8085,0.8085,0.8085,0.8085
DKKSEK,1984-06-25,0.8042,0.8042,0.8042,0.8042
DKKSEK,1984-07-02,0.806,0.806,0.806,0.806
DKKSEK,1984-07-09,0.7988,0.7988,0.7988,0.7988
DKKSEK,1984-07-16,0.7993,0.7993,0.7993,0.7993
DKKSEK,1984-07-23,0.7988,0.7988,0.7988,0.7988
DKKSEK,1984-07-30,0.7939,0.7939,0.7939,0.7939
DKKSEK,1984-08-06,0.7933,0.7933,0.7933,0.7933
DKKSEK,1984-08-13,0.7932,0.7932,0.7932,0.7932
DKKSEK,1984-08-20,0.7957,0.7957,0.7957,0.7957
DKKSEK,1984-08-27,0.7951,0.7951,0.7951,0.7951
DKKSEK,1984-09-01,0.7954,0.7954,0.7954,0.7954
DKKSEK,1984-09-10,0.7904,0.7904,0.7904,0.7904
DKKSEK,1984-09-17,0.7839,0.7839,0.7839,0.7839
DKKSEK,1984-09-24,0.7784,0.7784,0.7784,0.7784
DKKSEK,1984-10-01,0.7814,0.7814,0.7814,0.7814
DKKSEK,1984-10-08,0.7817,0.7817,0.7817,0.7817
DKKSEK,1984-10-15,0.7821,0.7821,0.7821,0.7821
DKKSEK,1984-10-22,0.7771,0.7771,0.7771,0.7771
DKKSEK,1984-10-29,0.7854,0.7854,0.7854,0.7854
DKKSEK,1984-11-05,0.7868,0.7868,0.7868,0.7868
DKKSEK,1984-11-12,0.7956,0.7956,0.7956,0.7956
DKKSEK,1984-11-19,0.7974,0.7974,0.7974,0.7974
DKKSEK,1984-11-26,0.7937,0.7937,0.7937,0.7937
DKKSEK,1984-12-01,0.7928,0.7928,0.7928,0.7928
DKKSEK,1984-12-10,0.7908,0.7908,0.7908,0.7908
DKKSEK,1984-12-17,0.795,0.795,0.795,0.795
DKKSEK,1984-12-24,0.7978,0.7978,0.7978,0.7978
DKKSEK,1985-01-01,0.7969,0.7969,0.7969,0.7969
DKKSEK,1985-01-07,0.7966,0.7966,0.7966,0.7966
DKKSEK,1985-01-14,0.8026,0.8026,0.8026,0.8026
DKKSEK,1985-01-21,0.8013,0.8013,0.8013,0.8013
DKKSEK,1985-01-28,0.8029,0.8029,0.8029,0.8029
DKKSEK,1985-02-04,0.801,0.801,0.801,0.801
DKKSEK,1985-02-11,0.7965,0.7965,0.7965,0.7965
DKKSEK,1985-02-18,0.7926,0.7926,0.7926,0.7926
DKKSEK,1985-02-25,0.7885,0.7885,0.7885,0.7885
DKKSEK,1985-03-04,0.7985,0.7985,0.7985,0.7985
DKKSEK,1985-03-11,0.7882,0.7882,0.7882,0.7882
DKKSEK,1985-03-18,0.7993,0.7993,0.7993,0.7993
DKKSEK,1985-03-25,0.7969,0.7969,0.7969,0.7969
DKKSEK,1985-03-29,0.8045,0.8045,0.8045,0.8045
DKKSEK,1985-04-01,0.8057,0.8057,0.8057,0.8057
DKKSEK,1985-04-09,0.8085,0.8085,0.8085,0.8085
DKKSEK,1985-04-15,0.8082,0.8082,0.8082,0.8082
DKKSEK,1985-04-22,0.8155,0.8155,0.8155,0.8155
DKKSEK,1985-04-29,0.8121,0.8121,0.8121,0.8121
DKKSEK,1985-05-06,0.8063,0.8063,0.8063,0.8063
DKKSEK,1985-05-13,0.7988,0.7988,0.7988,0.7988
DKKSEK,1985-05-20,0.8057,0.8057,0.8057,0.8057
DKKSEK,1985-05-27,0.8088,0.8088,0.8088,0.8088
DKKSEK,1985-06-01,0.8047,0.8047,0.8047,0.8047
DKKSEK,1985-06-10,0.8079,0.8079,0.8079,0.8079
DKKSEK,1985-06-17,0.8051,0.8051,0.8051,0.8051
DKKSEK,1985-06-24,0.8079,0.8079,0.8079,0.8079
DKKSEK,1985-07-01,0.8028,0.8028,0.8028,0.8028
DKKSEK,1985-07-08,0.8027,0.8027,0.8027,0.8027
DKKSEK,1985-07-15,0.8034,0.8034,0.8034,0.8034
DKKSEK,1985-07-23,0.8124,0.8124,0.8124,0.8124
DKKSEK,1985-07-29,0.816,0.816,0.816,0.816
DKKSEK,1985-08-05,0.8162,0.8162,0.8162,0.8162
DKKSEK,1985-08-12,0.8209,0.8209,0.8209,0.8209
DKKSEK,1985-08-19,0.8238,0.8238,0.8238,0.8238
DKKSEK,1985-08-26,0.8232,0.8232,0.8232,0.8232
DKKSEK,1985-09-02,0.8186,0.8186,0.8186,0.8186
DKKSEK,1985-09-09,0.8158,0.8158,0.8158,0.8158
DKKSEK,1985-09-16,0.8103,0.8103,0.8103,0.8103
DKKSEK,1985-09-23,0.8155,0.8155,0.8155,0.8155
DKKSEK,1985-09-30,0.8237,0.8237,0.8237,0.8237
DKKSEK,1985-10-07,0.8268,0.8268,0.8268,0.8268
DKKSEK,1985-10-14,0.8331,0.8331,0.8331,0.8331
DKKSEK,1985-10-21,0.8269,0.8269,0.8269,0.8269
DKKSEK,1985-10-28,0.8299,0.8299,0.8299,0.8299
DKKSEK,1985-11-04,0.8278,0.8278,0.8278,0.8278
DKKSEK,1985-11-11,0.8295,0.8295,0.8295,0.8295
DKKSEK,1985-11-18,0.8307,0.8307,0.8307,0.8307
DKKSEK,1985-11-25,0.8314,0.8314,0.8314,0.8314
DKKSEK,1985-12-02,0.8321,0.8321,0.8321,0.8321
DKKSEK,1985-12-09,0.8371,0.8371,0.8371,0.8371
DKKSEK,1985-12-16,0.8392,0.8392,0.8392,0.8392
DKKSEK,1985-12-23,0.8432,0.8432,0.8432,0.8432
DKKSEK,1986-01-01,0.8421,0.8421,0.8421,0.8421
DKKSEK,1986-01-06,0.8476,0.8476,0.8476,0.8476
DKKSEK,1986-01-13,0.8493,0.8493,0.8493,0.8493
DKKSEK,1986-01-20,0.8393,0.8393,0.8393,0.8393
DKKSEK,1986-01-27,0.8466,0.8466,0.8466,0.8466
DKKSEK,1986-02-01,0.8551,0.8551,0.8551,0.8551
DKKSEK,1986-02-10,0.8541,0.8541,0.8541,0.8541
DKKSEK,1986-02-17,0.8561,0.8561,0.8561,0.8561
DKKSEK,1986-02-24,0.858,0.858,0.858,0.858
DKKSEK,1986-03-01,0.8662,0.8662,0.8662,0.8662
DKKSEK,1986-03-03,0.8662,0.8662,0.8662,0.8662
DKKSEK,1986-03-10,0.8766,0.8766,0.8766,0.8766
DKKSEK,1986-03-17,0.8645,0.8645,0.8645,0.8645
DKKSEK,1986-03-18,0.8645,0.8645,0.8645,0.8645
DKKSEK,1986-03-24,0.8664,0.8664,0.8664,0.8664
DKKSEK,1986-04-01,0.8577,0.8577,0.8577,0.8577
DKKSEK,1986-04-07,0.8546,0.8546,0.8546,0.8546
DKKSEK,1986-04-09,0.8546,0.8546,0.8546,0.8546
DKKSEK,1986-04-14,0.8548,0.8548,0.8548,0.8548
DKKSEK,1986-04-21,0.8571,0.8571,0.8571,0.8571
DKKSEK,1986-04-28,0.8762,0.8762,0.8762,0.8762
DKKSEK,1986-05-05,0.8715,0.8715,0.8715,0.8715
DKKSEK,1986-05-12,0.866,0.866,0.866,0.866
DKKSEK,1986-05-19,0.8746,0.8746,0.8746,0.8746
DKKSEK,1986-05-26,0.8689,0.8689,0.8689,0.8689
DKKSEK,1986-06-02,0.8604,0.8604,0.8604,0.8604
DKKSEK,1986-06-09,0.8643,0.8643,0.8643,0.8643
DKKSEK,1986-06-16,0.8708,0.8708,0.8708,0.8708
DKKSEK,1986-06-23,0.8734,0.8734,0.8734,0.8734
DKKSEK,1986-06-30,0.8698,0.8698,0.8698,0.8698
DKKSEK,1986-07-07,0.8741,0.8741,0.8741,0.8741
DKKSEK,1986-07-14,0.8744,0.8744,0.8744,0.8744
DKKSEK,1986-07-21,0.8775,0.8775,0.8775,0.8775
DKKSEK,1986-07-28,0.8813,0.8813,0.8813,0.8813
DKKSEK,1986-08-04,0.8812,0.8812,0.8812,0.8812
DKKSEK,1986-08-11,0.8878,0.8878,0.8878,0.8878
DKKSEK,1986-08-18,0.8954,0.8954,0.8954,0.8954
DKKSEK,1986-08-25,0.8906,0.8906,0.8906,0.8906
DKKSEK,1986-09-01,0.893,0.893,0.893,0.893
DKKSEK,1986-09-08,0.895,0.895,0.895,0.895
DKKSEK,1986-09-15,0.888,0.888,0.888,0.888
DKKSEK,1986-09-22,0.8922,0.8922,0.8922,0.8922
DKKSEK,1986-09-29,0.9013,0.9013,0.9013,0.9013
DKKSEK,1986-10-06,0.9031,0.9031,0.9031,0.9031
DKKSEK,1986-10-13,0.9092,0.9092,0.9092,0.9092
DKKSEK,1986-10-20,0.9141,0.9141,0.9141,0.9141
DKKSEK,1986-10-27,0.9147,0.9147,0.9147,0.9147
DKKSEK,1986-11-01,0.9094,0.9094,0.9094,0.9094
DKKSEK,1986-11-10,0.9059,0.9059,0.9059,0.9059
DKKSEK,1986-11-17,0.9053,0.9053,0.9053,0.9053
DKKSEK,1986-11-24,0.9115,0.9115,0.9115,0.9115
DKKSEK,1986-12-01,0.9157,0.9157,0.9157,0.9157
DKKSEK,1986-12-08,0.9244,0.9244,0.9244,0.9244
DKKSEK,1986-12-15,0.9153,0.9153,0.9153,0.9153
DKKSEK,1986-12-22,0.9123,0.9123,0.9123,0.9123
DKKSEK,1986-12-31,0.9218,0.9218,0.9218,0.9218
DKKSEK,1987-01-12,0.9265,0.9265,0.9265,0.9265
DKKSEK,1987-01-19,0.9292,0.9292,0.9292,0.9292
DKKSEK,1987-01-26,0.9401,0.9401,0.9401,0.9401
DKKSEK,1987-02-01,0.9425,0.9425,0.9425,0.9425
DKKSEK,1987-02-09,0.9509,0.9509,0.9509,0.9509
DKKSEK,1987-02-16,0.9455,0.9455,0.9455,0.9455
DKKSEK,1987-02-23,0.9465,0.9465,0.9465,0.9465
DKKSEK,1987-03-02,0.9389,0.9389,0.9389,0.9389
DKKSEK,1987-03-09,0.9348,0.9348,0.9348,0.9348
DKKSEK,1987-03-16,0.9264,0.9264,0.9264,0.9264
DKKSEK,1987-03-23,0.929,0.929,0.929,0.929
DKKSEK,1987-03-30,0.9296,0.9296,0.9296,0.9296
DKKSEK,1987-04-06,0.9275,0.9275,0.9275,0.9275
DKKSEK,1987-04-13,0.9226,0.9226,0.9226,0.9226
DKKSEK,1987-04-21,0.925,0.925,0.925,0.925
DKKSEK,1987-04-27,0.9242,0.9242,0.9242,0.9242
DKKSEK,1987-05-04,0.9254,0.9254,0.9254,0.9254
DKKSEK,1987-05-11,0.9316,0.9316,0.9316,0.9316
DKKSEK,1987-05-18,0.9298,0.9298,0.9298,0.9298
DKKSEK,1987-05-25,0.931,0.931,0.931,0.931
DKKSEK,1987-06-01,0.9306,0.9306,0.9306,0.9306
DKKSEK,1987-06-08,0.924,0.924,0.924,0.924
DKKSEK,1987-06-15,0.9291,0.9291,0.9291,0.9291
DKKSEK,1987-06-22,0.9255,0.9255,0.9255,0.9255
DKKSEK,1987-06-29,0.9251,0.9251,0.9251,0.9251
DKKSEK,1987-07-06,0.9206,0.9206,0.9206,0.9206
DKKSEK,1987-07-13,0.9191,0.9191,0.9191,0.9191
DKKSEK,1987-07-20,0.9195,0.9195,0.9195,0.9195
DKKSEK,1987-07-27,0.9168,0.9168,0.9168,0.9168
DKKSEK,1987-08-03,0.9184,0.9184,0.9184,0.9184
DKKSEK,1987-08-10,0.9194,0.9194,0.9194,0.9194
DKKSEK,1987-08-17,0.9105,0.9105,0.9105,0.9105
DKKSEK,1987-08-24,0.9058,0.9058,0.9058,0.9058
DKKSEK,1987-08-31,0.9121,0.9121,0.9121,0.9121
DKKSEK,1987-09-07,0.9141,0.9141,0.9141,0.9141
DKKSEK,1987-09-14,0.9134,0.9134,0.9134,0.9134
DKKSEK,1987-09-21,0.9132,0.9132,0.9132,0.9132
DKKSEK,1987-09-28,0.9142,0.9142,0.9142,0.9142
DKKSEK,1987-10-05,0.9108,0.9108,0.9108,0.9108
DKKSEK,1987-10-12,0.9109,0.9109,0.9109,0.9109
DKKSEK,1987-10-19,0.9163,0.9163,0.9163,0.9163
DKKSEK,1987-10-26,0.9174,0.9174,0.9174,0.9174
DKKSEK,1987-11-02,0.9171,0.9171,0.9171,0.9171
DKKSEK,1987-11-09,0.9293,0.9293,0.9293,0.9293
DKKSEK,1987-11-16,0.9375,0.9375,0.9375,0.9375
