ticker,date,open,high,low,close
DKKSGD,1984-01-09,0.21121,0.21121,0.21121,0.21121
DKKSGD,1984-01-16,0.20817,0.20817,0.20817,0.20817
DKKSGD,1984-01-23,0.21011,0.21011,0.21011,0.21011
DKKSGD,1984-01-30,0.20817,0.20817,0.20817,0.20817
DKKSGD,1984-02-06,0.2086,0.2086,0.2086,0.2086
DKKSGD,1984-02-13,0.21097,0.21097,0.21097,0.21097
DKKSGD,1984-02-20,0.21413,0.21413,0.21413,0.21413
DKKSGD,1984-03-01,0.21737,0.21737,0.21737,0.21737
DKKSGD,1984-03-05,0.21752,0.21752,0.21752,0.21752
DKKSGD,1984-03-12,0.2236,0.2236,0.2236,0.2236
DKKSGD,1984-03-19,0.22481,0.22481,0.22481,0.22481
DKKSGD,1984-03-26,0.21797,0.21797,0.21797,0.21797
DKKSGD,1984-04-02,0.2195,0.2195,0.2195,0.2195
DKKSGD,1984-04-09,0.21785,0.21785,0.21785,0.21785
DKKSGD,1984-04-16,0.21683,0.21683,0.21683,0.21683
DKKSGD,1984-04-24,0.21499,0.21499,0.21499,0.21499
DKKSGD,1984-05-02,0.21214,0.21214,0.21214,0.21214
DKKSGD,1984-05-07,0.20925,0.20925,0.20925,0.20925
DKKSGD,1984-05-14,0.20795,0.20795,0.20795,0.20795
DKKSGD,1984-05-21,0.2101,0.2101,0.2101,0.2101
DKKSGD,1984-05-28,0.2101,0.2101,0.2101,0.2101
DKKSGD,1984-06-04,0.20849,0.20849,0.20849,0.20849
DKKSGD,1984-06-11,0.21513,0.21513,0.21513,0.21513
DKKSGD,1984-06-18,0.21183,0.21183,0.21183,0.21183
DKKSGD,1984-06-25,0.21132,0.21132,0.21132,0.21132
DKKSGD,1984-07-02,0.20935,0.20935,0.20935,0.20935
DKKSGD,1984-07-09,0.20883,0.20883,0.20883,0.20883
DKKSGD,1984-07-16,0.20744,0.20744,0.20744,0.20744
DKKSGD,1984-07-23,0.20687,0.20687,0.20687,0.20687
DKKSGD,1984-07-30,0.20476,0.20476,0.20476,0.20476
DKKSGD,1984-08-06,0.20323,0.20323,0.20323,0.20323
DKKSGD,1984-08-13,0.20342,0.20342,0.20342,0.20342
DKKSGD,1984-08-20,0.20398,0.20398,0.20398,0.20398
DKKSGD,1984-08-27,0.20398,0.20398,0.20398,0.20398
DKKSGD,1984-09-01,0.20523,0.20523,0.20523,0.20523
DKKSGD,1984-09-10,0.20296,0.20296,0.20296,0.20296
DKKSGD,1984-09-17,0.19896,0.19896,0.19896,0.19896
DKKSGD,1984-09-24,0.19366,0.19366,0.19366,0.19366
DKKSGD,1984-10-01,0.19501,0.19501,0.19501,0.19501
DKKSGD,1984-10-08,0.1974,0.1974,0.1974,0.1974
DKKSGD,1984-10-15,0.19552,0.19552,0.19552,0.19552
DKKSGD,1984-10-22,0.19096,0.19096,0.19096,0.19096
DKKSGD,1984-10-29,0.19553,0.19553,0.19553,0.19553
DKKSGD,1984-11-05,0.19487,0.19487,0.19487,0.19487
DKKSGD,1984-11-12,0.20278,0.20278,0.20278,0.20278
DKKSGD,1984-11-19,0.20295,0.20295,0.20295,0.20295
DKKSGD,1984-11-26,0.20035,0.20035,0.20035,0.20035
DKKSGD,1984-12-01,0.1969,0.1969,0.1969,0.1969
DKKSGD,1984-12-10,0.19518,0.19518,0.19518,0.19518
DKKSGD,1984-12-17,0.19689,0.19689,0.19689,0.19689
DKKSGD,1984-12-24,0.19689,0.19689,0.19689,0.19689
DKKSGD,1985-01-01,0.19495,0.19495,0.19495,0.19495
DKKSGD,1985-01-07,0.1946,0.1946,0.1946,0.1946
DKKSGD,1985-01-14,0.19744,0.19744,0.19744,0.19744
DKKSGD,1985-01-21,0.19366,0.19366,0.19366,0.19366
DKKSGD,1985-01-28,0.1946,0.1946,0.1946,0.1946
DKKSGD,1985-02-04,0.19775,0.19775,0.19775,0.19775
DKKSGD,1985-02-11,0.19693,0.19693,0.19693,0.19693
DKKSGD,1985-02-18,0.19357,0.19357,0.19357,0.19357
DKKSGD,1985-02-25,0.19273,0.19273,0.19273,0.19273
DKKSGD,1985-03-04,0.19113,0.19113,0.19113,0.19113
DKKSGD,1985-03-11,0.18336,0.18336,0.18336,0.18336
DKKSGD,1985-03-18,0.19114,0.19114,0.19114,0.19114
DKKSGD,1985-03-25,0.19116,0.19116,0.19116,0.19116
DKKSGD,1985-03-29,0.19521,0.19521,0.19521,0.19521
DKKSGD,1985-04-01,0.1979,0.1979,0.1979,0.1979
DKKSGD,1985-04-09,0.20147,0.20147,0.20147,0.20147
DKKSGD,1985-04-15,0.19553,0.19553,0.19553,0.19553
DKKSGD,1985-04-22,0.20307,0.20307,0.20307,0.20307
DKKSGD,1985-04-29,0.20442,0.20442,0.20442,0.20442
DKKSGD,1985-05-06,0.20065,0.20065,0.20065,0.20065
DKKSGD,1985-05-13,0.19217,0.19217,0.19217,0.19217
