ticker,date,open,high,low,close
DKKTWD,1984-01-02,4.1017,4.1017,4.1017,4.1017
DKKTWD,1984-01-09,4.0601,4.0601,4.0601,4.0601
DKKTWD,1984-01-16,4.0601,4.0601,4.0601,4.0601
DKKTWD,1984-01-23,4.0601,4.0601,4.0601,4.0601
DKKTWD,1984-01-30,4.0634,4.0634,4.0634,4.0634
DKKTWD,1984-02-06,4.0634,4.0634,4.0634,4.0634
DKKTWD,1984-02-13,4.0634,4.0634,4.0634,4.0634
DKKTWD,1984-02-20,4.1051,4.1051,4.1051,4.1051
DKKTWD,1984-03-01,4.0205,4.0205,4.0205,4.0205
DKKTWD,1984-03-05,4.0546,4.0546,4.0546,4.0546
DKKTWD,1984-03-12,4.456,4.456,4.456,4.456
DKKTWD,1984-03-19,4.4494,4.4494,4.4494,4.4494
DKKTWD,1984-03-26,4.0323,4.0323,4.0323,4.0323
DKKTWD,1984-04-02,4.0323,4.0323,4.0323,4.0323
DKKTWD,1984-04-09,4.0323,4.0323,4.0323,4.0323
DKKTWD,1984-04-16,4.0146,4.0146,4.0146,4.0146
DKKTWD,1984-04-24,3.9697,3.9697,3.9697,3.9697
DKKTWD,1984-05-02,3.9668,3.9668,3.9668,3.9668
DKKTWD,1984-05-07,3.9286,3.9286,3.9286,3.9286
DKKTWD,1984-05-14,3.9286,3.9286,3.9286,3.9286
DKKTWD,1984-05-21,3.9398,3.9398,3.9398,3.9398
DKKTWD,1984-05-28,3.9398,3.9398,3.9398,3.9398
DKKTWD,1984-06-04,3.964,3.964,3.964,3.964
DKKTWD,1984-06-11,3.9855,3.9855,3.9855,3.9855
DKKTWD,1984-06-18,3.9455,3.9455,3.9455,3.9455
DKKTWD,1984-06-25,3.9441,3.9441,3.9441,3.9441
DKKTWD,1984-07-02,3.8966,3.8966,3.8966,3.8966
DKKTWD,1984-07-09,3.8856,3.8856,3.8856,3.8856
DKKTWD,1984-07-16,3.8801,3.8801,3.8801,3.8801
DKKTWD,1984-07-23,3.8462,3.8462,3.8462,3.8462
DKKTWD,1984-07-30,3.8221,3.8221,3.8221,3.8221
DKKTWD,1984-08-06,3.8076,3.8076,3.8076,3.8076
DKKTWD,1984-08-13,3.8076,3.8076,3.8076,3.8076
