ticker,date,open,high,low,close
EURCAD,1971-01-04,0.5411,0.5411,0.5411,0.5411
EURCAD,1971-01-05,0.5405,0.5405,0.5405,0.5405
EURCAD,1971-01-06,0.5409,0.5409,0.5409,0.5409
EURCAD,1971-01-07,0.5432,0.5432,0.5432,0.5432
EURCAD,1971-01-08,0.5436,0.5436,0.5436,0.5436
EURCAD,1971-01-11,0.5441,0.5441,0.5441,0.5441
EURCAD,1971-01-12,0.5425,0.5425,0.5425,0.5425
EURCAD,1971-01-13,0.5423,0.5423,0.5423,0.5423
EURCAD,1971-01-14,0.5431,0.5431,0.5431,0.5431
EURCAD,1971-01-15,0.5433,0.5433,0.5433,0.5433
EURCAD,1971-01-18,0.5431,0.5431,0.5431,0.5431
EURCAD,1971-01-19,0.5422,0.5422,0.5422,0.5422
EURCAD,1971-01-20,0.543,0.543,0.543,0.543
EURCAD,1971-01-21,0.5429,0.5429,0.5429,0.5429
EURCAD,1971-01-22,0.5434,0.5434,0.5434,0.5434
EURCAD,1971-01-25,0.5432,0.5432,0.5432,0.5432
EURCAD,1971-01-26,0.5429,0.5429,0.5429,0.5429
EURCAD,1971-01-27,0.5427,0.5427,0.5427,0.5427
EURCAD,1971-01-28,0.542,0.542,0.542,0.542
EURCAD,1971-01-29,0.5414,0.5414,0.5414,0.5414
EURCAD,1971-02-01,0.541,0.541,0.541,0.541
EURCAD,1971-02-02,0.5416,0.5416,0.5416,0.5416
EURCAD,1971-02-03,0.5417,0.5417,0.5417,0.5417
EURCAD,1971-02-04,0.5414,0.5414,0.5414,0.5414
EURCAD,1971-02-05,0.5413,0.5413,0.5413,0.5413
EURCAD,1971-02-08,0.5415,0.5415,0.5415,0.5415
EURCAD,1971-02-09,0.5417,0.5417,0.5417,0.5417
EURCAD,1971-02-10,0.5416,0.5416,0.5416,0.5416
EURCAD,1971-02-11,0.5415,0.5415,0.5415,0.5415
EURCAD,1971-02-16,0.5417,0.5417,0.5417,0.5417
EURCAD,1971-02-17,0.5419,0.5419,0.5419,0.5419
EURCAD,1971-02-18,0.5412,0.5412,0.5412,0.5412
EURCAD,1971-02-19,0.5407,0.5407,0.5407,0.5407
EURCAD,1971-02-22,0.5395,0.5395,0.5395,0.5395
EURCAD,1971-02-23,0.5391,0.5391,0.5391,0.5391
EURCAD,1971-02-24,0.5413,0.5413,0.5413,0.5413
EURCAD,1971-02-25,0.5406,0.5406,0.5406,0.5406
EURCAD,1971-02-26,0.5401,0.5401,0.5401,0.5401
EURCAD,1971-03-01,0.5409,0.5409,0.5409,0.5409
EURCAD,1971-03-02,0.5408,0.5408,0.5408,0.5408
EURCAD,1971-03-03,0.5412,0.5412,0.5412,0.5412
EURCAD,1971-03-04,0.5403,0.5403,0.5403,0.5403
EURCAD,1971-03-05,0.5395,0.5395,0.5395,0.5395
EURCAD,1971-03-08,0.5388,0.5388,0.5388,0.5388
EURCAD,1971-03-09,0.5393,0.5393,0.5393,0.5393
EURCAD,1971-03-10,0.539,0.539,0.539,0.539
EURCAD,1971-03-11,0.5397,0.5397,0.5397,0.5397
EURCAD,1971-03-12,0.5398,0.5398,0.5398,0.5398
EURCAD,1971-03-15,0.5399,0.5399,0.5399,0.5399
EURCAD,1971-03-16,0.5395,0.5395,0.5395,0.5395
EURCAD,1971-03-17,0.5402,0.5402,0.5402,0.5402
EURCAD,1971-03-18,0.5405,0.5405,0.5405,0.5405
EURCAD,1971-03-19,0.5413,0.5413,0.5413,0.5413
EURCAD,1971-03-22,0.5414,0.5414,0.5414,0.5414
EURCAD,1971-03-23,0.5414,0.5414,0.5414,0.5414
EURCAD,1971-03-24,0.5413,0.5413,0.5413,0.5413
EURCAD,1971-03-25,0.5408,0.5408,0.5408,0.5408
EURCAD,1971-03-26,0.5411,0.5411,0.5411,0.5411
EURCAD,1971-03-29,0.5411,0.5411,0.5411,0.5411
EURCAD,1971-03-30,0.5416,0.5416,0.5416,0.5416
EURCAD,1971-03-31,0.5416,0.5416,0.5416,0.5416
EURCAD,1971-04-01,0.5414,0.5414,0.5414,0.5414
EURCAD,1971-04-02,0.5412,0.5412,0.5412,0.5412
EURCAD,1971-04-05,0.5409,0.5409,0.5409,0.5409
EURCAD,1971-04-06,0.5405,0.5405,0.5405,0.5405
EURCAD,1971-04-07,0.5406,0.5406,0.5406,0.5406
