ticker,date,open,high,low,close
EURCHF,1971-01-04,2.3113,2.3113,2.3113,2.3113
EURCHF,1971-01-05,2.307,2.307,2.307,2.307
EURCHF,1971-01-06,2.3074,2.3074,2.3074,2.3074
EURCHF,1971-01-07,2.3072,2.3072,2.3072,2.3072
EURCHF,1971-01-08,2.3081,2.3081,2.3081,2.3081
EURCHF,1971-01-11,2.3084,2.3084,2.3084,2.3084
EURCHF,1971-01-12,2.3082,2.3082,2.3082,2.3082
EURCHF,1971-01-13,2.3089,2.3089,2.3089,2.3089
EURCHF,1971-01-14,2.3096,2.3096,2.3096,2.3096
EURCHF,1971-01-15,2.309,2.309,2.309,2.309
EURCHF,1971-01-18,2.3076,2.3076,2.3076,2.3076
EURCHF,1971-01-19,2.3063,2.3063,2.3063,2.3063
EURCHF,1971-01-20,2.3089,2.3089,2.3089,2.3089
EURCHF,1971-01-21,2.3102,2.3102,2.3102,2.3102
EURCHF,1971-01-22,2.3094,2.3094,2.3094,2.3094
EURCHF,1971-01-25,2.3104,2.3104,2.3104,2.3104
EURCHF,1971-01-26,2.3093,2.3093,2.3093,2.3093
EURCHF,1971-01-27,2.3086,2.3086,2.3086,2.3086
EURCHF,1971-01-28,2.3085,2.3085,2.3085,2.3085
EURCHF,1971-01-29,2.3074,2.3074,2.3074,2.3074
EURCHF,1971-02-01,2.307,2.307,2.307,2.307
EURCHF,1971-02-02,2.3069,2.3069,2.3069,2.3069
EURCHF,1971-02-03,2.3078,2.3078,2.3078,2.3078
EURCHF,1971-02-04,2.3079,2.3079,2.3079,2.3079
EURCHF,1971-02-05,2.3078,2.3078,2.3078,2.3078
EURCHF,1971-02-08,2.3082,2.3082,2.3082,2.3082
EURCHF,1971-02-09,2.3083,2.3083,2.3083,2.3083
EURCHF,1971-02-10,2.3077,2.3077,2.3077,2.3077
EURCHF,1971-02-11,2.3067,2.3067,2.3067,2.3067
EURCHF,1971-02-16,2.3081,2.3081,2.3081,2.3081
EURCHF,1971-02-17,2.3083,2.3083,2.3083,2.3083
EURCHF,1971-02-18,2.3078,2.3078,2.3078,2.3078
EURCHF,1971-02-19,2.3078,2.3078,2.3078,2.3078
EURCHF,1971-02-22,2.3078,2.3078,2.3078,2.3078
EURCHF,1971-02-23,2.3077,2.3077,2.3077,2.3077
EURCHF,1971-02-24,2.3108,2.3108,2.3108,2.3108
EURCHF,1971-02-25,2.3135,2.3135,2.3135,2.3135
EURCHF,1971-02-26,2.3099,2.3099,2.3099,2.3099
EURCHF,1971-03-01,2.312,2.312,2.312,2.312
EURCHF,1971-03-02,2.3118,2.3118,2.3118,2.3118
EURCHF,1971-03-03,2.3123,2.3123,2.3123,2.3123
EURCHF,1971-03-04,2.3125,2.3125,2.3125,2.3125
EURCHF,1971-03-05,2.3126,2.3126,2.3126,2.3126
EURCHF,1971-03-08,2.3109,2.3109,2.3109,2.3109
EURCHF,1971-03-09,2.3105,2.3105,2.3105,2.3105
EURCHF,1971-03-10,2.3118,2.3118,2.3118,2.3118
EURCHF,1971-03-11,2.3102,2.3102,2.3102,2.3102
EURCHF,1971-03-12,2.3087,2.3087,2.3087,2.3087
EURCHF,1971-03-15,2.3084,2.3084,2.3084,2.3084
EURCHF,1971-03-16,2.3079,2.3079,2.3079,2.3079
EURCHF,1971-03-17,2.3097,2.3097,2.3097,2.3097
EURCHF,1971-03-18,2.3085,2.3085,2.3085,2.3085
EURCHF,1971-03-19,2.308,2.308,2.308,2.308
EURCHF,1971-03-22,2.3081,2.3081,2.3081,2.3081
EURCHF,1971-03-23,2.3082,2.3082,2.3082,2.3082
EURCHF,1971-03-24,2.3083,2.3083,2.3083,2.3083
EURCHF,1971-03-25,2.3075,2.3075,2.3075,2.3075
EURCHF,1971-03-26,2.3073,2.3073,2.3073,2.3073
EURCHF,1971-03-29,2.3073,2.3073,2.3073,2.3073
EURCHF,1971-03-30,2.3077,2.3077,2.3077,2.3077
EURCHF,1971-03-31,2.3078,2.3078,2.3078,2.3078
EURCHF,1971-04-01,2.3078,2.3078,2.3078,2.3078
EURCHF,1971-04-02,2.3075,2.3075,2.3075,2.3075
EURCHF,1971-04-05,2.3079,2.3079,2.3079,2.3079
EURCHF,1971-04-06,2.3085,2.3085,2.3085,2.3085
EURCHF,1971-04-07,2.3064,2.3064,2.3064,2.3064
EURCHF,1971-04-08,2.3056,2.3056,2.3056,2.3056
EURCHF,1971-04-09,2.3063,2.3063,2.3063,2.3063
EURCHF,1971-04-12,2.3066,2.3066,2.3066,2.3066
EURCHF,1971-04-13,2.3077,2.3077,2.3077,2.3077
EURCHF,1971-04-14,2.3085,2.3085,2.3085,2.3085
EURCHF,1971-04-15,2.3072,2.3072,2.3072,2.3072
EURCHF,1971-04-16,2.3074,2.3074,2.3074,2.3074
EURCHF,1971-04-19,2.3049,2.3049,2.3049,2.3049
EURCHF,1971-04-20,2.3058,2.3058,2.3058,2.3058
EURCHF,1971-04-21,2.3064,2.3064,2.3064,2.3064
EURCHF,1971-04-22,2.306,2.306,2.306,2.306
EURCHF,1971-04-23,2.3059,2.3059,2.3059,2.3059
EURCHF,1971-04-26,2.3058,2.3058,2.3058,2.3058
EURCHF,1971-04-27,2.306,2.306,2.306,2.306
EURCHF,1971-04-28,2.3071,2.3071,2.3071,2.3071
EURCHF,1971-04-29,2.3064,2.3064,2.3064,2.3064
EURCHF,1971-04-30,2.3065,2.3065,2.3065,2.3065
EURCHF,1971-05-03,2.3075,2.3075,2.3075,2.3075
EURCHF,1971-05-04,2.3077,2.3077,2.3077,2.3077
EURCHF,1971-05-05,2.2793,2.2793,2.2793,2.2793
EURCHF,1971-05-06,2.2686,2.2686,2.2686,2.2686
EURCHF,1971-05-07,2.2606,2.2606,2.2606,2.2606
EURCHF,1971-05-10,2.2638,2.2638,2.2638,2.2638
EURCHF,1971-05-11,2.2489,2.2489,2.2489,2.2489
EURCHF,1971-05-12,2.2509,2.2509,2.2509,2.2509
EURCHF,1971-05-13,2.2532,2.2532,2.2532,2.2532
EURCHF,1971-05-14,2.2513,2.2513,2.2513,2.2513
EURCHF,1971-05-17,2.2497,2.2497,2.2497,2.2497
EURCHF,1971-05-18,2.2478,2.2478,2.2478,2.2478
EURCHF,1971-05-19,2.257,2.257,2.257,2.257
EURCHF,1971-05-20,2.2727,2.2727,2.2727,2.2727
EURCHF,1971-05-21,2.2687,2.2687,2.2687,2.2687
EURCHF,1971-05-24,2.2665,2.2665,2.2665,2.2665
EURCHF,1971-05-25,2.2531,2.2531,2.2531,2.2531
EURCHF,1971-05-26,2.2479,2.2479,2.2479,2.2479
EURCHF,1971-05-27,2.2544,2.2544,2.2544,2.2544
EURCHF,1971-05-28,2.2566,2.2566,2.2566,2.2566
EURCHF,1971-06-01,2.2439,2.2439,2.2439,2.2439
EURCHF,1971-06-02,2.252,2.252,2.252,2.252
EURCHF,1971-06-03,2.2615,2.2615,2.2615,2.2615
EURCHF,1971-06-04,2.2646,2.2646,2.2646,2.2646
EURCHF,1971-06-07,2.2633,2.2633,2.2633,2.2633
EURCHF,1971-06-08,2.2671,2.2671,2.2671,2.2671
EURCHF,1971-06-09,2.2717,2.2717,2.2717,2.2717
EURCHF,1971-06-10,2.2698,2.2698,2.2698,2.2698
EURCHF,1971-06-11,2.2731,2.2731,2.2731,2.2731
EURCHF,1971-06-14,2.2741,2.2741,2.2741,2.2741
EURCHF,1971-06-15,2.2775,2.2775,2.2775,2.2775
EURCHF,1971-06-16,2.2764,2.2764,2.2764,2.2764
EURCHF,1971-06-17,2.2788,2.2788,2.2788,2.2788
EURCHF,1971-06-18,2.2777,2.2777,2.2777,2.2777
EURCHF,1971-06-21,2.2776,2.2776,2.2776,2.2776
EURCHF,1971-06-22,2.281,2.281,2.281,2.281
EURCHF,1971-06-23,2.2846,2.2846,2.2846,2.2846
EURCHF,1971-06-24,2.283,2.283,2.283,2.283
EURCHF,1971-06-25,2.2806,2.2806,2.2806,2.2806
EURCHF,1971-06-28,2.2821,2.2821,2.2821,2.2821
EURCHF,1971-06-29,2.286,2.286,2.286,2.286
EURCHF,1971-06-30,2.2859,2.2859,2.2859,2.2859
EURCHF,1971-07-01,2.2836,2.2836,2.2836,2.2836
EURCHF,1971-07-02,2.2835,2.2835,2.2835,2.2835
EURCHF,1971-07-06,2.2858,2.2858,2.2858,2.2858
