ticker,date,open,high,low,close
EURCNY,1984-09-24,3.3213,3.3213,3.3213,3.3213
EURCNY,1984-10-01,3.4686,3.4686,3.4686,3.4686
EURCNY,1984-10-08,3.3948,3.3948,3.3948,3.3948
EURCNY,1984-10-15,3.4717,3.4717,3.4717,3.4717
EURCNY,1984-10-22,3.3962,3.3962,3.3962,3.3962
EURCNY,1984-10-29,3.3579,3.3579,3.3579,3.3579
EURCNY,1984-11-05,3.3213,3.3213,3.3213,3.3213
EURCNY,1984-11-12,3.4686,3.4686,3.4686,3.4686
EURCNY,1984-11-19,3.6154,3.6154,3.6154,3.6154
EURCNY,1984-11-26,3.6614,3.6614,3.6614,3.6614
EURCNY,1984-12-01,3.5385,3.5385,3.5385,3.5385
EURCNY,1984-12-10,3.5827,3.5827,3.5827,3.5827
EURCNY,1984-12-17,3.5827,3.5827,3.5827,3.5827
EURCNY,1984-12-24,3.5827,3.5827,3.5827,3.5827
EURCNY,1985-01-01,3.574,3.574,3.574,3.574
EURCNY,1985-01-07,3.5379,3.5379,3.5379,3.5379
EURCNY,1985-01-14,3.5379,3.5379,3.5379,3.5379
EURCNY,1985-01-21,3.5018,3.5018,3.5018,3.5018
EURCNY,1985-01-28,3.5018,3.5018,3.5018,3.5018
EURCNY,1985-02-04,3.5379,3.5379,3.5379,3.5379
EURCNY,1985-02-11,3.4397,3.4397,3.4397,3.4397
EURCNY,1985-02-18,3.4043,3.4043,3.4043,3.4043
EURCNY,1985-02-25,3.3688,3.3688,3.3688,3.3688
EURCNY,1985-03-04,3.3935,3.3935,3.3935,3.3935
EURCNY,1985-03-11,3.2624,3.2624,3.2624,3.2624
EURCNY,1985-03-18,3.3935,3.3935,3.3935,3.3935
EURCNY,1985-03-25,3.3935,3.3935,3.3935,3.3935
EURCNY,1985-03-29,3.3574,3.3574,3.3574,3.3574
EURCNY,1985-04-01,3.5379,3.5379,3.5379,3.5379
EURCNY,1985-04-09,3.6531,3.6531,3.6531,3.6531
EURCNY,1985-04-15,3.5379,3.5379,3.5379,3.5379
EURCNY,1985-04-22,3.7269,3.7269,3.7269,3.7269
EURCNY,1985-04-29,3.7736,3.7736,3.7736,3.7736
EURCNY,1985-05-06,3.6531,3.6531,3.6531,3.6531
EURCNY,1985-05-13,3.4657,3.4657,3.4657,3.4657
EURCNY,1985-05-20,3.69,3.69,3.69,3.69
EURCNY,1985-05-27,3.69,3.69,3.69,3.69
EURCNY,1985-06-01,3.6278,3.6278,3.6278,3.6278
EURCNY,1985-06-10,3.7621,3.7621,3.7621,3.7621
EURCNY,1985-06-17,3.6278,3.6278,3.6278,3.6278
