ticker,date,open,high,low,close
EURGBP,1971-01-04,0.2236,0.2236,0.2236,0.2236
EURGBP,1971-01-05,0.2234,0.2234,0.2234,0.2234
EURGBP,1971-01-06,0.2233,0.2233,0.2233,0.2233
EURGBP,1971-01-07,0.2234,0.2234,0.2234,0.2234
EURGBP,1971-01-08,0.2233,0.2233,0.2233,0.2233
EURGBP,1971-01-11,0.2232,0.2232,0.2232,0.2232
EURGBP,1971-01-12,0.2231,0.2231,0.2231,0.2231
EURGBP,1971-01-13,0.223,0.223,0.223,0.223
EURGBP,1971-01-14,0.2226,0.2226,0.2226,0.2226
EURGBP,1971-01-15,0.2228,0.2228,0.2228,0.2228
EURGBP,1971-01-18,0.223,0.223,0.223,0.223
EURGBP,1971-01-19,0.2227,0.2227,0.2227,0.2227
EURGBP,1971-01-20,0.2229,0.2229,0.2229,0.2229
EURGBP,1971-01-21,0.2229,0.2229,0.2229,0.2229
EURGBP,1971-01-22,0.2228,0.2228,0.2228,0.2228
EURGBP,1971-01-25,0.2225,0.2225,0.2225,0.2225
EURGBP,1971-01-26,0.2223,0.2223,0.2223,0.2223
EURGBP,1971-01-27,0.2224,0.2224,0.2224,0.2224
EURGBP,1971-01-28,0.2223,0.2223,0.2223,0.2223
EURGBP,1971-01-29,0.2222,0.2222,0.2222,0.2222
EURGBP,1971-02-01,0.222,0.222,0.222,0.222
EURGBP,1971-02-02,0.2221,0.2221,0.2221,0.2221
EURGBP,1971-02-03,0.2221,0.2221,0.2221,0.2221
EURGBP,1971-02-04,0.2223,0.2223,0.2223,0.2223
EURGBP,1971-02-05,0.2224,0.2224,0.2224,0.2224
EURGBP,1971-02-08,0.2221,0.2221,0.2221,0.2221
EURGBP,1971-02-09,0.2225,0.2225,0.2225,0.2225
EURGBP,1971-02-10,0.2223,0.2223,0.2223,0.2223
EURGBP,1971-02-11,0.2222,0.2222,0.2222,0.2222
EURGBP,1971-02-16,0.222,0.222,0.222,0.222
EURGBP,1971-02-17,0.2221,0.2221,0.2221,0.2221
EURGBP,1971-02-18,0.2221,0.2221,0.2221,0.2221
EURGBP,1971-02-19,0.2221,0.2221,0.2221,0.2221
EURGBP,1971-02-22,0.2221,0.2221,0.2221,0.2221
EURGBP,1971-02-23,0.2221,0.2221,0.2221,0.2221
EURGBP,1971-02-24,0.2221,0.2221,0.2221,0.2221
EURGBP,1971-02-25,0.2221,0.2221,0.2221,0.2221
EURGBP,1971-02-26,0.222,0.222,0.222,0.222
EURGBP,1971-03-01,0.2222,0.2222,0.2222,0.2222
EURGBP,1971-03-02,0.222,0.222,0.222,0.222
EURGBP,1971-03-03,0.2221,0.2221,0.2221,0.2221
EURGBP,1971-03-04,0.2221,0.2221,0.2221,0.2221
EURGBP,1971-03-05,0.222,0.222,0.222,0.222
EURGBP,1971-03-08,0.222,0.222,0.222,0.222
EURGBP,1971-03-09,0.2221,0.2221,0.2221,0.2221
EURGBP,1971-03-10,0.222,0.222,0.222,0.222
EURGBP,1971-03-11,0.222,0.222,0.222,0.222
EURGBP,1971-03-12,0.2218,0.2218,0.2218,0.2218
EURGBP,1971-03-15,0.2218,0.2218,0.2218,0.2218
EURGBP,1971-03-16,0.222,0.222,0.222,0.222
EURGBP,1971-03-17,0.222,0.222,0.222,0.222
EURGBP,1971-03-18,0.222,0.222,0.222,0.222
EURGBP,1971-03-19,0.222,0.222,0.222,0.222
EURGBP,1971-03-22,0.222,0.222,0.222,0.222
EURGBP,1971-03-23,0.222,0.222,0.222,0.222
EURGBP,1971-03-24,0.222,0.222,0.222,0.222
EURGBP,1971-03-25,0.222,0.222,0.222,0.222
EURGBP,1971-03-26,0.222,0.222,0.222,0.222
EURGBP,1971-03-29,0.222,0.222,0.222,0.222
EURGBP,1971-03-30,0.2222,0.2222,0.2222,0.2222
