ticker,date,open,high,low,close
EURNOK,1984-09-24,6.3701,6.3701,6.3701,6.3701
EURNOK,1984-10-01,6.5733,6.5733,6.5733,6.5733
EURNOK,1984-10-08,6.4618,6.4618,6.4618,6.4618
EURNOK,1984-10-15,6.5067,6.5067,6.5067,6.5067
EURNOK,1984-10-22,6.4247,6.4247,6.4247,6.4247
EURNOK,1984-10-29,6.4216,6.4216,6.4216,6.4216
EURNOK,1984-11-05,6.4409,6.4409,6.4409,6.4409
EURNOK,1984-11-12,6.5083,6.5083,6.5083,6.5083
EURNOK,1984-11-19,6.4661,6.4661,6.4661,6.4661
EURNOK,1984-11-26,6.4885,6.4885,6.4885,6.4885
EURNOK,1984-12-01,6.4782,6.4782,6.4782,6.4782
EURNOK,1984-12-10,6.4494,6.4494,6.4494,6.4494
EURNOK,1984-12-17,6.4315,6.4315,6.4315,6.4315
EURNOK,1984-12-24,6.4433,6.4433,6.4433,6.4433
EURNOK,1985-01-01,6.426,6.426,6.426,6.426
EURNOK,1985-01-07,6.4267,6.4267,6.4267,6.4267
EURNOK,1985-01-14,6.4426,6.4426,6.4426,6.4426
EURNOK,1985-01-21,6.4404,6.4404,6.4404,6.4404
EURNOK,1985-01-28,6.4345,6.4345,6.4345,6.4345
EURNOK,1985-02-04,6.4324,6.4324,6.4324,6.4324
EURNOK,1985-02-11,6.4178,6.4178,6.4178,6.4178
EURNOK,1985-02-18,6.3912,6.3912,6.3912,6.3912
EURNOK,1985-02-25,6.3722,6.3722,6.3722,6.3722
EURNOK,1985-03-04,6.3455,6.3455,6.3455,6.3455
EURNOK,1985-03-11,6.3326,6.3326,6.3326,6.3326
EURNOK,1985-03-18,6.3487,6.3487,6.3487,6.3487
EURNOK,1985-03-25,6.3549,6.3549,6.3549,6.3549
EURNOK,1985-03-29,6.1006,6.1006,6.1006,6.1006
EURNOK,1985-04-01,6.4202,6.4202,6.4202,6.4202
EURNOK,1985-04-09,6.45,6.45,6.45,6.45
EURNOK,1985-04-15,6.435,6.435,6.435,6.435
EURNOK,1985-04-22,6.4797,6.4797,6.4797,6.4797
EURNOK,1985-04-29,6.4851,6.4851,6.4851,6.4851
EURNOK,1985-05-06,6.4599,6.4599,6.4599,6.4599
EURNOK,1985-05-13,6.3894,6.3894,6.3894,6.3894
EURNOK,1985-05-20,6.4844,6.4844,6.4844,6.4844
EURNOK,1985-05-27,6.4652,6.4652,6.4652,6.4652
EURNOK,1985-06-01,6.4374,6.4374,6.4374,6.4374
EURNOK,1985-06-10,6.4684,6.4684,6.4684,6.4684
