ticker,date,open,high,low,close
EURPLN,1984-09-24,0.0092,0.0092,0.0092,0.0092
EURPLN,1984-10-01,0.0094,0.0094,0.0094,0.0094
EURPLN,1984-10-08,0.0092,0.0092,0.0092,0.0092
EURPLN,1984-10-15,0.0092,0.0092,0.0092,0.0092
EURPLN,1984-10-22,0.009,0.009,0.009,0.009
EURPLN,1984-10-29,0.0091,0.0091,0.0091,0.0091
EURPLN,1984-11-05,0.0092,0.0092,0.0092,0.0092
EURPLN,1984-11-12,0.0094,0.0094,0.0094,0.0094
EURPLN,1984-11-19,0.0094,0.0094,0.0094,0.0094
EURPLN,1984-11-26,0.0093,0.0093,0.0093,0.0093
EURPLN,1984-12-01,0.0092,0.0092,0.0092,0.0092
EURPLN,1984-12-10,0.0091,0.0091,0.0091,0.0091
EURPLN,1984-12-17,0.0091,0.0091,0.0091,0.0091
EURPLN,1984-12-24,0.0091,0.0091,0.0091,0.0091
EURPLN,1985-01-01,0.0099,0.0099,0.0099,0.0099
EURPLN,1985-01-07,0.0098,0.0098,0.0098,0.0098
EURPLN,1985-01-14,0.0098,0.0098,0.0098,0.0098
EURPLN,1985-01-21,0.0097,0.0097,0.0097,0.0097
EURPLN,1985-01-28,0.0097,0.0097,0.0097,0.0097
EURPLN,1985-02-04,0.0098,0.0098,0.0098,0.0098
EURPLN,1985-02-11,0.0097,0.0097,0.0097,0.0097
EURPLN,1985-02-18,0.0096,0.0096,0.0096,0.0096
EURPLN,1985-02-25,0.0095,0.0095,0.0095,0.0095
EURPLN,1985-03-04,0.0094,0.0094,0.0094,0.0094
EURPLN,1985-03-11,0.0092,0.0092,0.0092,0.0092
EURPLN,1985-03-18,0.0094,0.0094,0.0094,0.0094
EURPLN,1985-03-25,0.0094,0.0094,0.0094,0.0094
EURPLN,1985-03-29,0.0093,0.0093,0.0093,0.0093
EURPLN,1985-04-01,0.0098,0.0098,0.0098,0.0098
EURPLN,1985-04-09,0.0099,0.0099,0.0099,0.0099
EURPLN,1985-04-15,0.0098,0.0098,0.0098,0.0098
EURPLN,1985-04-22,0.0101,0.0101,0.0101,0.0101
EURPLN,1985-04-29,0.01,0.01,0.01,0.01
EURPLN,1985-05-06,0.0099,0.0099,0.0099,0.0099
EURPLN,1985-05-13,0.0096,0.0096,0.0096,0.0096
