ticker,date,open,high,low,close
EURSGD,1981-01-02,2.0668,2.0668,2.0668,2.0668
EURSGD,1981-01-05,2.093,2.093,2.093,2.093
EURSGD,1981-01-06,2.0964,2.0964,2.0964,2.0964
EURSGD,1981-01-07,2.0827,2.0827,2.0827,2.0827
EURSGD,1981-01-08,2.0677,2.0677,2.0677,2.0677
EURSGD,1981-01-09,2.0566,2.0566,2.0566,2.0566
EURSGD,1981-01-12,2.0467,2.0467,2.0467,2.0467
EURSGD,1981-01-13,2.0417,2.0417,2.0417,2.0417
EURSGD,1981-01-14,2.0433,2.0433,2.0433,2.0433
EURSGD,1981-01-15,2.0324,2.0324,2.0324,2.0324
EURSGD,1981-01-16,2.0202,2.0202,2.0202,2.0202
EURSGD,1981-01-19,2.0158,2.0158,2.0158,2.0158
EURSGD,1981-01-20,2.0203,2.0203,2.0203,2.0203
EURSGD,1981-01-21,2.0225,2.0225,2.0225,2.0225
EURSGD,1981-01-22,2.0027,2.0027,2.0027,2.0027
EURSGD,1981-01-23,1.9952,1.9952,1.9952,1.9952
EURSGD,1981-01-26,1.98,1.98,1.98,1.98
EURSGD,1981-01-27,1.9578,1.9578,1.9578,1.9578
EURSGD,1981-01-28,1.9386,1.9386,1.9386,1.9386
EURSGD,1981-01-29,1.9317,1.9317,1.9317,1.9317
EURSGD,1981-01-30,1.9099,1.9099,1.9099,1.9099
EURSGD,1981-02-02,1.9125,1.9125,1.9125,1.9125
EURSGD,1981-02-03,1.8999,1.8999,1.8999,1.8999
EURSGD,1981-02-04,1.9097,1.9097,1.9097,1.9097
EURSGD,1981-02-05,1.8839,1.8839,1.8839,1.8839
EURSGD,1981-02-06,1.8925,1.8925,1.8925,1.8925
EURSGD,1981-02-09,1.8919,1.8919,1.8919,1.8919
EURSGD,1981-02-10,1.8893,1.8893,1.8893,1.8893
EURSGD,1981-02-11,1.8841,1.8841,1.8841,1.8841
EURSGD,1981-02-13,1.8404,1.8404,1.8404,1.8404
EURSGD,1981-02-17,1.8619,1.8619,1.8619,1.8619
EURSGD,1981-02-18,1.8695,1.8695,1.8695,1.8695
EURSGD,1981-02-19,1.9146,1.9146,1.9146,1.9146
EURSGD,1981-02-20,1.9399,1.9399,1.9399,1.9399
EURSGD,1981-02-23,1.9318,1.9318,1.9318,1.9318
EURSGD,1981-02-24,1.9328,1.9328,1.9328,1.9328
EURSGD,1981-02-25,1.9423,1.9423,1.9423,1.9423
EURSGD,1981-02-26,1.9319,1.9319,1.9319,1.9319
EURSGD,1981-02-27,1.9245,1.9245,1.9245,1.9245
EURSGD,1981-03-02,1.9104,1.9104,1.9104,1.9104
EURSGD,1981-03-03,1.9117,1.9117,1.9117,1.9117
EURSGD,1981-03-04,1.9214,1.9214,1.9214,1.9214
EURSGD,1981-03-05,1.9247,1.9247,1.9247,1.9247
EURSGD,1981-03-06,1.9255,1.9255,1.9255,1.9255
EURSGD,1981-03-09,1.9461,1.9461,1.9461,1.9461
EURSGD,1981-03-10,1.9444,1.9444,1.9444,1.9444
EURSGD,1981-03-11,1.9356,1.9356,1.9356,1.9356
EURSGD,1981-03-12,1.9487,1.9487,1.9487,1.9487
EURSGD,1981-03-13,1.947,1.947,1.947,1.947
EURSGD,1981-03-16,1.9589,1.9589,1.9589,1.9589
EURSGD,1981-03-17,1.9616,1.9616,1.9616,1.9616
EURSGD,1981-03-18,1.9745,1.9745,1.9745,1.9745
EURSGD,1981-03-19,1.9837,1.9837,1.9837,1.9837
EURSGD,1981-03-20,1.969,1.969,1.969,1.969
EURSGD,1981-03-23,1.9614,1.9614,1.9614,1.9614
EURSGD,1981-03-24,1.9641,1.9641,1.9641,1.9641
EURSGD,1981-03-25,1.9555,1.9555,1.9555,1.9555
EURSGD,1981-03-26,1.9331,1.9331,1.9331,1.9331
EURSGD,1981-03-27,1.9191,1.9191,1.9191,1.9191
EURSGD,1981-03-30,1.9398,1.9398,1.9398,1.9398
EURSGD,1981-03-31,1.9322,1.9322,1.9322,1.9322
EURSGD,1981-04-01,1.9431,1.9431,1.9431,1.9431
EURSGD,1981-04-02,1.9331,1.9331,1.9331,1.9331
EURSGD,1981-04-03,1.9217,1.9217,1.9217,1.9217
EURSGD,1981-04-06,1.8982,1.8982,1.8982,1.8982
EURSGD,1981-04-07,1.9364,1.9364,1.9364,1.9364
EURSGD,1981-04-08,1.9216,1.9216,1.9216,1.9216
EURSGD,1981-04-09,1.9107,1.9107,1.9107,1.9107
EURSGD,1981-04-10,1.9048,1.9048,1.9048,1.9048
EURSGD,1981-04-13,1.8951,1.8951,1.8951,1.8951
EURSGD,1981-04-14,1.9043,1.9043,1.9043,1.9043
EURSGD,1981-04-15,1.8927,1.8927,1.8927,1.8927
EURSGD,1981-04-16,1.8837,1.8837,1.8837,1.8837
EURSGD,1981-04-17,1.8862,1.8862,1.8862,1.8862
EURSGD,1981-04-20,1.8927,1.8927,1.8927,1.8927
EURSGD,1981-04-21,1.8988,1.8988,1.8988,1.8988
EURSGD,1981-04-22,1.9124,1.9124,1.9124,1.9124
EURSGD,1981-04-23,1.9008,1.9008,1.9008,1.9008
EURSGD,1981-04-24,1.8987,1.8987,1.8987,1.8987
EURSGD,1981-04-27,1.8882,1.8882,1.8882,1.8882
EURSGD,1981-04-28,1.8855,1.8855,1.8855,1.8855
EURSGD,1981-04-29,1.8691,1.8691,1.8691,1.8691
EURSGD,1981-04-30,1.8705,1.8705,1.8705,1.8705
EURSGD,1981-05-01,1.8804,1.8804,1.8804,1.8804
EURSGD,1981-05-04,1.8514,1.8514,1.8514,1.8514
EURSGD,1981-05-05,1.8422,1.8422,1.8422,1.8422
EURSGD,1981-05-06,1.8467,1.8467,1.8467,1.8467
EURSGD,1981-05-07,1.8401,1.8401,1.8401,1.8401
EURSGD,1981-05-08,1.8438,1.8438,1.8438,1.8438
EURSGD,1981-05-11,1.8302,1.8302,1.8302,1.8302
EURSGD,1981-05-12,1.8299,1.8299,1.8299,1.8299
EURSGD,1981-05-13,1.8299,1.8299,1.8299,1.8299
EURSGD,1981-05-14,1.8228,1.8228,1.8228,1.8228
EURSGD,1981-05-15,1.8219,1.8219,1.8219,1.8219
EURSGD,1981-05-18,1.8224,1.8224,1.8224,1.8224
EURSGD,1981-05-19,1.8201,1.8201,1.8201,1.8201
EURSGD,1981-05-20,1.8212,1.8212,1.8212,1.8212
EURSGD,1981-05-21,1.8072,1.8072,1.8072,1.8072
EURSGD,1981-05-22,1.8157,1.8157,1.8157,1.8157
EURSGD,1981-05-26,1.8065,1.8065,1.8065,1.8065
EURSGD,1981-05-27,1.7971,1.7971,1.7971,1.7971
EURSGD,1981-05-28,1.8105,1.8105,1.8105,1.8105
EURSGD,1981-05-29,1.8045,1.8045,1.8045,1.8045
EURSGD,1981-06-01,1.799,1.799,1.799,1.799
EURSGD,1981-06-02,1.7734,1.7734,1.7734,1.7734
EURSGD,1981-06-03,1.7813,1.7813,1.7813,1.7813
EURSGD,1981-06-04,1.7531,1.7531,1.7531,1.7531
EURSGD,1981-06-05,1.7552,1.7552,1.7552,1.7552
EURSGD,1981-06-08,1.754,1.754,1.754,1.754
EURSGD,1981-06-09,1.7573,1.7573,1.7573,1.7573
EURSGD,1981-06-10,1.7711,1.7711,1.7711,1.7711
EURSGD,1981-06-11,1.7504,1.7504,1.7504,1.7504
