ticker,date,open,high,low,close
EURTWD,1984-09-24,28.66,28.66,28.66,28.66
EURTWD,1984-10-01,29.256,29.256,29.256,29.256
EURTWD,1984-10-08,28.858,28.858,28.858,28.858
EURTWD,1984-10-15,28.607,28.607,28.607,28.607
EURTWD,1984-10-22,27.847,27.847,27.847,27.847
EURTWD,1984-10-29,28.42,28.42,28.42,28.42
EURTWD,1984-11-05,28.652,28.652,28.652,28.652
EURTWD,1984-11-12,29.747,29.747,29.747,29.747
EURTWD,1984-11-19,29.936,29.936,29.936,29.936
EURTWD,1984-11-26,29.393,29.393,29.393,29.393
EURTWD,1984-12-01,28.84,28.84,28.84,28.84
EURTWD,1984-12-10,28.545,28.545,28.545,28.545
EURTWD,1984-12-17,28.554,28.554,28.554,28.554
EURTWD,1984-12-24,28.536,28.536,28.536,28.536
EURTWD,1985-01-01,28.342,28.342,28.342,28.342
EURTWD,1985-01-07,27.833,27.833,27.833,27.833
EURTWD,1985-01-14,27.968,27.968,27.968,27.968
EURTWD,1985-01-21,27.479,27.479,27.479,27.479
EURTWD,1985-01-28,27.339,27.339,27.339,27.339
EURTWD,1985-02-04,27.629,27.629,27.629,27.629
EURTWD,1985-02-11,27.148,27.148,27.148,27.148
EURTWD,1985-02-18,26.674,26.674,26.674,26.674
EURTWD,1985-02-25,26.462,26.462,26.462,26.462
EURTWD,1985-03-04,26.272,26.272,26.272,26.272
EURTWD,1985-03-11,25.372,25.372,25.372,25.372
EURTWD,1985-03-18,26.382,26.382,26.382,26.382
EURTWD,1985-03-25,26.659,26.659,26.659,26.659
EURTWD,1985-03-29,26.678,26.678,26.678,26.678
EURTWD,1985-04-01,28.112,28.112,28.112,28.112
EURTWD,1985-04-09,28.638,28.638,28.638,28.638
EURTWD,1985-04-15,28.145,28.145,28.145,28.145
EURTWD,1985-04-22,29.567,29.567,29.567,29.567
EURTWD,1985-04-29,29.386,29.386,29.386,29.386
EURTWD,1985-05-06,28.871,28.871,28.871,28.871
EURTWD,1985-05-13,27.602,27.602,27.602,27.602
EURTWD,1985-05-20,29.343,29.343,29.343,29.343
EURTWD,1985-05-27,29.343,29.343,29.343,29.343
EURTWD,1985-06-01,28.866,28.866,28.866,28.866
EURTWD,1985-06-10,29.486,29.486,29.486,29.486
EURTWD,1985-06-17,28.8,28.8,28.8,28.8
EURTWD,1985-06-24,29.3,29.3,29.3,29.3
EURTWD,1985-07-01,29.33,29.33,29.33,29.33
EURTWD,1985-07-08,29.658,29.658,29.658,29.658
EURTWD,1985-07-15,30.102,30.102,30.102,30.102
EURTWD,1985-07-23,31.412,31.412,31.412,31.412
EURTWD,1985-07-29,31.742,31.742,31.742,31.742
EURTWD,1985-08-05,32.038,32.038,32.038,32.038
EURTWD,1985-08-12,31.405,31.405,31.405,31.405
EURTWD,1985-08-19,32.617,32.617,32.617,32.617
EURTWD,1985-08-26,32.523,32.523,32.523,32.523
