ticker,date,open,high,low,close
EURZAR,1984-09-24,1.2194,1.2194,1.2194,1.2194
EURZAR,1984-10-01,1.2489,1.2489,1.2489,1.2489
EURZAR,1984-10-08,1.2376,1.2376,1.2376,1.2376
EURZAR,1984-10-15,1.3059,1.3059,1.3059,1.3059
EURZAR,1984-10-22,1.2795,1.2795,1.2795,1.2795
EURZAR,1984-10-29,1.4011,1.4011,1.4011,1.4011
EURZAR,1984-11-05,1.3122,1.3122,1.3122,1.3122
EURZAR,1984-11-12,1.3699,1.3699,1.3699,1.3699
EURZAR,1984-11-19,1.357,1.357,1.357,1.357
EURZAR,1984-11-26,1.3573,1.3573,1.3573,1.3573
EURZAR,1984-12-01,1.3313,1.3313,1.3313,1.3313
EURZAR,1984-12-10,1.3207,1.3207,1.3207,1.3207
EURZAR,1984-12-17,1.3799,1.3799,1.3799,1.3799
EURZAR,1984-12-24,1.4149,1.4149,1.4149,1.4149
EURZAR,1985-01-01,1.3993,1.3993,1.3993,1.3993
EURZAR,1985-01-07,1.4766,1.4766,1.4766,1.4766
EURZAR,1985-01-14,1.6054,1.6054,1.6054,1.6054
EURZAR,1985-01-21,1.5787,1.5787,1.5787,1.5787
EURZAR,1985-01-28,1.4945,1.4945,1.4945,1.4945
EURZAR,1985-02-04,1.4245,1.4245,1.4245,1.4245
EURZAR,1985-02-11,1.3043,1.3043,1.3043,1.3043
EURZAR,1985-02-18,1.2817,1.2817,1.2817,1.2817
EURZAR,1985-02-25,1.4594,1.4594,1.4594,1.4594
EURZAR,1985-03-04,1.3829,1.3829,1.3829,1.3829
EURZAR,1985-03-11,1.2896,1.2896,1.2896,1.2896
EURZAR,1985-03-18,1.3328,1.3328,1.3328,1.3328
EURZAR,1985-03-25,1.3424,1.3424,1.3424,1.3424
EURZAR,1985-03-29,1.2711,1.2711,1.2711,1.2711
EURZAR,1985-04-01,1.3798,1.3798,1.3798,1.3798
EURZAR,1985-04-09,1.427,1.427,1.427,1.427
EURZAR,1985-04-15,1.3416,1.3416,1.3416,1.3416
EURZAR,1985-04-22,1.4132,1.4132,1.4132,1.4132
EURZAR,1985-04-29,1.4424,1.4424,1.4424,1.4424
EURZAR,1985-05-06,1.4778,1.4778,1.4778,1.4778
EURZAR,1985-05-13,1.3646,1.3646,1.3646,1.3646
EURZAR,1985-05-20,1.4538,1.4538,1.4538,1.4538
EURZAR,1985-05-27,1.4608,1.4608,1.4608,1.4608
EURZAR,1985-06-01,1.4368,1.4368,1.4368,1.4368
EURZAR,1985-06-10,1.4808,1.4808,1.4808,1.4808
EURZAR,1985-06-17,1.4361,1.4361,1.4361,1.4361
EURZAR,1985-06-24,1.4546,1.4546,1.4546,1.4546
EURZAR,1985-07-01,1.4531,1.4531,1.4531,1.4531
EURZAR,1985-07-08,1.4436,1.4436,1.4436,1.4436
EURZAR,1985-07-15,1.4428,1.4428,1.4428,1.4428
EURZAR,1985-07-23,1.4745,1.4745,1.4745,1.4745
EURZAR,1985-07-29,1.611,1.611,1.611,1.611
