ticker,date,open,high,low,close
GBPBRL,1995-01-03,1.3195,1.3195,1.3195,1.3195
GBPBRL,1995-01-04,1.3201,1.3201,1.3201,1.3201
GBPBRL,1995-01-05,1.3151,1.3151,1.3151,1.3151
GBPBRL,1995-01-06,1.3111,1.3111,1.3111,1.3111
GBPBRL,1995-01-09,1.32,1.32,1.32,1.32
GBPBRL,1995-01-10,1.3158,1.3158,1.3158,1.3158
GBPBRL,1995-01-11,1.3291,1.3291,1.3291,1.3291
GBPBRL,1995-01-12,1.3205,1.3205,1.3205,1.3205
GBPBRL,1995-01-13,1.3195,1.3195,1.3195,1.3195
GBPBRL,1995-01-16,1.3299,1.3299,1.3299,1.3299
GBPBRL,1995-01-17,1.3281,1.3281,1.3281,1.3281
GBPBRL,1995-01-18,1.3262,1.3262,1.3262,1.3262
GBPBRL,1995-01-19,1.3363,1.3363,1.3363,1.3363
GBPBRL,1995-01-20,1.3306,1.3306,1.3306,1.3306
GBPBRL,1995-01-23,1.3468,1.3468,1.3468,1.3468
GBPBRL,1995-01-24,1.3499,1.3499,1.3499,1.3499
GBPBRL,1995-01-25,1.3618,1.3618,1.3618,1.3618
GBPBRL,1995-01-26,1.3509,1.3509,1.3509,1.3509
GBPBRL,1995-01-27,1.3444,1.3444,1.3444,1.3444
GBPBRL,1995-01-30,1.345,1.345,1.345,1.345
GBPBRL,1995-01-31,1.3358,1.3358,1.3358,1.3358
GBPBRL,1995-02-01,1.3412,1.3412,1.3412,1.3412
GBPBRL,1995-02-02,1.3261,1.3261,1.3261,1.3261
GBPBRL,1995-02-03,1.3278,1.3278,1.3278,1.3278
GBPBRL,1995-02-06,1.3165,1.3165,1.3165,1.3165
GBPBRL,1995-02-07,1.3034,1.3034,1.3034,1.3034
GBPBRL,1995-02-08,1.3013,1.3013,1.3013,1.3013
GBPBRL,1995-02-09,1.2917,1.2917,1.2917,1.2917
GBPBRL,1995-02-10,1.2956,1.2956,1.2956,1.2956
GBPBRL,1995-02-13,1.2952,1.2952,1.2952,1.2952
GBPBRL,1995-02-14,1.3046,1.3046,1.3046,1.3046
GBPBRL,1995-02-15,1.2994,1.2994,1.2994,1.2994
GBPBRL,1995-02-16,1.3192,1.3192,1.3192,1.3192
GBPBRL,1995-02-17,1.3357,1.3357,1.3357,1.3357
GBPBRL,1995-02-20,1.3269,1.3269,1.3269,1.3269
GBPBRL,1995-02-21,1.3333,1.3333,1.3333,1.3333
GBPBRL,1995-02-22,1.3394,1.3394,1.3394,1.3394
GBPBRL,1995-02-23,1.3396,1.3396,1.3396,1.3396
GBPBRL,1995-02-24,1.3566,1.3566,1.3566,1.3566
GBPBRL,1995-02-27,1.3529,1.3529,1.3529,1.3529
GBPBRL,1995-02-28,1.3465,1.3465,1.3465,1.3465
GBPBRL,1995-03-01,1.3449,1.3449,1.3449,1.3449
GBPBRL,1995-03-02,1.3477,1.3477,1.3477,1.3477
GBPBRL,1995-03-03,1.365,1.365,1.365,1.365
GBPBRL,1995-03-06,1.3927,1.3927,1.3927,1.3927
GBPBRL,1995-03-07,1.4627,1.4627,1.4627,1.4627
GBPBRL,1995-03-08,1.4423,1.4423,1.4423,1.4423
GBPBRL,1995-03-09,1.4562,1.4562,1.4562,1.4562
GBPBRL,1995-03-10,1.4224,1.4224,1.4224,1.4224
GBPBRL,1995-03-13,1.406,1.406,1.406,1.406
GBPBRL,1995-03-14,1.3933,1.3933,1.3933,1.3933
GBPBRL,1995-03-15,1.4023,1.4023,1.4023,1.4023
GBPBRL,1995-03-16,1.4248,1.4248,1.4248,1.4248
GBPBRL,1995-03-17,1.4324,1.4324,1.4324,1.4324
GBPBRL,1995-03-20,1.4499,1.4499,1.4499,1.4499
GBPBRL,1995-03-21,1.4254,1.4254,1.4254,1.4254
GBPBRL,1995-03-22,1.4347,1.4347,1.4347,1.4347
GBPBRL,1995-03-23,1.439,1.439,1.439,1.439
GBPBRL,1995-03-24,1.4452,1.4452,1.4452,1.4452
GBPBRL,1995-03-27,1.4534,1.4534,1.4534,1.4534
GBPBRL,1995-03-28,1.449,1.449,1.449,1.449
GBPBRL,1995-03-29,1.451,1.451,1.451,1.451
GBPBRL,1995-03-30,1.4549,1.4549,1.4549,1.4549
GBPBRL,1995-03-31,1.4342,1.4342,1.4342,1.4342
GBPBRL,1995-04-03,1.4595,1.4595,1.4595,1.4595
GBPBRL,1995-04-04,1.4552,1.4552,1.4552,1.4552
GBPBRL,1995-04-05,1.4484,1.4484,1.4484,1.4484
GBPBRL,1995-04-06,1.444,1.444,1.444,1.444
GBPBRL,1995-04-07,1.4421,1.4421,1.4421,1.4421
GBPBRL,1995-04-10,1.4456,1.4456,1.4456,1.4456
GBPBRL,1995-04-11,1.4395,1.4395,1.4395,1.4395
GBPBRL,1995-04-12,1.4447,1.4447,1.4447,1.4447
GBPBRL,1995-04-13,1.4461,1.4461,1.4461,1.4461
GBPBRL,1995-04-14,1.4516,1.4516,1.4516,1.4516
GBPBRL,1995-04-18,1.4554,1.4554,1.4554,1.4554
GBPBRL,1995-04-19,1.4783,1.4783,1.4783,1.4783
GBPBRL,1995-04-20,1.4818,1.4818,1.4818,1.4818
GBPBRL,1995-04-21,1.4662,1.4662,1.4662,1.4662
GBPBRL,1995-04-24,1.4627,1.4627,1.4627,1.4627
GBPBRL,1995-04-25,1.4888,1.4888,1.4888,1.4888
GBPBRL,1995-04-26,1.4783,1.4783,1.4783,1.4783
GBPBRL,1995-04-27,1.4743,1.4743,1.4743,1.4743
GBPBRL,1995-04-28,1.4759,1.4759,1.4759,1.4759
GBPBRL,1995-05-04,1.4565,1.4565,1.4565,1.4565
GBPBRL,1995-05-05,1.4574,1.4574,1.4574,1.4574
GBPBRL,1995-05-09,1.4396,1.4396,1.4396,1.4396
GBPBRL,1995-05-10,1.4256,1.4256,1.4256,1.4256
GBPBRL,1995-05-11,1.4258,1.4258,1.4258,1.4258
GBPBRL,1995-05-12,1.4099,1.4099,1.4099,1.4099
GBPBRL,1995-05-15,1.3945,1.3945,1.3945,1.3945
GBPBRL,1995-05-16,1.3919,1.3919,1.3919,1.3919
GBPBRL,1995-05-17,1.3957,1.3957,1.3957,1.3957
GBPBRL,1995-05-18,1.3978,1.3978,1.3978,1.3978
GBPBRL,1995-05-19,1.4034,1.4034,1.4034,1.4034
GBPBRL,1995-05-22,1.3908,1.3908,1.3908,1.3908
GBPBRL,1995-05-23,1.3956,1.3956,1.3956,1.3956
GBPBRL,1995-05-24,1.3971,1.3971,1.3971,1.3971
GBPBRL,1995-05-25,1.4112,1.4112,1.4112,1.4112
GBPBRL,1995-05-26,1.4444,1.4444,1.4444,1.4444
GBPBRL,1995-05-29,1.4354,1.4354,1.4354,1.4354
GBPBRL,1995-05-30,1.4498,1.4498,1.4498,1.4498
GBPBRL,1995-05-31,1.4519,1.4519,1.4519,1.4519
GBPBRL,1995-06-01,1.4413,1.4413,1.4413,1.4413
GBPBRL,1995-06-02,1.4422,1.4422,1.4422,1.4422
GBPBRL,1995-06-05,1.4345,1.4345,1.4345,1.4345
GBPBRL,1995-06-06,1.4438,1.4438,1.4438,1.4438
GBPBRL,1995-06-07,1.4472,1.4472,1.4472,1.4472
GBPBRL,1995-06-08,1.4492,1.4492,1.4492,1.4492
GBPBRL,1995-06-09,1.4641,1.4641,1.4641,1.4641
GBPBRL,1995-06-12,1.4652,1.4652,1.4652,1.4652
GBPBRL,1995-06-13,1.4656,1.4656,1.4656,1.4656
GBPBRL,1995-06-14,1.4505,1.4505,1.4505,1.4505
GBPBRL,1995-06-16,1.4577,1.4577,1.4577,1.4577
GBPBRL,1995-06-19,1.459,1.459,1.459,1.459
GBPBRL,1995-06-20,1.4685,1.4685,1.4685,1.4685
GBPBRL,1995-06-21,1.4739,1.4739,1.4739,1.4739
GBPBRL,1995-06-22,1.4791,1.4791,1.4791,1.4791
GBPBRL,1995-06-23,1.4669,1.4669,1.4669,1.4669
GBPBRL,1995-06-26,1.4653,1.4653,1.4653,1.4653
GBPBRL,1995-06-27,1.4566,1.4566,1.4566,1.4566
GBPBRL,1995-06-28,1.4548,1.4548,1.4548,1.4548
GBPBRL,1995-06-29,1.4557,1.4557,1.4557,1.4557
GBPBRL,1995-06-30,1.4687,1.4687,1.4687,1.4687
GBPBRL,1995-07-03,1.4682,1.4682,1.4682,1.4682
GBPBRL,1995-07-04,1.468,1.468,1.468,1.468
GBPBRL,1995-07-05,1.4672,1.4672,1.4672,1.4672
GBPBRL,1995-07-06,1.4772,1.4772,1.4772,1.4772
GBPBRL,1995-07-07,1.4753,1.4753,1.4753,1.4753
GBPBRL,1995-07-10,1.4739,1.4739,1.4739,1.4739
GBPBRL,1995-07-11,1.4669,1.4669,1.4669,1.4669
GBPBRL,1995-07-12,1.4715,1.4715,1.4715,1.4715
GBPBRL,1995-07-13,1.4745,1.4745,1.4745,1.4745
GBPBRL,1995-07-14,1.477,1.477,1.477,1.477
GBPBRL,1995-07-17,1.4817,1.4817,1.4817,1.4817
GBPBRL,1995-07-18,1.4808,1.4808,1.4808,1.4808
GBPBRL,1995-07-19,1.4807,1.4807,1.4807,1.4807
GBPBRL,1995-07-20,1.4821,1.4821,1.4821,1.4821
GBPBRL,1995-07-21,1.4876,1.4876,1.4876,1.4876
GBPBRL,1995-07-24,1.4905,1.4905,1.4905,1.4905
GBPBRL,1995-07-25,1.4923,1.4923,1.4923,1.4923
GBPBRL,1995-07-26,1.4916,1.4916,1.4916,1.4916
GBPBRL,1995-07-27,1.4918,1.4918,1.4918,1.4918
GBPBRL,1995-07-28,1.4959,1.4959,1.4959,1.4959
GBPBRL,1995-07-31,1.4987,1.4987,1.4987,1.4987
GBPBRL,1995-08-01,1.4939,1.4939,1.4939,1.4939
GBPBRL,1995-08-02,1.4989,1.4989,1.4989,1.4989
GBPBRL,1995-08-03,1.4993,1.4993,1.4993,1.4993
GBPBRL,1995-08-04,1.5002,1.5002,1.5002,1.5002
GBPBRL,1995-08-07,1.4993,1.4993,1.4993,1.4993
GBPBRL,1995-08-08,1.4955,1.4955,1.4955,1.4955
GBPBRL,1995-08-09,1.4979,1.4979,1.4979,1.4979
GBPBRL,1995-08-10,1.494,1.494,1.494,1.494
GBPBRL,1995-08-11,1.4817,1.4817,1.4817,1.4817
GBPBRL,1995-08-16,1.4595,1.4595,1.4595,1.4595
GBPBRL,1995-08-17,1.4479,1.4479,1.4479,1.4479
GBPBRL,1995-08-18,1.454,1.454,1.454,1.454
GBPBRL,1995-08-21,1.451,1.451,1.451,1.451
GBPBRL,1995-08-22,1.446,1.446,1.446,1.446
GBPBRL,1995-08-23,1.4556,1.4556,1.4556,1.4556
GBPBRL,1995-08-24,1.4652,1.4652,1.4652,1.4652
GBPBRL,1995-08-25,1.4645,1.4645,1.4645,1.4645
GBPBRL,1995-08-28,1.4737,1.4737,1.4737,1.4737
GBPBRL,1995-08-29,1.4725,1.4725,1.4725,1.4725
GBPBRL,1995-08-30,1.4661,1.4661,1.4661,1.4661
GBPBRL,1995-08-31,1.4758,1.4758,1.4758,1.4758
GBPBRL,1995-09-01,1.4738,1.4738,1.4738,1.4738
GBPBRL,1995-09-04,1.4789,1.4789,1.4789,1.4789
GBPBRL,1995-09-05,1.4748,1.4748,1.4748,1.4748
GBPBRL,1995-09-06,1.4678,1.4678,1.4678,1.4678
GBPBRL,1995-09-07,1.4683,1.4683,1.4683,1.4683
GBPBRL,1995-09-08,1.471,1.471,1.471,1.471
GBPBRL,1995-09-11,1.4744,1.4744,1.4744,1.4744
GBPBRL,1995-09-12,1.4777,1.4777,1.4777,1.4777
GBPBRL,1995-09-13,1.4769,1.4769,1.4769,1.4769
GBPBRL,1995-09-14,1.4751,1.4751,1.4751,1.4751
GBPBRL,1995-09-15,1.4729,1.4729,1.4729,1.4729
GBPBRL,1995-09-18,1.4716,1.4716,1.4716,1.4716
GBPBRL,1995-09-19,1.4719,1.4719,1.4719,1.4719
GBPBRL,1995-09-20,1.4755,1.4755,1.4755,1.4755
GBPBRL,1995-09-21,1.4922,1.4922,1.4922,1.4922
GBPBRL,1995-09-22,1.5055,1.5055,1.5055,1.5055
GBPBRL,1995-09-25,1.4987,1.4987,1.4987,1.4987
GBPBRL,1995-09-26,1.4974,1.4974,1.4974,1.4974
GBPBRL,1995-09-27,1.4976,1.4976,1.4976,1.4976
GBPBRL,1995-09-28,1.5063,1.5063,1.5063,1.5063
GBPBRL,1995-09-29,1.5057,1.5057,1.5057,1.5057
