ticker,date,open,high,low,close
GBPCNY,1984-01-09,5.0542,5.0542,5.0542,5.0542
GBPCNY,1984-01-16,5.1292,5.1292,5.1292,5.1292
GBPCNY,1984-01-23,5.203,5.203,5.203,5.203
GBPCNY,1984-01-30,5.1292,5.1292,5.1292,5.1292
GBPCNY,1984-02-06,5.1292,5.1292,5.1292,5.1292
GBPCNY,1984-02-13,5.1292,5.1292,5.1292,5.1292
GBPCNY,1984-02-20,5.2076,5.2076,5.2076,5.2076
GBPCNY,1984-03-01,5.2459,5.2459,5.2459,5.2459
GBPCNY,1984-03-05,5.4181,5.4181,5.4181,5.4181
GBPCNY,1984-03-12,5.4762,5.4762,5.4762,5.4762
GBPCNY,1984-03-19,5.4422,5.4422,5.4422,5.4422
GBPCNY,1984-03-26,5.3742,5.3742,5.3742,5.3742
GBPCNY,1984-04-02,5.2843,5.2843,5.2843,5.2843
GBPCNY,1984-04-09,5.3061,5.3061,5.3061,5.3061
GBPCNY,1984-04-16,5.3061,5.3061,5.3061,5.3061
GBPCNY,1984-04-24,5.3061,5.3061,5.3061,5.3061
GBPCNY,1984-05-02,5.3819,5.3819,5.3819,5.3819
GBPCNY,1984-05-07,5.3819,5.3819,5.3819,5.3819
GBPCNY,1984-05-14,5.3819,5.3819,5.3819,5.3819
GBPCNY,1984-05-21,5.461,5.461,5.461,5.461
GBPCNY,1984-05-28,5.4965,5.4965,5.4965,5.4965
GBPCNY,1984-06-04,5.3125,5.3125,5.3125,5.3125
GBPCNY,1984-06-11,5.461,5.461,5.461,5.461
GBPCNY,1984-06-18,5.4255,5.4255,5.4255,5.4255
GBPCNY,1984-06-25,5.4255,5.4255,5.4255,5.4255
GBPCNY,1984-07-02,5.3546,5.3546,5.3546,5.3546
GBPCNY,1984-07-09,5.4152,5.4152,5.4152,5.4152
GBPCNY,1984-07-16,5.3069,5.3069,5.3069,5.3069
GBPCNY,1984-07-23,5.3791,5.3791,5.3791,5.3791
GBPCNY,1984-07-30,5.4982,5.4982,5.4982,5.4982
GBPCNY,1984-08-06,5.343,5.343,5.343,5.343
GBPCNY,1984-08-13,5.6226,5.6226,5.6226,5.6226
GBPCNY,1984-08-20,5.4982,5.4982,5.4982,5.4982
GBPCNY,1984-08-27,5.6226,5.6226,5.6226,5.6226
GBPCNY,1984-09-01,5.5903,5.5903,5.5903,5.5903
GBPCNY,1984-09-10,5.7762,5.7762,5.7762,5.7762
GBPCNY,1984-09-17,5.7401,5.7401,5.7401,5.7401
GBPCNY,1984-09-24,5.5957,5.5957,5.5957,5.5957
GBPCNY,1984-10-01,5.7565,5.7565,5.7565,5.7565
GBPCNY,1984-10-08,5.7565,5.7565,5.7565,5.7565
GBPCNY,1984-10-15,5.8491,5.8491,5.8491,5.8491
GBPCNY,1984-10-22,5.7359,5.7359,5.7359,5.7359
GBPCNY,1984-10-29,5.572,5.572,5.572,5.572
GBPCNY,1984-11-05,5.4874,5.4874,5.4874,5.4874
GBPCNY,1984-11-12,5.7934,5.7934,5.7934,5.7934
GBPCNY,1984-11-19,6.0769,6.0769,6.0769,6.0769
GBPCNY,1984-11-26,6.1417,6.1417,6.1417,6.1417
GBPCNY,1984-12-01,5.8077,5.8077,5.8077,5.8077
GBPCNY,1984-12-10,5.9449,5.9449,5.9449,5.9449
GBPCNY,1984-12-17,5.9843,5.9843,5.9843,5.9843
GBPCNY,1984-12-24,5.9055,5.9055,5.9055,5.9055
GBPCNY,1985-01-01,5.8123,5.8123,5.8123,5.8123
GBPCNY,1985-01-07,5.7762,5.7762,5.7762,5.7762
GBPCNY,1985-01-14,5.7762,5.7762,5.7762,5.7762
GBPCNY,1985-01-21,5.6318,5.6318,5.6318,5.6318
GBPCNY,1985-01-28,5.6318,5.6318,5.6318,5.6318
GBPCNY,1985-02-04,5.5957,5.5957,5.5957,5.5957
GBPCNY,1985-02-11,5.5319,5.5319,5.5319,5.5319
GBPCNY,1985-02-18,5.461,5.461,5.461,5.461
GBPCNY,1985-02-25,5.461,5.461,5.461,5.461
GBPCNY,1985-03-04,5.4874,5.4874,5.4874,5.4874
GBPCNY,1985-03-11,5.3192,5.3192,5.3192,5.3192
GBPCNY,1985-03-18,5.4874,5.4874,5.4874,5.4874
GBPCNY,1985-03-25,5.6679,5.6679,5.6679,5.6679
GBPCNY,1985-03-29,6.0289,6.0289,6.0289,6.0289
GBPCNY,1985-04-01,6.065,6.065,6.065,6.065
GBPCNY,1985-04-09,6.2362,6.2362,6.2362,6.2362
GBPCNY,1985-04-15,6.0289,6.0289,6.0289,6.0289
GBPCNY,1985-04-22,6.4207,6.4207,6.4207,6.4207
GBPCNY,1985-04-29,6.566,6.566,6.566,6.566
GBPCNY,1985-05-06,6.2731,6.2731,6.2731,6.2731
GBPCNY,1985-05-13,5.9928,5.9928,5.9928,5.9928
GBPCNY,1985-05-20,6.3469,6.3469,6.3469,6.3469
GBPCNY,1985-05-27,6.4207,6.4207,6.4207,6.4207
GBPCNY,1985-06-01,6.3092,6.3092,6.3092,6.3092
GBPCNY,1985-06-10,6.5916,6.5916,6.5916,6.5916
GBPCNY,1985-06-17,6.3407,6.3407,6.3407,6.3407
GBPCNY,1985-06-24,6.5273,6.5273,6.5273,6.5273
GBPCNY,1985-07-01,6.5595,6.5595,6.5595,6.5595
GBPCNY,1985-07-08,6.6238,6.6238,6.6238,6.6238
GBPCNY,1985-07-15,6.7846,6.7846,6.7846,6.7846
GBPCNY,1985-07-23,7.0492,7.0492,7.0492,7.0492
GBPCNY,1985-07-29,7.291,7.291,7.291,7.291
GBPCNY,1985-08-05,7.3244,7.3244,7.3244,7.3244
GBPCNY,1985-08-12,6.9231,6.9231,6.9231,6.9231
GBPCNY,1985-08-19,7.1572,7.1572,7.1572,7.1572
GBPCNY,1985-08-26,7.1572,7.1572,7.1572,7.1572
GBPCNY,1985-09-02,7.1238,7.1238,7.1238,7.1238
GBPCNY,1985-09-09,7.2109,7.2109,7.2109,7.2109
GBPCNY,1985-09-16,6.7893,6.7893,6.7893,6.7893
GBPCNY,1985-09-23,7.0748,7.0748,7.0748,7.0748
GBPCNY,1985-09-30,7.5347,7.5347,7.5347,7.5347
GBPCNY,1985-10-07,7.5177,7.5177,7.5177,7.5177
GBPCNY,1985-10-14,7.5532,7.5532,7.5532,7.5532
GBPCNY,1985-10-21,7.6895,7.6895,7.6895,7.6895
GBPCNY,1985-10-28,8.1509,8.1509,8.1509,8.1509
GBPCNY,1985-11-04,8.1132,8.1132,8.1132,8.1132
GBPCNY,1985-11-11,8.1132,8.1132,8.1132,8.1132
GBPCNY,1985-11-18,8.0,8.0,8.0,8.0
GBPCNY,1985-11-25,8.0755,8.0755,8.0755,8.0755
GBPCNY,1985-12-02,8.3462,8.3462,8.3462,8.3462
GBPCNY,1985-12-09,8.4231,8.4231,8.4231,8.4231
GBPCNY,1985-12-16,8.2308,8.2308,8.2308,8.2308
GBPCNY,1985-12-23,8.1923,8.1923,8.1923,8.1923
GBPCNY,1986-01-01,8.1154,8.1154,8.1154,8.1154
GBPCNY,1986-01-06,8.1539,8.1539,8.1539,8.1539
GBPCNY,1986-01-13,8.1154,8.1154,8.1154,8.1154
GBPCNY,1986-01-20,8.1539,8.1539,8.1539,8.1539
GBPCNY,1986-01-27,8.0385,8.0385,8.0385,8.0385
GBPCNY,1986-02-01,7.8261,7.8261,7.8261,7.8261
GBPCNY,1986-02-10,7.8261,7.8261,7.8261,7.8261
GBPCNY,1986-02-17,7.9599,7.9599,7.9599,7.9599
GBPCNY,1986-02-24,7.9933,7.9933,7.9933,7.9933
GBPCNY,1986-03-01,8.3674,8.3674,8.3674,8.3674
GBPCNY,1986-03-03,8.3674,8.3674,8.3674,8.3674
GBPCNY,1986-03-10,8.2986,8.2986,8.2986,8.2986
GBPCNY,1986-03-17,8.1973,8.1973,8.1973,8.1973
GBPCNY,1986-03-18,8.1973,8.1973,8.1973,8.1973
GBPCNY,1986-03-24,8.2653,8.2653,8.2653,8.2653
GBPCNY,1986-04-01,8.3333,8.3333,8.3333,8.3333
GBPCNY,1986-04-07,8.3674,8.3674,8.3674,8.3674
GBPCNY,1986-04-09,8.3674,8.3674,8.3674,8.3674
GBPCNY,1986-04-14,8.2943,8.2943,8.2943,8.2943
GBPCNY,1986-04-21,8.4354,8.4354,8.4354,8.4354
GBPCNY,1986-04-28,8.6806,8.6806,8.6806,8.6806
GBPCNY,1986-05-05,8.8194,8.8194,8.8194,8.8194
GBPCNY,1986-05-12,8.5714,8.5714,8.5714,8.5714
GBPCNY,1986-05-19,8.7847,8.7847,8.7847,8.7847
GBPCNY,1986-05-26,8.5714,8.5714,8.5714,8.5714
GBPCNY,1986-06-02,8.4694,8.4694,8.4694,8.4694
GBPCNY,1986-06-09,8.4694,8.4694,8.4694,8.4694
GBPCNY,1986-06-16,8.5764,8.5764,8.5764,8.5764
GBPCNY,1986-06-23,8.6458,8.6458,8.6458,8.6458
GBPCNY,1986-06-30,8.5034,8.5034,8.5034,8.5034
GBPCNY,1986-07-07,8.6054,8.6054,8.6054,8.6054
GBPCNY,1986-07-14,8.5374,8.5374,8.5374,8.5374
GBPCNY,1986-07-21,8.2653,8.2653,8.2653,8.2653
GBPCNY,1986-07-28,8.2653,8.2653,8.2653,8.2653
GBPCNY,1986-08-04,8.1973,8.1973,8.1973,8.1973
GBPCNY,1986-08-11,8.1633,8.1633,8.1633,8.1633
GBPCNY,1986-08-18,8.2986,8.2986,8.2986,8.2986
GBPCNY,1986-08-25,8.3681,8.3681,8.3681,8.3681
GBPCNY,1986-09-01,8.1995,8.1995,8.1995,8.1995
GBPCNY,1986-09-08,8.2272,8.2272,8.2272,8.2272
GBPCNY,1986-09-15,8.2549,8.2549,8.2549,8.2549
GBPCNY,1986-09-22,8.1995,8.1995,8.1995,8.1995
GBPCNY,1986-09-29,8.0055,8.0055,8.0055,8.0055
GBPCNY,1986-10-06,8.0055,8.0055,8.0055,8.0055
GBPCNY,1986-10-13,8.0791,8.0791,8.0791,8.0791
GBPCNY,1986-10-20,8.0226,8.0226,8.0226,8.0226
GBPCNY,1986-10-27,8.0226,8.0226,8.0226,8.0226
GBPCNY,1986-11-01,7.8393,7.8393,7.8393,7.8393
GBPCNY,1986-11-10,7.867,7.867,7.867,7.867
GBPCNY,1986-11-17,7.9778,7.9778,7.9778,7.9778
GBPCNY,1986-11-24,7.8393,7.8393,7.8393,7.8393
GBPCNY,1986-12-01,7.9661,7.9661,7.9661,7.9661
GBPCNY,1986-12-08,7.9944,7.9944,7.9944,7.9944
GBPCNY,1986-12-15,7.9944,7.9944,7.9944,7.9944
GBPCNY,1986-12-22,7.9224,7.9224,7.9224,7.9224
GBPCNY,1986-12-31,8.1356,8.1356,8.1356,8.1356
GBPCNY,1987-01-12,8.1921,8.1921,8.1921,8.1921
GBPCNY,1987-01-19,8.3621,8.3621,8.3621,8.3621
GBPCNY,1987-01-26,8.4195,8.4195,8.4195,8.4195
GBPCNY,1987-02-01,8.5748,8.5748,8.5748,8.5748
GBPCNY,1987-02-09,8.528,8.528,8.528,8.528
GBPCNY,1987-02-16,8.5514,8.5514,8.5514,8.5514
GBPCNY,1987-02-23,8.5748,8.5748,8.5748,8.5748
GBPCNY,1987-03-02,8.5287,8.5287,8.5287,8.5287
GBPCNY,1987-03-09,8.7851,8.7851,8.7851,8.7851
GBPCNY,1987-03-16,8.7816,8.7816,8.7816,8.7816
GBPCNY,1987-03-23,8.9486,8.9486,8.9486,8.9486
GBPCNY,1987-03-30,9.0654,9.0654,9.0654,9.0654
GBPCNY,1987-04-06,8.9885,8.9885,8.9885,8.9885
GBPCNY,1987-04-13,9.0805,9.0805,9.0805,9.0805
GBPCNY,1987-04-21,9.1035,9.1035,9.1035,9.1035
GBPCNY,1987-04-27,9.1071,9.1071,9.1071,9.1071
GBPCNY,1987-05-04,9.1964,9.1964,9.1964,9.1964
GBPCNY,1987-05-11,9.4331,9.4331,9.4331,9.4331
GBPCNY,1987-05-18,9.3651,9.3651,9.3651,9.3651
GBPCNY,1987-05-25,9.3626,9.3626,9.3626,9.3626
GBPCNY,1987-06-01,9.2747,9.2747,9.2747,9.2747
GBPCNY,1987-06-08,9.0889,9.0889,9.0889,9.0889
GBPCNY,1987-06-15,9.2308,9.2308,9.2308,9.2308
GBPCNY,1987-06-22,9.0673,9.0673,9.0673,9.0673
GBPCNY,1987-06-29,8.953,8.953,8.953,8.953
GBPCNY,1987-07-06,8.9957,8.9957,8.9957,8.9957
GBPCNY,1987-07-13,9.1026,9.1026,9.1026,9.1026
GBPCNY,1987-07-20,9.0812,9.0812,9.0812,9.0812
GBPCNY,1987-07-27,8.9834,8.9834,8.9834,8.9834
GBPCNY,1987-08-03,8.9419,8.9419,8.9419,8.9419
GBPCNY,1987-08-10,8.745,8.745,8.745,8.745
GBPCNY,1987-08-17,8.745,8.745,8.745,8.745
GBPCNY,1987-08-24,8.9567,8.9567,8.9567,8.9567
GBPCNY,1987-08-31,8.9961,8.9961,8.9961,8.9961
GBPCNY,1987-09-07,9.1456,9.1456,9.1456,9.1456
GBPCNY,1987-09-14,9.2621,9.2621,9.2621,9.2621
GBPCNY,1987-09-21,9.1667,9.1667,9.1667,9.1667
GBPCNY,1987-09-28,9.2235,9.2235,9.2235,9.2235
GBPCNY,1987-10-05,9.028,9.028,9.028,9.028
GBPCNY,1987-10-12,9.0467,9.0467,9.0467,9.0467
GBPCNY,1987-10-19,9.2235,9.2235,9.2235,9.2235
GBPCNY,1987-10-26,9.3645,9.3645,9.3645,9.3645
GBPCNY,1987-11-02,9.4649,9.4649,9.4649,9.4649
GBPCNY,1987-11-09,9.676,9.676,9.676,9.676
GBPCNY,1987-11-16,9.947,9.947,9.947,9.947
GBPCNY,1987-11-23,9.754,9.754,9.754,9.754
GBPCNY,1987-11-30,9.896,9.896,9.896,9.896
GBPCNY,1987-12-07,10.123,10.123,10.123,10.123
GBPCNY,1987-12-14,9.948,9.948,9.948,9.948
GBPCNY,1987-12-21,10.211,10.211,10.211,10.211
GBPCNY,1987-12-28,10.176,10.176,10.176,10.176
GBPCNY,1988-01-04,10.356,10.356,10.356,10.356
GBPCNY,1988-01-11,10.356,10.356,10.356,10.356
GBPCNY,1988-01-18,10.123,10.123,10.123,10.123
GBPCNY,1988-01-25,9.861,9.861,9.861,9.861
GBPCNY,1988-02-01,9.868,9.868,9.868,9.868
GBPCNY,1988-02-08,9.853,9.853,9.853,9.853
GBPCNY,1988-02-15,9.71,9.71,9.71,9.71
GBPCNY,1988-02-22,9.71,9.71,9.71,9.71
GBPCNY,1988-02-29,9.912,9.912,9.912,9.912
GBPCNY,1988-03-07,9.927,9.927,9.927,9.927
GBPCNY,1988-03-14,10.176,10.176,10.176,10.176
GBPCNY,1988-03-21,10.374,10.374,10.374,10.374
GBPCNY,1988-03-28,10.224,10.224,10.224,10.224
GBPCNY,1988-04-05,10.437,10.437,10.437,10.437
GBPCNY,1988-04-11,10.55,10.55,10.55,10.55
GBPCNY,1988-04-18,10.307,10.307,10.307,10.307
GBPCNY,1988-04-25,10.592,10.592,10.592,10.592
GBPCNY,1988-05-02,10.433,10.433,10.433,10.433
GBPCNY,1988-05-09,10.408,10.408,10.408,10.408
GBPCNY,1988-05-16,10.489,10.489,10.489,10.489
GBPCNY,1988-05-23,10.516,10.516,10.516,10.516
GBPCNY,1988-05-30,10.384,10.384,10.384,10.384
GBPCNY,1988-06-06,10.377,10.377,10.377,10.377
GBPCNY,1988-06-13,10.13,10.13,10.13,10.13
GBPCNY,1988-06-20,10.169,10.169,10.169,10.169
GBPCNY,1988-06-27,9.962,9.962,9.962,9.962
GBPCNY,1988-07-04,9.623,9.623,9.623,9.623
GBPCNY,1988-07-11,9.4438,9.4438,9.4438,9.4438
GBPCNY,1988-07-18,9.4561,9.4561,9.4561,9.4561
GBPCNY,1988-07-25,9.3015,9.3015,9.3015,9.3015
GBPCNY,1988-08-01,9.629,9.629,9.629,9.629
GBPCNY,1988-08-08,9.559,9.559,9.559,9.559
GBPCNY,1988-08-15,9.4654,9.4654,9.4654,9.4654
GBPCNY,1988-08-22,9.563,9.563,9.563,9.563
GBPCNY,1988-08-29,9.3848,9.3848,9.3848,9.3848
GBPCNY,1988-09-05,9.395,9.395,9.395,9.395
GBPCNY,1988-09-12,9.4976,9.4976,9.4976,9.4976
GBPCNY,1988-09-19,9.51,9.51,9.51,9.51
GBPCNY,1988-09-26,9.3395,9.3395,9.3395,9.3395
GBPCNY,1988-10-03,9.3163,9.3163,9.3163,9.3163
GBPCNY,1988-10-10,9.4977,9.4977,9.4977,9.4977
GBPCNY,1988-10-17,9.579,9.579,9.579,9.579
GBPCNY,1988-10-24,9.772,9.772,9.772,9.772
GBPCNY,1988-10-31,9.749,9.749,9.749,9.749
GBPCNY,1988-11-07,9.896,9.896,9.896,9.896
GBPCNY,1988-11-14,9.942,9.942,9.942,9.942
GBPCNY,1988-11-21,10.1,10.1,10.1,10.1
GBPCNY,1988-11-28,10.134,10.134,10.134,10.134
GBPCNY,1988-12-05,10.246,10.246,10.246,10.246
GBPCNY,1988-12-12,10.427,10.427,10.427,10.427
GBPCNY,1988-12-19,10.201,10.201,10.201,10.201
GBPCNY,1988-12-27,10.089,10.089,10.089,10.089
GBPCNY,1989-01-02,10.011,10.011,10.011,10.011
GBPCNY,1989-01-09,10.212,10.212,10.212,10.212
GBPCNY,1989-01-16,9.89,9.89,9.89,9.89
GBPCNY,1989-01-23,9.88,9.88,9.88,9.88
GBPCNY,1989-01-30,9.945,9.945,9.945,9.945
GBPCNY,1989-02-06,9.847,9.847,9.847,9.847
GBPCNY,1989-02-13,9.664,9.664,9.664,9.664
GBPCNY,1989-02-20,9.809,9.809,9.809,9.809
GBPCNY,1989-02-27,9.741,9.741,9.741,9.741
GBPCNY,1989-03-06,9.719,9.719,9.719,9.719
GBPCNY,1989-03-13,9.599,9.599,9.599,9.599
GBPCNY,1989-03-20,9.57,9.57,9.57,9.57
GBPCNY,1989-03-28,9.534,9.534,9.534,9.534
GBPCNY,1989-04-03,9.4708,9.4708,9.4708,9.4708
GBPCNY,1989-04-10,9.513,9.513,9.513,9.513
GBPCNY,1989-04-17,9.4956,9.4956,9.4956,9.4956
GBPCNY,1989-04-24,9.548,9.548,9.548,9.548
GBPCNY,1989-05-02,9.507,9.507,9.507,9.507
GBPCNY,1989-05-08,9.402,9.402,9.402,9.402
GBPCNY,1989-05-15,9.3006,9.3006,9.3006,9.3006
GBPCNY,1989-05-22,9.1964,9.1964,9.1964,9.1964
GBPCNY,1989-05-29,8.8,8.8,8.8,8.8
GBPCNY,1989-06-05,8.7344,8.7344,8.7344,8.7344
GBPCNY,1989-06-12,8.7352,8.7352,8.7352,8.7352
GBPCNY,1989-06-19,8.4853,8.4853,8.4853,8.4853
GBPCNY,1989-06-26,8.7095,8.7095,8.7095,8.7095
GBPCNY,1989-07-03,8.6631,8.6631,8.6631,8.6631
GBPCNY,1989-07-10,8.8652,8.8652,8.8652,8.8652
GBPCNY,1989-07-17,9.0438,9.0438,9.0438,9.0438
GBPCNY,1989-07-24,8.9586,8.9586,8.9586,8.9586
GBPCNY,1989-07-31,9.1044,9.1044,9.1044,9.1044
GBPCNY,1989-08-07,9.2801,9.2801,9.2801,9.2801
GBPCNY,1989-08-14,9.0287,9.0287,9.0287,9.0287
GBPCNY,1989-08-21,8.8026,8.8026,8.8026,8.8026
GBPCNY,1989-08-28,8.785,8.785,8.785,8.785
GBPCNY,1989-09-04,8.7481,8.7481,8.7481,8.7481
GBPCNY,1989-09-11,8.5915,8.5915,8.5915,8.5915
GBPCNY,1989-09-18,8.6428,8.6428,8.6428,8.6428
GBPCNY,1989-09-25,8.7486,8.7486,8.7486,8.7486
GBPCNY,1989-09-28,9.0071,9.0071,9.0071,9.0071
GBPCNY,1989-10-02,9.0071,9.0071,9.0071,9.0071
GBPCNY,1989-10-09,9.0156,9.0156,9.0156,9.0156
GBPCNY,1989-10-16,8.7517,8.7517,8.7517,8.7517
GBPCNY,1989-10-23,8.7953,8.7953,8.7953,8.7953
GBPCNY,1989-10-30,9.0023,9.0023,9.0023,9.0023
GBPCNY,1989-11-06,8.8597,8.8597,8.8597,8.8597
GBPCNY,1989-11-13,8.8555,8.8555,8.8555,8.8555
GBPCNY,1989-11-20,8.8329,8.8329,8.8329,8.8329
GBPCNY,1989-11-27,8.7691,8.7691,8.7691,8.7691
GBPCNY,1989-12-04,8.7185,8.7185,8.7185,8.7185
GBPCNY,1989-12-11,8.7278,8.7278,8.7278,8.7278
GBPCNY,1989-12-18,11.301,11.301,11.301,11.301
GBPCNY,1989-12-27,11.362,11.362,11.362,11.362
GBPCNY,1990-01-01,11.489,11.489,11.489,11.489
GBPCNY,1990-01-08,11.41,11.41,11.41,11.41
GBPCNY,1990-01-15,11.707,11.707,11.707,11.707
GBPCNY,1990-01-22,11.759,11.759,11.759,11.759
GBPCNY,1990-01-29,11.605,11.605,11.605,11.605
GBPCNY,1990-02-05,11.908,11.908,11.908,11.908
GBPCNY,1990-02-12,12.033,12.033,12.033,12.033
GBPCNY,1990-02-19,11.966,11.966,11.966,11.966
