ticker,date,open,high,low,close
GBPDKK,1984-01-02,14.284,14.284,14.284,14.284
GBPDKK,1984-01-09,14.294,14.294,14.294,14.294
GBPDKK,1984-01-16,14.32,14.32,14.32,14.32
GBPDKK,1984-01-23,14.384,14.384,14.384,14.384
GBPDKK,1984-01-30,14.324,14.324,14.324,14.324
GBPDKK,1984-02-06,14.35,14.35,14.35,14.35
GBPDKK,1984-02-13,14.186,14.186,14.186,14.186
GBPDKK,1984-02-20,14.053,14.053,14.053,14.053
GBPDKK,1984-03-01,14.182,14.182,14.182,14.182
GBPDKK,1984-03-05,14.193,14.193,14.193,14.193
GBPDKK,1984-03-12,13.923,13.923,13.923,13.923
GBPDKK,1984-03-19,13.783,13.783,13.783,13.783
GBPDKK,1984-03-26,13.827,13.827,13.827,13.827
GBPDKK,1984-04-02,13.748,13.748,13.748,13.748
GBPDKK,1984-04-09,13.757,13.757,13.757,13.757
GBPDKK,1984-04-16,13.788,13.788,13.788,13.788
GBPDKK,1984-04-24,13.757,13.757,13.757,13.757
GBPDKK,1984-05-02,13.895,13.895,13.895,13.895
GBPDKK,1984-05-07,13.968,13.968,13.968,13.968
GBPDKK,1984-05-14,14.097,14.097,14.097,14.097
GBPDKK,1984-05-21,13.974,13.974,13.974,13.974
GBPDKK,1984-05-28,14.019,14.019,14.019,14.019
GBPDKK,1984-06-04,13.887,13.887,13.887,13.887
GBPDKK,1984-06-11,13.728,13.728,13.728,13.728
GBPDKK,1984-06-18,13.812,13.812,13.812,13.812
GBPDKK,1984-06-25,13.919,13.919,13.919,13.919
GBPDKK,1984-07-02,13.779,13.779,13.779,13.779
GBPDKK,1984-07-09,13.794,13.794,13.794,13.794
GBPDKK,1984-07-16,13.536,13.536,13.536,13.536
GBPDKK,1984-07-23,13.751,13.751,13.751,13.751
GBPDKK,1984-07-30,13.874,13.874,13.874,13.874
GBPDKK,1984-08-06,13.818,13.818,13.818,13.818
GBPDKK,1984-08-13,13.901,13.901,13.901,13.901
GBPDKK,1984-08-20,13.847,13.847,13.847,13.847
GBPDKK,1984-08-27,13.83,13.83,13.83,13.83
GBPDKK,1984-09-01,13.627,13.627,13.627,13.627
GBPDKK,1984-09-10,13.755,13.755,13.755,13.755
GBPDKK,1984-09-17,13.888,13.888,13.888,13.888
GBPDKK,1984-09-24,13.691,13.691,13.691,13.691
GBPDKK,1984-10-01,13.74,13.74,13.74,13.74
GBPDKK,1984-10-08,13.658,13.658,13.658,13.658
GBPDKK,1984-10-15,13.669,13.669,13.669,13.669
GBPDKK,1984-10-22,13.615,13.615,13.615,13.615
GBPDKK,1984-10-29,13.31,13.31,13.31,13.31
GBPDKK,1984-11-05,13.33,13.33,13.33,13.33
GBPDKK,1984-11-12,13.476,13.476,13.476,13.476
GBPDKK,1984-11-19,13.509,13.509,13.509,13.509
GBPDKK,1984-11-26,13.507,13.507,13.507,13.507
GBPDKK,1984-12-01,13.228,13.228,13.228,13.228
GBPDKK,1984-12-10,13.355,13.355,13.355,13.355
GBPDKK,1984-12-17,13.314,13.314,13.314,13.314
GBPDKK,1984-12-24,13.14,13.14,13.14,13.14
GBPDKK,1985-01-01,13.055,13.055,13.055,13.055
GBPDKK,1985-01-07,13.037,13.037,13.037,13.037
GBPDKK,1985-01-14,12.95,12.95,12.95,12.95
GBPDKK,1985-01-21,12.755,12.755,12.755,12.755
GBPDKK,1985-01-28,12.697,12.697,12.697,12.697
GBPDKK,1985-02-04,12.602,12.602,12.602,12.602
GBPDKK,1985-02-11,12.791,12.791,12.791,12.791
GBPDKK,1985-02-18,12.811,12.811,12.811,12.811
GBPDKK,1985-02-25,12.921,12.921,12.921,12.921
GBPDKK,1985-03-04,12.831,12.831,12.831,12.831
GBPDKK,1985-03-11,12.974,12.974,12.974,12.974
GBPDKK,1985-03-18,12.836,12.836,12.836,12.836
GBPDKK,1985-03-25,13.225,13.225,13.225,13.225
GBPDKK,1985-03-29,13.65,13.65,13.65,13.65
GBPDKK,1985-04-01,13.698,13.698,13.698,13.698
GBPDKK,1985-04-09,13.667,13.667,13.667,13.667
GBPDKK,1985-04-15,13.595,13.595,13.595,13.595
GBPDKK,1985-04-22,13.839,13.839,13.839,13.839
GBPDKK,1985-04-29,13.894,13.894,13.894,13.894
GBPDKK,1985-05-06,13.849,13.849,13.849,13.849
GBPDKK,1985-05-13,13.777,13.777,13.777,13.777
GBPDKK,1985-05-20,13.952,13.952,13.952,13.952
GBPDKK,1985-05-27,14.002,14.002,14.002,14.002
GBPDKK,1985-06-01,13.96,13.96,13.96,13.96
GBPDKK,1985-06-10,14.143,14.143,14.143,14.143
GBPDKK,1985-06-17,13.997,13.997,13.997,13.997
GBPDKK,1985-06-24,14.042,14.042,14.042,14.042
GBPDKK,1985-07-01,14.135,14.135,14.135,14.135
GBPDKK,1985-07-08,14.253,14.253,14.253,14.253
GBPDKK,1985-07-15,14.39,14.39,14.39,14.39
GBPDKK,1985-07-23,14.386,14.386,14.386,14.386
GBPDKK,1985-07-29,14.476,14.476,14.476,14.476
GBPDKK,1985-08-05,14.509,14.509,14.509,14.509
GBPDKK,1985-08-12,13.757,13.757,13.757,13.757
GBPDKK,1985-08-19,14.05,14.05,14.05,14.05
GBPDKK,1985-08-26,14.02,14.02,14.02,14.02
GBPDKK,1985-09-02,14.089,14.089,14.089,14.089
GBPDKK,1985-09-09,14.157,14.157,14.157,14.157
GBPDKK,1985-09-16,13.852,13.852,13.852,13.852
GBPDKK,1985-09-23,13.975,13.975,13.975,13.975
GBPDKK,1985-09-30,14.13,14.13,14.13,14.13
GBPDKK,1985-10-07,13.689,13.689,13.689,13.689
GBPDKK,1985-10-14,13.532,13.532,13.532,13.532
GBPDKK,1985-10-21,13.622,13.622,13.622,13.622
GBPDKK,1985-10-28,13.718,13.718,13.718,13.718
GBPDKK,1985-11-04,13.648,13.648,13.648,13.648
GBPDKK,1985-11-11,13.589,13.589,13.589,13.589
GBPDKK,1985-11-18,13.444,13.444,13.444,13.444
GBPDKK,1985-11-25,13.464,13.464,13.464,13.464
GBPDKK,1985-12-02,13.562,13.562,13.562,13.562
GBPDKK,1985-12-09,13.542,13.542,13.542,13.542
GBPDKK,1985-12-16,13.242,13.242,13.242,13.242
GBPDKK,1985-12-23,13.136,13.136,13.136,13.136
GBPDKK,1986-01-01,13.004,13.004,13.004,13.004
GBPDKK,1986-01-06,12.938,12.938,12.938,12.938
GBPDKK,1986-01-13,12.819,12.819,12.819,12.819
GBPDKK,1986-01-20,13.108,13.108,13.108,13.108
GBPDKK,1986-01-27,12.775,12.775,12.775,12.775
GBPDKK,1986-02-01,12.187,12.187,12.187,12.187
GBPDKK,1986-02-10,12.177,12.177,12.177,12.177
GBPDKK,1986-02-17,12.302,12.302,12.302,12.302
GBPDKK,1986-02-24,12.288,12.288,12.288,12.288
GBPDKK,1986-03-01,12.393,12.393,12.393,12.393
GBPDKK,1986-03-03,12.393,12.393,12.393,12.393
GBPDKK,1986-03-10,11.83,11.83,11.83,11.83
GBPDKK,1986-03-17,12.19,12.19,12.19,12.19
GBPDKK,1986-03-18,12.19,12.19,12.19,12.19
GBPDKK,1986-03-24,12.168,12.168,12.168,12.168
GBPDKK,1986-04-01,12.474,12.474,12.474,12.474
GBPDKK,1986-04-07,12.604,12.604,12.604,12.604
GBPDKK,1986-04-09,12.604,12.604,12.604,12.604
GBPDKK,1986-04-14,12.792,12.792,12.792,12.792
GBPDKK,1986-04-21,12.676,12.676,12.676,12.676
GBPDKK,1986-04-28,12.291,12.291,12.291,12.291
GBPDKK,1986-05-05,12.463,12.463,12.463,12.463
GBPDKK,1986-05-12,12.481,12.481,12.481,12.481
GBPDKK,1986-05-19,12.426,12.426,12.426,12.426
GBPDKK,1986-05-26,12.565,12.565,12.565,12.565
GBPDKK,1986-06-02,12.641,12.641,12.641,12.641
GBPDKK,1986-06-09,12.602,12.602,12.602,12.602
GBPDKK,1986-06-16,12.405,12.405,12.405,12.405
GBPDKK,1986-06-23,12.42,12.42,12.42,12.42
GBPDKK,1986-06-30,12.498,12.498,12.498,12.498
GBPDKK,1986-07-07,12.508,12.508,12.508,12.508
GBPDKK,1986-07-14,12.459,12.459,12.459,12.459
GBPDKK,1986-07-21,12.025,12.025,12.025,12.025
GBPDKK,1986-07-28,11.909,11.909,11.909,11.909
GBPDKK,1986-08-04,11.818,11.818,11.818,11.818
GBPDKK,1986-08-11,11.678,11.678,11.678,11.678
GBPDKK,1986-08-18,11.501,11.501,11.501,11.501
GBPDKK,1986-08-25,11.633,11.633,11.633,11.633
GBPDKK,1986-09-01,11.446,11.446,11.446,11.446
GBPDKK,1986-09-08,11.437,11.437,11.437,11.437
GBPDKK,1986-09-15,11.627,11.627,11.627,11.627
GBPDKK,1986-09-22,11.463,11.463,11.463,11.463
GBPDKK,1986-09-29,11.101,11.101,11.101,11.101
GBPDKK,1986-10-06,11.058,11.058,11.058,11.058
GBPDKK,1986-10-13,10.869,10.869,10.869,10.869
GBPDKK,1986-10-20,10.699,10.699,10.699,10.699
GBPDKK,1986-10-27,10.744,10.744,10.744,10.744
GBPDKK,1986-11-01,10.82,10.82,10.82,10.82
GBPDKK,1986-11-10,10.95,10.95,10.95,10.95
GBPDKK,1986-11-17,11.087,11.087,11.087,11.087
GBPDKK,1986-11-24,10.834,10.834,10.834,10.834
GBPDKK,1986-12-01,10.738,10.738,10.738,10.738
GBPDKK,1986-12-08,10.613,10.613,10.613,10.613
GBPDKK,1986-12-15,10.792,10.792,10.792,10.792
GBPDKK,1986-12-22,10.958,10.958,10.958,10.958
GBPDKK,1986-12-31,10.817,10.817,10.817,10.817
GBPDKK,1987-01-12,10.743,10.743,10.743,10.743
GBPDKK,1987-01-19,10.725,10.725,10.725,10.725
