ticker,date,open,high,low,close
GBPNZD,1984-01-09,2.1819,2.1819,2.1819,2.1819
GBPNZD,1984-01-16,2.1558,2.1558,2.1558,2.1558
GBPNZD,1984-01-23,2.1889,2.1889,2.1889,2.1889
GBPNZD,1984-01-30,2.1565,2.1565,2.1565,2.1565
GBPNZD,1984-02-06,2.148,2.148,2.148,2.148
GBPNZD,1984-02-13,2.1475,2.1475,2.1475,2.1475
GBPNZD,1984-02-20,2.1594,2.1594,2.1594,2.1594
GBPNZD,1984-03-01,2.1845,2.1845,2.1845,2.1845
GBPNZD,1984-03-05,2.2449,2.2449,2.2449,2.2449
GBPNZD,1984-03-12,2.2323,2.2323,2.2323,2.2323
GBPNZD,1984-03-19,2.2206,2.2206,2.2206,2.2206
GBPNZD,1984-03-26,2.1712,2.1712,2.1712,2.1712
GBPNZD,1984-04-02,2.18,2.18,2.18,2.18
GBPNZD,1984-04-09,2.1747,2.1747,2.1747,2.1747
GBPNZD,1984-04-16,2.1806,2.1806,2.1806,2.1806
GBPNZD,1984-04-24,2.1589,2.1589,2.1589,2.1589
GBPNZD,1984-05-02,2.1547,2.1547,2.1547,2.1547
GBPNZD,1984-05-07,2.1454,2.1454,2.1454,2.1454
GBPNZD,1984-05-14,2.1559,2.1559,2.1559,2.1559
GBPNZD,1984-05-21,2.1467,2.1467,2.1467,2.1467
GBPNZD,1984-05-28,2.1536,2.1536,2.1536,2.1536
GBPNZD,1984-06-04,2.1224,2.1224,2.1224,2.1224
GBPNZD,1984-06-11,2.1653,2.1653,2.1653,2.1653
GBPNZD,1984-06-18,2.1532,2.1532,2.1532,2.1532
GBPNZD,1984-06-25,2.1862,2.1862,2.1862,2.1862
GBPNZD,1984-07-02,2.1349,2.1349,2.1349,2.1349
GBPNZD,1984-07-09,2.1625,2.1625,2.1625,2.1625
GBPNZD,1984-07-16,2.1202,2.1202,2.1202,2.1202
GBPNZD,1984-07-23,2.6713,2.6713,2.6713,2.6713
GBPNZD,1984-07-30,2.668,2.668,2.668,2.668
GBPNZD,1984-08-06,2.6239,2.6239,2.6239,2.6239
GBPNZD,1984-08-13,2.6466,2.6466,2.6466,2.6466
GBPNZD,1984-08-20,2.63,2.63,2.63,2.63
GBPNZD,1984-08-27,2.6267,2.6267,2.6267,2.6267
GBPNZD,1984-09-01,2.6058,2.6058,2.6058,2.6058
GBPNZD,1984-09-10,2.6314,2.6314,2.6314,2.6314
GBPNZD,1984-09-17,2.6135,2.6135,2.6135,2.6135
GBPNZD,1984-09-24,2.5097,2.5097,2.5097,2.5097
GBPNZD,1984-10-01,2.5353,2.5353,2.5353,2.5353
GBPNZD,1984-10-08,2.5544,2.5544,2.5544,2.5544
GBPNZD,1984-10-15,2.5495,2.5495,2.5495,2.5495
GBPNZD,1984-10-22,2.4813,2.4813,2.4813,2.4813
GBPNZD,1984-10-29,2.475,2.475,2.475,2.475
GBPNZD,1984-11-05,2.4353,2.4353,2.4353,2.4353
GBPNZD,1984-11-12,2.5635,2.5635,2.5635,2.5635
GBPNZD,1984-11-19,2.5804,2.5804,2.5804,2.5804
GBPNZD,1984-11-26,2.5594,2.5594,2.5594,2.5594
GBPNZD,1984-12-01,2.4647,2.4647,2.4647,2.4647
GBPNZD,1984-12-10,2.4787,2.4787,2.4787,2.4787
GBPNZD,1984-12-17,2.4923,2.4923,2.4923,2.4923
GBPNZD,1984-12-24,2.4759,2.4759,2.4759,2.4759
GBPNZD,1985-01-01,2.4375,2.4375,2.4375,2.4375
GBPNZD,1985-01-07,2.4476,2.4476,2.4476,2.4476
GBPNZD,1985-01-14,2.4739,2.4739,2.4739,2.4739
GBPNZD,1985-01-21,2.3905,2.3905,2.3905,2.3905
GBPNZD,1985-01-28,2.3911,2.3911,2.3911,2.3911
GBPNZD,1985-02-04,2.407,2.407,2.407,2.407
GBPNZD,1985-02-11,2.44,2.44,2.44,2.44
GBPNZD,1985-02-18,2.3988,2.3988,2.3988,2.3988
GBPNZD,1985-02-25,2.4823,2.4823,2.4823,2.4823
GBPNZD,1985-03-04,2.4885,2.4885,2.4885,2.4885
GBPNZD,1985-03-11,2.2173,2.2173,2.2173,2.2173
GBPNZD,1985-03-18,2.4184,2.4184,2.4184,2.4184
GBPNZD,1985-03-25,2.4647,2.4647,2.4647,2.4647
GBPNZD,1985-03-29,2.6103,2.6103,2.6103,2.6103
GBPNZD,1985-04-01,2.6426,2.6426,2.6426,2.6426
GBPNZD,1985-04-09,2.7311,2.7311,2.7311,2.7311
GBPNZD,1985-04-15,2.6456,2.6456,2.6456,2.6456
GBPNZD,1985-04-22,2.8058,2.8058,2.8058,2.8058
GBPNZD,1985-04-29,2.8079,2.8079,2.8079,2.8079
GBPNZD,1985-05-06,2.7429,2.7429,2.7429,2.7429
GBPNZD,1985-05-13,2.6266,2.6266,2.6266,2.6266
GBPNZD,1985-05-20,2.8041,2.8041,2.8041,2.8041
GBPNZD,1985-05-27,2.8322,2.8322,2.8322,2.8322
GBPNZD,1985-06-01,2.7841,2.7841,2.7841,2.7841
GBPNZD,1985-06-10,2.8905,2.8905,2.8905,2.8905
GBPNZD,1985-06-17,2.7589,2.7589,2.7589,2.7589
GBPNZD,1985-06-24,2.7421,2.7421,2.7421,2.7421
GBPNZD,1985-07-01,2.6453,2.6453,2.6453,2.6453
GBPNZD,1985-07-08,2.7515,2.7515,2.7515,2.7515
GBPNZD,1985-07-15,2.7269,2.7269,2.7269,2.7269
GBPNZD,1985-07-23,2.6934,2.6934,2.6934,2.6934
GBPNZD,1985-07-29,2.7151,2.7151,2.7151,2.7151
GBPNZD,1985-08-05,2.6848,2.6848,2.6848,2.6848
GBPNZD,1985-08-12,2.4499,2.4499,2.4499,2.4499
GBPNZD,1985-08-19,2.6698,2.6698,2.6698,2.6698
GBPNZD,1985-08-26,2.62,2.62,2.62,2.62
GBPNZD,1985-09-02,2.6137,2.6137,2.6137,2.6137
GBPNZD,1985-09-09,2.5877,2.5877,2.5877,2.5877
GBPNZD,1985-09-16,2.4846,2.4846,2.4846,2.4846
GBPNZD,1985-09-23,2.4701,2.4701,2.4701,2.4701
GBPNZD,1985-09-30,2.6103,2.6103,2.6103,2.6103
GBPNZD,1985-10-07,2.4891,2.4891,2.4891,2.4891
GBPNZD,1985-10-14,2.5086,2.5086,2.5086,2.5086
GBPNZD,1985-10-21,2.4235,2.4235,2.4235,2.4235
GBPNZD,1985-10-28,2.5595,2.5595,2.5595,2.5595
GBPNZD,1985-11-04,2.4547,2.4547,2.4547,2.4547
GBPNZD,1985-11-11,2.4581,2.4581,2.4581,2.4581
GBPNZD,1985-11-18,2.5531,2.5531,2.5531,2.5531
GBPNZD,1985-11-25,2.4803,2.4803,2.4803,2.4803
GBPNZD,1985-12-02,2.5485,2.5485,2.5485,2.5485
GBPNZD,1985-12-09,2.6145,2.6145,2.6145,2.6145
GBPNZD,1985-12-16,3.0085,3.0085,3.0085,3.0085
GBPNZD,1985-12-23,2.8827,2.8827,2.8827,2.8827
GBPNZD,1986-01-01,2.8487,2.8487,2.8487,2.8487
GBPNZD,1986-01-06,2.7557,2.7557,2.7557,2.7557
GBPNZD,1986-01-13,2.8552,2.8552,2.8552,2.8552
GBPNZD,1986-01-20,2.8716,2.8716,2.8716,2.8716
GBPNZD,1986-01-27,2.6711,2.6711,2.6711,2.6711
GBPNZD,1986-02-01,2.5938,2.5938,2.5938,2.5938
GBPNZD,1986-02-10,2.5386,2.5386,2.5386,2.5386
GBPNZD,1986-02-17,2.6002,2.6002,2.6002,2.6002
GBPNZD,1986-02-24,2.6959,2.6959,2.6959,2.6959
GBPNZD,1986-03-01,2.8287,2.8287,2.8287,2.8287
GBPNZD,1986-03-03,2.845,2.845,2.845,2.845
GBPNZD,1986-03-10,2.7841,2.7841,2.7841,2.7841
GBPNZD,1986-03-17,2.7184,2.7184,2.7184,2.7184
GBPNZD,1986-03-18,2.7307,2.7307,2.7307,2.7307
GBPNZD,1986-03-24,2.7471,2.7471,2.7471,2.7471
GBPNZD,1986-04-01,2.7085,2.7085,2.7085,2.7085
GBPNZD,1986-04-07,2.6539,2.6539,2.6539,2.6539
GBPNZD,1986-04-09,2.6626,2.6626,2.6626,2.6626
GBPNZD,1986-04-14,2.6516,2.6516,2.6516,2.6516
GBPNZD,1986-04-21,2.5748,2.5748,2.5748,2.5748
GBPNZD,1986-04-28,2.603,2.603,2.603,2.603
GBPNZD,1986-05-05,2.6684,2.6684,2.6684,2.6684
GBPNZD,1986-05-12,2.5976,2.5976,2.5976,2.5976
GBPNZD,1986-05-19,2.774,2.774,2.774,2.774
GBPNZD,1986-05-26,2.7515,2.7515,2.7515,2.7515
GBPNZD,1986-06-02,2.6609,2.6609,2.6609,2.6609
GBPNZD,1986-06-09,2.6748,2.6748,2.6748,2.6748
GBPNZD,1986-06-16,2.7994,2.7994,2.7994,2.7994
GBPNZD,1986-06-23,2.8402,2.8402,2.8402,2.8402
GBPNZD,1986-06-30,2.7548,2.7548,2.7548,2.7548
GBPNZD,1986-07-07,2.8823,2.8823,2.8823,2.8823
GBPNZD,1986-07-14,2.8801,2.8801,2.8801,2.8801
GBPNZD,1986-07-21,2.7417,2.7417,2.7417,2.7417
GBPNZD,1986-07-28,2.831,2.831,2.831,2.831
GBPNZD,1986-08-04,2.8754,2.8754,2.8754,2.8754
GBPNZD,1986-08-11,2.9951,2.9951,2.9951,2.9951
GBPNZD,1986-08-18,2.9792,2.9792,2.9792,2.9792
GBPNZD,1986-08-25,3.0763,3.0763,3.0763,3.0763
GBPNZD,1986-09-01,3.0506,3.0506,3.0506,3.0506
GBPNZD,1986-09-08,3.1248,3.1248,3.1248,3.1248
GBPNZD,1986-09-15,3.1193,3.1193,3.1193,3.1193
GBPNZD,1986-09-22,3.1175,3.1175,3.1175,3.1175
GBPNZD,1986-09-29,2.9373,2.9373,2.9373,2.9373
GBPNZD,1986-10-06,2.8519,2.8519,2.8519,2.8519
GBPNZD,1986-10-13,2.842,2.842,2.842,2.842
GBPNZD,1986-10-20,2.8505,2.8505,2.8505,2.8505
GBPNZD,1986-10-27,2.8327,2.8327,2.8327,2.8327
GBPNZD,1986-11-01,2.786,2.786,2.786,2.786
GBPNZD,1986-11-10,2.7296,2.7296,2.7296,2.7296
GBPNZD,1986-11-17,2.8057,2.8057,2.8057,2.8057
GBPNZD,1986-11-24,2.7383,2.7383,2.7383,2.7383
GBPNZD,1986-12-01,2.8464,2.8464,2.8464,2.8464
GBPNZD,1986-12-08,2.8505,2.8505,2.8505,2.8505
GBPNZD,1986-12-15,2.7595,2.7595,2.7595,2.7595
GBPNZD,1986-12-22,2.7119,2.7119,2.7119,2.7119
GBPNZD,1986-12-31,2.7424,2.7424,2.7424,2.7424
GBPNZD,1987-01-12,2.7333,2.7333,2.7333,2.7333
GBPNZD,1987-01-19,2.7757,2.7757,2.7757,2.7757
GBPNZD,1987-01-26,2.7907,2.7907,2.7907,2.7907
GBPNZD,1987-02-01,2.8077,2.8077,2.8077,2.8077
GBPNZD,1987-02-09,2.8126,2.8126,2.8126,2.8126
GBPNZD,1987-02-16,2.8035,2.8035,2.8035,2.8035
GBPNZD,1987-02-23,2.7789,2.7789,2.7789,2.7789
GBPNZD,1987-03-02,2.7325,2.7325,2.7325,2.7325
GBPNZD,1987-03-09,2.7795,2.7795,2.7795,2.7795
GBPNZD,1987-03-16,2.815,2.815,2.815,2.815
GBPNZD,1987-03-23,2.8572,2.8572,2.8572,2.8572
GBPNZD,1987-03-30,2.8679,2.8679,2.8679,2.8679
GBPNZD,1987-04-06,2.799,2.799,2.799,2.799
GBPNZD,1987-04-13,2.791,2.791,2.791,2.791
GBPNZD,1987-04-21,2.8457,2.8457,2.8457,2.8457
GBPNZD,1987-04-27,2.7979,2.7979,2.7979,2.7979
GBPNZD,1987-05-04,2.8674,2.8674,2.8674,2.8674
GBPNZD,1987-05-11,2.9242,2.9242,2.9242,2.9242
GBPNZD,1987-05-18,2.8656,2.8656,2.8656,2.8656
GBPNZD,1987-05-25,2.8865,2.8865,2.8865,2.8865
GBPNZD,1987-06-01,2.8776,2.8776,2.8776,2.8776
GBPNZD,1987-06-08,2.8108,2.8108,2.8108,2.8108
GBPNZD,1987-06-15,2.7805,2.7805,2.7805,2.7805
GBPNZD,1987-06-22,2.7493,2.7493,2.7493,2.7493
GBPNZD,1987-06-29,2.6992,2.6992,2.6992,2.6992
GBPNZD,1987-07-06,2.698,2.698,2.698,2.698
GBPNZD,1987-07-13,2.6822,2.6822,2.6822,2.6822
GBPNZD,1987-07-20,2.6708,2.6708,2.6708,2.6708
GBPNZD,1987-07-27,2.6872,2.6872,2.6872,2.6872
GBPNZD,1987-08-03,2.7703,2.7703,2.7703,2.7703
GBPNZD,1987-08-10,2.7669,2.7669,2.7669,2.7669
GBPNZD,1987-08-17,2.6633,2.6633,2.6633,2.6633
GBPNZD,1987-08-24,2.6452,2.6452,2.6452,2.6452
GBPNZD,1987-08-31,2.6718,2.6718,2.6718,2.6718
GBPNZD,1987-09-07,2.6933,2.6933,2.6933,2.6933
GBPNZD,1987-09-14,2.6226,2.6226,2.6226,2.6226
GBPNZD,1987-09-21,2.5371,2.5371,2.5371,2.5371
GBPNZD,1987-09-28,2.5337,2.5337,2.5337,2.5337
GBPNZD,1987-10-05,2.5113,2.5113,2.5113,2.5113
GBPNZD,1987-10-12,2.516,2.516,2.516,2.516
GBPNZD,1987-10-19,2.525,2.525,2.525,2.525
GBPNZD,1987-10-26,2.6062,2.6062,2.6062,2.6062
GBPNZD,1987-11-02,2.8114,2.8114,2.8114,2.8114
GBPNZD,1987-11-09,2.7831,2.7831,2.7831,2.7831
GBPNZD,1987-11-16,2.9294,2.9294,2.9294,2.9294
GBPNZD,1987-11-23,2.8479,2.8479,2.8479,2.8479
GBPNZD,1987-11-30,2.7471,2.7471,2.7471,2.7471
GBPNZD,1987-12-07,2.8381,2.8381,2.8381,2.8381
GBPNZD,1987-12-14,2.7808,2.7808,2.7808,2.7808
